Name_GeneSymbol	Value_LogDiffExp
AARS	1.09145
ABCB6	-0.12710000000000002
ABCC5	0.09640000000000001
ABCF1	0.20945000000000003
ABCF3	-0.2409
ABHD4	0.9714
ABHD6	0.07330000000000003
ABL1	-0.16585
ACAA1	0.697
ACAT2	0.86745
ACBD3	0.41305000000000003
ACD	-0.55325
ACLY	0.4916
ACOT9	0.06614999999999999
ADAM10	-0.1942
ADAT1	-0.21025
ADCK3	-0.4463
ADGRE5	-0.002149999999999999
ADGRG1	-0.2675
ADH5	0.4408
ADI1	0.15185
ADO	-0.18395
ADRB2	0.7787999999999999
AGL	0.03215000000000001
AKAP8	-0.2891
AKAP8L	-1.7016
AKR7A2	0.29600000000000004
AKT1	-0.8529
ALAS1	-0.10004999999999997
ALDH7A1	0.5291
ALDOA	-0.20975000000000002
ALDOC	0.1745
AMDHD2	0.233
ANKRD10	0.08880000000000002
ANO10	0.46625
ANXA7	-0.08090000000000003
APBB2	0.04504999999999999
APOE	0.32745
APP	-0.09109999999999999
APPBP2	0.34975
ARFIP2	-0.336
ARHGAP1	0.13085
ARHGEF12	0.006450000000000004
ARHGEF2	0.6368
ARID4B	-0.04075000000000001
ARID5B	0.002149999999999999
ARL4C	0.20384999999999998
ARNT2	0.1823
ARPP19	0.3402
ASAH1	0.24944999999999998
ASCC3	-0.66615
ATF1	-0.013500000000000012
ATF5	0.34630000000000005
ATF6	-0.38595
ATG3	0.3185
ATMIN	0.21315
ATP11B	0.4912
ATP1B1	-1.0665
ATP2C1	0.10155
ATP5S	0.79055
ATP6V0B	-0.10139999999999999
ATP6V1D	-0.73965
AURKA	-0.016200000000000003
AURKB	0.09790000000000001
AXIN1	-0.28315
B4GAT1	-0.5874
BACE2	1.4652
BAD	-0.91615
BAG3	0.21755000000000002
BAMBI	0.47345
BAX	0.25689999999999996
BCL2	0.11859999999999998
BCL7B	0.5139499999999999
BDH1	-0.32485
BECN1	0.11780000000000002
BHLHE40	0.38944999999999996
BID	-0.048999999999999995
BIRC2	0.36705
BIRC5	-0.2369
BLCAP	-0.55935
BLMH	-0.3157
BLVRA	-0.13205
BMP4	-0.2188
BNIP3	0.0882
BNIP3L	0.14395000000000002
BPHL	0.10830000000000004
BRCA1	0.0819
BTK	0.5432
BUB1B	-0.27880000000000005
BZW2	-1.3038
C2CD2	-0.03245000000000002
C2CD2L	0.6977
C2CD5	0.09289999999999998
C5	0.014100000000000001
CAB39	0.02975
CALM3	-0.35945
CALU	0.002349999999999998
CAMSAP2	-0.32535
CANT1	-0.07394999999999999
CAPN1	1.1299000000000001
CASC3	0.4486
CASK	-0.1547
CASP10	0.5255
CASP2	-0.42779999999999996
CASP3	0.3006
CASP7	0.06575
CAST	-0.05345
CAT	0.04325000000000001
CBLB	-0.11420000000000001
CBR1	-0.11465
CBR3	-1.2714999999999999
CCDC85B	-0.12369999999999998
CCDC86	0.15705000000000002
CCDC92	0.47555000000000003
CCL2	0.46094999999999997
CCNA1	0.25155000000000005
CCNA2	-0.1243
CCNB1	-0.126
CCNB2	0.52175
CCND1	-0.52405
CCND3	-0.4567
CCNE2	-1.08205
CCNF	0.48855000000000004
CCNH	0.0018500000000000044
CCP110	0.3514
CD320	-1.09515
CD40	-0.028799999999999992
CD44	0.0552
CD58	-0.40675
CDC20	-0.1608
CDC25A	-1.4243999999999999
CDC25B	0.02035
CDC42	0.28534999999999994
CDC45	0.04039999999999999
CDCA4	-0.3918
CDH3	-0.11395000000000001
CDK1	-0.1618
CDK19	0.6279
CDK2	-0.17345
CDK4	-0.2458
CDK5R1	-0.2099
CDK6	1.08895
CDK7	0.0713
CDKN1A	0.06715
CDKN1B	0.23335
CDKN2A	-0.731
CEBPA	-0.5812999999999999
CEBPD	0.35615
CEBPZ	-0.0872
CENPE	0.4218
CEP57	0.10535
CERK	0.27454999999999996
CETN3	0.0313
CFLAR	1.0134999999999998
CGRRF1	-0.15865
CHAC1	0.51205
CHEK1	0.58155
CHEK2	0.11844999999999997
CHERP	-0.1662
CHIC2	0.5338
CHMP4A	0.04414999999999997
CHMP6	0.47600000000000003
CHN1	-0.4284
CHP1	0.08435000000000001
CIAPIN1	0.012149999999999994
CIRBP	0.5181
CISD1	-0.33345
CLIC4	1.3707500000000001
CLPX	0.024000000000000007
CLSTN1	-1.0442500000000001
CLTB	-0.432
CLTC	-0.2602
CNDP2	-0.14015
CNOT4	-0.1907
CNPY3	-0.4014
COASY	0.015649999999999997
COG2	-0.20735
COG4	0.4657
COG7	-0.65585
COL1A1	0.44805
COL4A1	0.08555
COPB2	-0.42114999999999997
COPS7A	0.1048
CORO1A	-0.01855000000000001
CPNE3	0.07155
CPSF4	-0.12869999999999998
CREB1	0.08399999999999999
CREG1	-0.4578
CRELD2	0.03655
CRK	0.07395000000000002
CRKL	-0.97335
CRTAP	0.19905
CRYZ	0.1976
CSK	-0.34415
CSNK1A1	-1.2201
CSNK1E	-0.46735000000000004
CSNK2A2	-0.16374999999999998
CSRP1	0.47509999999999997
CTNNAL1	-0.1679
CTNND1	0.038500000000000034
CTSD	-0.25585
CTSL	-0.5204
CTTN	-0.5945999999999999
CXCL2	0.13105
CXCR4	0.16665
CYB561	-0.6644
CYCS	-0.11725000000000001
CYTH1	0.01784999999999999
DAG1	-0.23975
DAXX	1.1244
DCK	0.27785
DCTD	-0.06274999999999999
DCUN1D4	-0.26325
DDB2	0.3122
DDIT4	0.92745
DDR1	0.08975
DDX10	-0.89115
DDX42	-0.08530000000000001
DECR1	0.01150000000000001
DENND2D	-0.17775000000000002
DERA	-0.28175
DFFA	0.03320000000000001
DFFB	0.06534999999999999
DHDDS	-0.19029999999999997
DHRS7	-1.07085
DHX29	0.40340000000000004
DLD	0.13915000000000005
DMTF1	-0.0978
DNAJA3	-0.26535000000000003
DNAJB1	-0.31515000000000004
DNAJB2	-0.2371
DNAJB6	-0.017600000000000005
DNAJC15	0.43594999999999995
DNM1	0.2381
DNM1L	-0.0916
DNMT1	-0.83935
DNMT3A	8.000000000000229e-4
DNTTIP2	-0.56445
DPH2	0.11754999999999999
DRAP1	-0.30685
DSG2	-0.14405
DUSP11	0.1613
DUSP14	-0.7069
DUSP22	-0.30235
DUSP3	0.16544999999999999
DUSP4	0.03505
DUSP6	0.30565000000000003
DYNLT3	0.04980000000000001
DYRK3	0.25780000000000003
E2F2	0.24050000000000005
EAPP	0.14500000000000002
EBNA1BP2	-0.17345
EBP	0.8095
