signatureid	compound	similarity
LINCSCP_89119	BAY 61-3606	-0.3324
LINCSCP_14040	Riluzole	-0.3817
LINCSCP_88147	SCHEMBL1564574	-0.3743
LINCSCP_14059	Felamidin	-0.3698
LINCSCP_14032	IN1054	-0.3693
LINCSCP_14097	GR 159897	-0.3674
LINCSCP_15056	Icosapent	-0.3667
LINCSCP_14170	Coumestrol	-0.3635
LINCSCP_15744	MLS000041932	-0.3628
LINCSCP_208353	Meclofenamic acid	-0.3583
LINCSCP_14131	EXO-1	-0.355
LINCSCP_208266	MDL 72832	-0.3488
LINCSCP_14013	Nobiletin	-0.3464
LINCSCP_14128	Fasudil	-0.3442
LINCSCP_14077	MDL-28170	-0.3401
LINCSCP_14116	SU-4312	-0.3384
LINCSCP_14079	Flufenamic acid	-0.334
LINCSCP_13999	CID 24069689	-0.3294
LINCSCP_14616	IN1304	-0.3279
LINCSCP_93815	KW-2478	-0.3269
LINCSCP_93943	Dexniguldipine	-0.3248
LINCSCP_96463	Levetiracetam	-0.3223
LINCSCP_14794	Dienestrol	-0.3222
LINCSCP_14031	U 0126	-0.3221
LINCSCP_16189	Alprazolam	-0.3219
