signatureid	compound	similarity
LINCSCP_33174	AC1Q471E	-0.5752
LINCSCP_33227	NBI 27914	-0.5426
LINCSCP_31060	221243-77-2	-0.5212
LINCSCP_33199	Clofibric acid	-0.5187
LINCSCP_33016	PRE-084	-0.5155
LINCSCP_33245	Tesmilifene	-0.504
LINCSCP_238707	CHEMBL105897	-0.5034
LINCSCP_34699	Apazone	-0.499
LINCSCP_31416	SCHEMBL2590640	-0.4944
LINCSCP_34989	BRD-K86728331	-0.4893
LINCSCP_36054	AC1MJ3VH	-0.4786
LINCSCP_33224	SB408124	-0.4719
LINCSCP_34822	BRD-K85144746	-0.4673
LINCSCP_35058	BRD-K96552587	-0.4646
LINCSCP_34044	BRD-K57293132	-0.4586
LINCSCP_33011	Nbqx	-0.4584
LINCSCP_35056	BRD-K95570609	-0.4575
LINCSCP_139720	Dexfenfluramine	-0.4555
LINCSCP_33856	BRD-K38594532	-0.4547
LINCSCP_142912	Chlorophenylpiperazine	-0.4513
LINCSCP_241474	Beclomethasone Dipropionate	-0.4488
LINCSCP_35094	BRD-K08412560	-0.4488
LINCSCP_235734	Desoxymetasone	-0.4478
LINCSCP_30715	Evodiamine	-0.4468
LINCSCP_34918	BRD-K92038420	-0.4453
LINCSCP_36078	CHEMBL416418	-0.4438
LINCSCP_249739	BRD-K21387011	-0.4415
LINCSCP_243561	Pargyline	-0.4401
LINCSCP_32064	AC1O9B20	-0.44
LINCSCP_250292	CHEMBL2381524	-0.4348
LINCSCP_30980	1-[4-(4-Bromophenyl)-1,3-thiazol-2-yl]piperidine-4-carboxamide	-0.4347
LINCSCP_38411	CHEMBL2152368	-0.4342
LINCSCP_33438	SCHEMBL12636892	-0.433
LINCSCP_36356	3-Chloro-l-alanine	-0.4302
LINCSCP_135711	Diflunisal	-0.4298
LINCSCP_35383	BRD-K97873029	-0.4285
LINCSCP_34972	BRD-K13199470	-0.428
LINCSCP_34252	Mephenesin	-0.4279
LINCSCP_237335	MW-A1-14	-0.4264
LINCSCP_33262	Xaliproden	-0.4261
LINCSCP_139361	AC1NWAJL	-0.4252
LINCSCP_33281	Tetrabromobenzotriazole	-0.4249
LINCSCP_32999	Physostigmine	-0.4247
LINCSCP_31007	MLS-0390851.0001	-0.4219
LINCSCP_254603	SCHEMBL17497838	-0.4217
LINCSCP_247568	BRD-K35809598	-0.4208
LINCSCP_33172	AC1NQ6YI	-0.4201
LINCSCP_135378	Indinavir	-0.4201
LINCSCP_33756	(R)-3-(piperidin-2-Yl)pyridine	-0.42
LINCSCP_33213	Zardaverine	-0.4191
LINCSCP_33033	Probenecid	-0.4182
