similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8968	1.4483e-22	61	AC1O9EM7	LSM-4668	NA	10uM	6h	LINCSCP_58743	VCAP
0.8964	1.6187e-22	61	AC1O9CBL	LSM-4596	NA	10uM	6h	LINCSCP_58471	VCAP
0.8956	2.0288e-22	61	Cadmium Dichloride	LSM-37028	NA	20uM	24h	LINCSCP_17088	HA1E
0.8758	2.5658e-20	61	LY 2183240	LSM-2839	FAAH	10uM	6h	LINCSCP_57122	VCAP
0.8631	3.7611e-19	61	SPOX1_000651	LSM-4624	NA	10uM	24h	LINCSCP_10890	ASC
0.8622	4.4548e-19	61	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1.11uM	3h	LINCSCP_145941	MDAMB231
0.8591	8.2314e-19	61	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	3.33uM	3h	LINCSCP_145940	MDAMB231
0.8563	1.4104e-18	61	(S)-Zearalenone	LSM-44632	NA	20uM	24h	LINCSCP_17083	HA1E
0.8546	1.9582e-18	61	BIIB 021	LSM-5627	HSP90AA1	10uM	6h	LINCSCP_58737	VCAP
0.8457	9.9072e-18	61	Radicicol	LSM-43303	NA	0.37uM	3h	LINCSCP_145858	MDAMB231
0.8421	1.8321e-17	61	2-Bromo-n-(2-phenylethyl)acetamide	LSM-37051	NA	10uM	6h	LINCSCP_13079	FIBRNPC
-0.8413	2.1019e-17	61	3-Chloro-l-alanine	LSM-6205	RPS2	0.5uM	6h	LINCSCP_9804	A549
