similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.5409	4.3656e-10	115	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	0.37uM	24h	LINCSCP_83060	ASC.C
0.5356	6.9097e-10	115	CHEMBL2355554	LSM-6843	NA	5uM	24h	LINCSCP_63394	VCAP
0.5253	1.6619e-9	115	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.37uM	3h	LINCSCP_163406	SKBR3
-0.5253	1.666e-9	115	Pevonedistat	LSM-6263	NAE1|UBA3	1.11uM	24h	LINCSCP_108907	HELA
-0.5187	2.8726e-9	115	ST50411348	LSM-1486	PGR	10uM	24h	LINCSCP_55885	VCAP
-0.5094	6.0958e-9	115	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	10uM	24h	LINCSCP_109821	HELA
-0.508	6.8236e-9	115	O-Demethylated Adapalene	LSM-6237	RARG	10uM	6h	LINCSCP_57108	VCAP
-0.5005	1.23e-8	115	Etravirine (TMC125)	LSM-45824	NA	10uM	24h	LINCSCP_161516	PC3
-0.4985	1.4283e-8	115	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	0.37uM	24h	LINCSCP_115539	HS578T
-0.4958	1.7548e-8	115	BX-795	LSM-1189	PDK1|PDPK1	10uM	6h	LINCSCP_19542	HCC515
0.4901	2.7164e-8	115	WZ 4002	LSM-1085	EGFR|ERBB2	10uM	6h	LINCSCP_12019	BT20
0.4879	3.199e-8	115	Triflupromazine	LSM-3421	DRD2|HTR2B	10uM	6h	LINCSCP_14933	HA1E
0.4788	6.2211e-8	115	Mebendazole	LSM-3749	NA	10uM	24h	LINCSCP_56049	VCAP
-0.4779	6.6277e-8	115	Methandriol	LSM-5941	NA	10uM	24h	LINCSCP_58205	VCAP
-0.4737	8.9409e-8	115	AKT Inhibitor V, Triciribine	LSM-1546	AKT1|AKT2|AKT3	10uM	24h	LINCSCP_33047	MCF7
0.4707	1.1068e-7	115	D-64131	LSM-2592	TUBB	10uM	24h	LINCSCP_55958	VCAP
0.4687	1.2758e-7	115	VE-821	LSM-36358	NA	0.37uM	24h	LINCSCP_100763	HCC515
-0.4673	1.4034e-7	115	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	1.11uM	24h	LINCSCP_151317	PC3
0.4672	1.4082e-7	115	BRD-K55216557	LSM-40299	NA	5uM	24h	LINCSCP_59892	VCAP
-0.4671	1.4189e-7	115	CHEMBL323994	LSM-42851	JAK3	10uM	24h	LINCSCP_43992	PC3
-0.4644	1.7125e-7	115	Piceatannol	LSM-42918	NA	10uM	6h	LINCSCP_41604	NEU
-0.4643	1.7275e-7	115	Medrysone	LSM-3259	NR3C1	10uM	24h	LINCSCP_59490	VCAP
-0.4642	1.7334e-7	115	Mitoxantrone	LSM-2481	TOP2A	0.001uM	24h	LINCSCP_35951	MCF7
0.4638	1.7923e-7	115	BX-795	LSM-1189	PDK1|PDPK1	10uM	24h	LINCSCP_15328	HA1E
-0.4629	1.9026e-7	115	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	10uM	24h	LINCSCP_39020	MDAMB231
0.4612	2.1304e-7	115	OSI-027	LSM-1063	MTOR	1uM	6h	LINCSCP_12069	BT20
-0.46	2.3089e-7	115	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	0.12uM	24h	LINCSCP_99808	HCC515
-0.4593	2.4367e-7	115	Momelotinib	LSM-1141	JAK1|JAK2	10uM	24h	LINCSCP_175310	YAPC
0.4579	2.6666e-7	115	VX-745	LSM-1169	MAPK14	0.37uM	24h	LINCSCP_87368	CD34
0.4562	2.9999e-7	115	Olaparib	LSM-1145	PARP1|PARP2|PARP3	0.37uM	24h	LINCSCP_146745	NEU
-0.456	3.0306e-7	115	Linifanib	LSM-1183	CSF1R|FLT1|FLT3|FLT4|KDR|PDGFRA|PDGFRB	10uM	24h	LINCSCP_161996	PC3
0.4556	3.1101e-7	115	Imiquimod	LSM-5408	TLR7|TLR8	10uM	6h	LINCSCP_218714	HEC108
-0.4548	3.2828e-7	115	Quisinostat	LSM-5900	HDAC1|MDM2	10uM	6h	LINCSCP_32756	MCF7
0.4547	3.3193e-7	115	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.04uM	24h	LINCSCP_17393	HA1E
-0.4544	3.3853e-7	115	SDZ-201106	LSM-21614	NA	10.72uM	24h	LINCSCP_107043	HELA
-0.4542	3.4152e-7	115	AZD-5438	LSM-1159	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	3.33uM	24h	LINCSCP_160533	PC3
-0.4542	3.4304e-7	115	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	3.33uM	24h	LINCSCP_131231	MCF10A
-0.4541	3.4412e-7	115	PHA-793887	LSM-1073	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	3.33uM	24h	LINCSCP_85903	BT20
0.4541	3.4491e-7	115	AZD-1775	LSM-1153	WEE1	10uM	6h	LINCSCP_19551	HCC515
-0.4535	3.5835e-7	115	SPECTRUM_000897	LSM-1378	NR3C1	10uM	24h	LINCSCP_55877	VCAP
0.4533	3.6387e-7	115	Albendazole	LSM-3782	NA	10uM	6h	LINCSCP_59607	VCAP
-0.4526	3.8021e-7	115	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	10uM	24h	LINCSCP_29540	MCF10A
-0.4525	3.8229e-7	115	KO143	LSM-6260	ABCG2	40uM	24h	LINCSCP_19372	HCC515
