signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_139594	NA	332	BIRC5	-10	8.6363e-6
LINCSCP_139594	NA	890	CCNA2	-10	8.6363e-6
LINCSCP_139594	NA	983	CDK1	-10	8.6363e-6
LINCSCP_139594	NA	991	CDC20	-10	8.6363e-6
LINCSCP_139594	NA	994	CDC25B	-10	8.6363e-6
LINCSCP_139594	NA	1019	CDK4	-10	8.6363e-6
LINCSCP_139594	NA	2582	GALE	-10	8.6363e-6
LINCSCP_139594	NA	2625	GATA3	-10	8.6363e-6
LINCSCP_139594	NA	3157	HMGCS1	10	8.6363e-6
LINCSCP_139594	NA	3337	DNAJB1	10	8.6363e-6
LINCSCP_139594	NA	3925	STMN1	-10	8.6363e-6
LINCSCP_139594	NA	4172	MCM3	-10	8.6363e-6
LINCSCP_139594	NA	4312	MMP1	10	8.6363e-6
LINCSCP_139594	NA	4783	NFIL3	10	8.6363e-6
LINCSCP_139594	NA	4864	NPC1	10	8.6363e-6
LINCSCP_139594	NA	5111	PCNA	-10	8.6363e-6
LINCSCP_139594	NA	5357	PLS1	-10	8.6363e-6
LINCSCP_139594	NA	7106	TSPAN4	-10	8.6363e-6
LINCSCP_139594	NA	7153	TOP2A	-10	8.6363e-6
LINCSCP_139594	NA	7296	TXNRD1	10	8.6363e-6
LINCSCP_139594	NA	8574	AKR7A2	-10	8.6363e-6
LINCSCP_139594	NA	8974	P4HA2	10	8.6363e-6
LINCSCP_139594	NA	9133	CCNB2	-10	8.6363e-6
LINCSCP_139594	NA	9833	MELK	-10	8.6363e-6
LINCSCP_139594	NA	10112	KIF20A	-10	8.6363e-6
LINCSCP_139594	NA	10221	TRIB1	10	8.6363e-6
LINCSCP_139594	NA	11065	UBE2C	-10	8.6363e-6
LINCSCP_139594	NA	11098	PRSS23	-10	8.6363e-6
LINCSCP_139594	NA	25803	SPDEF	-10	8.6363e-6
LINCSCP_139594	NA	51282	SCAND1	-10	8.6363e-6
LINCSCP_139594	NA	55699	IARS2	-10	8.6363e-6
