signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_137017	NA	2625	GATA3	-10	0
LINCSCP_137017	NA	3337	DNAJB1	-10	0
LINCSCP_137017	NA	5347	PLK1	10	0
LINCSCP_137017	NA	7494	XBP1	-10	0
LINCSCP_137017	NA	7750	ZMYM2	-10	0
LINCSCP_137017	NA	7852	CXCR4	10	0
LINCSCP_137017	NA	8202	NCOA3	-10	0
LINCSCP_137017	NA	8204	NRIP1	-10	0
LINCSCP_137017	NA	9133	CCNB2	-10	0
LINCSCP_137017	NA	9531	BAG3	-10	0
LINCSCP_137017	NA	10038	PARP2	-10	0
LINCSCP_137017	NA	10921	RNPS1	-10	0
LINCSCP_137017	NA	25803	SPDEF	-10	0
LINCSCP_137017	NA	25805	BAMBI	-10	0
LINCSCP_137017	NA	26520	TIMM9	-10	0
LINCSCP_137017	NA	124583	CANT1	-10	0
LINCSCP_137017	NA	11137	PWP1	-9.9071	0
LINCSCP_137017	NA	1983	EIF5	-9.842	0
LINCSCP_137017	NA	5111	PCNA	-9.7245	1e-4
LINCSCP_137017	NA	79902	NUP85	-8.5947	1e-4
LINCSCP_137017	NA	51053	GMNN	-9.3296	2e-4
LINCSCP_137017	NA	23326	USP22	-8.0507	2e-4
LINCSCP_137017	NA	8480	RAE1	-7.8773	2e-4
LINCSCP_137017	NA	10276	NET1	-9.4515	2e-4
LINCSCP_137017	NA	57192	MCOLN1	6.0324	2e-4
LINCSCP_137017	NA	2222	FDFT1	-7.1767	2e-4
LINCSCP_137017	NA	26054	SENP6	-6.237	2e-4
LINCSCP_137017	NA	7153	TOP2A	-9.436	2e-4
LINCSCP_137017	NA	9833	MELK	-7.3375	2e-4
LINCSCP_137017	NA	51031	GLOD4	-5.9711	2e-4
LINCSCP_137017	NA	57147	SCYL3	-8.6739	3e-4
LINCSCP_137017	NA	2810	SFN	-5.4875	3e-4
LINCSCP_137017	NA	23210	JMJD6	-9.1057	4e-4
LINCSCP_137017	NA	64746	ACBD3	-7.1664	4e-4
LINCSCP_137017	NA	11011	TLK2	-7.3517	4e-4
LINCSCP_137017	NA	64422	ATG3	-5.1841	5e-4
LINCSCP_137017	NA	2063	NR2F6	-6.955	5e-4
LINCSCP_137017	NA	9817	KEAP1	-6.2424	5e-4
LINCSCP_137017	NA	4144	MAT2A	-7.638	5e-4
LINCSCP_137017	NA	10559	SLC35A1	-6.3214	5e-4
LINCSCP_137017	NA	8870	IER3	-7.1771	5e-4
LINCSCP_137017	NA	7398	USP1	-6.2576	5e-4
LINCSCP_137017	NA	4043	LRPAP1	8.5331	6e-4
LINCSCP_137017	NA	22908	SACM1L	-4.8102	6e-4
LINCSCP_137017	NA	2309	FOXO3	-7.9224	6e-4
LINCSCP_137017	NA	5019	OXCT1	8.0688	7e-4
LINCSCP_137017	NA	25987	TSKU	-9.1311	7e-4
LINCSCP_137017	NA	4088	SMAD3	-4.5851	7e-4
