signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_137866	NA	1870	E2F2	9.7658	2e-4
LINCSCP_137866	NA	843	CASP10	9.7615	2e-4
LINCSCP_137866	NA	7358	UGDH	1.5748	0.0014
LINCSCP_137866	NA	2582	GALE	1.3984	0.0017
LINCSCP_137866	NA	2908	NR3C1	-1.2752	0.0018
LINCSCP_137866	NA	11151	CORO1A	-2.0684	0.0018
LINCSCP_137866	NA	80349	WDR61	1.7978	0.0018
LINCSCP_137866	NA	10682	EBP	1.3494	0.0023
LINCSCP_137866	NA	25803	SPDEF	1.1934	0.0025
LINCSCP_137866	NA	6182	MRPL12	1.3781	0.0026
LINCSCP_137866	NA	23212	RRS1	1.3621	0.0026
LINCSCP_137866	NA	4043	LRPAP1	1.3977	0.0026
LINCSCP_137866	NA	54807	ZNF586	-1.0694	0.0032
LINCSCP_137866	NA	9641	IKBKE	-1.1514	0.0033
LINCSCP_137866	NA	10904	BLCAP	-1.3886	0.0034
LINCSCP_137866	NA	501	ALDH7A1	-1.0225	0.0034
LINCSCP_137866	NA	5366	PMAIP1	-1.0451	0.0034
LINCSCP_137866	NA	958	CD40	-1.1212	0.0036
LINCSCP_137866	NA	23076	RRP1B	1.1033	0.0036
LINCSCP_137866	NA	11041	B4GAT1	1.0967	0.0039
LINCSCP_137866	NA	5110	PCMT1	1.0226	0.004
LINCSCP_137866	NA	79643	CHMP6	1.5445	0.0041
LINCSCP_137866	NA	10174	SORBS3	1.2336	0.0043
LINCSCP_137866	NA	10652	YKT6	1.1005	0.0045
LINCSCP_137866	NA	4125	MAN2B1	1.2078	0.0046
LINCSCP_137866	NA	10973	ASCC3	1.0437	0.0046
LINCSCP_137866	NA	27095	TRAPPC3	1.2193	0.0046
LINCSCP_137866	NA	622	BDH1	1.253	0.0046
LINCSCP_137866	NA	10058	ABCB6	0.955	0.0047
LINCSCP_137866	NA	55033	FKBP14	-1.038	0.0048
LINCSCP_137866	NA	29890	RBM15B	-1.1871	0.0048
LINCSCP_137866	NA	5211	PFKL	1.3343	0.0048
LINCSCP_137866	NA	57178	ZMIZ1	0.9246	0.0048
LINCSCP_137866	NA	178	AGL	-1.2027	0.0051
LINCSCP_137866	NA	291	SLC25A4	0.9893	0.0051
LINCSCP_137866	NA	64781	CERK	-0.9982	0.0051
LINCSCP_137866	NA	7105	TSPAN6	-1.1431	0.0052
LINCSCP_137866	NA	51282	SCAND1	0.9203	0.0053
LINCSCP_137866	NA	4931	NVL	-1.2864	0.0053
LINCSCP_137866	NA	6915	TBXA2R	-1.0884	0.0054
LINCSCP_137866	NA	50865	HEBP1	1.0658	0.0054
LINCSCP_137866	NA	4792	NFKBIA	1.048	0.0056
LINCSCP_137866	NA	10059	DNM1L	1.4707	0.0056
LINCSCP_137866	NA	6790	AURKA	1.2418	0.0056
LINCSCP_137866	NA	54442	KCTD5	1.3385	0.006
LINCSCP_137866	NA	1635	DCTD	1.4346	0.006
LINCSCP_137866	NA	10494	STK25	1.6181	0.006
LINCSCP_137866	NA	22823	MTF2	0.9868	0.0061
LINCSCP_137866	NA	23321	TRIM2	-1.4878	0.0061
LINCSCP_137866	NA	2767	GNA11	0.9399	0.0061
LINCSCP_137866	NA	23210	JMJD6	1.1314	0.0062
LINCSCP_137866	NA	7020	TFAP2A	-1.1668	0.0062
LINCSCP_137866	NA	11232	POLG2	-0.9862	0.0064
LINCSCP_137866	NA	6810	STX4	-0.8729	0.0067
LINCSCP_137866	NA	2184	FAH	1.1697	0.0068
LINCSCP_137866	NA	1786	DNMT1	-1.1538	0.007
LINCSCP_137866	NA	5347	PLK1	0.9475	0.0072
LINCSCP_137866	NA	2673	GFPT1	0.8543	0.0073
LINCSCP_137866	NA	25932	CLIC4	-1.0025	0.0074
LINCSCP_137866	NA	54915	YTHDF1	0.9554	0.0074
