signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132226	NA	6696	SPP1	5.6546	8.2909e-8
LINCSCP_132226	NA	9128	PRPF4	-6.0766	0
LINCSCP_132226	NA	2353	FOS	-3.5299	0
LINCSCP_132226	NA	5985	RFC5	-3.2788	0
LINCSCP_132226	NA	64429	ZDHHC6	-3.881	1e-4
LINCSCP_132226	NA	9488	PIGB	5.6988	1e-4
LINCSCP_132226	NA	5993	RFX5	-3.7312	1e-4
LINCSCP_132226	NA	9183	ZW10	4.5264	2e-4
LINCSCP_132226	NA	5607	MAP2K5	4.6969	4e-4
LINCSCP_132226	NA	57149	LYRM1	-2.4049	7e-4
LINCSCP_132226	NA	7088	TLE1	-4.9557	8e-4
LINCSCP_132226	NA	54681	P4HTM	2.3234	9e-4
LINCSCP_132226	NA	64422	ATG3	-2.9888	0.0014
LINCSCP_132226	NA	10898	CPSF4	-2.2363	0.0015
LINCSCP_132226	NA	51070	NOSIP	-2.4541	0.0016
LINCSCP_132226	NA	11188	NISCH	-2.2254	0.0022
LINCSCP_132226	NA	5836	PYGL	2.4449	0.0022
LINCSCP_132226	NA	1956	EGFR	2.3969	0.0023
LINCSCP_132226	NA	4067	LYN	2.146	0.0024
LINCSCP_132226	NA	10954	PDIA5	-2.0751	0.0024
LINCSCP_132226	NA	5715	PSMD9	-2.0791	0.0025
LINCSCP_132226	NA	2817	GPC1	2.2956	0.0026
LINCSCP_132226	NA	10298	PAK4	-2.0946	0.0027
LINCSCP_132226	NA	7027	TFDP1	-2.2265	0.003
LINCSCP_132226	NA	8508	NIPSNAP1	-2.165	0.003
LINCSCP_132226	NA	2534	FYN	2.1707	0.003
LINCSCP_132226	NA	10057	ABCC5	2.0171	0.0031
LINCSCP_132226	NA	533	ATP6V0B	-1.9909	0.0034
LINCSCP_132226	NA	9961	MVP	2.1425	0.004
LINCSCP_132226	NA	10857	PGRMC1	-1.9381	0.0042
LINCSCP_132226	NA	55847	CISD1	2.0251	0.0042
LINCSCP_132226	NA	993	CDC25A	-1.9074	0.0047
LINCSCP_132226	NA	10146	G3BP1	-2.1471	0.0047
LINCSCP_132226	NA	10450	PPIE	-1.9004	0.0052
LINCSCP_132226	NA	1445	CSK	-1.94	0.0054
