signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_17448	NA	85236	HIST1H2BK	3.0909	0.0014
LINCSCP_17448	NA	387	RHOA	-2.5037	0.0026
LINCSCP_17448	NA	595	CCND1	-2.1982	0.0035
LINCSCP_17448	NA	4609	MYC	-4.0713	0.0035
LINCSCP_17448	NA	3988	LIPA	-1.9494	0.0045
LINCSCP_17448	NA	664	BNIP3	-2.4103	0.0047
LINCSCP_17448	NA	6500	SKP1	-1.9847	0.0049
LINCSCP_17448	NA	3486	IGFBP3	-4.8244	0.0053
LINCSCP_17448	NA	1514	CTSL	-2.2521	0.0058
LINCSCP_17448	NA	55793	FAM63A	4.3167	0.0059
LINCSCP_17448	NA	51024	FIS1	-2.158	0.0066
LINCSCP_17448	NA	26511	CHIC2	-2.4364	0.0088
LINCSCP_17448	NA	10797	MTHFD2	-3.4804	0.0101
LINCSCP_17448	NA	5603	MAPK13	-1.8	0.0103
LINCSCP_17448	NA	665	BNIP3L	-3.2658	0.0103
LINCSCP_17448	NA	10954	PDIA5	-1.6099	0.0104
LINCSCP_17448	NA	1062	CENPE	2.0688	0.0108
LINCSCP_17448	NA	2222	FDFT1	-3.4505	0.0113
LINCSCP_17448	NA	3303	HSPA1A	-1.4678	0.0133
LINCSCP_17448	NA	4088	SMAD3	-1.9511	0.014
LINCSCP_17448	NA	8837	CFLAR	4.7012	0.014
LINCSCP_17448	NA	11072	DUSP14	-2.0255	0.0143
LINCSCP_17448	NA	5891	MOK	-2.3051	0.0146
LINCSCP_17448	NA	50810	HDGFRP3	1.5778	0.0146
LINCSCP_17448	NA	55837	EAPP	-2.5987	0.0163
LINCSCP_17448	NA	7168	TPM1	-3.5849	0.0164
LINCSCP_17448	NA	9813	EFCAB14	2.0409	0.017
LINCSCP_17448	NA	23029	RBM34	2.4412	0.0173
LINCSCP_17448	NA	5971	RELB	2.3688	0.018
LINCSCP_17448	NA	291	SLC25A4	-1.9239	0.0184
LINCSCP_17448	NA	178	AGL	1.6153	0.0185
LINCSCP_17448	NA	51026	GOLT1B	-1.7813	0.0192
LINCSCP_17448	NA	5831	PYCR1	-1.9824	0.0199
LINCSCP_17448	NA	8624	PSMG1	-1.3095	0.0203
LINCSCP_17448	NA	11098	PRSS23	-2.9779	0.021
LINCSCP_17448	NA	11014	KDELR2	-1.3875	0.0214
LINCSCP_17448	NA	5525	PPP2R5A	-1.8628	0.0215
LINCSCP_17448	NA	6119	RPA3	-1.3891	0.0223
LINCSCP_17448	NA	10270	AKAP8	-1.3964	0.0241
LINCSCP_17448	NA	8974	P4HA2	-1.376	0.0242
LINCSCP_17448	NA	55033	FKBP14	-1.3358	0.0244
LINCSCP_17448	NA	9019	MPZL1	-1.7333	0.0245
LINCSCP_17448	NA	9712	USP6NL	1.2884	0.0249
LINCSCP_17448	NA	6284	S100A13	-1.9788	0.025
LINCSCP_17448	NA	9653	HS2ST1	2.6396	0.0263
LINCSCP_17448	NA	54386	TERF2IP	-1.4583	0.0264
LINCSCP_17448	NA	2288	FKBP4	1.5111	0.027
LINCSCP_17448	NA	54438	GFOD1	1.563	0.0271
LINCSCP_17448	NA	3551	IKBKB	1.6257	0.0281
LINCSCP_17448	NA	2042	EPHA3	-1.8234	0.0282
LINCSCP_17448	NA	7296	TXNRD1	-1.3733	0.0284
LINCSCP_17448	NA	813	CALU	-2.319	0.0284
LINCSCP_17448	NA	5236	PGM1	-1.5693	0.0284
LINCSCP_17448	NA	2274	FHL2	-2.9773	0.0288
LINCSCP_17448	NA	2058	EPRS	-1.614	0.0296
LINCSCP_17448	NA	64080	RBKS	1.4892	0.0296
LINCSCP_17448	NA	55111	PLEKHJ1	1.5253	0.0301
LINCSCP_17448	NA	25825	BACE2	-1.2228	0.0303
LINCSCP_17448	NA	4172	MCM3	1.1926	0.0318
LINCSCP_17448	NA	5300	PIN1	-1.1532	0.0318
LINCSCP_17448	NA	1070	CETN3	-1.1629	0.0322
LINCSCP_17448	NA	26227	PHGDH	-1.9964	0.0326
LINCSCP_17448	NA	57178	ZMIZ1	1.1878	0.0343
LINCSCP_17448	NA	10318	TNIP1	1.5964	0.0343
LINCSCP_17448	NA	79643	CHMP6	-1.2081	0.0348
LINCSCP_17448	NA	50814	NSDHL	-1.1373	0.0349
LINCSCP_17448	NA	6709	SPTAN1	1.7793	0.0351
LINCSCP_17448	NA	8731	RNMT	-1.7209	0.0353
LINCSCP_17448	NA	47	ACLY	-6.8232	0.0363
LINCSCP_17448	NA	3611	ILK	-1.5652	0.0374
LINCSCP_17448	NA	23585	TMEM50A	-1.3776	0.0384
LINCSCP_17448	NA	1111	CHEK1	1.2826	0.0385
LINCSCP_17448	NA	4792	NFKBIA	2.1854	0.0389
LINCSCP_17448	NA	5899	RALB	-1.0969	0.0391
LINCSCP_17448	NA	6810	STX4	2.2636	0.0392
LINCSCP_17448	NA	7319	UBE2A	-1.1028	0.0397
LINCSCP_17448	NA	1978	EIF4EBP1	-1.1193	0.0398
LINCSCP_17448	NA	80349	WDR61	-1.8806	0.04
LINCSCP_17448	NA	5211	PFKL	-1.146	0.0408
LINCSCP_17448	NA	10606	PAICS	-1.1555	0.0414
LINCSCP_17448	NA	10670	RRAGA	-1.0897	0.0415
LINCSCP_17448	NA	960	CD44	-1.5745	0.0416
LINCSCP_17448	NA	1891	ECH1	1.8969	0.0419
LINCSCP_17448	NA	10206	TRIM13	1.0896	0.0421
LINCSCP_17448	NA	9868	TOMM70A	-2.0742	0.0423
LINCSCP_17448	NA	3800	KIF5C	1.1234	0.0425
LINCSCP_17448	NA	7849	PAX8	4.0122	0.0429
LINCSCP_17448	NA	5921	RASA1	-1.1076	0.0441
LINCSCP_17448	NA	29763	PACSIN3	2.0179	0.0446
LINCSCP_17448	NA	23161	SNX13	1.4336	0.045
LINCSCP_17448	NA	54850	FBXL12	1.1142	0.0451
LINCSCP_17448	NA	9053	MAP7	4.7183	0.0455
LINCSCP_17448	NA	8480	RAE1	-1.2319	0.0459
LINCSCP_17448	NA	1846	DUSP4	-1.04	0.0461
LINCSCP_17448	NA	2063	NR2F6	1.068	0.0461
LINCSCP_17448	NA	1123	CHN1	1.035	0.0475
LINCSCP_17448	NA	8508	NIPSNAP1	-1.1097	0.0477
LINCSCP_17448	NA	1429	CRYZ	-1.1125	0.0477
LINCSCP_17448	NA	23210	JMJD6	-4.237	0.0485
LINCSCP_17448	NA	10398	MYL9	-1.4938	0.0485
LINCSCP_17448	NA	23014	FBXO21	1.1815	0.0486
LINCSCP_17448	NA	25932	CLIC4	-2.101	0.0487
LINCSCP_17448	NA	5058	PAK1	1.1162	0.049
LINCSCP_17448	NA	6347	CCL2	2.456	0.0491
LINCSCP_17448	NA	22809	ATF5	1.2998	0.0493
LINCSCP_17448	NA	4791	NFKB2	1.3449	0.0502
LINCSCP_17448	NA	8835	SOCS2	1.097	0.0516
LINCSCP_17448	NA	23	ABCF1	1.0115	0.0525
LINCSCP_17448	NA	23659	PLA2G15	-1.1046	0.0551
LINCSCP_17448	NA	5359	PLSCR1	-0.9911	0.0553
LINCSCP_17448	NA	5696	PSMB8	1.231	0.0554
LINCSCP_17448	NA	958	CD40	1.2343	0.056
LINCSCP_17448	NA	3308	HSPA4	1.0122	0.0561
LINCSCP_17448	NA	8444	DYRK3	2.8896	0.0563
LINCSCP_17448	NA	4144	MAT2A	1.3678	0.0573
LINCSCP_17448	NA	1983	EIF5	-1.2615	0.0575
LINCSCP_17448	NA	9988	DMTF1	-1.339	0.0577
LINCSCP_17448	NA	79080	CCDC86	1.2685	0.0581
LINCSCP_17448	NA	7158	TP53BP1	1.2513	0.0588
LINCSCP_17448	NA	50813	COPS7A	-1.0378	0.0589
LINCSCP_17448	NA	5777	PTPN6	1.0057	0.0591
LINCSCP_17448	NA	2745	GLRX	-1.276	0.0594
LINCSCP_17448	NA	63933	MCUR1	-1.3154	0.0597
LINCSCP_17448	NA	11230	PRAF2	-1.1811	0.0599
LINCSCP_17448	NA	10973	ASCC3	-2.2993	0.0605
LINCSCP_17448	NA	8826	IQGAP1	1.0095	0.0605
LINCSCP_17448	NA	1870	E2F2	4.5184	0.0608
LINCSCP_17448	NA	26128	KIF1BP	-1.0504	0.0615
LINCSCP_17448	NA	3416	IDE	1.2002	0.0619
LINCSCP_17448	NA	80212	CCDC92	-1.2017	0.0621
LINCSCP_17448	NA	9943	OXSR1	-0.9961	0.0626
LINCSCP_17448	NA	11007	CCDC85B	1.0327	0.0629
LINCSCP_17448	NA	7398	USP1	1.0784	0.0635
LINCSCP_17448	NA	29083	GTPBP8	-1.1151	0.0639
LINCSCP_17448	NA	81544	GDPD5	1.0111	0.064
LINCSCP_17448	NA	55893	ZNF395	1.1019	0.064
LINCSCP_17448	NA	3482	IGF2R	1.0372	0.0642
LINCSCP_17448	NA	53343	NUDT9	1.188	0.065
LINCSCP_17448	NA	5627	PROS1	0.9218	0.0654
LINCSCP_17448	NA	2263	FGFR2	1.1036	0.0656
LINCSCP_17448	NA	9531	BAG3	-0.9189	0.0662
LINCSCP_17448	NA	6443	SGCB	1.7399	0.0671
LINCSCP_17448	NA	23670	TMEM2	1.2781	0.0672
LINCSCP_17448	NA	329	BIRC2	-1.161	0.0676
LINCSCP_17448	NA	64781	CERK	1.2144	0.0677
LINCSCP_17448	NA	256364	EML3	-4.3959	0.0684
LINCSCP_17448	NA	55620	STAP2	1.7203	0.0689
LINCSCP_17448	NA	3682	ITGAE	-1.1149	0.0691
LINCSCP_17448	NA	7105	TSPAN6	-0.9974	0.0692
LINCSCP_17448	NA	581	BAX	0.915	0.0702
LINCSCP_17448	NA	9918	NCAPD2	1.0176	0.0703
LINCSCP_17448	NA	4998	ORC1	0.9378	0.0704
LINCSCP_17448	NA	2048	EPHB2	-1.4424	0.0715
LINCSCP_17448	NA	983	CDK1	-1.3728	0.0716
LINCSCP_17448	NA	79090	TRAPPC6A	3.5384	0.0725
LINCSCP_17448	NA	9709	HERPUD1	-1.5178	0.0727
LINCSCP_17448	NA	22883	CLSTN1	-1.0793	0.073
LINCSCP_17448	NA	7416	VDAC1	1.1694	0.0743
LINCSCP_17448	NA	23077	MYCBP2	1.0505	0.075
LINCSCP_17448	NA	6856	SYPL1	-0.8865	0.0751
LINCSCP_17448	NA	10007	GNPDA1	1.6227	0.0771
LINCSCP_17448	NA	1676	DFFA	1.1784	0.0772
LINCSCP_17448	NA	6342	SCP2	-0.9149	0.0788
LINCSCP_17448	NA	501	ALDH7A1	0.9561	0.0792
LINCSCP_17448	NA	351	APP	2.252	0.0796
LINCSCP_17448	NA	11319	ECD	-0.8491	0.0803
LINCSCP_17448	NA	4331	MNAT1	1.013	0.0803
LINCSCP_17448	NA	388650	FAM69A	1.4738	0.0815
LINCSCP_17448	NA	3383	ICAM1	0.8933	0.0822
LINCSCP_17448	NA	58478	ENOPH1	2.5848	0.0831
LINCSCP_17448	NA	5898	RALA	-1.0314	0.0831
LINCSCP_17448	NA	3312	HSPA8	-3.3963	0.0841
LINCSCP_17448	NA	4303	FOXO4	-1.0879	0.085
LINCSCP_17448	NA	9126	SMC3	-1.0159	0.0855
LINCSCP_17448	NA	51071	DERA	0.9412	0.0861
LINCSCP_17448	NA	10617	STAMBP	-1.3896	0.0864
LINCSCP_17448	NA	10123	ARL4C	2.5346	0.0869
LINCSCP_17448	NA	4216	MAP3K4	-0.9841	0.0886
LINCSCP_17448	NA	1786	DNMT1	1.0972	0.0888
LINCSCP_17448	NA	116832	RPL39L	-0.8297	0.0892
LINCSCP_17448	NA	27336	HTATSF1	1.3677	0.0902
LINCSCP_17448	NA	4850	CNOT4	0.9075	0.0905
LINCSCP_17448	NA	79947	DHDDS	0.9583	0.0908
LINCSCP_17448	NA	3566	IL4R	1.1498	0.0927
LINCSCP_17448	NA	7994	KAT6A	0.8868	0.0932
LINCSCP_17448	NA	39	ACAT2	-1.132	0.0936
LINCSCP_17448	NA	51160	VPS28	1.1959	0.0938
LINCSCP_17448	NA	10775	POP4	-1.0053	0.094
LINCSCP_17448	NA	10298	PAK4	-0.8849	0.0941
LINCSCP_17448	NA	8607	RUVBL1	-0.7996	0.0942
LINCSCP_17448	NA	1465	CSRP1	-2.674	0.095
LINCSCP_17448	NA	8804	CREG1	-0.8546	0.0953
LINCSCP_17448	NA	57149	LYRM1	-0.9387	0.0957
LINCSCP_17448	NA	51635	DHRS7	0.9505	0.0964
LINCSCP_17448	NA	10190	TXNDC9	-2.5968	0.0965
LINCSCP_17448	NA	5321	PLA2G4A	0.8732	0.0966
LINCSCP_17448	NA	7866	IFRD2	-1.0056	0.0968
LINCSCP_17448	NA	9170	LPAR2	0.9708	0.0978
LINCSCP_17448	NA	51385	ZNF589	0.8295	0.0997
LINCSCP_17448	NA	3638	INSIG1	-1.3831	0.0999
LINCSCP_17448	NA	102	ADAM10	-0.8357	0.1001
LINCSCP_17448	NA	54957	TXNL4B	-0.9225	0.1008
LINCSCP_17448	NA	6908	TBP	-0.9728	0.1011
LINCSCP_17448	NA	8440	NCK2	0.8018	0.1012
LINCSCP_17448	NA	55825	PECR	1.2926	0.1017
LINCSCP_17448	NA	1981	EIF4G1	0.8851	0.104
LINCSCP_17448	NA	847	CAT	1.3885	0.1047
LINCSCP_17448	NA	54499	TMCO1	-0.956	0.1049
LINCSCP_17448	NA	81533	ITFG1	0.9179	0.1057
LINCSCP_17448	NA	10450	PPIE	-0.8734	0.1057
LINCSCP_17448	NA	622	BDH1	-0.9434	0.1062
LINCSCP_17448	NA	323	APBB2	0.9722	0.1076
LINCSCP_17448	NA	8727	CTNNAL1	0.7754	0.1082
LINCSCP_17448	NA	332	BIRC5	-1.0574	0.1085
LINCSCP_17448	NA	23338	JADE2	-0.9518	0.1085
LINCSCP_17448	NA	55958	KLHL9	-3.2024	0.109
LINCSCP_17448	NA	4783	NFIL3	-1.053	0.1091
LINCSCP_17448	NA	2264	FGFR4	2.4505	0.1092
LINCSCP_17448	NA	154	ADRB2	0.7626	0.1098
LINCSCP_17448	NA	25976	TIPARP	0.7592	0.1101
LINCSCP_17448	NA	7048	TGFBR2	0.8831	0.1109
LINCSCP_17448	NA	11261	CHP1	0.7591	0.1123
LINCSCP_17448	NA	9093	DNAJA3	0.831	0.1124
LINCSCP_17448	NA	54442	KCTD5	-0.7479	0.1128
LINCSCP_17448	NA	808	CALM3	0.8034	0.1131
LINCSCP_17448	NA	11011	TLK2	-1.0629	0.1133
LINCSCP_17448	NA	3693	ITGB5	-0.8674	0.1147
LINCSCP_17448	NA	4891	SLC11A2	-0.8635	0.1149
LINCSCP_17448	NA	10434	LYPLA1	-0.7962	0.1154
LINCSCP_17448	NA	9467	SH3BP5	1.0545	0.1155
LINCSCP_17448	NA	7082	TJP1	0.7509	0.1157
LINCSCP_17448	NA	2109	ETFB	-0.7365	0.1159
LINCSCP_17448	NA	3480	IGF1R	-1.022	0.116
LINCSCP_17448	NA	8050	PDHX	-1.244	0.116
LINCSCP_17448	NA	652	BMP4	0.8197	0.1172
LINCSCP_17448	NA	1906	EDN1	-1.2618	0.1176
LINCSCP_17448	NA	3251	HPRT1	0.9376	0.1186
LINCSCP_17448	NA	9276	COPB2	-1.0695	0.1191
LINCSCP_17448	NA	94239	H2AFV	0.7741	0.1191
LINCSCP_17448	NA	6251	RSU1	-0.9649	0.1196
LINCSCP_17448	NA	6909	TBX2	2.0762	0.1211
LINCSCP_17448	NA	1399	CRKL	0.7671	0.1212
LINCSCP_17448	NA	8914	TIMELESS	1.4688	0.1225
LINCSCP_17448	NA	226	ALDOA	-0.9997	0.1228
LINCSCP_17448	NA	7690	ZNF131	0.9095	0.123
LINCSCP_17448	NA	8900	CCNA1	0.8942	0.1231
LINCSCP_17448	NA	23536	ADAT1	3.4778	0.1246
LINCSCP_17448	NA	11157	LSM6	-0.8589	0.1252
LINCSCP_17448	NA	4860	PNP	-0.7438	0.1263
LINCSCP_17448	NA	5547	PRCP	-0.7567	0.1268
LINCSCP_17448	NA	4616	GADD45B	-0.7363	0.1274
LINCSCP_17448	NA	8202	NCOA3	1.3689	0.1278
LINCSCP_17448	NA	2597	GAPDH	-0.7834	0.128
LINCSCP_17448	NA	9517	SPTLC2	-1.0288	0.1282
LINCSCP_17448	NA	5290	PIK3CA	0.8714	0.1291
LINCSCP_17448	NA	25805	BAMBI	1.8332	0.1302
LINCSCP_17448	NA	1845	DUSP3	0.8574	0.1316
LINCSCP_17448	NA	310	ANXA7	-0.8084	0.1317
LINCSCP_17448	NA	7466	WFS1	0.8534	0.1322
LINCSCP_17448	NA	79961	DENND2D	1.0307	0.1327
LINCSCP_17448	NA	79850	FAM57A	0.7755	0.1329
LINCSCP_17448	NA	64943	NT5DC2	-0.703	0.1331
LINCSCP_17448	NA	9702	CEP57	3.4533	0.1333
LINCSCP_17448	NA	230	ALDOC	-0.9437	0.1341
LINCSCP_17448	NA	79921	TCEAL4	-0.9907	0.1343
LINCSCP_17448	NA	348	APOE	0.9492	0.1344
LINCSCP_17448	NA	2624	GATA2	1.1186	0.1344
LINCSCP_17448	NA	6657	SOX2	1.2193	0.136
LINCSCP_17448	NA	1282	COL4A1	-0.7962	0.1367
LINCSCP_17448	NA	22794	CASC3	-0.7861	0.1373
LINCSCP_17448	NA	91949	COG7	0.8031	0.1377
LINCSCP_17448	NA	9650	MTFR1	-0.744	0.1385
LINCSCP_17448	NA	23200	ATP11B	0.8271	0.1407
LINCSCP_17448	NA	84159	ARID5B	0.7197	0.1415
