signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132746	NA	8720	MBTPS1	-1.7438	3e-4
LINCSCP_132746	NA	5831	PYCR1	1.6899	5e-4
LINCSCP_132746	NA	9761	MLEC	1.5754	5e-4
LINCSCP_132746	NA	891	CCNB1	-1.7271	5e-4
LINCSCP_132746	NA	2263	FGFR2	-1.6527	5e-4
LINCSCP_132746	NA	8349	HIST2H2BE	-1.694	6e-4
LINCSCP_132746	NA	11284	PNKP	2.0024	6e-4
LINCSCP_132746	NA	10131	TRAP1	1.7418	8e-4
LINCSCP_132746	NA	7264	TSTA3	2.2131	0.001
LINCSCP_132746	NA	23588	KLHDC2	-1.4607	0.001
LINCSCP_132746	NA	55818	KDM3A	-1.3267	0.0011
LINCSCP_132746	NA	1019	CDK4	1.4316	0.0011
LINCSCP_132746	NA	79143	MBOAT7	1.1313	0.0012
LINCSCP_132746	NA	4860	PNP	1.3002	0.0012
LINCSCP_132746	NA	4303	FOXO4	-1.2906	0.0014
LINCSCP_132746	NA	2274	FHL2	1.4625	0.0015
LINCSCP_132746	NA	27346	TMEM97	1.7702	0.0016
LINCSCP_132746	NA	26227	PHGDH	1.4739	0.0017
LINCSCP_132746	NA	56654	NPDC1	1.194	0.0019
LINCSCP_132746	NA	2058	EPRS	1.0854	0.002
LINCSCP_132746	NA	8607	RUVBL1	1.635	0.002
LINCSCP_132746	NA	11098	PRSS23	1.21	0.0022
LINCSCP_132746	NA	10099	TSPAN3	1.4018	0.0022
LINCSCP_132746	NA	8573	CASK	1.3296	0.0023
LINCSCP_132746	NA	64429	ZDHHC6	1.1936	0.0023
LINCSCP_132746	NA	7866	IFRD2	1.1528	0.0024
LINCSCP_132746	NA	11200	CHEK2	1.3368	0.0025
LINCSCP_132746	NA	5106	PCK2	2.2959	0.0027
LINCSCP_132746	NA	9918	NCAPD2	-1.2171	0.0028
LINCSCP_132746	NA	51466	EVL	1.064	0.0028
LINCSCP_132746	NA	22809	ATF5	-1.5449	0.0028
LINCSCP_132746	NA	3329	HSPD1	1.0967	0.0029
LINCSCP_132746	NA	79073	TMEM109	1.045	0.003
LINCSCP_132746	NA	16	AARS	1.1696	0.003
LINCSCP_132746	NA	1831	TSC22D3	-1.3337	0.003
LINCSCP_132746	NA	51021	MRPS16	1.2502	0.0032
LINCSCP_132746	NA	5982	RFC2	1.0361	0.0034
LINCSCP_132746	NA	1759	DNM1	1.0365	0.0035
LINCSCP_132746	NA	58472	SQRDL	-0.9791	0.0036
LINCSCP_132746	NA	23378	RRP8	1.2198	0.0036
LINCSCP_132746	NA	27336	HTATSF1	-1.2423	0.0036
LINCSCP_132746	NA	6697	SPR	1.0741	0.0036
LINCSCP_132746	NA	5438	POLR2I	0.9867	0.0036
LINCSCP_132746	NA	10606	PAICS	1.0748	0.0037
LINCSCP_132746	NA	9221	NOLC1	1.1728	0.0037
LINCSCP_132746	NA	256364	EML3	1.0081	0.0038
LINCSCP_132746	NA	5423	POLB	-1.2687	0.0039
LINCSCP_132746	NA	26520	TIMM9	0.922	0.0039
LINCSCP_132746	NA	665	BNIP3L	-1.1185	0.004
LINCSCP_132746	NA	79071	ELOVL6	1.1298	0.004
LINCSCP_132746	NA	9552	SPAG7	-1.3095	0.004
LINCSCP_132746	NA	2115	ETV1	-1.1146	0.0041
LINCSCP_132746	NA	10954	PDIA5	1.542	0.0041
LINCSCP_132746	NA	80347	COASY	0.8947	0.0042
