signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_87844	NA	8550	MAPKAPK5	-2.1999	2e-4
LINCSCP_87844	NA	1906	EDN1	1.8565	7e-4
LINCSCP_87844	NA	9267	CYTH1	1.5682	9e-4
LINCSCP_87844	NA	1001	CDH3	-1.7222	0.001
LINCSCP_87844	NA	26511	CHIC2	1.533	0.0011
LINCSCP_87844	NA	9697	TRAM2	1.6594	0.0016
LINCSCP_87844	NA	2817	GPC1	-1.4595	0.0016
LINCSCP_87844	NA	84159	ARID5B	1.5656	0.0018
LINCSCP_87844	NA	54541	DDIT4	-1.3629	0.0018
LINCSCP_87844	NA	9289	ADGRG1	-1.3279	0.002
LINCSCP_87844	NA	595	CCND1	1.5026	0.002
LINCSCP_87844	NA	10051	SMC4	1.2655	0.002
LINCSCP_87844	NA	89910	UBE3B	1.8636	0.002
LINCSCP_87844	NA	2146	EZH2	-1.5568	0.0021
LINCSCP_87844	NA	6253	RTN2	-1.3699	0.0022
LINCSCP_87844	NA	5782	PTPN12	1.2713	0.0023
LINCSCP_87844	NA	79947	DHDDS	-1.2052	0.0025
LINCSCP_87844	NA	949	SCARB1	-1.1585	0.0028
LINCSCP_87844	NA	4609	MYC	1.4552	0.0028
LINCSCP_87844	NA	9246	UBE2L6	-1.3049	0.0029
LINCSCP_87844	NA	3611	ILK	1.5554	0.003
LINCSCP_87844	NA	23	ABCF1	-1.1219	0.0031
LINCSCP_87844	NA	22934	RPIA	1.1144	0.0032
LINCSCP_87844	NA	7016	TESK1	-1.1025	0.0033
LINCSCP_87844	NA	9797	TATDN2	1.3023	0.0033
LINCSCP_87844	NA	9375	TM9SF2	1.1608	0.0035
LINCSCP_87844	NA	5721	PSME2	-1.1628	0.0036
LINCSCP_87844	NA	23365	ARHGEF12	1.1034	0.0038
LINCSCP_87844	NA	6050	RNH1	-1.0441	0.0039
LINCSCP_87844	NA	2946	GSTM2	1.1391	0.0041
LINCSCP_87844	NA	7106	TSPAN4	1.0319	0.0044
LINCSCP_87844	NA	652	BMP4	-1.168	0.0045
LINCSCP_87844	NA	7165	TPD52L2	1.3075	0.0047
LINCSCP_87844	NA	10489	LRRC41	-1.2913	0.005
LINCSCP_87844	NA	57761	TRIB3	-1.123	0.0052
LINCSCP_87844	NA	4616	GADD45B	1.0283	0.0052
LINCSCP_87844	NA	79643	CHMP6	0.9695	0.0053
LINCSCP_87844	NA	3454	IFNAR1	-1.0057	0.0054
LINCSCP_87844	NA	79170	PRR15L	-1.0482	0.0055
LINCSCP_87844	NA	5321	PLA2G4A	-1.0476	0.0055
LINCSCP_87844	NA	11000	SLC27A3	-1.1025	0.0056
LINCSCP_87844	NA	65123	INTS3	1.7161	0.0057
LINCSCP_87844	NA	64746	ACBD3	1.2189	0.0057
LINCSCP_87844	NA	8204	NRIP1	1.0961	0.0059
LINCSCP_87844	NA	10318	TNIP1	0.9966	0.0059
LINCSCP_87844	NA	8624	PSMG1	0.9424	0.0059
LINCSCP_87844	NA	23636	NUP62	0.9624	0.0065
LINCSCP_87844	NA	6182	MRPL12	1.1215	0.0065
LINCSCP_87844	NA	7398	USP1	1.0701	0.0066
LINCSCP_87844	NA	10298	PAK4	-0.9457	0.0067
LINCSCP_87844	NA	958	CD40	-0.9723	0.0068
LINCSCP_87844	NA	8396	PIP4K2B	0.9521	0.007
LINCSCP_87844	NA	54915	YTHDF1	1.6836	0.0071
LINCSCP_87844	NA	26128	KIF1BP	1.1055	0.0072
LINCSCP_87844	NA	23536	ADAT1	-0.9398	0.0072
LINCSCP_87844	NA	9842	PLEKHM1	-1.0541	0.0073
LINCSCP_87844	NA	7874	USP7	0.964	0.0074
LINCSCP_87844	NA	843	CASP10	-1.0527	0.0075
LINCSCP_87844	NA	4998	ORC1	-1.1642	0.0076
LINCSCP_87844	NA	10276	NET1	0.9571	0.0077
LINCSCP_87844	NA	9761	MLEC	0.8862	0.0077
LINCSCP_87844	NA	9093	DNAJA3	-1.2256	0.0078
LINCSCP_87844	NA	3202	HOXA5	0.9142	0.0078
LINCSCP_87844	NA	5440	POLR2K	0.9693	0.0079
LINCSCP_87844	NA	84890	ADO	0.9553	0.0079
LINCSCP_87844	NA	7905	REEP5	0.951	0.008
LINCSCP_87844	NA	90861	HN1L	0.8932	0.0081
LINCSCP_87844	NA	27242	TNFRSF21	-0.9571	0.0081
LINCSCP_87844	NA	8349	HIST2H2BE	-1.0326	0.0083
LINCSCP_87844	NA	665	BNIP3L	0.8613	0.0084
LINCSCP_87844	NA	10434	LYPLA1	1.4203	0.0086
LINCSCP_87844	NA	25803	SPDEF	-0.966	0.0088
LINCSCP_87844	NA	6774	STAT3	1.6497	0.0088
LINCSCP_87844	NA	23325	KIAA1033	0.9432	0.0089
LINCSCP_87844	NA	4303	FOXO4	1.0318	0.009
LINCSCP_87844	NA	23670	TMEM2	0.8376	0.0091
LINCSCP_87844	NA	10954	PDIA5	0.935	0.0092
LINCSCP_87844	NA	9126	SMC3	1.1164	0.0092
LINCSCP_87844	NA	11168	PSIP1	0.9442	0.0095
LINCSCP_87844	NA	9943	OXSR1	0.8545	0.0097
LINCSCP_87844	NA	7088	TLE1	1.1647	0.0099
LINCSCP_87844	NA	50810	HDGFRP3	0.9117	0.01
LINCSCP_87844	NA	2274	FHL2	1.044	0.01
LINCSCP_87844	NA	6839	SUV39H1	0.9893	0.0102
LINCSCP_87844	NA	11098	PRSS23	0.8651	0.0105
LINCSCP_87844	NA	211	ALAS1	-1.2157	0.0106
LINCSCP_87844	NA	387	RHOA	1.0121	0.0107
LINCSCP_87844	NA	10915	TCERG1	0.9007	0.0108
LINCSCP_87844	NA	3308	HSPA4	-0.8651	0.0109
LINCSCP_87844	NA	3385	ICAM3	1.0579	0.0109
LINCSCP_87844	NA	375346	TMEM110	-1.1452	0.0109
LINCSCP_87844	NA	9517	SPTLC2	1.0015	0.0109
LINCSCP_87844	NA	11031	RAB31	-0.9738	0.011
LINCSCP_87844	NA	80347	COASY	1.1211	0.0112
LINCSCP_87844	NA	5092	PCBD1	-0.8837	0.0112
LINCSCP_87844	NA	4016	LOXL1	0.9337	0.0113
LINCSCP_87844	NA	8900	CCNA1	-0.8047	0.0114
LINCSCP_87844	NA	23321	TRIM2	-1.124	0.0114
LINCSCP_87844	NA	64428	NARFL	-0.865	0.0114
LINCSCP_87844	NA	7157	TP53	0.8262	0.0115
LINCSCP_87844	NA	58533	SNX6	0.8305	0.0119
LINCSCP_87844	NA	11014	KDELR2	0.839	0.0121
LINCSCP_87844	NA	6908	TBP	0.813	0.0122
LINCSCP_87844	NA	10237	SLC35B1	0.7708	0.0123
LINCSCP_87844	NA	54499	TMCO1	0.8212	0.0124
LINCSCP_87844	NA	8321	FZD1	-0.9067	0.0124
LINCSCP_87844	NA	226	ALDOA	0.8007	0.013
LINCSCP_87844	NA	6657	SOX2	-1.0167	0.0131
LINCSCP_87844	NA	9903	KLHL21	0.7783	0.0133
LINCSCP_87844	NA	466	ATF1	0.9741	0.0134
LINCSCP_87844	NA	2115	ETV1	-0.7928	0.0137
LINCSCP_87844	NA	823	CAPN1	1.2723	0.0139
LINCSCP_87844	NA	23597	ACOT9	0.7737	0.0141
LINCSCP_87844	NA	148022	TICAM1	0.9111	0.0142
LINCSCP_87844	NA	6709	SPTAN1	0.7939	0.0143
LINCSCP_87844	NA	3312	HSPA8	1.0249	0.0145
LINCSCP_87844	NA	5359	PLSCR1	1.0467	0.0145
LINCSCP_87844	NA	10451	VAV3	-0.9019	0.0149
LINCSCP_87844	NA	10150	MBNL2	1.0649	0.015
LINCSCP_87844	NA	5373	PMM2	-1.1074	0.0151
LINCSCP_87844	NA	91137	SLC25A46	0.9727	0.0151
LINCSCP_87844	NA	10606	PAICS	0.8488	0.0152
LINCSCP_87844	NA	5261	PHKG2	-0.9174	0.0152
LINCSCP_87844	NA	5054	SERPINE1	1.0586	0.0153
LINCSCP_87844	NA	10174	SORBS3	0.8498	0.0154
LINCSCP_87844	NA	26036	ZNF451	-0.957	0.0156
LINCSCP_87844	NA	23013	SPEN	0.7323	0.016
LINCSCP_87844	NA	7852	CXCR4	-1.0886	0.0161
LINCSCP_87844	NA	8727	CTNNAL1	1.1485	0.0163
LINCSCP_87844	NA	9019	MPZL1	0.77	0.0166
LINCSCP_87844	NA	8837	CFLAR	0.7524	0.0167
LINCSCP_87844	NA	2288	FKBP4	-1.469	0.0167
LINCSCP_87844	NA	9915	ARNT2	-1.0289	0.0172
LINCSCP_87844	NA	7866	IFRD2	0.7456	0.0173
LINCSCP_87844	NA	29763	PACSIN3	-0.7232	0.0177
LINCSCP_87844	NA	51170	HSD17B11	0.7113	0.018
LINCSCP_87844	NA	23271	CAMSAP2	-0.7545	0.0182
LINCSCP_87844	NA	8996	NOL3	-1.113	0.0182
LINCSCP_87844	NA	11065	UBE2C	0.7895	0.0184
LINCSCP_87844	NA	23410	SIRT3	0.6921	0.0185
LINCSCP_87844	NA	3638	INSIG1	-0.7738	0.0187
LINCSCP_87844	NA	1891	ECH1	-0.7318	0.0188
LINCSCP_87844	NA	93594	TBC1D31	-0.6932	0.0189
LINCSCP_87844	NA	23300	ATMIN	0.7118	0.0192
LINCSCP_87844	NA	5891	MOK	0.8448	0.0192
LINCSCP_87844	NA	5985	RFC5	-0.7498	0.0194
LINCSCP_87844	NA	11004	KIF2C	0.7639	0.0196
LINCSCP_87844	NA	4794	NFKBIE	-0.6842	0.0197
LINCSCP_87844	NA	23588	KLHDC2	-0.7	0.02
LINCSCP_87844	NA	8731	RNMT	1.0797	0.0202
LINCSCP_87844	NA	10969	EBNA1BP2	0.6681	0.0204
LINCSCP_87844	NA	1459	CSNK2A2	-0.7882	0.0205
LINCSCP_87844	NA	5699	PSMB10	-0.7771	0.0205
LINCSCP_87844	NA	27346	TMEM97	0.7445	0.0208
LINCSCP_87844	NA	9488	PIGB	-0.8303	0.021
LINCSCP_87844	NA	23499	MACF1	0.7399	0.0211
LINCSCP_87844	NA	58472	SQRDL	-0.8321	0.0213
LINCSCP_87844	NA	3895	KTN1	0.6944	0.0214
LINCSCP_87844	NA	5211	PFKL	0.6996	0.0217
LINCSCP_87844	NA	4154	MBNL1	0.8463	0.0223
LINCSCP_87844	NA	5290	PIK3CA	-0.7454	0.0224
LINCSCP_87844	NA	23244	PDS5A	0.792	0.0224
LINCSCP_87844	NA	3098	HK1	0.9095	0.0227
LINCSCP_87844	NA	6251	RSU1	0.6635	0.0228
LINCSCP_87844	NA	348	APOE	-1.4617	0.0231
LINCSCP_87844	NA	230	ALDOC	-0.9782	0.0232
LINCSCP_87844	NA	79716	NPEPL1	-0.6796	0.0232
LINCSCP_87844	NA	4208	MEF2C	-0.799	0.0232
LINCSCP_87844	NA	6599	SMARCC1	0.8066	0.0232
LINCSCP_87844	NA	890	CCNA2	0.7039	0.0233
LINCSCP_87844	NA	6812	STXBP1	0.719	0.0234
LINCSCP_87844	NA	207	AKT1	-0.6848	0.0236
LINCSCP_87844	NA	8870	IER3	0.7449	0.0238
LINCSCP_87844	NA	1802	DPH2	0.7792	0.0239
LINCSCP_87844	NA	6850	SYK	-0.933	0.0243
LINCSCP_87844	NA	701	BUB1B	-1.2615	0.0248
LINCSCP_87844	NA	200081	TXLNA	0.8307	0.025
LINCSCP_87844	NA	2958	GTF2A2	-0.8089	0.025
LINCSCP_87844	NA	2548	GAA	1.0521	0.0251
LINCSCP_87844	NA	57147	SCYL3	-0.7351	0.0251
LINCSCP_87844	NA	30001	ERO1L	0.8184	0.0258
LINCSCP_87844	NA	5588	PRKCQ	-0.6476	0.026
LINCSCP_87844	NA	4893	NRAS	0.6691	0.0261
LINCSCP_87844	NA	23335	WDR7	-1.0683	0.0264
LINCSCP_87844	NA	7376	NR1H2	-0.8909	0.0266
LINCSCP_87844	NA	2542	SLC37A4	0.7518	0.0266
LINCSCP_87844	NA	9851	KIAA0753	-0.7959	0.0267
LINCSCP_87844	NA	10146	G3BP1	0.7811	0.0267
LINCSCP_87844	NA	5096	PCCB	-0.7757	0.0272
LINCSCP_87844	NA	6499	SKIV2L	0.6223	0.0273
LINCSCP_87844	NA	10898	CPSF4	-0.6928	0.0274
LINCSCP_87844	NA	3482	IGF2R	-1.5533	0.0274
LINCSCP_87844	NA	55038	CDCA4	1.323	0.0279
LINCSCP_87844	NA	8446	DUSP11	-0.7332	0.0283
LINCSCP_87844	NA	54386	TERF2IP	-0.7412	0.0285
LINCSCP_87844	NA	79090	TRAPPC6A	-0.7969	0.0287
LINCSCP_87844	NA	1213	CLTC	0.6743	0.0288
LINCSCP_87844	NA	5106	PCK2	-0.6854	0.0289
LINCSCP_87844	NA	10491	CRTAP	-0.884	0.0299
LINCSCP_87844	NA	6119	RPA3	0.7223	0.0302
LINCSCP_87844	NA	9801	MRPL19	-0.6392	0.0304
LINCSCP_87844	NA	8444	DYRK3	-0.6651	0.0306
LINCSCP_87844	NA	10206	TRIM13	-0.6728	0.0306
LINCSCP_87844	NA	26054	SENP6	0.9268	0.0307
LINCSCP_87844	NA	8520	HAT1	0.6819	0.031
LINCSCP_87844	NA	25874	MPC2	-0.9919	0.0314
LINCSCP_87844	NA	11157	LSM6	0.6172	0.0314
LINCSCP_87844	NA	1027	CDKN1B	0.5893	0.0317
LINCSCP_87844	NA	10765	KDM5B	0.6739	0.0319
LINCSCP_87844	NA	813	CALU	0.6247	0.0325
LINCSCP_87844	NA	55148	UBR7	0.7753	0.0327
LINCSCP_87844	NA	1070	CETN3	0.9729	0.0329
LINCSCP_87844	NA	5468	PPARG	-1.5061	0.0333
LINCSCP_87844	NA	3251	HPRT1	0.7119	0.0336
LINCSCP_87844	NA	29916	SNX11	0.578	0.0337
LINCSCP_87844	NA	51422	PRKAG2	0.6429	0.0337
LINCSCP_87844	NA	9695	EDEM1	-0.6983	0.0338
LINCSCP_87844	NA	2185	PTK2B	-0.6021	0.0341
LINCSCP_87844	NA	2690	GHR	-1.1948	0.0341
LINCSCP_87844	NA	6810	STX4	-0.8688	0.035
LINCSCP_87844	NA	11232	POLG2	0.6496	0.0352
LINCSCP_87844	NA	8440	NCK2	0.5841	0.0353
LINCSCP_87844	NA	8985	PLOD3	0.791	0.036
LINCSCP_87844	NA	3480	IGF1R	0.9089	0.0361
LINCSCP_87844	NA	10493	VAT1	0.7657	0.0362
LINCSCP_87844	NA	5110	PCMT1	0.7262	0.0366
LINCSCP_87844	NA	26292	MYCBP	0.7802	0.0369
LINCSCP_87844	NA	8270	LAGE3	0.6821	0.0372
LINCSCP_87844	NA	5498	PPOX	-0.5783	0.0372
LINCSCP_87844	NA	392	ARHGAP1	0.8545	0.0373
LINCSCP_87844	NA	10123	ARL4C	-0.6856	0.0376
LINCSCP_87844	NA	5547	PRCP	-0.6922	0.038
LINCSCP_87844	NA	23011	RAB21	-0.5837	0.0383
LINCSCP_87844	NA	23530	NNT	0.679	0.0384
LINCSCP_87844	NA	79080	CCDC86	-0.7783	0.0388
LINCSCP_87844	NA	9641	IKBKE	-0.8352	0.0389
LINCSCP_87844	NA	3693	ITGB5	0.685	0.0389
LINCSCP_87844	NA	6777	STAT5B	0.7555	0.0394
LINCSCP_87844	NA	501	ALDH7A1	0.5957	0.0408
LINCSCP_87844	NA	2063	NR2F6	-0.5465	0.0411
LINCSCP_87844	NA	9552	SPAG7	-0.6426	0.0411
LINCSCP_87844	NA	8503	PIK3R3	-0.8921	0.0416
LINCSCP_87844	NA	1861	TOR1A	-6.4543	0.0416
LINCSCP_87844	NA	4582	MUC1	1.5929	0.0417
LINCSCP_87844	NA	55556	ENOSF1	0.9415	0.0417
