signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_16556	NA	200081	TXLNA	-5.0688	2e-4
LINCSCP_16556	NA	5111	PCNA	-4.3618	4e-4
LINCSCP_16556	NA	6839	SUV39H1	-6.193	5e-4
LINCSCP_16556	NA	22887	FOXJ3	-4.4953	5e-4
LINCSCP_16556	NA	23210	JMJD6	-5.9441	6e-4
LINCSCP_16556	NA	481	ATP1B1	-3.2442	6e-4
LINCSCP_16556	NA	994	CDC25B	-4.3171	6e-4
LINCSCP_16556	NA	8731	RNMT	-5.6473	7e-4
LINCSCP_16556	NA	23326	USP22	-4.4339	8e-4
LINCSCP_16556	NA	9181	ARHGEF2	-3.164	0.001
LINCSCP_16556	NA	8480	RAE1	-5.2912	0.001
LINCSCP_16556	NA	54915	YTHDF1	-3.929	0.0011
LINCSCP_16556	NA	29916	SNX11	-2.9832	0.0013
LINCSCP_16556	NA	29928	TIMM22	-3.4704	0.0014
LINCSCP_16556	NA	10038	PARP2	-7.2997	0.0015
LINCSCP_16556	NA	10606	PAICS	2.7123	0.0015
LINCSCP_16556	NA	7296	TXNRD1	-2.8181	0.0015
LINCSCP_16556	NA	10276	NET1	-6.3966	0.0016
LINCSCP_16556	NA	1829	DSG2	3.2649	0.0016
LINCSCP_16556	NA	8324	FZD7	-4.6655	0.0016
LINCSCP_16556	NA	348	APOE	2.7846	0.002
LINCSCP_16556	NA	10921	RNPS1	-8.5199	0.002
LINCSCP_16556	NA	23647	ARFIP2	-3.15	0.0022
LINCSCP_16556	NA	9847	C2CD5	-2.5364	0.0022
LINCSCP_16556	NA	4651	MYO10	-3.5899	0.0022
LINCSCP_16556	NA	84890	ADO	-4.4305	0.0023
LINCSCP_16556	NA	26520	TIMM9	-7.0178	0.0023
LINCSCP_16556	NA	6908	TBP	-4.9256	0.0024
LINCSCP_16556	NA	56654	NPDC1	2.7526	0.0024
LINCSCP_16556	NA	23338	JADE2	-2.7055	0.0025
LINCSCP_16556	NA	5347	PLK1	-3.2243	0.0025
LINCSCP_16556	NA	5058	PAK1	2.4465	0.0025
LINCSCP_16556	NA	4791	NFKB2	2.2079	0.0028
LINCSCP_16556	NA	5427	POLE2	-2.5286	0.0029
LINCSCP_16556	NA	147179	WIPF2	-3.2198	0.0029
LINCSCP_16556	NA	22827	PUF60	-3.843	0.0029
LINCSCP_16556	NA	25976	TIPARP	-3.9328	0.003
LINCSCP_16556	NA	124583	CANT1	-3.0991	0.003
LINCSCP_16556	NA	7088	TLE1	-3.7233	0.0031
LINCSCP_16556	NA	4864	NPC1	2.2964	0.0031
LINCSCP_16556	NA	4793	NFKBIB	2.3478	0.0031
LINCSCP_16556	NA	8503	PIK3R3	2.1241	0.0035
LINCSCP_16556	NA	23636	NUP62	-3.9308	0.0036
LINCSCP_16556	NA	3383	ICAM1	2.4411	0.0037
LINCSCP_16556	NA	4792	NFKBIA	-5.2771	0.0038
LINCSCP_16556	NA	9653	HS2ST1	2.1835	0.0039
LINCSCP_16556	NA	60493	FASTKD5	-4.6535	0.004
LINCSCP_16556	NA	9686	VGLL4	-4.3635	0.004
LINCSCP_16556	NA	9267	CYTH1	-2.7067	0.004
LINCSCP_16556	NA	55011	PIH1D1	2.2532	0.004
LINCSCP_16556	NA	3416	IDE	2.5318	0.0041
LINCSCP_16556	NA	899	CCNF	-2.5151	0.0041
LINCSCP_16556	NA	10962	MLLT11	-2.8157	0.0044
LINCSCP_16556	NA	81533	ITFG1	2.0655	0.0045
LINCSCP_16556	NA	79902	NUP85	-2.7555	0.0046
LINCSCP_16556	NA	4216	MAP3K4	-2.5511	0.0046
LINCSCP_16556	NA	4088	SMAD3	-2.6189	0.0046
LINCSCP_16556	NA	6251	RSU1	2.0999	0.0046
LINCSCP_16556	NA	10153	CEBPZ	-3.3681	0.0047
LINCSCP_16556	NA	2817	GPC1	2.445	0.0048
LINCSCP_16556	NA	1001	CDH3	2.4057	0.0049
LINCSCP_16556	NA	51070	NOSIP	-3.5036	0.0049
LINCSCP_16556	NA	29083	GTPBP8	-3.5842	0.005
LINCSCP_16556	NA	54881	TEX10	-3.6675	0.005
LINCSCP_16556	NA	65123	INTS3	2.408	0.0051
LINCSCP_16556	NA	466	ATF1	-2.1698	0.0051
LINCSCP_16556	NA	8720	MBTPS1	1.8592	0.0051
LINCSCP_16556	NA	323	APBB2	2.173	0.0052
LINCSCP_16556	NA	9517	SPTLC2	-2.6507	0.0053
LINCSCP_16556	NA	4200	ME2	2.0498	0.0054
LINCSCP_16556	NA	1398	CRK	-3.8899	0.0055
LINCSCP_16556	NA	2946	GSTM2	1.8518	0.0057
LINCSCP_16556	NA	5019	OXCT1	2.6271	0.0057
LINCSCP_16556	NA	51742	ARID4B	-1.957	0.0058
LINCSCP_16556	NA	8726	EED	-3.4514	0.0058
LINCSCP_16556	NA	7874	USP7	-2.2354	0.0058
LINCSCP_16556	NA	5583	PRKCH	2.2175	0.0059
LINCSCP_16556	NA	1070	CETN3	2.2264	0.0059
LINCSCP_16556	NA	80204	FBXO11	1.8338	0.006
LINCSCP_16556	NA	2770	GNAI1	2.8318	0.0061
LINCSCP_16556	NA	53343	NUDT9	1.8699	0.0061
LINCSCP_16556	NA	2115	ETV1	2.2333	0.0061
LINCSCP_16556	NA	6603	SMARCD2	-1.8652	0.0061
LINCSCP_16556	NA	9697	TRAM2	-2.5001	0.0063
LINCSCP_16556	NA	5468	PPARG	3.202	0.0067
LINCSCP_16556	NA	23635	SSBP2	2.0624	0.0068
LINCSCP_16556	NA	727	C5	2.8962	0.0068
LINCSCP_16556	NA	7852	CXCR4	1.8706	0.0068
LINCSCP_16556	NA	3337	DNAJB1	-6.6083	0.0068
LINCSCP_16556	NA	993	CDC25A	-4.7885	0.007
LINCSCP_16556	NA	10732	TCFL5	1.7642	0.0072
LINCSCP_16556	NA	23499	MACF1	-2.1149	0.0073
LINCSCP_16556	NA	874	CBR3	-5.0941	0.0075
LINCSCP_16556	NA	3553	IL1B	1.8231	0.0077
LINCSCP_16556	NA	55620	STAP2	2.0397	0.0077
LINCSCP_16556	NA	6793	STK10	1.8561	0.0078
LINCSCP_16556	NA	8061	FOSL1	-6.1521	0.0078
LINCSCP_16556	NA	6714	SRC	-2.4688	0.0079
LINCSCP_16556	NA	6697	SPR	1.6404	0.008
LINCSCP_16556	NA	8870	IER3	-6.2096	0.0082
LINCSCP_16556	NA	230	ALDOC	2.1139	0.0082
LINCSCP_16556	NA	50810	HDGFRP3	2.2033	0.0082
LINCSCP_16556	NA	1666	DECR1	1.8027	0.0083
LINCSCP_16556	NA	10523	CHERP	-3.8181	0.0083
LINCSCP_16556	NA	10610	ST6GALNAC2	1.6643	0.0084
LINCSCP_16556	NA	10362	HMG20B	-1.7876	0.0084
LINCSCP_16556	NA	1445	CSK	-1.7337	0.0088
