signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_17165	NA	1111	CHEK1	1.4067	1e-4
LINCSCP_17165	NA	3638	INSIG1	1.6345	1e-4
LINCSCP_17165	NA	29082	CHMP4A	-2.2444	1e-4
LINCSCP_17165	NA	5048	PAFAH1B1	1.8211	1e-4
LINCSCP_17165	NA	3775	KCNK1	2.1919	1e-4
LINCSCP_17165	NA	4282	MIF	-1.755	2e-4
LINCSCP_17165	NA	5261	PHKG2	1.6139	2e-4
LINCSCP_17165	NA	10513	APPBP2	1.7176	2e-4
LINCSCP_17165	NA	6944	VPS72	1.5533	2e-4
LINCSCP_17165	NA	3628	INPP1	-1.3152	2e-4
LINCSCP_17165	NA	10589	DRAP1	-1.7149	2e-4
LINCSCP_17165	NA	10525	HYOU1	1.4977	2e-4
LINCSCP_17165	NA	10245	TIMM17B	-1.4928	3e-4
LINCSCP_17165	NA	3930	LBR	-1.6967	3e-4
LINCSCP_17165	NA	11284	PNKP	-1.3361	3e-4
LINCSCP_17165	NA	80349	WDR61	-1.4035	3e-4
LINCSCP_17165	NA	2771	GNAI2	-1.8882	3e-4
LINCSCP_17165	NA	8574	AKR7A2	-1.5522	4e-4
LINCSCP_17165	NA	11344	TWF2	-1.9186	4e-4
LINCSCP_17165	NA	2769	GNA15	1.2334	4e-4
LINCSCP_17165	NA	5613	PRKX	1.7135	4e-4
LINCSCP_17165	NA	25976	TIPARP	-1.2217	4e-4
LINCSCP_17165	NA	1891	ECH1	1.2889	4e-4
LINCSCP_17165	NA	8731	RNMT	-1.2935	4e-4
LINCSCP_17165	NA	6009	RHEB	-1.6718	4e-4
LINCSCP_17165	NA	27095	TRAPPC3	-2.1432	4e-4
LINCSCP_17165	NA	29916	SNX11	-1.3488	4e-4
LINCSCP_17165	NA	2184	FAH	2.4233	4e-4
LINCSCP_17165	NA	51070	NOSIP	-1.552	5e-4
LINCSCP_17165	NA	10221	TRIB1	1.4935	5e-4
LINCSCP_17165	NA	1022	CDK7	-1.4788	6e-4
LINCSCP_17165	NA	9897	KIAA0196	1.5057	6e-4
LINCSCP_17165	NA	1465	CSRP1	-1.47	6e-4
LINCSCP_17165	NA	652	BMP4	1.2522	6e-4
LINCSCP_17165	NA	1676	DFFA	1.6408	6e-4
LINCSCP_17165	NA	23161	SNX13	1.297	6e-4
LINCSCP_17165	NA	51293	CD320	-1.8845	7e-4
LINCSCP_17165	NA	55179	FAIM	1.5216	7e-4
LINCSCP_17165	NA	65057	ACD	1.43	7e-4
LINCSCP_17165	NA	64422	ATG3	-1.2911	7e-4
LINCSCP_17165	NA	3454	IFNAR1	1.2447	7e-4
LINCSCP_17165	NA	211	ALAS1	1.2987	7e-4
LINCSCP_17165	NA	4605	MYBL2	1.2506	8e-4
LINCSCP_17165	NA	23149	FCHO1	1.8627	8e-4
LINCSCP_17165	NA	9988	DMTF1	1.8251	8e-4
LINCSCP_17165	NA	79080	CCDC86	1.1828	8e-4
LINCSCP_17165	NA	5867	RAB4A	-1.1604	8e-4
LINCSCP_17165	NA	23512	SUZ12	1.2703	8e-4
LINCSCP_17165	NA	10398	MYL9	-1.3678	9e-4
LINCSCP_17165	NA	27336	HTATSF1	1.4585	9e-4
LINCSCP_17165	NA	3925	STMN1	-1.5168	9e-4
LINCSCP_17165	NA	4776	NFATC4	1.5955	9e-4
LINCSCP_17165	NA	5300	PIN1	-1.0938	9e-4
LINCSCP_17165	NA	813	CALU	-1.5112	0.001
LINCSCP_17165	NA	51375	SNX7	1.2325	0.001
LINCSCP_17165	NA	2745	GLRX	-1.259	0.001
LINCSCP_17165	NA	79902	NUP85	-1.5312	0.001
LINCSCP_17165	NA	5438	POLR2I	-1.5407	0.001
LINCSCP_17165	NA	64428	NARFL	1.1552	0.001
LINCSCP_17165	NA	6657	SOX2	1.8048	0.0011
LINCSCP_17165	NA	84617	TUBB6	-2.0201	0.0011
LINCSCP_17165	NA	9702	CEP57	1.266	0.0011
LINCSCP_17165	NA	4860	PNP	-1.7066	0.0011
LINCSCP_17165	NA	843	CASP10	1.3137	0.0011
LINCSCP_17165	NA	2185	PTK2B	1.5783	0.0011
LINCSCP_17165	NA	5106	PCK2	1.2148	0.0011
LINCSCP_17165	NA	51015	ISOC1	1.3939	0.0011
LINCSCP_17165	NA	7043	TGFB3	1.59	0.0011
LINCSCP_17165	NA	23038	WDTC1	-1.3163	0.0011
LINCSCP_17165	NA	90861	HN1L	-2.6184	0.0011
LINCSCP_17165	NA	54499	TMCO1	-1.7365	0.0011
LINCSCP_17165	NA	3486	IGFBP3	-1.4534	0.0011
LINCSCP_17165	NA	23335	WDR7	1.5626	0.0012
LINCSCP_17165	NA	11044	PAPD7	1.1938	0.0012
LINCSCP_17165	NA	10818	FRS2	1.3595	0.0012
LINCSCP_17165	NA	1123	CHN1	1.2535	0.0012
LINCSCP_17165	NA	2263	FGFR2	1.0718	0.0012
LINCSCP_17165	NA	25803	SPDEF	1.4383	0.0012
LINCSCP_17165	NA	6461	SHB	1.1533	0.0013
LINCSCP_17165	NA	1677	DFFB	1.6098	0.0013
LINCSCP_17165	NA	26227	PHGDH	-1.6333	0.0013
LINCSCP_17165	NA	2274	FHL2	-1.598	0.0013
LINCSCP_17165	NA	2042	EPHA3	2.0158	0.0014
LINCSCP_17165	NA	6253	RTN2	1.1401	0.0014
LINCSCP_17165	NA	23658	LSM5	-1.1168	0.0014
LINCSCP_17165	NA	4312	MMP1	1.1848	0.0014
LINCSCP_17165	NA	23142	DCUN1D4	1.3867	0.0014
