signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_35510	NA	54541	DDIT4	2.2691	1e-4
LINCSCP_35510	NA	8870	IER3	1.9649	1e-4
LINCSCP_35510	NA	55012	PPP2R3C	1.9509	2e-4
LINCSCP_35510	NA	2745	GLRX	1.733	3e-4
LINCSCP_35510	NA	4303	FOXO4	2.1269	4e-4
LINCSCP_35510	NA	25932	CLIC4	1.4918	5e-4
LINCSCP_35510	NA	64428	NARFL	-1.3668	5e-4
LINCSCP_35510	NA	2954	GSTZ1	-1.5563	5e-4
LINCSCP_35510	NA	7494	XBP1	1.361	7e-4
LINCSCP_35510	NA	1465	CSRP1	1.6438	7e-4
LINCSCP_35510	NA	2222	FDFT1	1.778	8e-4
LINCSCP_35510	NA	9467	SH3BP5	1.44	0.001
LINCSCP_35510	NA	10493	VAT1	1.5063	0.001
LINCSCP_35510	NA	9093	DNAJA3	-1.2443	0.0011
LINCSCP_35510	NA	9552	SPAG7	-2.4645	0.0012
LINCSCP_35510	NA	3066	HDAC2	1.5647	0.0014
LINCSCP_35510	NA	79716	NPEPL1	-1.6764	0.0014
LINCSCP_35510	NA	5782	PTPN12	1.4126	0.0014
LINCSCP_35510	NA	7416	VDAC1	1.4231	0.0015
LINCSCP_35510	NA	10513	APPBP2	1.1272	0.0015
LINCSCP_35510	NA	9143	SYNGR3	1.6121	0.0015
LINCSCP_35510	NA	7016	TESK1	-1.1765	0.0016
LINCSCP_35510	NA	1026	CDKN1A	1.3727	0.0016
LINCSCP_35510	NA	23588	KLHDC2	1.5949	0.0016
LINCSCP_35510	NA	4783	NFIL3	-1.1	0.0017
LINCSCP_35510	NA	51335	NGRN	1.092	0.0018
LINCSCP_35510	NA	8508	NIPSNAP1	1.3376	0.002
LINCSCP_35510	NA	3337	DNAJB1	1.0438	0.0021
LINCSCP_35510	NA	51015	ISOC1	1.2473	0.0022
LINCSCP_35510	NA	8202	NCOA3	1.1227	0.0022
LINCSCP_35510	NA	4775	NFATC3	-1.3386	0.0023
LINCSCP_35510	NA	5355	PLP2	-1.1681	0.0023
LINCSCP_35510	NA	9267	CYTH1	1.2531	0.0023
LINCSCP_35510	NA	79902	NUP85	-1.3111	0.0024
LINCSCP_35510	NA	2886	GRB7	-1.1327	0.0024
LINCSCP_35510	NA	22827	PUF60	-1.8672	0.0025
LINCSCP_35510	NA	5982	RFC2	1.5245	0.0025
LINCSCP_35510	NA	79071	ELOVL6	1.3076	0.0025
LINCSCP_35510	NA	8869	ST3GAL5	1.1107	0.0026
LINCSCP_35510	NA	9170	LPAR2	-2.219	0.0026
LINCSCP_35510	NA	9817	KEAP1	-1.5417	0.0026
LINCSCP_35510	NA	22809	ATF5	-1.6526	0.0026
LINCSCP_35510	NA	2523	FUT1	-1.0799	0.0027
LINCSCP_35510	NA	79143	MBOAT7	-1.392	0.0027
LINCSCP_35510	NA	58497	PRUNE	1.213	0.0027
LINCSCP_35510	NA	8503	PIK3R3	1.157	0.0027
LINCSCP_35510	NA	10434	LYPLA1	0.9796	0.0028
LINCSCP_35510	NA	993	CDC25A	-1.1942	0.0029
LINCSCP_35510	NA	9134	CCNE2	-3.6199	0.0029
LINCSCP_35510	NA	665	BNIP3L	1.0713	0.0029
LINCSCP_35510	NA	10276	NET1	1.2338	0.003
LINCSCP_35510	NA	4482	MSRA	-1.2723	0.003
LINCSCP_35510	NA	22934	RPIA	1.1296	0.003
