signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_87654	NA	64943	NT5DC2	-5.8015	6e-4
LINCSCP_87654	NA	27346	TMEM97	2.1397	0.0014
LINCSCP_87654	NA	39	ACAT2	2.3915	0.0015
LINCSCP_87654	NA	10682	EBP	2.4917	0.0017
LINCSCP_87654	NA	3157	HMGCS1	1.8319	0.0032
LINCSCP_87654	NA	79071	ELOVL6	1.7566	0.0039
LINCSCP_87654	NA	8878	SQSTM1	1.9291	0.004
LINCSCP_87654	NA	2222	FDFT1	2.7086	0.0045
LINCSCP_87654	NA	3638	INSIG1	1.2615	0.0072
LINCSCP_87654	NA	3156	HMGCR	1.8235	0.0075
LINCSCP_87654	NA	50814	NSDHL	1.4594	0.0078
LINCSCP_87654	NA	6347	CCL2	-1.1877	0.0079
LINCSCP_87654	NA	8727	CTNNAL1	1.2702	0.0084
LINCSCP_87654	NA	1534	CYB561	-1.1097	0.0093
LINCSCP_87654	NA	29763	PACSIN3	-1.0451	0.0115
LINCSCP_87654	NA	4850	CNOT4	-1.0777	0.0119
LINCSCP_87654	NA	230	ALDOC	1.3321	0.0121
LINCSCP_87654	NA	79080	CCDC86	-1.0439	0.0136
LINCSCP_87654	NA	10318	TNIP1	-1.0049	0.0174
LINCSCP_87654	NA	3693	ITGB5	0.9682	0.0183
LINCSCP_87654	NA	4792	NFKBIA	-1.3218	0.0197
LINCSCP_87654	NA	5255	PHKA1	-1.0588	0.0198
LINCSCP_87654	NA	6616	SNAP25	-1.957	0.02
LINCSCP_87654	NA	10493	VAT1	1.0999	0.0201
LINCSCP_87654	NA	8837	CFLAR	-0.9517	0.0227
LINCSCP_87654	NA	8996	NOL3	-0.8574	0.0227
LINCSCP_87654	NA	9697	TRAM2	1.1166	0.0229
LINCSCP_87654	NA	79947	DHDDS	-0.8778	0.0237
LINCSCP_87654	NA	1509	CTSD	1.135	0.0247
LINCSCP_87654	NA	4638	MYLK	1.3368	0.0256
LINCSCP_87654	NA	6696	SPP1	1.0612	0.026
LINCSCP_87654	NA	9488	PIGB	-0.9945	0.0263
LINCSCP_87654	NA	80212	CCDC92	0.7824	0.0268
LINCSCP_87654	NA	5092	PCBD1	-0.8528	0.0275
