signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_87800	NA	10797	MTHFD2	3.3412	1e-4
LINCSCP_87800	NA	823	CAPN1	3.3727	1e-4
LINCSCP_87800	NA	26227	PHGDH	3.1799	1e-4
LINCSCP_87800	NA	291	SLC25A4	3.1655	1e-4
LINCSCP_87800	NA	2745	GLRX	-4.5108	2e-4
LINCSCP_87800	NA	3383	ICAM1	2.8906	3e-4
LINCSCP_87800	NA	25805	BAMBI	3.815	4e-4
LINCSCP_87800	NA	1958	EGR1	-2.655	4e-4
LINCSCP_87800	NA	4792	NFKBIA	2.8528	5e-4
LINCSCP_87800	NA	8061	FOSL1	-3.279	5e-4
LINCSCP_87800	NA	960	CD44	-2.478	6e-4
LINCSCP_87800	NA	85236	HIST1H2BK	-2.4333	6e-4
LINCSCP_87800	NA	1848	DUSP6	-2.1717	6e-4
LINCSCP_87800	NA	9918	NCAPD2	-2.3712	6e-4
LINCSCP_87800	NA	6772	STAT1	3.9495	7e-4
LINCSCP_87800	NA	23139	MAST2	3.9148	7e-4
LINCSCP_87800	NA	11004	KIF2C	2.1419	7e-4
LINCSCP_87800	NA	55129	ANO10	2.5039	8e-4
LINCSCP_87800	NA	4172	MCM3	-2.5018	8e-4
LINCSCP_87800	NA	10962	MLLT11	2.1673	9e-4
LINCSCP_87800	NA	22926	ATF6	2.0693	0.0011
LINCSCP_87800	NA	3628	INPP1	1.8996	0.0011
LINCSCP_87800	NA	4609	MYC	-2.6209	0.0011
LINCSCP_87800	NA	10668	CGRRF1	3.0033	0.0011
LINCSCP_87800	NA	5880	RAC2	-2.3466	0.0012
LINCSCP_87800	NA	1950	EGF	3.6497	0.0012
LINCSCP_87800	NA	665	BNIP3L	-3.906	0.0012
LINCSCP_87800	NA	8837	CFLAR	2.0443	0.0012
LINCSCP_87800	NA	4313	MMP2	-1.8471	0.0013
LINCSCP_87800	NA	2817	GPC1	2.345	0.0013
LINCSCP_87800	NA	7494	XBP1	2.1369	0.0013
LINCSCP_87800	NA	2534	FYN	1.9417	0.0013
LINCSCP_87800	NA	5106	PCK2	4.3337	0.0013
LINCSCP_87800	NA	332	BIRC5	-1.943	0.0014
LINCSCP_87800	NA	4605	MYBL2	2.4594	0.0014
LINCSCP_87800	NA	813	CALU	1.7989	0.0014
LINCSCP_87800	NA	664	BNIP3	-3.187	0.0015
LINCSCP_87800	NA	3315	HSPB1	2.6671	0.0017
LINCSCP_87800	NA	387	RHOA	1.9081	0.0017
LINCSCP_87800	NA	5829	PXN	-2.9705	0.0018
LINCSCP_87800	NA	595	CCND1	-1.9867	0.002
LINCSCP_87800	NA	1831	TSC22D3	2.7752	0.0021
LINCSCP_87800	NA	6251	RSU1	1.6146	0.0022
LINCSCP_87800	NA	64781	CERK	-1.9717	0.0022
LINCSCP_87800	NA	1978	EIF4EBP1	2.4628	0.0023
LINCSCP_87800	NA	26020	LRP10	1.9432	0.0024
LINCSCP_87800	NA	10681	GNB5	-1.948	0.0025
LINCSCP_87800	NA	2058	EPRS	2.4741	0.0025
LINCSCP_87800	NA	16	AARS	2.4081	0.0028
LINCSCP_87800	NA	84722	PSRC1	-2.3606	0.0028
LINCSCP_87800	NA	25976	TIPARP	1.5055	0.0028
LINCSCP_87800	NA	10123	ARL4C	-2.0174	0.0029
LINCSCP_87800	NA	6777	STAT5B	2.0707	0.0029
LINCSCP_87800	NA	2553	GABPB1	1.5314	0.003
LINCSCP_87800	NA	7105	TSPAN6	-1.6105	0.0031
LINCSCP_87800	NA	9943	OXSR1	2.0759	0.0031
LINCSCP_87800	NA	29103	DNAJC15	1.6004	0.0033
LINCSCP_87800	NA	10398	MYL9	1.4566	0.0033
LINCSCP_87800	NA	5831	PYCR1	1.57	0.0036
LINCSCP_87800	NA	1846	DUSP4	-2.1381	0.0037
LINCSCP_87800	NA	310	ANXA7	1.4866	0.0038
LINCSCP_87800	NA	3611	ILK	2.0124	0.004
LINCSCP_87800	NA	7048	TGFBR2	-1.5579	0.0041
LINCSCP_87800	NA	55256	ADI1	1.4872	0.0041
LINCSCP_87800	NA	4582	MUC1	2.9572	0.0041
LINCSCP_87800	NA	5580	PRKCD	2.0851	0.0042
LINCSCP_87800	NA	5720	PSME1	1.3802	0.0044
LINCSCP_87800	NA	54541	DDIT4	1.4086	0.0046
LINCSCP_87800	NA	148022	TICAM1	2.1103	0.0046
LINCSCP_87800	NA	5480	PPIC	1.4401	0.0046
LINCSCP_87800	NA	481	ATP1B1	2.1336	0.0046
LINCSCP_87800	NA	3416	IDE	1.3893	0.0047
LINCSCP_87800	NA	8731	RNMT	-1.553	0.0048
LINCSCP_87800	NA	5300	PIN1	1.4629	0.0051
