signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_250889	NA	6659	SOX4	1.9556	0.0032
LINCSCP_250889	NA	5880	RAC2	-1.627	0.0086
LINCSCP_250889	NA	3383	ICAM1	-1.4148	0.011
LINCSCP_250889	NA	11072	DUSP14	-1.3548	0.012
LINCSCP_250889	NA	9019	MPZL1	1.5047	0.0124
LINCSCP_250889	NA	1213	CLTC	1.2451	0.0156
LINCSCP_250889	NA	25805	BAMBI	1.2245	0.016
LINCSCP_250889	NA	79006	METRN	1.2198	0.016
LINCSCP_250889	NA	50814	NSDHL	1.9255	0.0162
LINCSCP_250889	NA	27346	TMEM97	1.3359	0.0162
LINCSCP_250889	NA	23142	DCUN1D4	-1.7731	0.0169
LINCSCP_250889	NA	1802	DPH2	1.2619	0.0174
LINCSCP_250889	NA	10973	ASCC3	1.2921	0.0187
LINCSCP_250889	NA	9637	FEZ2	1.2144	0.0192
LINCSCP_250889	NA	1846	DUSP4	1.535	0.0203
LINCSCP_250889	NA	1123	CHN1	-1.9994	0.0221
LINCSCP_250889	NA	1662	DDX10	1.1416	0.025
LINCSCP_250889	NA	8349	HIST2H2BE	-1.5835	0.0257
LINCSCP_250889	NA	56997	ADCK3	1.1712	0.0273
LINCSCP_250889	NA	2274	FHL2	1.0636	0.0273
LINCSCP_250889	NA	2548	GAA	1.4882	0.0275
LINCSCP_250889	NA	10049	DNAJB6	-1.5897	0.0281
LINCSCP_250889	NA	6184	RPN1	1.0304	0.0294
LINCSCP_250889	NA	23335	WDR7	-1.4655	0.0305
LINCSCP_250889	NA	10969	EBNA1BP2	1.3818	0.0306
LINCSCP_250889	NA	23029	RBM34	1.093	0.031
LINCSCP_250889	NA	4313	MMP2	-1.1723	0.0311
LINCSCP_250889	NA	5900	RALGDS	1.1032	0.0319
LINCSCP_250889	NA	23636	NUP62	1.1374	0.0323
LINCSCP_250889	NA	2946	GSTM2	-1.1049	0.0339
LINCSCP_250889	NA	55748	CNDP2	1.2539	0.0345
LINCSCP_250889	NA	843	CASP10	-1.4362	0.0349
LINCSCP_250889	NA	200081	TXLNA	1.65	0.0356
LINCSCP_250889	NA	8446	DUSP11	-1.0952	0.036
LINCSCP_250889	NA	84890	ADO	1.2945	0.0362
LINCSCP_250889	NA	4282	MIF	1.131	0.0365
LINCSCP_250889	NA	51465	UBE2J1	-0.9455	0.037
LINCSCP_250889	NA	4817	NIT1	-1.4265	0.037
LINCSCP_250889	NA	7866	IFRD2	0.9371	0.0376
LINCSCP_250889	NA	6275	S100A4	-1.6384	0.0381
LINCSCP_250889	NA	22905	EPN2	6.7511	0.0387
LINCSCP_250889	NA	9903	KLHL21	6.4428	0.0391
LINCSCP_250889	NA	9053	MAP7	4.9181	0.0392
LINCSCP_250889	NA	3964	LGALS8	-1.1896	0.0392
LINCSCP_250889	NA	5111	PCNA	0.9609	0.0398
LINCSCP_250889	NA	51097	SCCPDH	2.2154	0.0398
LINCSCP_250889	NA	4609	MYC	0.919	0.0411
LINCSCP_250889	NA	11098	PRSS23	0.9449	0.0412
LINCSCP_250889	NA	10857	PGRMC1	0.946	0.0414
LINCSCP_250889	NA	6347	CCL2	2.9712	0.0418
LINCSCP_250889	NA	4791	NFKB2	-1.544	0.042
LINCSCP_250889	NA	5889	RAD51C	-5.3752	0.0421
LINCSCP_250889	NA	5423	POLB	-1.0391	0.0422
LINCSCP_250889	NA	9917	FAM20B	-1.1987	0.0431
LINCSCP_250889	NA	79073	TMEM109	0.9192	0.0435
LINCSCP_250889	NA	1845	DUSP3	0.9228	0.044
LINCSCP_250889	NA	23300	ATMIN	0.9146	0.0444
LINCSCP_250889	NA	9854	C2CD2L	-0.8899	0.0452
LINCSCP_250889	NA	10237	SLC35B1	1.1873	0.0454
LINCSCP_250889	NA	652	BMP4	-1.2996	0.0459
LINCSCP_250889	NA	10165	SLC25A13	-1.3387	0.0463
LINCSCP_250889	NA	994	CDC25B	1.1971	0.0466
LINCSCP_250889	NA	6813	STXBP2	1.0086	0.0469
LINCSCP_250889	NA	6676	SPAG4	-0.9992	0.047
LINCSCP_250889	NA	9221	NOLC1	0.9237	0.0471
LINCSCP_250889	NA	6253	RTN2	-1.3039	0.048
LINCSCP_250889	NA	2769	GNA15	-1.1921	0.049
LINCSCP_250889	NA	1514	CTSL	1.0793	0.0519
LINCSCP_250889	NA	55033	FKBP14	-0.9312	0.0523
LINCSCP_250889	NA	10123	ARL4C	-1.1847	0.0533
LINCSCP_250889	NA	9641	IKBKE	-1.0105	0.0536
LINCSCP_250889	NA	8243	SMC1A	-2.8352	0.0536
LINCSCP_250889	NA	9928	KIF14	0.9963	0.0538
LINCSCP_250889	NA	10131	TRAP1	0.9944	0.055
LINCSCP_250889	NA	7358	UGDH	0.9395	0.0553
LINCSCP_250889	NA	2956	MSH6	0.8193	0.0563
LINCSCP_250889	NA	9448	MAP4K4	0.9864	0.0563
LINCSCP_250889	NA	23326	USP22	0.8581	0.0567
LINCSCP_250889	NA	55127	HEATR1	1.258	0.0575
LINCSCP_250889	NA	2673	GFPT1	-0.842	0.0575
LINCSCP_250889	NA	3628	INPP1	-1.0101	0.0576
LINCSCP_250889	NA	3480	IGF1R	0.9175	0.0584
LINCSCP_250889	NA	8312	AXIN1	2.8628	0.0591
LINCSCP_250889	NA	2778	GNAS	1.1528	0.0593
LINCSCP_250889	NA	27032	ATP2C1	-1.0621	0.0598
LINCSCP_250889	NA	11031	RAB31	0.81	0.0601
LINCSCP_250889	NA	23011	RAB21	-1.0591	0.0601
LINCSCP_250889	NA	24149	ZNF318	-1.5673	0.0604
LINCSCP_250889	NA	2113	ETS1	-0.9106	0.0608
LINCSCP_250889	NA	8444	DYRK3	-1.3036	0.0615
LINCSCP_250889	NA	25825	BACE2	1.0847	0.0619
LINCSCP_250889	NA	10221	TRIB1	-0.8788	0.0625
LINCSCP_250889	NA	5048	PAFAH1B1	-0.7872	0.063
LINCSCP_250889	NA	9988	DMTF1	-0.9067	0.0632
LINCSCP_250889	NA	4232	MEST	-0.9308	0.0652
LINCSCP_250889	NA	11137	PWP1	0.9702	0.0653
LINCSCP_250889	NA	2131	EXT1	-1.103	0.0654
LINCSCP_250889	NA	79174	CRELD2	-0.8694	0.0655
LINCSCP_250889	NA	9519	TBPL1	-0.9155	0.0657
LINCSCP_250889	NA	8624	PSMG1	1.049	0.0658
LINCSCP_250889	NA	622	BDH1	0.9949	0.0663
LINCSCP_250889	NA	79170	PRR15L	-1.0619	0.0664
LINCSCP_250889	NA	25803	SPDEF	0.8708	0.0672
LINCSCP_250889	NA	10099	TSPAN3	1.2861	0.0673
LINCSCP_250889	NA	8835	SOCS2	-1.1214	0.0674
LINCSCP_250889	NA	6919	TCEA2	-1.4407	0.0675
LINCSCP_250889	NA	4891	SLC11A2	-0.8662	0.0679
LINCSCP_250889	NA	5601	MAPK9	-1.2483	0.0686
LINCSCP_250889	NA	595	CCND1	1.2116	0.0695
LINCSCP_250889	NA	8440	NCK2	0.946	0.0701
LINCSCP_250889	NA	28969	BZW2	1.0158	0.0703
LINCSCP_250889	NA	10398	MYL9	-0.8657	0.0705
LINCSCP_250889	NA	1452	CSNK1A1	0.7654	0.0707
LINCSCP_250889	NA	11007	CCDC85B	1.0224	0.0708
LINCSCP_250889	NA	11325	DDX42	1.2224	0.0708
LINCSCP_250889	NA	23077	MYCBP2	-1.1398	0.0716
LINCSCP_250889	NA	1950	EGF	-0.8716	0.0719
LINCSCP_250889	NA	90861	HN1L	1.2628	0.072
LINCSCP_250889	NA	80758	PRR7	1.0804	0.0724
LINCSCP_250889	NA	1500	CTNND1	-1.4457	0.0732
LINCSCP_250889	NA	1891	ECH1	-0.7944	0.0735
LINCSCP_250889	NA	5373	PMM2	-1.9336	0.0738
LINCSCP_250889	NA	51031	GLOD4	0.8133	0.0739
LINCSCP_250889	NA	55179	FAIM	-0.7938	0.0739
LINCSCP_250889	NA	427	ASAH1	0.7854	0.0741
LINCSCP_250889	NA	5710	PSMD4	1.7652	0.0748
LINCSCP_250889	NA	1906	EDN1	-1.0156	0.0749
LINCSCP_250889	NA	80204	FBXO11	-0.7478	0.075
LINCSCP_250889	NA	57215	THAP11	0.7591	0.0751
LINCSCP_250889	NA	4793	NFKBIB	1.0408	0.0751
LINCSCP_250889	NA	10557	RPP38	0.8376	0.0752
LINCSCP_250889	NA	9375	TM9SF2	0.7385	0.0755
LINCSCP_250889	NA	2195	FAT1	0.8981	0.0757
LINCSCP_250889	NA	47	ACLY	1.144	0.0764
LINCSCP_250889	NA	6832	SUPV3L1	-0.8144	0.0767
LINCSCP_250889	NA	54881	TEX10	0.7551	0.077
LINCSCP_250889	NA	6657	SOX2	-0.957	0.0774
LINCSCP_250889	NA	11200	CHEK2	0.9651	0.0779
LINCSCP_250889	NA	4860	PNP	0.9566	0.078
LINCSCP_250889	NA	2109	ETFB	1.4038	0.0785
LINCSCP_250889	NA	998	CDC42	0.8375	0.0786
LINCSCP_250889	NA	7494	XBP1	0.9182	0.0787
LINCSCP_250889	NA	1978	EIF4EBP1	1.0165	0.0787
LINCSCP_250889	NA	7376	NR1H2	-0.808	0.0789
LINCSCP_250889	NA	5347	PLK1	0.8521	0.0793
