signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_251602	NA	55893	ZNF395	2.617	0.0023
LINCSCP_251602	NA	8518	IKBKAP	-1.8798	0.0025
LINCSCP_251602	NA	80349	WDR61	-2.3092	0.0026
LINCSCP_251602	NA	5889	RAD51C	-2.0705	0.0029
LINCSCP_251602	NA	8573	CASK	-1.942	0.003
LINCSCP_251602	NA	2920	CXCL2	-1.5134	0.0036
LINCSCP_251602	NA	10013	HDAC6	-1.4588	0.004
LINCSCP_251602	NA	1534	CYB561	-1.6307	0.0044
LINCSCP_251602	NA	9217	VAPB	-1.5761	0.0045
LINCSCP_251602	NA	55604	LRRC16A	-2.0575	0.0047
LINCSCP_251602	NA	47	ACLY	-1.4872	0.0052
LINCSCP_251602	NA	8324	FZD7	-1.2908	0.0056
LINCSCP_251602	NA	51742	ARID4B	-1.2998	0.0061
LINCSCP_251602	NA	1398	CRK	-1.523	0.0062
LINCSCP_251602	NA	1052	CEBPD	1.6042	0.0067
LINCSCP_251602	NA	3329	HSPD1	-1.9005	0.0068
LINCSCP_251602	NA	5715	PSMD9	-1.4133	0.0071
LINCSCP_251602	NA	1509	CTSD	-1.9526	0.0073
LINCSCP_251602	NA	2017	CTTN	-1.6341	0.0075
LINCSCP_251602	NA	5867	RAB4A	-1.218	0.0075
LINCSCP_251602	NA	847	CAT	1.499	0.0082
LINCSCP_251602	NA	1445	CSK	-1.4202	0.0086
LINCSCP_251602	NA	51015	ISOC1	1.582	0.0086
LINCSCP_251602	NA	23512	SUZ12	1.4469	0.0086
LINCSCP_251602	NA	65057	ACD	1.1515	0.0088
LINCSCP_251602	NA	4851	NOTCH1	1.1981	0.0092
LINCSCP_251602	NA	3303	HSPA1A	1.3575	0.0093
LINCSCP_251602	NA	57406	ABHD6	1.2004	0.0095
LINCSCP_251602	NA	323	APBB2	1.2394	0.0095
LINCSCP_251602	NA	1994	ELAVL1	-1.5647	0.0096
LINCSCP_251602	NA	7077	TIMP2	1.8532	0.0102
LINCSCP_251602	NA	10329	TMEM5	-1.3469	0.0103
LINCSCP_251602	NA	10007	GNPDA1	1.2318	0.0107
LINCSCP_251602	NA	6804	STX1A	-1.4782	0.0108
LINCSCP_251602	NA	51005	AMDHD2	-1.583	0.011
LINCSCP_251602	NA	2771	GNAI2	-1.7755	0.011
LINCSCP_251602	NA	9702	CEP57	1.104	0.011
LINCSCP_251602	NA	1111	CHEK1	1.2147	0.0111
LINCSCP_251602	NA	5580	PRKCD	-1.183	0.0118
LINCSCP_251602	NA	7043	TGFB3	1.1857	0.0118
LINCSCP_251602	NA	6944	VPS72	1.2256	0.012
LINCSCP_251602	NA	890	CCNA2	-1.1544	0.0122
LINCSCP_251602	NA	9897	KIAA0196	1.2329	0.0126
LINCSCP_251602	NA	8446	DUSP11	1.3598	0.0127
LINCSCP_251602	NA	6659	SOX4	-1.3175	0.013
LINCSCP_251602	NA	55256	ADI1	-1.2343	0.0136
LINCSCP_251602	NA	230	ALDOC	-1.463	0.0144
LINCSCP_251602	NA	902	CCNH	1.2426	0.0144
LINCSCP_251602	NA	9276	COPB2	-1.0692	0.0145
LINCSCP_251602	NA	3566	IL4R	1.3429	0.0152
LINCSCP_251602	NA	3978	LIG1	-1.3288	0.0153
LINCSCP_251602	NA	23061	TBC1D9B	-2.1692	0.0154
LINCSCP_251602	NA	3482	IGF2R	1.1048	0.0159
LINCSCP_251602	NA	10525	HYOU1	1.1836	0.016
LINCSCP_251602	NA	56889	TM9SF3	-1.3146	0.016
LINCSCP_251602	NA	7016	TESK1	1.1865	0.0161
LINCSCP_251602	NA	5111	PCNA	-1.0804	0.0165
LINCSCP_251602	NA	26227	PHGDH	1.9302	0.0165
LINCSCP_251602	NA	51282	SCAND1	1.126	0.0167
LINCSCP_251602	NA	8869	ST3GAL5	1.2571	0.0168
LINCSCP_251602	NA	10730	YME1L1	-1.0968	0.0174
LINCSCP_251602	NA	54541	DDIT4	1.0785	0.0176
LINCSCP_251602	NA	9690	UBE3C	-1.509	0.0179
LINCSCP_251602	NA	1981	EIF4G1	-1.2264	0.0189
LINCSCP_251602	NA	79174	CRELD2	1.195	0.019
LINCSCP_251602	NA	9761	MLEC	-2.5111	0.0197
LINCSCP_251602	NA	3033	HADH	1.1893	0.0205
LINCSCP_251602	NA	1845	DUSP3	1.2943	0.0208
LINCSCP_251602	NA	6988	TCTA	-1.0362	0.0208
LINCSCP_251602	NA	5223	PGAM1	-0.9921	0.0213
LINCSCP_251602	NA	4605	MYBL2	-1.223	0.0213
LINCSCP_251602	NA	7157	TP53	-1.3244	0.0218
LINCSCP_251602	NA	55179	FAIM	1.769	0.0219
LINCSCP_251602	NA	1153	CIRBP	-1.1353	0.0222
LINCSCP_251602	NA	332	BIRC5	-0.9936	0.0231
LINCSCP_251602	NA	51422	PRKAG2	-1.1072	0.0232
LINCSCP_251602	NA	4125	MAN2B1	-1.394	0.0242
LINCSCP_251602	NA	10190	TXNDC9	1.1297	0.0248
LINCSCP_251602	NA	3206	HOXA10	-0.9792	0.0254
LINCSCP_251602	NA	29103	DNAJC15	1.0068	0.0259
LINCSCP_251602	NA	6009	RHEB	-1.0988	0.026
LINCSCP_251602	NA	2553	GABPB1	-1.5934	0.0264
LINCSCP_251602	NA	58533	SNX6	1.1882	0.0266
LINCSCP_251602	NA	6832	SUPV3L1	1.1266	0.0275
LINCSCP_251602	NA	2113	ETS1	1.0469	0.0278
LINCSCP_251602	NA	1676	DFFA	1.0309	0.0281
LINCSCP_251602	NA	1829	DSG2	1.0256	0.0282
LINCSCP_251602	NA	55008	HERC6	-0.9409	0.0283
LINCSCP_251602	NA	6603	SMARCD2	-1.3197	0.0284
LINCSCP_251602	NA	9455	HOMER2	-1.2522	0.0286
LINCSCP_251602	NA	4482	MSRA	-0.9911	0.0287
LINCSCP_251602	NA	51071	DERA	1.0803	0.0293
LINCSCP_251602	NA	55793	FAM63A	-0.9218	0.0293
LINCSCP_251602	NA	10221	TRIB1	0.991	0.0298
LINCSCP_251602	NA	7867	MAPKAPK3	-1.032	0.0301
LINCSCP_251602	NA	2195	FAT1	1.2819	0.0301
LINCSCP_251602	NA	23670	TMEM2	-0.9864	0.0301
LINCSCP_251602	NA	9924	PAN2	-2.1435	0.0306
LINCSCP_251602	NA	79921	TCEAL4	1.2926	0.0309
LINCSCP_251602	NA	7466	WFS1	0.9269	0.0313
LINCSCP_251602	NA	9019	MPZL1	1.0781	0.0316
LINCSCP_251602	NA	23410	SIRT3	0.9162	0.0326
LINCSCP_251602	NA	5891	MOK	1.5971	0.0326
LINCSCP_251602	NA	392	ARHGAP1	-0.9936	0.033
LINCSCP_251602	NA	7264	TSTA3	-1.954	0.0331
LINCSCP_251602	NA	1029	CDKN2A	-0.956	0.0332
LINCSCP_251602	NA	2065	ERBB3	-0.9904	0.0334
LINCSCP_251602	NA	6050	RNH1	-3.6529	0.0336
LINCSCP_251602	NA	51466	EVL	-1.1505	0.034
LINCSCP_251602	NA	6772	STAT1	-1.0716	0.0342
LINCSCP_251602	NA	9915	ARNT2	1.1009	0.0343
LINCSCP_251602	NA	11031	RAB31	-1.3585	0.0343
LINCSCP_251602	NA	2263	FGFR2	1.034	0.035
LINCSCP_251602	NA	211	ALAS1	1.0127	0.0351
LINCSCP_251602	NA	8985	PLOD3	1.3461	0.0353
LINCSCP_251602	NA	6509	SLC1A4	-0.9698	0.0354
