signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_143065	NA	1846	DUSP4	5.3521	0
LINCSCP_143065	NA	25	ABL1	-5.0037	1e-4
LINCSCP_143065	NA	8349	HIST2H2BE	3.5159	2e-4
LINCSCP_143065	NA	27244	SESN1	4.8782	4e-4
LINCSCP_143065	NA	11098	PRSS23	3.2242	4e-4
LINCSCP_143065	NA	10610	ST6GALNAC2	2.8338	4e-4
LINCSCP_143065	NA	1026	CDKN1A	3.978	0.0011
LINCSCP_143065	NA	10973	ASCC3	2.3824	0.0011
LINCSCP_143065	NA	2274	FHL2	3.2723	0.0012
LINCSCP_143065	NA	85236	HIST1H2BK	2.6783	0.0012
LINCSCP_143065	NA	9133	CCNB2	-2.3577	0.0014
LINCSCP_143065	NA	5985	RFC5	-2.6005	0.0015
LINCSCP_143065	NA	7358	UGDH	2.1618	0.0017
LINCSCP_143065	NA	1643	DDB2	2.5619	0.0017
LINCSCP_143065	NA	10513	APPBP2	2.6187	0.002
LINCSCP_143065	NA	10112	KIF20A	-2.4799	0.0023
LINCSCP_143065	NA	10038	PARP2	-2.1358	0.0024
LINCSCP_143065	NA	8821	INPP4B	2.1964	0.0024
LINCSCP_143065	NA	10904	BLCAP	2.0004	0.0027
LINCSCP_143065	NA	26020	LRP10	1.8998	0.003
LINCSCP_143065	NA	847	CAT	1.8486	0.0031
LINCSCP_143065	NA	8204	NRIP1	1.8549	0.0031
LINCSCP_143065	NA	3930	LBR	-1.8624	0.0033
LINCSCP_143065	NA	26227	PHGDH	-2.0425	0.0034
LINCSCP_143065	NA	2064	ERBB2	1.798	0.0039
LINCSCP_143065	NA	79961	DENND2D	1.9366	0.0043
LINCSCP_143065	NA	5480	PPIC	2.2819	0.0047
LINCSCP_143065	NA	22889	KIAA0907	-1.7709	0.0048
LINCSCP_143065	NA	9961	MVP	2.8579	0.0049
LINCSCP_143065	NA	891	CCNB1	-2.0597	0.0049
LINCSCP_143065	NA	2625	GATA3	2.5221	0.005
LINCSCP_143065	NA	6919	TCEA2	3.2227	0.0052
LINCSCP_143065	NA	39	ACAT2	-1.8285	0.0057
LINCSCP_143065	NA	8678	BECN1	2.459	0.0058
LINCSCP_143065	NA	1509	CTSD	1.8684	0.006
LINCSCP_143065	NA	7398	USP1	-1.8942	0.0061
LINCSCP_143065	NA	6839	SUV39H1	-1.5525	0.0062
LINCSCP_143065	NA	9928	KIF14	-2.124	0.0062
LINCSCP_143065	NA	1111	CHEK1	-1.5902	0.0062
LINCSCP_143065	NA	1802	DPH2	-1.9658	0.0063
LINCSCP_143065	NA	3300	DNAJB2	3.4617	0.0066
LINCSCP_143065	NA	2896	GRN	1.7101	0.0068
LINCSCP_143065	NA	25987	TSKU	2.3872	0.0068
LINCSCP_143065	NA	10652	YKT6	-1.5496	0.007
LINCSCP_143065	NA	7043	TGFB3	2.0853	0.0075
LINCSCP_143065	NA	8503	PIK3R3	2.8855	0.0076
LINCSCP_143065	NA	6790	AURKA	-1.4626	0.0078
LINCSCP_143065	NA	11065	UBE2C	-1.746	0.0081
LINCSCP_143065	NA	23588	KLHDC2	1.4988	0.0086
LINCSCP_143065	NA	899	CCNF	-1.5288	0.0091
LINCSCP_143065	NA	124583	CANT1	2.1322	0.0094
LINCSCP_143065	NA	9183	ZW10	-1.4593	0.0099
LINCSCP_143065	NA	84722	PSRC1	-2.1146	0.0103
LINCSCP_143065	NA	355	FAS	2.4408	0.0103
LINCSCP_143065	NA	7074	TIAM1	1.4251	0.0105
LINCSCP_143065	NA	5699	PSMB10	-1.5809	0.0108
LINCSCP_143065	NA	23223	RRP12	1.5731	0.0112
LINCSCP_143065	NA	5997	RGS2	3.8073	0.0113
LINCSCP_143065	NA	79090	TRAPPC6A	1.896	0.0114
LINCSCP_143065	NA	1001	CDH3	1.3583	0.0115
LINCSCP_143065	NA	11230	PRAF2	1.5933	0.0118
LINCSCP_143065	NA	993	CDC25A	-1.356	0.0119
LINCSCP_143065	NA	23076	RRP1B	-1.3036	0.0122
LINCSCP_143065	NA	890	CCNA2	-1.3493	0.0125
LINCSCP_143065	NA	2745	GLRX	1.516	0.0127
LINCSCP_143065	NA	2264	FGFR4	-1.3193	0.0132
LINCSCP_143065	NA	3202	HOXA5	2.625	0.0135
LINCSCP_143065	NA	7088	TLE1	1.2832	0.0139
LINCSCP_143065	NA	8318	CDC45	-1.2626	0.0141
LINCSCP_143065	NA	79716	NPEPL1	1.6584	0.0142
LINCSCP_143065	NA	7867	MAPKAPK3	-1.3034	0.0146
LINCSCP_143065	NA	3693	ITGB5	1.2746	0.0147
LINCSCP_143065	NA	1019	CDK4	-1.2729	0.0148
LINCSCP_143065	NA	7105	TSPAN6	1.2298	0.0152
LINCSCP_143065	NA	2553	GABPB1	-1.3856	0.0155
LINCSCP_143065	NA	4154	MBNL1	-1.7134	0.0155
LINCSCP_143065	NA	23659	PLA2G15	1.282	0.0156
LINCSCP_143065	NA	9276	COPB2	1.4331	0.016
LINCSCP_143065	NA	3988	LIPA	1.2389	0.0163
LINCSCP_143065	NA	55038	CDCA4	-1.5792	0.0163
LINCSCP_143065	NA	4792	NFKBIA	1.404	0.0165
LINCSCP_143065	NA	57804	POLD4	1.6247	0.0166
LINCSCP_143065	NA	672	BRCA1	-2.5232	0.0167
LINCSCP_143065	NA	9128	PRPF4	-1.8569	0.0173
LINCSCP_143065	NA	8480	RAE1	-1.2763	0.0176
LINCSCP_143065	NA	7027	TFDP1	-1.2449	0.0176
LINCSCP_143065	NA	9221	NOLC1	-1.7632	0.0177
LINCSCP_143065	NA	9126	SMC3	-1.5105	0.018
LINCSCP_143065	NA	2048	EPHB2	1.2897	0.0182
LINCSCP_143065	NA	23149	FCHO1	-1.6899	0.0184
LINCSCP_143065	NA	8914	TIMELESS	-1.3534	0.0191
LINCSCP_143065	NA	6709	SPTAN1	-1.1664	0.0192
LINCSCP_143065	NA	54541	DDIT4	1.2196	0.02
LINCSCP_143065	NA	5525	PPP2R5A	1.1757	0.0214
LINCSCP_143065	NA	1891	ECH1	1.5477	0.0218
LINCSCP_143065	NA	89910	UBE3B	2.3535	0.0218
LINCSCP_143065	NA	10318	TNIP1	1.2714	0.0219
LINCSCP_143065	NA	868	CBLB	1.2972	0.0222
LINCSCP_143065	NA	9797	TATDN2	-1.181	0.0225
LINCSCP_143065	NA	4582	MUC1	1.1633	0.0229
LINCSCP_143065	NA	2582	GALE	1.3055	0.0229
LINCSCP_143065	NA	4303	FOXO4	1.547	0.0235
LINCSCP_143065	NA	2673	GFPT1	-1.1634	0.0239
LINCSCP_143065	NA	3964	LGALS8	1.1286	0.024
LINCSCP_143065	NA	9918	NCAPD2	-1.9836	0.024
LINCSCP_143065	NA	4605	MYBL2	-1.1756	0.0244
LINCSCP_143065	NA	10450	PPIE	1.2347	0.0251
LINCSCP_143065	NA	2065	ERBB3	1.2768	0.0252
LINCSCP_143065	NA	57048	PLSCR3	1.5193	0.0256
LINCSCP_143065	NA	5347	PLK1	-4.3693	0.0257
LINCSCP_143065	NA	6908	TBP	-1.1514	0.0263
LINCSCP_143065	NA	51203	NUSAP1	-1.1862	0.0266
LINCSCP_143065	NA	9813	EFCAB14	1.1031	0.027
LINCSCP_143065	NA	5921	RASA1	2.1627	0.0271
LINCSCP_143065	NA	8061	FOSL1	1.2046	0.0271
