signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_131899	NA	9467	SH3BP5	3.1364	1e-4
LINCSCP_131899	NA	4925	NUCB2	4.2217	1e-4
LINCSCP_131899	NA	5909	RAP1GAP	2.3452	2e-4
LINCSCP_131899	NA	622	BDH1	2.3042	3e-4
LINCSCP_131899	NA	9926	LPGAT1	2.1544	3e-4
LINCSCP_131899	NA	4088	SMAD3	-1.9046	3e-4
LINCSCP_131899	NA	4043	LRPAP1	1.7147	4e-4
LINCSCP_131899	NA	7494	XBP1	1.6861	5e-4
LINCSCP_131899	NA	8870	IER3	3.0755	5e-4
LINCSCP_131899	NA	22934	RPIA	-1.7439	5e-4
LINCSCP_131899	NA	8324	FZD7	-1.619	6e-4
LINCSCP_131899	NA	5525	PPP2R5A	2.0375	6e-4
LINCSCP_131899	NA	50810	HDGFRP3	-2.0649	8e-4
LINCSCP_131899	NA	5018	OXA1L	1.4772	0.001
LINCSCP_131899	NA	26511	CHIC2	-1.3958	0.0011
LINCSCP_131899	NA	22796	COG2	1.5593	0.0011
LINCSCP_131899	NA	8821	INPP4B	-2.0889	0.0011
LINCSCP_131899	NA	4016	LOXL1	-1.5325	0.0012
LINCSCP_131899	NA	1891	ECH1	2.2451	0.0012
LINCSCP_131899	NA	230	ALDOC	1.8775	0.0012
LINCSCP_131899	NA	874	CBR3	1.6908	0.0012
LINCSCP_131899	NA	4609	MYC	-1.5469	0.0013
LINCSCP_131899	NA	5829	PXN	-1.8528	0.0013
LINCSCP_131899	NA	39	ACAT2	1.6163	0.0014
LINCSCP_131899	NA	10180	RBM6	1.3147	0.0016
LINCSCP_131899	NA	2745	GLRX	1.3176	0.0016
LINCSCP_131899	NA	5782	PTPN12	-2.1739	0.0021
LINCSCP_131899	NA	11098	PRSS23	1.5887	0.0022
LINCSCP_131899	NA	2548	GAA	1.3929	0.0025
LINCSCP_131899	NA	23325	KIAA1033	1.6564	0.0029
LINCSCP_131899	NA	3157	HMGCS1	1.3706	0.0034
LINCSCP_131899	NA	8202	NCOA3	1.1696	0.0034
LINCSCP_131899	NA	26054	SENP6	-1.5112	0.0034
LINCSCP_131899	NA	5019	OXCT1	1.4545	0.0037
