signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_31829	NA	3337	DNAJB1	-10	0.001
LINCSCP_31829	NA	4792	NFKBIA	-10	0.001
LINCSCP_31829	NA	8204	NRIP1	-10	0.001
LINCSCP_31829	NA	10038	PARP2	-10	0.001
LINCSCP_31829	NA	23210	JMJD6	-10	0.001
LINCSCP_31829	NA	25805	BAMBI	-10	0.001
LINCSCP_31829	NA	4609	MYC	-9.8758	0.0011
LINCSCP_31829	NA	2625	GATA3	-9.4423	0.0015
LINCSCP_31829	NA	26520	TIMM9	-8.5251	0.0021
LINCSCP_31829	NA	7088	TLE1	-9.1003	0.0022
LINCSCP_31829	NA	8869	ST3GAL5	8.9158	0.0025
LINCSCP_31829	NA	991	CDC20	-8.8402	0.003
LINCSCP_31829	NA	9531	BAG3	-7.0559	0.0033
LINCSCP_31829	NA	124583	CANT1	-6.5418	0.0041
LINCSCP_31829	NA	4144	MAT2A	-8.5827	0.0042
LINCSCP_31829	NA	51742	ARID4B	-7.1872	0.0052
LINCSCP_31829	NA	9817	KEAP1	-8.3796	0.0055
LINCSCP_31829	NA	57215	THAP11	-5.8796	0.0055
LINCSCP_31829	NA	10765	KDM5B	-6.5614	0.007
LINCSCP_31829	NA	23326	USP22	-8.1867	0.0071
LINCSCP_31829	NA	54915	YTHDF1	-8.0336	0.0087
LINCSCP_31829	NA	54541	DDIT4	-7.8056	0.0088
LINCSCP_31829	NA	8870	IER3	-5.1947	0.0089
LINCSCP_31829	NA	1983	EIF5	-7.9971	0.0091
LINCSCP_31829	NA	5696	PSMB8	5.3738	0.0092
LINCSCP_31829	NA	4783	NFIL3	-4.8952	0.0098
LINCSCP_31829	NA	10513	APPBP2	5.1715	0.0102
LINCSCP_31829	NA	899	CCNF	-5.6387	0.0106
LINCSCP_31829	NA	8553	BHLHE40	4.9633	0.0108
LINCSCP_31829	NA	11065	UBE2C	-4.7247	0.0109
LINCSCP_31829	NA	993	CDC25A	-5.1339	0.0112
LINCSCP_31829	NA	5347	PLK1	-7.7676	0.0122
LINCSCP_31829	NA	10276	NET1	-6.8256	0.0122
LINCSCP_31829	NA	84722	PSRC1	-5.036	0.0125
LINCSCP_31829	NA	10904	BLCAP	-4.7506	0.0128
LINCSCP_31829	NA	1050	CEBPA	-4.3682	0.0134
LINCSCP_31829	NA	6304	SATB1	7.6543	0.014
LINCSCP_31829	NA	25987	TSKU	-5.409	0.0142
LINCSCP_31829	NA	54512	EXOSC4	-7.6225	0.0146
LINCSCP_31829	NA	6790	AURKA	-7.4338	0.0149
LINCSCP_31829	NA	1022	CDK7	-7.3375	0.0161
LINCSCP_31829	NA	6839	SUV39H1	-4.5517	0.0161
LINCSCP_31829	NA	348	APOE	4.6536	0.0162
LINCSCP_31829	NA	8574	AKR7A2	4.201	0.0164
LINCSCP_31829	NA	9134	CCNE2	-4.9478	0.0174
LINCSCP_31829	NA	11232	POLG2	-5.3217	0.019
LINCSCP_31829	NA	79961	DENND2D	-3.7346	0.0216
LINCSCP_31829	NA	637	BID	3.8246000000000002	0.0217
LINCSCP_31829	NA	3303	HSPA1A	-4.0611	0.022
LINCSCP_31829	NA	6908	TBP	-5.0835	0.0221
LINCSCP_31829	NA	26054	SENP6	-5.662	0.0226
LINCSCP_31829	NA	23335	WDR7	7.2288	0.0232
LINCSCP_31829	NA	5710	PSMD4	3.5377	0.0246
LINCSCP_31829	NA	57761	TRIB3	-7.1773	0.0246
LINCSCP_31829	NA	11011	TLK2	-7.0784	0.0275
LINCSCP_31829	NA	3480	IGF1R	-4.2	0.0276
LINCSCP_31829	NA	891	CCNB1	-3.6587	0.0282
LINCSCP_31829	NA	5019	OXCT1	3.3535	0.0287
LINCSCP_31829	NA	7159	TP53BP2	-5.7862	0.0288
LINCSCP_31829	NA	1514	CTSL	3.3249	0.0291
LINCSCP_31829	NA	7153	TOP2A	-7.021	0.0293
LINCSCP_31829	NA	5836	PYGL	4.0146	0.0294
LINCSCP_31829	NA	5654	HTRA1	3.4303	0.0296
LINCSCP_31829	NA	1891	ECH1	3.2906	0.0304
LINCSCP_31829	NA	5547	PRCP	3.2704	0.0304
LINCSCP_31829	NA	79600	TCTN1	3.6165	0.0316
LINCSCP_31829	NA	57804	POLD4	3.2073	0.0321
LINCSCP_31829	NA	8202	NCOA3	-5.4314	0.0321
LINCSCP_31829	NA	29937	NENF	3.3058	0.0326
LINCSCP_31829	NA	51116	MRPS2	-3.3005	0.0328
LINCSCP_31829	NA	25803	SPDEF	-3.5112	0.0342
LINCSCP_31829	NA	2553	GABPB1	-3.411	0.0343
LINCSCP_31829	NA	7494	XBP1	-6.8428	0.0345
LINCSCP_31829	NA	6659	SOX4	-4.7404	0.0346
LINCSCP_31829	NA	4690	NCK1	-3.6928	0.0348
LINCSCP_31829	NA	5257	PHKB	3.4377	0.0348
LINCSCP_31829	NA	890	CCNA2	-4.2687	0.0359
LINCSCP_31829	NA	4088	SMAD3	-3.174	0.0369
LINCSCP_31829	NA	79090	TRAPPC6A	3.1357	0.0385
LINCSCP_31829	NA	11014	KDELR2	3.0173	0.0393
LINCSCP_31829	NA	2771	GNAI2	3.343	0.0397
LINCSCP_31829	NA	10285	SMNDC1	-3.4916	0.0419
LINCSCP_31829	NA	1385	CREB1	-3.2239	0.0426
LINCSCP_31829	NA	847	CAT	2.8992	0.0429
LINCSCP_31829	NA	55324	ABCF3	-3.1025	0.043
LINCSCP_31829	NA	5900	RALGDS	-3.8809	0.043
LINCSCP_31829	NA	1666	DECR1	3.2475	0.0432
LINCSCP_31829	NA	1846	DUSP4	-4.2417	0.0435
LINCSCP_31829	NA	51335	NGRN	3.2146	0.0438
LINCSCP_31829	NA	6909	TBX2	-3.6917	0.0439
LINCSCP_31829	NA	3028	HSD17B10	2.8584	0.0443
LINCSCP_31829	NA	533	ATP6V0B	2.883	0.0456
LINCSCP_31829	NA	1950	EGF	2.8833	0.0467
LINCSCP_31829	NA	2548	GAA	2.7708	0.0473
LINCSCP_31829	NA	10681	GNB5	2.8155	0.0487
LINCSCP_31829	NA	4312	MMP1	3.3626	0.0493
LINCSCP_31829	NA	8349	HIST2H2BE	2.7245	0.0494
LINCSCP_31829	NA	2817	GPC1	2.8409	0.0498
LINCSCP_31829	NA	22934	RPIA	3.4419	0.0501
LINCSCP_31829	NA	54386	TERF2IP	-2.7275	0.0504
LINCSCP_31829	NA	1277	COL1A1	4.1486	0.051
LINCSCP_31829	NA	51719	CAB39	-2.6829	0.0513
LINCSCP_31829	NA	10051	SMC4	-5.762	0.0514
LINCSCP_31829	NA	7077	TIMP2	3.3611	0.052
LINCSCP_31829	NA	25	ABL1	-2.6686	0.0528
LINCSCP_31829	NA	5236	PGM1	3.5888	0.0531
LINCSCP_31829	NA	4482	MSRA	2.803	0.0544
LINCSCP_31829	NA	26227	PHGDH	2.6555	0.055
LINCSCP_31829	NA	727	C5	3.6626	0.0554
LINCSCP_31829	NA	5873	RAB27A	2.6109	0.0556
LINCSCP_31829	NA	10589	DRAP1	2.6749	0.0563
LINCSCP_31829	NA	10523	CHERP	-2.9773	0.0563
LINCSCP_31829	NA	1398	CRK	-2.6275	0.0567
LINCSCP_31829	NA	4125	MAN2B1	2.5514	0.0591
LINCSCP_31829	NA	66008	TRAK2	2.6148	0.0594
LINCSCP_31829	NA	5588	PRKCQ	2.5112	0.0606
LINCSCP_31829	NA	47	ACLY	3.1982	0.0607
LINCSCP_31829	NA	8270	LAGE3	2.5394	0.0608
