signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_17124	NA	5993	RFX5	-4.6313	0
LINCSCP_17124	NA	10489	LRRC41	-4.5079	0
LINCSCP_17124	NA	5909	RAP1GAP	4.5061	0
LINCSCP_17124	NA	6804	STX1A	4.7177	0
LINCSCP_17124	NA	8061	FOSL1	-4.114	0
LINCSCP_17124	NA	5997	RGS2	5.6561	1e-4
LINCSCP_17124	NA	85236	HIST1H2BK	2.7193	1e-4
LINCSCP_17124	NA	10058	ABCB6	2.7615	1e-4
LINCSCP_17124	NA	7296	TXNRD1	2.6137	1e-4
LINCSCP_17124	NA	874	CBR3	-4.1276	1e-4
LINCSCP_17124	NA	6659	SOX4	3.271	1e-4
LINCSCP_17124	NA	10237	SLC35B1	-2.5296	1e-4
LINCSCP_17124	NA	6696	SPP1	4.0149	1e-4
LINCSCP_17124	NA	1026	CDKN1A	4.7245	2e-4
LINCSCP_17124	NA	392	ARHGAP1	-2.4192	2e-4
LINCSCP_17124	NA	55748	CNDP2	-2.7581	2e-4
LINCSCP_17124	NA	4792	NFKBIA	-4.6043	2e-4
LINCSCP_17124	NA	2745	GLRX	3.3641	2e-4
LINCSCP_17124	NA	85377	MICALL1	-3.5164	2e-4
LINCSCP_17124	NA	8202	NCOA3	3.7652	2e-4
LINCSCP_17124	NA	9805	SCRN1	-2.5723	2e-4
LINCSCP_17124	NA	9488	PIGB	-2.245	3e-4
LINCSCP_17124	NA	25	ABL1	-2.4836	3e-4
LINCSCP_17124	NA	5603	MAPK13	-2.5377	3e-4
LINCSCP_17124	NA	8804	CREG1	4.3947	3e-4
LINCSCP_17124	NA	51031	GLOD4	-2.4436	3e-4
LINCSCP_17124	NA	3988	LIPA	2.0133	4e-4
LINCSCP_17124	NA	7466	WFS1	3.9089	4e-4
LINCSCP_17124	NA	154	ADRB2	4.9879	4e-4
LINCSCP_17124	NA	6919	TCEA2	2.1713	4e-4
LINCSCP_17124	NA	8870	IER3	2.5312	4e-4
LINCSCP_17124	NA	7849	PAX8	-2.1543	4e-4
LINCSCP_17124	NA	10362	HMG20B	2.2146	4e-4
LINCSCP_17124	NA	5357	PLS1	2.1757	5e-4
LINCSCP_17124	NA	7866	IFRD2	-2.2594	5e-4
LINCSCP_17124	NA	26227	PHGDH	2.3888	6e-4
LINCSCP_17124	NA	23670	TMEM2	1.8628	6e-4
LINCSCP_17124	NA	6839	SUV39H1	-2.3177	6e-4
LINCSCP_17124	NA	5891	MOK	-4.8592	6e-4
LINCSCP_17124	NA	664	BNIP3	-3.195	7e-4
LINCSCP_17124	NA	5236	PGM1	-2.7519	7e-4
LINCSCP_17124	NA	3925	STMN1	-4.4775	7e-4
LINCSCP_17124	NA	644	BLVRA	2.5625	8e-4
LINCSCP_17124	NA	873	CBR1	2.2175	8e-4
LINCSCP_17124	NA	226	ALDOA	-2.1346	8e-4
LINCSCP_17124	NA	2356	FPGS	-2.0894	9e-4
LINCSCP_17124	NA	2548	GAA	2.462	9e-4
LINCSCP_17124	NA	9961	MVP	1.7465	0.001
LINCSCP_17124	NA	7157	TP53	-1.9369	0.001
LINCSCP_17124	NA	22809	ATF5	-6.336	0.001
LINCSCP_17124	NA	1213	CLTC	-1.7381	0.0011
LINCSCP_17124	NA	6050	RNH1	-2.177	0.0011
LINCSCP_17124	NA	23139	MAST2	1.8715	0.0011
LINCSCP_17124	NA	481	ATP1B1	3.547	0.0011
LINCSCP_17124	NA	5699	PSMB10	-2.3349	0.0012
LINCSCP_17124	NA	10227	MFSD10	-2.0113	0.0014
LINCSCP_17124	NA	6790	AURKA	-2.8631	0.0014
LINCSCP_17124	NA	1509	CTSD	1.5634	0.0014
LINCSCP_17124	NA	10493	VAT1	1.6139	0.0015
LINCSCP_17124	NA	11004	KIF2C	1.7506	0.0016
LINCSCP_17124	NA	6182	MRPL12	-1.635	0.0017
LINCSCP_17124	NA	5641	LGMN	1.8959	0.0017
LINCSCP_17124	NA	11284	PNKP	1.5035	0.0018
LINCSCP_17124	NA	4172	MCM3	-3.3229	0.0019
LINCSCP_17124	NA	10494	STK25	-2.0525	0.002
LINCSCP_17124	NA	3628	INPP1	1.866	0.002
LINCSCP_17124	NA	60493	FASTKD5	-1.8631	0.002
LINCSCP_17124	NA	5427	POLE2	-1.6178	0.0021
LINCSCP_17124	NA	25976	TIPARP	1.999	0.0021
LINCSCP_17124	NA	5836	PYGL	2.2063	0.0022
LINCSCP_17124	NA	1846	DUSP4	2.8599	0.0022
LINCSCP_17124	NA	1647	GADD45A	1.6462	0.0022
LINCSCP_17124	NA	207	AKT1	-1.8917	0.0023
LINCSCP_17124	NA	6812	STXBP1	1.8781	0.0023
LINCSCP_17124	NA	7416	VDAC1	-5.1975	0.0024
LINCSCP_17124	NA	11065	UBE2C	-2.6764	0.0025
LINCSCP_17124	NA	2264	FGFR4	1.387	0.0025
LINCSCP_17124	NA	5211	PFKL	-1.4205	0.0025
LINCSCP_17124	NA	3162	HMOX1	1.487	0.0026
LINCSCP_17124	NA	6253	RTN2	1.3513	0.0026
LINCSCP_17124	NA	9686	VGLL4	-2.0048	0.0027
LINCSCP_17124	NA	65123	INTS3	-1.8245	0.0027
LINCSCP_17124	NA	1848	DUSP6	1.7855	0.0027
LINCSCP_17124	NA	6195	RPS6KA1	1.5002	0.0028
LINCSCP_17124	NA	3800	KIF5C	5.4332	0.0028
LINCSCP_17124	NA	9289	ADGRG1	2.0137	0.0028
LINCSCP_17124	NA	1956	EGFR	1.469	0.0029
LINCSCP_17124	NA	22883	CLSTN1	1.3646	0.0029
LINCSCP_17124	NA	54681	P4HTM	-1.576	0.0031
LINCSCP_17124	NA	56654	NPDC1	1.6007	0.0033
LINCSCP_17124	NA	10921	RNPS1	-1.5268	0.0033
LINCSCP_17124	NA	2063	NR2F6	-1.7712	0.0035
LINCSCP_17124	NA	11344	TWF2	1.3791	0.0035
LINCSCP_17124	NA	50865	HEBP1	3.1102	0.0036
LINCSCP_17124	NA	5111	PCNA	-1.6483	0.0038
LINCSCP_17124	NA	23636	NUP62	-1.9205	0.0038
LINCSCP_17124	NA	25805	BAMBI	2.6733	0.0039
LINCSCP_17124	NA	3206	HOXA10	-3.4264	0.004
LINCSCP_17124	NA	22823	MTF2	1.8598	0.0041
LINCSCP_17124	NA	5366	PMAIP1	2.0451	0.0042
LINCSCP_17124	NA	10046	MAMLD1	1.4935	0.0043
LINCSCP_17124	NA	9455	HOMER2	-1.3329	0.0045
LINCSCP_17124	NA	2131	EXT1	1.338	0.0045
LINCSCP_17124	NA	79080	CCDC86	-2.0251	0.0045
LINCSCP_17124	NA	8914	TIMELESS	-1.6826	0.0048
LINCSCP_17124	NA	670	BPHL	1.1582	0.0051
LINCSCP_17124	NA	79094	CHAC1	1.2366	0.0052
LINCSCP_17124	NA	5110	PCMT1	1.2941	0.0052
LINCSCP_17124	NA	8678	BECN1	-2.571	0.0052
LINCSCP_17124	NA	81544	GDPD5	1.6709	0.0053
LINCSCP_17124	NA	6990	DYNLT3	2.5072	0.0054
LINCSCP_17124	NA	26136	TES	1.4946	0.0054
LINCSCP_17124	NA	3482	IGF2R	1.4228	0.0056
LINCSCP_17124	NA	29911	HOOK2	2.9672	0.006
LINCSCP_17124	NA	3028	HSD17B10	-1.3675	0.0061
LINCSCP_17124	NA	10606	PAICS	-1.4093	0.0062
LINCSCP_17124	NA	10051	SMC4	-1.4383	0.0066
LINCSCP_17124	NA	6342	SCP2	-1.1492	0.0066
LINCSCP_17124	NA	8312	AXIN1	-1.2435	0.0068
LINCSCP_17124	NA	90861	HN1L	-1.6947	0.007
LINCSCP_17124	NA	79921	TCEAL4	-1.6136	0.007
LINCSCP_17124	NA	1891	ECH1	1.0905	0.0071
LINCSCP_17124	NA	868	CBLB	2.412	0.0072
LINCSCP_17124	NA	55620	STAP2	-1.5325	0.0075
LINCSCP_17124	NA	10775	POP4	-1.9795	0.0075
LINCSCP_17124	NA	4313	MMP2	-1.4129	0.0075
LINCSCP_17124	NA	890	CCNA2	-1.4331	0.008
LINCSCP_17124	NA	8574	AKR7A2	1.6913	0.0082
LINCSCP_17124	NA	533	ATP6V0B	1.2302	0.0086
LINCSCP_17124	NA	3280	HES1	2.9297	0.0088
LINCSCP_17124	NA	11157	LSM6	-1.136	0.0092
LINCSCP_17124	NA	5355	PLP2	-1.5614	0.0092
LINCSCP_17124	NA	3385	ICAM3	-1.1362	0.0093
LINCSCP_17124	NA	22796	COG2	1.3986	0.0093
LINCSCP_17124	NA	79006	METRN	1.0505	0.0094
LINCSCP_17124	NA	9517	SPTLC2	-1.4635	0.0094
LINCSCP_17124	NA	79902	NUP85	-1.7185	0.0095
LINCSCP_17124	NA	1514	CTSL	1.6777	0.0099
LINCSCP_17124	NA	1802	DPH2	-1.5708	0.0099
LINCSCP_17124	NA	23039	XPO7	-1.0505	0.0099
LINCSCP_17124	NA	11137	PWP1	-3.321	0.01
LINCSCP_17124	NA	1981	EIF4G1	-1.0734	0.01
LINCSCP_17124	NA	55847	CISD1	1.521	0.0101
LINCSCP_17124	NA	55256	ADI1	-1.3981	0.0101
LINCSCP_17124	NA	6599	SMARCC1	-1.0755	0.0111
LINCSCP_17124	NA	2534	FYN	2.7872	0.0113
LINCSCP_17124	NA	11182	SLC2A6	-1.8748	0.0114
LINCSCP_17124	NA	10915	TCERG1	-1.621	0.0114
LINCSCP_17124	NA	5347	PLK1	-1.3875	0.0115
LINCSCP_17124	NA	4331	MNAT1	1.5823	0.0116
LINCSCP_17124	NA	7511	XPNPEP1	-1.359	0.0117
LINCSCP_17124	NA	4925	NUCB2	1.082	0.0117
LINCSCP_17124	NA	7074	TIAM1	2.1279	0.012
LINCSCP_17124	NA	23212	RRS1	-1.5694	0.0122
LINCSCP_17124	NA	3337	DNAJB1	1.4615	0.0122
LINCSCP_17124	NA	10285	SMNDC1	-2.7935	0.0122
LINCSCP_17124	NA	9817	KEAP1	-1.3295	0.0122
LINCSCP_17124	NA	5743	PTGS2	2.5612	0.0123
LINCSCP_17124	NA	2624	GATA2	2.1558	0.0123
LINCSCP_17124	NA	5982	RFC2	2.1392	0.0124
LINCSCP_17124	NA	2896	GRN	1.1168	0.0128
LINCSCP_17124	NA	23224	SYNE2	-0.9805	0.0129
LINCSCP_17124	NA	66008	TRAK2	1.241	0.013
LINCSCP_17124	NA	29937	NENF	1.1392	0.0134
LINCSCP_17124	NA	7165	TPD52L2	-3.6183	0.0139
LINCSCP_17124	NA	2037	EPB41L2	1.1541	0.0142
LINCSCP_17124	NA	142	PARP1	-1.0856	0.0145
LINCSCP_17124	NA	5050	PAFAH1B3	1.0832	0.0146
LINCSCP_17124	NA	6119	RPA3	1.5329	0.0148
LINCSCP_17124	NA	8480	RAE1	-0.9966	0.0152
LINCSCP_17124	NA	581	BAX	-1.5389	0.0152
LINCSCP_17124	NA	10038	PARP2	-1.8943	0.0153
LINCSCP_17124	NA	79090	TRAPPC6A	0.9192	0.0158
LINCSCP_17124	NA	3693	ITGB5	1.2714	0.016
LINCSCP_17124	NA	54881	TEX10	-1.1924	0.0165
LINCSCP_17124	NA	23658	LSM5	-1.1532	0.0166
LINCSCP_17124	NA	54386	TERF2IP	-1.5735	0.0168
LINCSCP_17124	NA	5708	PSMD2	-1.3581	0.0169
LINCSCP_17124	NA	9653	HS2ST1	1.164	0.0174
LINCSCP_17124	NA	5971	RELB	-1.3856	0.0178
LINCSCP_17124	NA	10523	CHERP	-1.9725	0.0178
LINCSCP_17124	NA	9212	AURKB	-1.1183	0.018
LINCSCP_17124	NA	10112	KIF20A	-1.429	0.0181
LINCSCP_17124	NA	11031	RAB31	1.1809	0.0183
LINCSCP_17124	NA	993	CDC25A	-0.9712	0.0184
LINCSCP_17124	NA	6988	TCTA	2.1804	0.0184
LINCSCP_17124	NA	79850	FAM57A	-3.2203	0.0188
LINCSCP_17124	NA	9133	CCNB2	-2.008	0.0189
LINCSCP_17124	NA	5899	RALB	-1.195	0.0191
LINCSCP_17124	NA	7538	ZFP36	0.9835	0.0191
LINCSCP_17124	NA	9276	COPB2	-2.8282	0.0191
LINCSCP_17124	NA	10732	TCFL5	0.967	0.0195
LINCSCP_17124	NA	9847	C2CD5	-1.4297	0.0199
LINCSCP_17124	NA	1861	TOR1A	-1.5468	0.0203
LINCSCP_17124	NA	8318	CDC45	-0.8822	0.0204
LINCSCP_17124	NA	4851	NOTCH1	0.9437	0.0207
LINCSCP_17124	NA	4605	MYBL2	-0.8558	0.0209
LINCSCP_17124	NA	3638	INSIG1	1.2283	0.0213
LINCSCP_17124	NA	116832	RPL39L	2.3105	0.0224
LINCSCP_17124	NA	6813	STXBP2	-2.6216	0.0224
LINCSCP_17124	NA	10329	TMEM5	0.9865	0.0225
LINCSCP_17124	NA	51293	CD320	1.3864	0.0226
LINCSCP_17124	NA	3303	HSPA1A	1.4187	0.0227
LINCSCP_17124	NA	9217	VAPB	-1.2511	0.0227
LINCSCP_17124	NA	80347	COASY	-1.6756	0.0228
LINCSCP_17124	NA	23131	GPATCH8	-0.9771	0.0231
LINCSCP_17124	NA	6117	RPA1	1.0168	0.0232
LINCSCP_17124	NA	3329	HSPD1	-1.0988	0.0234
LINCSCP_17124	NA	23077	MYCBP2	0.8057	0.024
LINCSCP_17124	NA	4927	NUP88	-1.0485	0.0247
LINCSCP_17124	NA	9928	KIF14	-0.8326	0.025
LINCSCP_17124	NA	8869	ST3GAL5	1.776	0.026
LINCSCP_17124	NA	6509	SLC1A4	3.534	0.026
LINCSCP_17124	NA	7982	ST7	-0.8537	0.0262
LINCSCP_17124	NA	3091	HIF1A	1.2025	0.0262
LINCSCP_17124	NA	23038	WDTC1	1.0595	0.0267
LINCSCP_17124	NA	79716	NPEPL1	-2.5404	0.0269
LINCSCP_17124	NA	1605	DAG1	0.9986	0.027
LINCSCP_17124	NA	23499	MACF1	-1.1309	0.0271
LINCSCP_17124	NA	84617	TUBB6	-1.6286	0.0272
LINCSCP_17124	NA	7106	TSPAN4	-1.2577	0.0273
LINCSCP_17124	NA	9833	MELK	-1.034	0.0274
LINCSCP_17124	NA	9552	SPAG7	-1.544	0.0275
LINCSCP_17124	NA	26001	RNF167	-2.0276	0.0284
LINCSCP_17124	NA	4864	NPC1	1.4019	0.0284
LINCSCP_17124	NA	23326	USP22	-1.1375	0.0289
LINCSCP_17124	NA	26128	KIF1BP	-3.2164	0.029
LINCSCP_17124	NA	836	CASP3	0.9545	0.0292
LINCSCP_17124	NA	2956	MSH6	-1.277	0.0293
LINCSCP_17124	NA	823	CAPN1	-1.4548	0.0294
LINCSCP_17124	NA	47	ACLY	-0.876	0.0295
LINCSCP_17124	NA	27095	TRAPPC3	0.7986	0.0295
LINCSCP_17124	NA	3964	LGALS8	-0.908	0.0298
LINCSCP_17124	NA	8837	CFLAR	-1.1247	0.0306
LINCSCP_17124	NA	9761	MLEC	-1.0166	0.0307
LINCSCP_17124	NA	2771	GNAI2	-0.8887	0.0308
LINCSCP_17124	NA	1050	CEBPA	1.1601	0.0309
LINCSCP_17124	NA	10398	MYL9	-1.0041	0.031
LINCSCP_17124	NA	9926	LPGAT1	-1.5955	0.0314
LINCSCP_17124	NA	10782	ZNF274	0.7939	0.0314
LINCSCP_17124	NA	5607	MAP2K5	-1.0165	0.0318
LINCSCP_17124	NA	54957	TXNL4B	0.8709	0.0321
LINCSCP_17124	NA	896	CCND3	1.3883	0.0328
LINCSCP_17124	NA	54442	KCTD5	-0.7435	0.0332
LINCSCP_17124	NA	22827	PUF60	-1.2311	0.0333
LINCSCP_17124	NA	29928	TIMM22	1.0369	0.0336
LINCSCP_17124	NA	8050	PDHX	-1.5625	0.0346
LINCSCP_17124	NA	4860	PNP	0.8571	0.0353
LINCSCP_17124	NA	7105	TSPAN6	-0.9788	0.0353
LINCSCP_17124	NA	2184	FAH	1.2274	0.0355
LINCSCP_17124	NA	8553	BHLHE40	-1.9816	0.0357
LINCSCP_17124	NA	11041	B4GAT1	0.7352	0.0357
LINCSCP_17124	NA	23338	JADE2	-1.677	0.0359
LINCSCP_17124	NA	55111	PLEKHJ1	-0.9618	0.0361
LINCSCP_17124	NA	23097	CDK19	0.7904	0.0368
LINCSCP_17124	NA	5770	PTPN1	1.2195	0.0373
LINCSCP_17124	NA	976	ADGRE5	1.3016	0.0382
LINCSCP_17124	NA	57149	LYRM1	1.555	0.0386
LINCSCP_17124	NA	6908	TBP	-1.0378	0.0388
LINCSCP_17124	NA	51742	ARID4B	-1.0368	0.039
LINCSCP_17124	NA	5580	PRKCD	-1.142	0.0396
LINCSCP_17124	NA	11073	TOPBP1	-1.0167	0.0403
LINCSCP_17124	NA	8508	NIPSNAP1	1.0977	0.0405
LINCSCP_17124	NA	10969	EBNA1BP2	-1.1263	0.0406
LINCSCP_17124	NA	10953	TOMM34	-0.9764	0.0417
LINCSCP_17124	NA	6915	TBXA2R	0.737	0.0435
LINCSCP_17124	NA	10146	G3BP1	1.1197	0.0436
LINCSCP_17124	NA	2309	FOXO3	-1.3238	0.0436
LINCSCP_17124	NA	4609	MYC	-0.9705	0.0442
LINCSCP_17124	NA	5529	PPP2R5E	-0.949	0.0442
LINCSCP_17124	NA	4931	NVL	0.7682	0.0448
LINCSCP_17124	NA	7048	TGFBR2	-1.2919	0.0455
LINCSCP_17124	NA	64943	NT5DC2	-1.3837	0.0458
LINCSCP_17124	NA	847	CAT	0.8837	0.047
LINCSCP_17124	NA	5986	RFNG	-1.067	0.0481
