signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_133492	NA	9128	PRPF4	-5.4842	2e-4
LINCSCP_133492	NA	622	BDH1	-3.6622	3e-4
LINCSCP_133492	NA	26227	PHGDH	-2.7797	3e-4
LINCSCP_133492	NA	23365	ARHGEF12	4.5736	4e-4
LINCSCP_133492	NA	991	CDC20	-3.6661	4e-4
LINCSCP_133492	NA	4043	LRPAP1	-3.7539	6e-4
LINCSCP_133492	NA	10513	APPBP2	3.2855	7e-4
LINCSCP_133492	NA	8870	IER3	-2.6294	7e-4
LINCSCP_133492	NA	533	ATP6V0B	-2.6963	7e-4
LINCSCP_133492	NA	1983	EIF5	-2.4766	8e-4
LINCSCP_133492	NA	11232	POLG2	-4.8552	9e-4
LINCSCP_133492	NA	79143	MBOAT7	-3.4659	9e-4
LINCSCP_133492	NA	29763	PACSIN3	-3.5566	0.001
LINCSCP_133492	NA	23210	JMJD6	-2.4932	0.001
LINCSCP_133492	NA	8573	CASK	-2.4071	0.0011
LINCSCP_133492	NA	4482	MSRA	3.1506	0.0014
LINCSCP_133492	NA	55793	FAM63A	-2.8641	0.0016
LINCSCP_133492	NA	3028	HSD17B10	-2.296	0.0017
LINCSCP_133492	NA	3162	HMOX1	-2.2657	0.0017
LINCSCP_133492	NA	54915	YTHDF1	3.6527	0.0019
LINCSCP_133492	NA	51031	GLOD4	-4.8813	0.002
LINCSCP_133492	NA	2582	GALE	-2.2389	0.0021
LINCSCP_133492	NA	8869	ST3GAL5	2.732	0.0021
LINCSCP_133492	NA	727	C5	2.3945	0.0023
LINCSCP_133492	NA	51021	MRPS16	-2.9148	0.0023
LINCSCP_133492	NA	581	BAX	3.6798	0.0024
LINCSCP_133492	NA	10610	ST6GALNAC2	3.3205	0.0025
LINCSCP_133492	NA	2553	GABPB1	-2.1258	0.0025
LINCSCP_133492	NA	10273	STUB1	-2.4889	0.0026
LINCSCP_133492	NA	26520	TIMM9	-2.1949	0.0026
LINCSCP_133492	NA	27095	TRAPPC3	-2.6207	0.0029
LINCSCP_133492	NA	501	ALDH7A1	2.0842	0.0029
LINCSCP_133492	NA	51293	CD320	-2.2818	0.0031
LINCSCP_133492	NA	11098	PRSS23	-2.0617	0.0032
LINCSCP_133492	NA	6390	SDHB	-2.0192	0.0032
LINCSCP_133492	NA	5770	PTPN1	2.5969	0.0035
LINCSCP_133492	NA	54205	CYCS	-3.475	0.0037
LINCSCP_133492	NA	83743	GRWD1	-2.3416	0.0037
LINCSCP_133492	NA	8050	PDHX	-2.0426	0.0038
LINCSCP_133492	NA	154	ADRB2	2.3882	0.0038
LINCSCP_133492	NA	25793	FBXO7	-2.3958	0.0038
LINCSCP_133492	NA	4282	MIF	-3.1305	0.004
LINCSCP_133492	NA	47	ACLY	-1.9845	0.004
LINCSCP_133492	NA	10038	PARP2	-2.2427	0.0041
LINCSCP_133492	NA	7867	MAPKAPK3	-2.8615	0.0042
LINCSCP_133492	NA	7015	TERT	2.1263	0.0042
LINCSCP_133492	NA	5223	PGAM1	-2.0145	0.0043
LINCSCP_133492	NA	5747	PTK2	2.6471	0.0044
LINCSCP_133492	NA	55958	KLHL9	2.0187	0.0046
LINCSCP_133492	NA	7082	TJP1	2.118	0.0047
LINCSCP_133492	NA	3337	DNAJB1	-2.1129	0.0047
LINCSCP_133492	NA	57147	SCYL3	2.5704	0.0049
LINCSCP_133492	NA	6182	MRPL12	-1.9165	0.0049
LINCSCP_133492	NA	6195	RPS6KA1	-2.0263	0.005
LINCSCP_133492	NA	80349	WDR61	-2.0034	0.005
LINCSCP_133492	NA	51116	MRPS2	-1.9414	0.0051
LINCSCP_133492	NA	7994	KAT6A	2.8547	0.0051
LINCSCP_133492	NA	10972	TMED10	-1.9439	0.0052
LINCSCP_133492	NA	57215	THAP11	-1.9373	0.0052
LINCSCP_133492	NA	3157	HMGCS1	-2.2938	0.0052
LINCSCP_133492	NA	2736	GLI2	2.7201	0.0052
LINCSCP_133492	NA	332	BIRC5	-1.8816	0.0052
LINCSCP_133492	NA	5708	PSMD2	-1.8938	0.0053
LINCSCP_133492	NA	23647	ARFIP2	-2.1971	0.0053
LINCSCP_133492	NA	9637	FEZ2	3.7954	0.0057
LINCSCP_133492	NA	9690	UBE3C	-2.4137	0.0058
LINCSCP_133492	NA	25987	TSKU	-1.9074	0.0059
LINCSCP_133492	NA	310	ANXA7	-1.9071	0.0059
LINCSCP_133492	NA	6464	SHC1	-2.4515	0.006
LINCSCP_133492	NA	9988	DMTF1	-2.4162	0.006
LINCSCP_133492	NA	3312	HSPA8	-1.9965	0.0061
LINCSCP_133492	NA	2770	GNAI1	2.4821	0.0061
LINCSCP_133492	NA	1465	CSRP1	-1.9026	0.0065
LINCSCP_133492	NA	23512	SUZ12	2.0345	0.0066
LINCSCP_133492	NA	4836	NMT1	1.8164	0.0066
LINCSCP_133492	NA	5438	POLR2I	-1.8428	0.0068
LINCSCP_133492	NA	10969	EBNA1BP2	-1.8564	0.0068
LINCSCP_133492	NA	3682	ITGAE	-1.9249	0.0068
LINCSCP_133492	NA	57804	POLD4	2.3743	0.0069
LINCSCP_133492	NA	8480	RAE1	-2.3162	0.007
LINCSCP_133492	NA	4792	NFKBIA	-2.3126	0.0071
LINCSCP_133492	NA	896	CCND3	-2.021	0.0074
LINCSCP_133492	NA	58533	SNX6	-1.9099	0.0077
LINCSCP_133492	NA	1445	CSK	-2.1991	0.0078
LINCSCP_133492	NA	642	BLMH	-1.7579	0.0079
LINCSCP_133492	NA	4793	NFKBIB	-1.7474	0.008
LINCSCP_133492	NA	25932	CLIC4	-1.8353	0.008
LINCSCP_133492	NA	5831	PYCR1	-1.9113	0.0081
LINCSCP_133492	NA	55256	ADI1	-2.161	0.0082
LINCSCP_133492	NA	10493	VAT1	-1.7722	0.0082
LINCSCP_133492	NA	8204	NRIP1	-3.2659	0.0084
LINCSCP_133492	NA	4312	MMP1	1.8624	0.0085
LINCSCP_133492	NA	11041	B4GAT1	-1.723	0.0086
LINCSCP_133492	NA	23536	ADAT1	1.7938	0.0086
LINCSCP_133492	NA	5050	PAFAH1B3	-1.8176	0.0088
LINCSCP_133492	NA	10237	SLC35B1	-1.9704	0.0089
LINCSCP_133492	NA	79961	DENND2D	1.8161	0.009
LINCSCP_133492	NA	1452	CSNK1A1	-2.0726	0.0092
LINCSCP_133492	NA	8520	HAT1	-2.0025	0.0094
LINCSCP_133492	NA	3315	HSPB1	-2.1991	0.0095
LINCSCP_133492	NA	644	BLVRA	-1.8895	0.0095
LINCSCP_133492	NA	1978	EIF4EBP1	-1.7626	0.0096
LINCSCP_133492	NA	6184	RPN1	-1.8627	0.0096
LINCSCP_133492	NA	8508	NIPSNAP1	-1.7985	0.0097
LINCSCP_133492	NA	80746	TSEN2	2.146	0.0098
LINCSCP_133492	NA	7296	TXNRD1	-1.6952	0.0098
LINCSCP_133492	NA	5710	PSMD4	-1.7906	0.0101
LINCSCP_133492	NA	9943	OXSR1	-1.9127	0.0104
LINCSCP_133492	NA	79187	FSD1	2.0264	0.0106
LINCSCP_133492	NA	5925	RB1	1.7839	0.0106
LINCSCP_133492	NA	10681	GNB5	-1.7346	0.0108
LINCSCP_133492	NA	10732	TCFL5	1.7211	0.0109
LINCSCP_133492	NA	11319	ECD	-1.6613	0.0109
LINCSCP_133492	NA	28969	BZW2	-2.459	0.0111
LINCSCP_133492	NA	10775	POP4	-1.6859	0.0112
LINCSCP_133492	NA	5255	PHKA1	2.3795	0.0116
LINCSCP_133492	NA	1738	DLD	-1.8378	0.0116
