signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_92211	NA	5583	PRKCH	10	0
LINCSCP_92211	NA	1026	CDKN1A	-2.7438	0.0048
LINCSCP_92211	NA	54541	DDIT4	-2.6442	0.0072
LINCSCP_92211	NA	10237	SLC35B1	2.0394	0.014
LINCSCP_92211	NA	30836	DNTTIP2	1.8918	0.0166
LINCSCP_92211	NA	2958	GTF2A2	1.9568	0.0172
LINCSCP_92211	NA	4609	MYC	2.0032	0.0173
LINCSCP_92211	NA	23210	JMJD6	1.8961	0.0183
LINCSCP_92211	NA	6182	MRPL12	2.1998	0.0187
LINCSCP_92211	NA	10775	POP4	2.0442	0.0198
LINCSCP_92211	NA	51635	DHRS7	-3.7247	0.0205
LINCSCP_92211	NA	10494	STK25	1.7753	0.0212
LINCSCP_92211	NA	23647	ARFIP2	1.8005	0.0214
LINCSCP_92211	NA	10921	RNPS1	1.8357	0.0227
LINCSCP_92211	NA	1282	COL4A1	-1.6887	0.0272
LINCSCP_92211	NA	2961	GTF2E2	1.8352	0.0283
LINCSCP_92211	NA	3315	HSPB1	-1.8168	0.0291
LINCSCP_92211	NA	10057	ABCC5	1.6434	0.0297
LINCSCP_92211	NA	22908	SACM1L	2.106	0.0307
LINCSCP_92211	NA	843	CASP10	6.0025	0.031
LINCSCP_92211	NA	10845	CLPX	3.2549	0.0316
LINCSCP_92211	NA	8851	CDK5R1	2.5478	0.0322
LINCSCP_92211	NA	351	APP	-1.9897	0.0351
LINCSCP_92211	NA	55847	CISD1	2.3598	0.0363
LINCSCP_92211	NA	29928	TIMM22	1.9101	0.0365
LINCSCP_92211	NA	9903	KLHL21	2.3984	0.037
LINCSCP_92211	NA	7849	PAX8	2.1671	0.0372
LINCSCP_92211	NA	4927	NUP88	1.6613	0.0383
LINCSCP_92211	NA	51293	CD320	1.5538	0.0388
LINCSCP_92211	NA	64422	ATG3	1.5037	0.041
LINCSCP_92211	NA	79080	CCDC86	1.5625	0.0419
LINCSCP_92211	NA	1027	CDKN1B	-1.7334	0.0421
LINCSCP_92211	NA	2113	ETS1	-1.5768	0.0429
LINCSCP_92211	NA	11325	DDX42	1.6345	0.0432
LINCSCP_92211	NA	8480	RAE1	1.455	0.0434
LINCSCP_92211	NA	10813	UTP14A	1.3993	0.0447
LINCSCP_92211	NA	1277	COL1A1	-1.4646	0.0449
LINCSCP_92211	NA	63874	ABHD4	-1.7321	0.045
LINCSCP_92211	NA	10641	NPRL2	1.5087	0.0458
LINCSCP_92211	NA	16	AARS	-1.4665	0.0461
LINCSCP_92211	NA	3628	INPP1	1.6357	0.0465
LINCSCP_92211	NA	6676	SPAG4	-1.4688	0.0468
LINCSCP_92211	NA	665	BNIP3L	-1.5526	0.0479
LINCSCP_92211	NA	7494	XBP1	-1.6524	0.0481
LINCSCP_92211	NA	55958	KLHL9	1.9106	0.0494
LINCSCP_92211	NA	3553	IL1B	5.585	0.0525
LINCSCP_92211	NA	147179	WIPF2	-1.7732	0.0525
LINCSCP_92211	NA	200081	TXLNA	2.1173	0.0527
LINCSCP_92211	NA	4043	LRPAP1	1.7213	0.057
LINCSCP_92211	NA	7319	UBE2A	-1.3714	0.0576
LINCSCP_92211	NA	1635	DCTD	-1.6314	0.0577
LINCSCP_92211	NA	8821	INPP4B	2.4276	0.0583
LINCSCP_92211	NA	9134	CCNE2	-1.5302	0.0588
LINCSCP_92211	NA	670	BPHL	-1.377	0.0591
LINCSCP_92211	NA	4860	PNP	1.7139	0.0594
LINCSCP_92211	NA	7376	NR1H2	3.1531	0.0595
LINCSCP_92211	NA	51024	FIS1	1.6033	0.0597
LINCSCP_92211	NA	6118	RPA2	-1.7785	0.061
LINCSCP_92211	NA	79600	TCTN1	-1.4937	0.0617
