signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_138812	NA	8349	HIST2H2BE	6.7474	1e-4
LINCSCP_138812	NA	1026	CDKN1A	6.6133	1e-4
LINCSCP_138812	NA	355	FAS	5.5744	1e-4
LINCSCP_138812	NA	2553	GABPB1	-4.8342	2e-4
LINCSCP_138812	NA	891	CCNB1	-4.8548	2e-4
LINCSCP_138812	NA	7153	TOP2A	-5.7496	2e-4
LINCSCP_138812	NA	10051	SMC4	-4.7907	3e-4
LINCSCP_138812	NA	27244	SESN1	6.9784	3e-4
LINCSCP_138812	NA	8914	TIMELESS	-4.1941	5e-4
LINCSCP_138812	NA	5985	RFC5	-7.7555	6e-4
LINCSCP_138812	NA	9833	MELK	-5.1688	6e-4
LINCSCP_138812	NA	8624	PSMG1	-5.8978	7e-4
LINCSCP_138812	NA	10797	MTHFD2	-5.119	8e-4
LINCSCP_138812	NA	890	CCNA2	-6.3554	8e-4
LINCSCP_138812	NA	1983	EIF5	-4.7327	9e-4
LINCSCP_138812	NA	3930	LBR	-3.6863	9e-4
LINCSCP_138812	NA	11065	UBE2C	-6.4842	0.001
LINCSCP_138812	NA	5836	PYGL	4.1977	0.001
LINCSCP_138812	NA	9212	AURKB	-3.6337	0.0011
LINCSCP_138812	NA	55038	CDCA4	-3.5669	0.0013
LINCSCP_138812	NA	22809	ATF5	-5.1109	0.0013
LINCSCP_138812	NA	85236	HIST1H2BK	4.2164	0.0014
LINCSCP_138812	NA	51053	GMNN	-4.2816	0.0014
LINCSCP_138812	NA	10652	YKT6	-4.704	0.0014
LINCSCP_138812	NA	27346	TMEM97	-4.2886	0.0015
LINCSCP_138812	NA	2956	MSH6	-4.1993	0.0015
LINCSCP_138812	NA	8318	CDC45	-3.206	0.0017
LINCSCP_138812	NA	4088	SMAD3	3.4467	0.0017
LINCSCP_138812	NA	10038	PARP2	-3.9483	0.0018
LINCSCP_138812	NA	4144	MAT2A	-4.8241	0.0019
LINCSCP_138812	NA	55148	UBR7	-3.1845	0.0019
LINCSCP_138812	NA	23224	SYNE2	-3.095	0.002
LINCSCP_138812	NA	57804	POLD4	3.0988	0.0021
LINCSCP_138812	NA	993	CDC25A	-3.1023	0.0021
LINCSCP_138812	NA	26227	PHGDH	-4.7148	0.0021
LINCSCP_138812	NA	54541	DDIT4	4.4016	0.0021
LINCSCP_138812	NA	11168	PSIP1	-3.1646	0.0022
LINCSCP_138812	NA	9133	CCNB2	-4.578	0.0023
LINCSCP_138812	NA	10099	TSPAN3	-4.7393	0.0023
LINCSCP_138812	NA	9375	TM9SF2	-3.7613	0.0026
LINCSCP_138812	NA	8727	CTNNAL1	-3.0204	0.0027
LINCSCP_138812	NA	1647	GADD45A	2.931	0.0027
LINCSCP_138812	NA	10898	CPSF4	3.2238	0.0027
LINCSCP_138812	NA	4303	FOXO4	3.1198	0.0028
LINCSCP_138812	NA	6919	TCEA2	3.0263	0.0029
LINCSCP_138812	NA	642	BLMH	-3.2532	0.0029
LINCSCP_138812	NA	79090	TRAPPC6A	2.9719	0.0029
LINCSCP_138812	NA	10610	ST6GALNAC2	3.3074	0.003
LINCSCP_138812	NA	10007	GNPDA1	2.8513	0.0031
LINCSCP_138812	NA	55011	PIH1D1	3.4106	0.0031
LINCSCP_138812	NA	7398	USP1	-2.9068	0.0032
LINCSCP_138812	NA	9797	TATDN2	-3.0217	0.0033
LINCSCP_138812	NA	23244	PDS5A	-3.04	0.0039
LINCSCP_138812	NA	55012	PPP2R3C	-3.5463	0.0041
LINCSCP_138812	NA	9221	NOLC1	-4.4439	0.0041
LINCSCP_138812	NA	6856	SYPL1	2.8403	0.0041
LINCSCP_138812	NA	994	CDC25B	-3.7136	0.0042
LINCSCP_138812	NA	847	CAT	2.7038	0.0042
LINCSCP_138812	NA	51293	CD320	-2.8378	0.0042
LINCSCP_138812	NA	6184	RPN1	-3.3738	0.0043
LINCSCP_138812	NA	10904	BLCAP	3.2227	0.0044
LINCSCP_138812	NA	5883	RAD9A	-2.6827	0.0045
LINCSCP_138812	NA	10969	EBNA1BP2	-3.751	0.0047
LINCSCP_138812	NA	23039	XPO7	-3.2245	0.0048
LINCSCP_138812	NA	5427	POLE2	-2.6012	0.0048
LINCSCP_138812	NA	22934	RPIA	-3.2742	0.0049
LINCSCP_138812	NA	64422	ATG3	-3.0346	0.005
LINCSCP_138812	NA	79716	NPEPL1	2.6167	0.005
LINCSCP_138812	NA	2058	EPRS	-2.6092	0.0051
LINCSCP_138812	NA	10857	PGRMC1	-3.2642	0.0056
LINCSCP_138812	NA	6839	SUV39H1	-2.6498	0.0059
LINCSCP_138812	NA	8480	RAE1	-3.0328	0.0065
LINCSCP_138812	NA	332	BIRC5	-4.5983	0.0065
LINCSCP_138812	NA	26001	RNF167	-6.3289	0.0066
LINCSCP_138812	NA	6790	AURKA	-3.1511	0.0067
LINCSCP_138812	NA	10112	KIF20A	-4.7454	0.0068
LINCSCP_138812	NA	7296	TXNRD1	-2.721	0.0068
LINCSCP_138812	NA	23658	LSM5	-2.7346	0.0068
LINCSCP_138812	NA	10206	TRIM13	2.4649	0.0069
LINCSCP_138812	NA	10915	TCERG1	-2.6474	0.0069
LINCSCP_138812	NA	3398	ID2	-2.4567	0.007
LINCSCP_138812	NA	1514	CTSL	2.9222	0.0072
LINCSCP_138812	NA	63933	MCUR1	-4.1253	0.0074
LINCSCP_138812	NA	79080	CCDC86	-6.7697	0.0074
LINCSCP_138812	NA	3300	DNAJB2	2.3532	0.0075
LINCSCP_138812	NA	983	CDK1	-4.3785	0.0076
LINCSCP_138812	NA	4232	MEST	2.7394	0.0078
LINCSCP_138812	NA	51001	MTERF3	-2.6866	0.0079
LINCSCP_138812	NA	4172	MCM3	-2.9046	0.0081
LINCSCP_138812	NA	3988	LIPA	2.5803	0.0082
LINCSCP_138812	NA	899	CCNF	-3.8363	0.0084
LINCSCP_138812	NA	10695	CNPY3	2.9651	0.0086
LINCSCP_138812	NA	2745	GLRX	2.2413	0.0088
LINCSCP_138812	NA	22908	SACM1L	-2.4749	0.009
LINCSCP_138812	NA	55127	HEATR1	-4.6941	0.0091
LINCSCP_138812	NA	51015	ISOC1	-2.72	0.0093
LINCSCP_138812	NA	3315	HSPB1	2.3911	0.0093
LINCSCP_138812	NA	3978	LIG1	-2.2569	0.0097
LINCSCP_138812	NA	51335	NGRN	-2.3152	0.0097
LINCSCP_138812	NA	8202	NCOA3	-2.533	0.0099
LINCSCP_138812	NA	58478	ENOPH1	-4.6646	0.0101
LINCSCP_138812	NA	5019	OXCT1	-2.8926	0.0101
LINCSCP_138812	NA	10165	SLC25A13	-2.4308	0.0106
LINCSCP_138812	NA	9688	NUP93	-2.4338	0.0107
LINCSCP_138812	NA	2037	EPB41L2	-2.6538	0.0107
LINCSCP_138812	NA	9531	BAG3	-2.7682	0.0109
LINCSCP_138812	NA	1891	ECH1	2.2903	0.011
LINCSCP_138812	NA	11031	RAB31	2.182	0.0114
LINCSCP_138812	NA	23076	RRP1B	-3.3069	0.0116
LINCSCP_138812	NA	4860	PNP	-2.5586	0.0117
LINCSCP_138812	NA	8996	NOL3	2.6964	0.0119
LINCSCP_138812	NA	23300	ATMIN	-2.5383	0.0119
LINCSCP_138812	NA	4605	MYBL2	-2.3621	0.0119
LINCSCP_138812	NA	8569	MKNK1	4.5614	0.0119
LINCSCP_138812	NA	23335	WDR7	2.2385	0.012
LINCSCP_138812	NA	56889	TM9SF3	-2.2049	0.0121
LINCSCP_138812	NA	5110	PCMT1	-2.467	0.0122
LINCSCP_138812	NA	9246	UBE2L6	2.1646	0.0123
LINCSCP_138812	NA	90861	HN1L	-2.1345	0.0123
LINCSCP_138812	NA	23635	SSBP2	2.6301	0.0124
LINCSCP_138812	NA	5829	PXN	2.4005	0.0127
LINCSCP_138812	NA	11151	CORO1A	2.0751	0.0129
LINCSCP_138812	NA	26064	RAI14	2.2002	0.0132
LINCSCP_138812	NA	581	BAX	2.5063	0.0133
LINCSCP_138812	NA	8821	INPP4B	2.1617	0.0133
LINCSCP_138812	NA	142	PARP1	-2.3868	0.0134
LINCSCP_138812	NA	9128	PRPF4	-3.5818	0.0135
LINCSCP_138812	NA	23522	KAT6B	-2.8542	0.0135
LINCSCP_138812	NA	5108	PCM1	-2.4972	0.0136
LINCSCP_138812	NA	23321	TRIM2	2.1197	0.0139
LINCSCP_138812	NA	5867	RAB4A	2.1389	0.0144
LINCSCP_138812	NA	2274	FHL2	3.5483	0.0146
LINCSCP_138812	NA	11325	DDX42	-2.1374	0.0151
LINCSCP_138812	NA	10782	ZNF274	2.6803	0.0156
LINCSCP_138812	NA	7511	XPNPEP1	-2.0967	0.0161
LINCSCP_138812	NA	3033	HADH	-2.6188	0.0164
LINCSCP_138812	NA	55699	IARS2	-2.3939	0.0166
LINCSCP_138812	NA	26136	TES	2.6148	0.0166
LINCSCP_138812	NA	9917	FAM20B	3.346	0.0167
LINCSCP_138812	NA	5699	PSMB10	-1.9065	0.0169
LINCSCP_138812	NA	55748	CNDP2	-2.5406	0.017
LINCSCP_138812	NA	6182	MRPL12	-1.923	0.0172
LINCSCP_138812	NA	4651	MYO10	2.2809	0.0172
LINCSCP_138812	NA	23588	KLHDC2	4.0531	0.0173
LINCSCP_138812	NA	64429	ZDHHC6	-2.5983	0.0174
LINCSCP_138812	NA	9703	KIAA0100	-1.9396	0.0175
LINCSCP_138812	NA	23097	CDK19	3.7119	0.0175
LINCSCP_138812	NA	6117	RPA1	-2.5839	0.0176
LINCSCP_138812	NA	9842	PLEKHM1	3.6537	0.0177
LINCSCP_138812	NA	622	BDH1	-1.8744	0.018
LINCSCP_138812	NA	6597	SMARCA4	-2.1893	0.018
LINCSCP_138812	NA	81544	GDPD5	1.8763	0.0181
LINCSCP_138812	NA	23326	USP22	-2.4362	0.0183
LINCSCP_138812	NA	6390	SDHB	-1.8805	0.0187
LINCSCP_138812	NA	9868	TOMM70A	-2.9194	0.019
LINCSCP_138812	NA	6772	STAT1	-5.1956	0.0193
LINCSCP_138812	NA	9801	MRPL19	-2.3395	0.0197
LINCSCP_138812	NA	7867	MAPKAPK3	2.3594	0.0204
LINCSCP_138812	NA	55620	STAP2	2.2941	0.0207
LINCSCP_138812	NA	2064	ERBB2	1.7994	0.0208
LINCSCP_138812	NA	310	ANXA7	-2.5136	0.0208
LINCSCP_138812	NA	388650	FAM69A	1.8686	0.0209
LINCSCP_138812	NA	1398	CRK	-1.9296	0.0211
LINCSCP_138812	NA	54850	FBXL12	-2.1486	0.0217
