signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_89189	NA	54205	CYCS	-10	1e-4
LINCSCP_89189	NA	6804	STX1A	9.3477	2e-4
LINCSCP_89189	NA	1465	CSRP1	-9.2462	2e-4
LINCSCP_89189	NA	291	SLC25A4	-6.1197	6e-4
LINCSCP_89189	NA	54881	TEX10	8.3987	0.0011
LINCSCP_89189	NA	1643	DDB2	4.7353	0.0014
LINCSCP_89189	NA	890	CCNA2	-4.9206	0.0016
LINCSCP_89189	NA	23097	CDK19	4.549	0.0017
LINCSCP_89189	NA	9112	MTA1	8.1693	0.0017
LINCSCP_89189	NA	23224	SYNE2	4.825	0.0021
LINCSCP_89189	NA	9181	ARHGEF2	4.171	0.0023
LINCSCP_89189	NA	1848	DUSP6	4.1936	0.0025
LINCSCP_89189	NA	10013	HDAC6	4.5759	0.0026
LINCSCP_89189	NA	10112	KIF20A	-4.0857	0.0027
LINCSCP_89189	NA	5223	PGAM1	-4.4106	0.0027
LINCSCP_89189	NA	8974	P4HA2	-4.7062	0.0031
LINCSCP_89189	NA	1454	CSNK1E	6.132	0.0031
LINCSCP_89189	NA	7994	KAT6A	3.813	0.0032
LINCSCP_89189	NA	10398	MYL9	-5.8342	0.0032
LINCSCP_89189	NA	26054	SENP6	3.6782	0.0036
LINCSCP_89189	NA	4864	NPC1	4.046	0.0036
LINCSCP_89189	NA	4016	LOXL1	-3.656	0.0036
LINCSCP_89189	NA	23029	RBM34	3.9888	0.0037
LINCSCP_89189	NA	5236	PGM1	-4.3782	0.0037
LINCSCP_89189	NA	5607	MAP2K5	4.0115	0.0038
LINCSCP_89189	NA	57804	POLD4	3.6858	0.004
LINCSCP_89189	NA	1958	EGR1	7.697	0.0041
LINCSCP_89189	NA	3482	IGF2R	3.4226	0.0047
LINCSCP_89189	NA	3486	IGFBP3	-5.1307	0.0047
LINCSCP_89189	NA	8878	SQSTM1	3.8125	0.0052
LINCSCP_89189	NA	7466	WFS1	-3.2889	0.0056
LINCSCP_89189	NA	664	BNIP3	-4.1566	0.0057
LINCSCP_89189	NA	5867	RAB4A	-3.2179	0.0058
LINCSCP_89189	NA	80349	WDR61	-3.185	0.006
LINCSCP_89189	NA	2542	SLC37A4	3.9947	0.0065
LINCSCP_89189	NA	22794	CASC3	5.1486	0.0066
LINCSCP_89189	NA	965	CD58	-3.0924	0.0071
LINCSCP_89189	NA	10493	VAT1	3.6702	0.0072
LINCSCP_89189	NA	11098	PRSS23	-3.5137	0.0072
LINCSCP_89189	NA	873	CBR1	-3.1881	0.0082
LINCSCP_89189	NA	2548	GAA	2.9128	0.0084
LINCSCP_89189	NA	55033	FKBP14	-2.9663	0.0087
LINCSCP_89189	NA	7264	TSTA3	4.4997	0.009
LINCSCP_89189	NA	1277	COL1A1	-2.9042	0.0091
LINCSCP_89189	NA	3162	HMOX1	2.8742	0.0095
LINCSCP_89189	NA	7867	MAPKAPK3	2.9237	0.0096
LINCSCP_89189	NA	6659	SOX4	3.233	0.01
LINCSCP_89189	NA	5900	RALGDS	3.1724	0.0101
LINCSCP_89189	NA	7849	PAX8	-3.2921	0.0101
LINCSCP_89189	NA	6622	SNCA	3.1098	0.0112
