signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_88741	NA	5111	PCNA	-3.1514	2e-4
LINCSCP_88741	NA	8996	NOL3	2.5811	4e-4
LINCSCP_88741	NA	8624	PSMG1	-3.8001	5e-4
LINCSCP_88741	NA	80349	WDR61	-2.272	8e-4
LINCSCP_88741	NA	58533	SNX6	-2.1986	0.001
LINCSCP_88741	NA	808	CALM3	3.0444	0.0013
LINCSCP_88741	NA	55746	NUP133	2.2039	0.0013
LINCSCP_88741	NA	6284	S100A13	-2.5282	0.0014
LINCSCP_88741	NA	23321	TRIM2	2.0672	0.0015
LINCSCP_88741	NA	5720	PSME1	-2.5106	0.0016
LINCSCP_88741	NA	93594	TBC1D31	2.5497	0.0017
LINCSCP_88741	NA	10245	TIMM17B	-2.2403	0.0017
LINCSCP_88741	NA	2131	EXT1	2.1536	0.0018
LINCSCP_88741	NA	8520	HAT1	-2.1604	0.0018
LINCSCP_88741	NA	5792	PTPRF	2.2453	0.002
LINCSCP_88741	NA	1029	CDKN2A	-2.0781	0.002
LINCSCP_88741	NA	6915	TBXA2R	2.9764	0.002
LINCSCP_88741	NA	56654	NPDC1	2.7454	0.0021
LINCSCP_88741	NA	23386	NUDCD3	-1.9759	0.0022
LINCSCP_88741	NA	79600	TCTN1	-2.746	0.0022
LINCSCP_88741	NA	3315	HSPB1	-2.0642	0.0024
LINCSCP_88741	NA	7538	ZFP36	2.1994	0.0024
LINCSCP_88741	NA	26064	RAI14	2.2455	0.0024
LINCSCP_88741	NA	51021	MRPS16	-2.1128	0.0025
LINCSCP_88741	NA	27109	ATP5S	-1.9298	0.0025
LINCSCP_88741	NA	4817	NIT1	1.9137	0.0026
LINCSCP_88741	NA	23585	TMEM50A	-1.9957	0.0027
LINCSCP_88741	NA	3551	IKBKB	2.2761	0.0028
LINCSCP_88741	NA	10493	VAT1	-1.8254	0.0029
LINCSCP_88741	NA	3028	HSD17B10	-1.9434	0.0029
LINCSCP_88741	NA	200081	TXLNA	-2.191	0.0031
LINCSCP_88741	NA	54499	TMCO1	-2.3081	0.0031
LINCSCP_88741	NA	23588	KLHDC2	2.0278	0.0031
LINCSCP_88741	NA	10972	TMED10	-1.9534	0.0032
LINCSCP_88741	NA	5438	POLR2I	-2.2096	0.0032
LINCSCP_88741	NA	10857	PGRMC1	-1.9196	0.0034
LINCSCP_88741	NA	10494	STK25	-2.0158	0.0035
LINCSCP_88741	NA	3895	KTN1	2.2658	0.0035
LINCSCP_88741	NA	4312	MMP1	2.1319	0.0035
LINCSCP_88741	NA	7043	TGFB3	2.0869	0.0035
LINCSCP_88741	NA	10362	HMG20B	-1.9912	0.0035
LINCSCP_88741	NA	5300	PIN1	-2.2343	0.0038
LINCSCP_88741	NA	6810	STX4	2.1273	0.0039
LINCSCP_88741	NA	23597	ACOT9	-2.0086	0.0039
LINCSCP_88741	NA	6195	RPS6KA1	-1.7855	0.004
LINCSCP_88741	NA	3611	ILK	-2.1006	0.004
LINCSCP_88741	NA	9133	CCNB2	-2.2231	0.004
LINCSCP_88741	NA	16	AARS	1.7709	0.004
LINCSCP_88741	NA	79643	CHMP6	2.1538	0.0041
LINCSCP_88741	NA	2109	ETFB	-1.7044	0.0041
LINCSCP_88741	NA	813	CALU	-1.7044	0.0043
LINCSCP_88741	NA	6390	SDHB	-2.2341	0.0043
LINCSCP_88741	NA	8318	CDC45	2.1442	0.0043
LINCSCP_88741	NA	7106	TSPAN4	-1.9864	0.0045
LINCSCP_88741	NA	1027	CDKN1B	-1.9199	0.0046
LINCSCP_88741	NA	10123	ARL4C	2.2489	0.0046
LINCSCP_88741	NA	10776	ARPP19	-1.8614	0.0047
LINCSCP_88741	NA	8800	PEX11A	1.8138	0.0048
LINCSCP_88741	NA	200734	SPRED2	1.7301	0.0048
LINCSCP_88741	NA	81533	ITFG1	1.7776	0.0048
LINCSCP_88741	NA	960	CD44	1.724	0.0049
LINCSCP_88741	NA	1017	CDK2	2.0705	0.005
LINCSCP_88741	NA	1398	CRK	-2.2628	0.0051
LINCSCP_88741	NA	2810	SFN	-1.7644	0.0051
LINCSCP_88741	NA	5796	PTPRK	1.6948	0.0052
LINCSCP_88741	NA	10732	TCFL5	1.8721	0.0052
LINCSCP_88741	NA	23658	LSM5	-1.7948	0.0053
LINCSCP_88741	NA	2852	GPER1	2.4226	0.0054
LINCSCP_88741	NA	664	BNIP3	-1.808	0.0056
LINCSCP_88741	NA	701	BUB1B	1.8311	0.0056
LINCSCP_88741	NA	23014	FBXO21	1.7403	0.0056
LINCSCP_88741	NA	7105	TSPAN6	-1.6135	0.0057
LINCSCP_88741	NA	2274	FHL2	-1.8429	0.0058
LINCSCP_88741	NA	9533	POLR1C	2.0571	0.0058
LINCSCP_88741	NA	6616	SNAP25	1.9163	0.006
LINCSCP_88741	NA	4891	SLC11A2	2.9897	0.006
LINCSCP_88741	NA	1465	CSRP1	-1.749	0.0063
LINCSCP_88741	NA	8878	SQSTM1	-1.6579	0.0063
LINCSCP_88741	NA	57761	TRIB3	1.5605	0.0063
LINCSCP_88741	NA	1070	CETN3	-2.687	0.0064
LINCSCP_88741	NA	2263	FGFR2	2.5449	0.0064
LINCSCP_88741	NA	27242	TNFRSF21	1.695	0.0066
LINCSCP_88741	NA	8508	NIPSNAP1	-1.8613	0.0066
LINCSCP_88741	NA	2770	GNAI1	-1.5922	0.0067
LINCSCP_88741	NA	10610	ST6GALNAC2	3.9834	0.0067
LINCSCP_88741	NA	4931	NVL	1.6312	0.0069
LINCSCP_88741	NA	9531	BAG3	-1.6846	0.007
LINCSCP_88741	NA	64428	NARFL	1.6332	0.0071
LINCSCP_88741	NA	991	CDC20	-1.6927	0.0072
LINCSCP_88741	NA	5747	PTK2	1.6705	0.0072
LINCSCP_88741	NA	23326	USP22	-1.6408	0.0074
LINCSCP_88741	NA	8243	SMC1A	1.6722	0.0075
LINCSCP_88741	NA	8804	CREG1	-1.8828	0.0076
LINCSCP_88741	NA	23368	PPP1R13B	1.815	0.0076
LINCSCP_88741	NA	5223	PGAM1	-1.5383	0.0077
LINCSCP_88741	NA	1022	CDK7	-1.5263	0.0077
LINCSCP_88741	NA	481	ATP1B1	-1.7008	0.0079
LINCSCP_88741	NA	4776	NFATC4	2.0058	0.0079
LINCSCP_88741	NA	9650	MTFR1	1.9528	0.0079
LINCSCP_88741	NA	1666	DECR1	-1.5661	0.008
LINCSCP_88741	NA	2185	PTK2B	1.8096	0.008
LINCSCP_88741	NA	53343	NUDT9	1.7193	0.0081
LINCSCP_88741	NA	8835	SOCS2	1.5969	0.0082
LINCSCP_88741	NA	11031	RAB31	1.7882	0.0082
LINCSCP_88741	NA	55604	LRRC16A	-1.5296	0.0082
LINCSCP_88741	NA	55837	EAPP	-1.6822	0.0084
LINCSCP_88741	NA	1509	CTSD	-1.6282	0.0084
LINCSCP_88741	NA	351	APP	-1.4845	0.0085
LINCSCP_88741	NA	5321	PLA2G4A	3.4902	0.0086
LINCSCP_88741	NA	427	ASAH1	-1.8561	0.0086
LINCSCP_88741	NA	8895	CPNE3	-1.6422	0.0088
LINCSCP_88741	NA	5050	PAFAH1B3	-1.5722	0.009
LINCSCP_88741	NA	22796	COG2	1.7689	0.009
LINCSCP_88741	NA	1738	DLD	-2.1693	0.009
LINCSCP_88741	NA	2745	GLRX	-1.5404	0.009
LINCSCP_88741	NA	29916	SNX11	-1.5242	0.0091
LINCSCP_88741	NA	1429	CRYZ	-1.7222	0.0092
LINCSCP_88741	NA	23210	JMJD6	-1.7843	0.0092
LINCSCP_88741	NA	6182	MRPL12	-2.1122	0.0092
LINCSCP_88741	NA	27095	TRAPPC3	-1.6501	0.0093
LINCSCP_88741	NA	23077	MYCBP2	1.6884	0.0094
LINCSCP_88741	NA	23536	ADAT1	1.6742	0.0094
LINCSCP_88741	NA	6944	VPS72	1.8698	0.0095
LINCSCP_88741	NA	2778	GNAS	-1.7168	0.0095
LINCSCP_88741	NA	1978	EIF4EBP1	-1.5951	0.0096
