signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132587	NA	26227	PHGDH	3.6975	0
LINCSCP_132587	NA	25976	TIPARP	6.1192	0
LINCSCP_132587	NA	10058	ABCB6	3.3039	1e-4
LINCSCP_132587	NA	10559	SLC35A1	-3.9647	2e-4
LINCSCP_132587	NA	5525	PPP2R5A	-2.5232	2e-4
LINCSCP_132587	NA	1978	EIF4EBP1	2.572	3e-4
LINCSCP_132587	NA	25987	TSKU	3.4789	3e-4
LINCSCP_132587	NA	5831	PYCR1	2.4198	3e-4
LINCSCP_132587	NA	16	AARS	2.5878	3e-4
LINCSCP_132587	NA	10797	MTHFD2	2.555	3e-4
LINCSCP_132587	NA	5106	PCK2	4.5789	3e-4
LINCSCP_132587	NA	7264	TSTA3	2.7165	3e-4
LINCSCP_132587	NA	813	CALU	2.8222	4e-4
LINCSCP_132587	NA	23038	WDTC1	-2.3302	4e-4
LINCSCP_132587	NA	10954	PDIA5	2.9722	4e-4
LINCSCP_132587	NA	3162	HMOX1	2.3741	5e-4
LINCSCP_132587	NA	55748	CNDP2	2.2595	6e-4
LINCSCP_132587	NA	1500	CTNND1	-2.2432	7e-4
LINCSCP_132587	NA	2058	EPRS	2.2053	8e-4
LINCSCP_132587	NA	6184	RPN1	2.8848	8e-4
LINCSCP_132587	NA	9761	MLEC	2.343	0.0011
LINCSCP_132587	NA	7982	ST7	2.3631	0.0012
LINCSCP_132587	NA	3925	STMN1	-2.1312	0.0015
LINCSCP_132587	NA	11325	DDX42	2.0097	0.0015
LINCSCP_132587	NA	56654	NPDC1	2.0267	0.0015
LINCSCP_132587	NA	7153	TOP2A	-2.1447	0.0016
LINCSCP_132587	NA	1534	CYB561	2.2196	0.0016
LINCSCP_132587	NA	10494	STK25	1.9095	0.0017
LINCSCP_132587	NA	55256	ADI1	-3.4884	0.0018
LINCSCP_132587	NA	30836	DNTTIP2	2.3227	0.0018
LINCSCP_132587	NA	2548	GAA	2.1071	0.0018
LINCSCP_132587	NA	80347	COASY	1.7739	0.0018
LINCSCP_132587	NA	7358	UGDH	-1.7721	0.0019
LINCSCP_132587	NA	7296	TXNRD1	2.2131	0.002
LINCSCP_132587	NA	23522	KAT6B	-3.241	0.0021
LINCSCP_132587	NA	23647	ARFIP2	2.2171	0.0021
LINCSCP_132587	NA	25803	SPDEF	-2.141	0.0023
LINCSCP_132587	NA	1635	DCTD	1.8915	0.0023
LINCSCP_132587	NA	54541	DDIT4	3.1372	0.0023
LINCSCP_132587	NA	51015	ISOC1	-3.5386	0.0024
LINCSCP_132587	NA	10237	SLC35B1	1.777	0.0024
LINCSCP_132587	NA	5909	RAP1GAP	2.2517	0.0024
LINCSCP_132587	NA	11000	SLC27A3	-1.725	0.0025
LINCSCP_132587	NA	2184	FAH	2.4544	0.0026
LINCSCP_132587	NA	51071	DERA	-3.6528	0.0026
LINCSCP_132587	NA	10972	TMED10	1.9611	0.0027
LINCSCP_132587	NA	9797	TATDN2	2.1085	0.0028
LINCSCP_132587	NA	55608	ANKRD10	2.1089	0.0028
LINCSCP_132587	NA	27336	HTATSF1	-2.0298	0.0034
LINCSCP_132587	NA	84890	ADO	1.6288	0.0034
LINCSCP_132587	NA	9703	KIAA0100	1.6178	0.0036
LINCSCP_132587	NA	596	BCL2	-2.3711	0.0039
LINCSCP_132587	NA	56889	TM9SF3	1.6925	0.004
LINCSCP_132587	NA	2309	FOXO3	-1.5168	0.004
LINCSCP_132587	NA	622	BDH1	1.4466	0.004
LINCSCP_132587	NA	637	BID	-2.4025	0.0041
LINCSCP_132587	NA	392	ARHGAP1	-1.6614	0.0041
LINCSCP_132587	NA	3909	LAMA3	1.8245	0.0042
LINCSCP_132587	NA	2673	GFPT1	2.7603	0.0043
LINCSCP_132587	NA	873	CBR1	1.9476	0.0044
LINCSCP_132587	NA	3988	LIPA	1.4744	0.0044
LINCSCP_132587	NA	533	ATP6V0B	1.4296	0.005
LINCSCP_132587	NA	7852	CXCR4	-1.382	0.0052
LINCSCP_132587	NA	23585	TMEM50A	-1.9232	0.0053
LINCSCP_132587	NA	23378	RRP8	1.5111	0.0054
LINCSCP_132587	NA	1398	CRK	1.3976	0.0055
LINCSCP_132587	NA	55893	ZNF395	-1.379	0.0056
LINCSCP_132587	NA	10329	TMEM5	1.8428	0.0057
LINCSCP_132587	NA	11014	KDELR2	1.6177	0.0062
LINCSCP_132587	NA	5796	PTPRK	-1.5732	0.0063
LINCSCP_132587	NA	7494	XBP1	-1.7248000000000001	0.0064
LINCSCP_132587	NA	10112	KIF20A	-1.3543	0.0067
LINCSCP_132587	NA	8985	PLOD3	1.8674	0.0071
LINCSCP_132587	NA	25805	BAMBI	-1.7049	0.0074
LINCSCP_132587	NA	1429	CRYZ	1.253	0.0079
LINCSCP_132587	NA	8503	PIK3R3	1.9395	0.0079
LINCSCP_132587	NA	54205	CYCS	1.3471	0.0083
LINCSCP_132587	NA	58497	PRUNE	-1.4831	0.0089
LINCSCP_132587	NA	55033	FKBP14	2.0675	0.009
LINCSCP_132587	NA	93487	MAPK1IP1L	-1.2661	0.0092
LINCSCP_132587	NA	9019	MPZL1	1.6647	0.0093
LINCSCP_132587	NA	23029	RBM34	1.6257	0.0097
LINCSCP_132587	NA	11031	RAB31	-2.9707	0.0098
LINCSCP_132587	NA	10606	PAICS	1.6656	0.0099
LINCSCP_132587	NA	2954	GSTZ1	-2.2898	0.0101
LINCSCP_132587	NA	8870	IER3	1.5007	0.0104
LINCSCP_132587	NA	501	ALDH7A1	-1.6247	0.0105
LINCSCP_132587	NA	6509	SLC1A4	1.5644	0.0105
LINCSCP_132587	NA	54442	KCTD5	1.3837	0.0108
LINCSCP_132587	NA	10451	VAV3	-1.6276	0.0108
LINCSCP_132587	NA	10953	TOMM34	1.3108	0.0112
LINCSCP_132587	NA	51021	MRPS16	1.3651	0.0113
LINCSCP_132587	NA	25932	CLIC4	1.2861	0.0114
LINCSCP_132587	NA	7105	TSPAN6	-1.3575	0.0115
