signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_99018	NA	3638	INSIG1	-8.4324	0
LINCSCP_99018	NA	7319	UBE2A	-7.2075	0
LINCSCP_99018	NA	3202	HOXA5	-7.0556	0
LINCSCP_99018	NA	481	ATP1B1	-8.8228	1e-4
LINCSCP_99018	NA	10797	MTHFD2	-4.9996	1e-4
LINCSCP_99018	NA	63874	ABHD4	-4.6376	2e-4
LINCSCP_99018	NA	4792	NFKBIA	-8.0602	2e-4
LINCSCP_99018	NA	1022	CDK7	4.1226	2e-4
LINCSCP_99018	NA	51203	NUSAP1	-4.1249	3e-4
LINCSCP_99018	NA	4609	MYC	-3.9315	3e-4
LINCSCP_99018	NA	10493	VAT1	-3.6939	4e-4
LINCSCP_99018	NA	3157	HMGCS1	-7.0716	4e-4
LINCSCP_99018	NA	665	BNIP3L	-4.2651	4e-4
LINCSCP_99018	NA	2542	SLC37A4	-4.1594	5e-4
LINCSCP_99018	NA	22908	SACM1L	5.8	5e-4
LINCSCP_99018	NA	7153	TOP2A	-6.7513	5e-4
LINCSCP_99018	NA	23224	SYNE2	-3.9654	5e-4
LINCSCP_99018	NA	10670	RRAGA	-3.6519	7e-4
LINCSCP_99018	NA	1983	EIF5	3.0394	7e-4
LINCSCP_99018	NA	10775	POP4	3.0017	8e-4
LINCSCP_99018	NA	230	ALDOC	-2.8128	9e-4
LINCSCP_99018	NA	27346	TMEM97	-5.0868	0.001
LINCSCP_99018	NA	51024	FIS1	-3.7948	0.001
LINCSCP_99018	NA	11098	PRSS23	-2.801	0.001
LINCSCP_99018	NA	3206	HOXA10	-5.3617	0.0011
LINCSCP_99018	NA	11319	ECD	3.2085	0.0011
LINCSCP_99018	NA	79073	TMEM109	-2.6103	0.0012
LINCSCP_99018	NA	2274	FHL2	-2.6169	0.0012
LINCSCP_99018	NA	7466	WFS1	-3.9673	0.0012
LINCSCP_99018	NA	8553	BHLHE40	-3.1147	0.0013
LINCSCP_99018	NA	23029	RBM34	2.597	0.0013
LINCSCP_99018	NA	983	CDK1	-5.9305	0.0013
LINCSCP_99018	NA	10652	YKT6	3.0364	0.0014
LINCSCP_99018	NA	10513	APPBP2	-3.1722	0.0015
LINCSCP_99018	NA	6810	STX4	2.8291	0.0015
LINCSCP_99018	NA	10969	EBNA1BP2	3.4498	0.0016
LINCSCP_99018	NA	4088	SMAD3	2.4278	0.0016
LINCSCP_99018	NA	8574	AKR7A2	-3.405	0.0017
LINCSCP_99018	NA	9267	CYTH1	-2.5943	0.0017
LINCSCP_99018	NA	54505	DHX29	2.6603	0.0018
LINCSCP_99018	NA	80204	FBXO11	-3.1067	0.0018
LINCSCP_99018	NA	11188	NISCH	-3.2967	0.0018
LINCSCP_99018	NA	874	CBR3	-5.2594	0.0018
LINCSCP_99018	NA	1514	CTSL	2.3371	0.0019
LINCSCP_99018	NA	29978	UBQLN2	-2.9432	0.0019
LINCSCP_99018	NA	11065	UBE2C	-5.0572	0.0019
LINCSCP_99018	NA	9697	TRAM2	-4.3862	0.0021
LINCSCP_99018	NA	8870	IER3	-2.8252	0.0022
LINCSCP_99018	NA	5236	PGM1	-2.3167	0.0022
LINCSCP_99018	NA	991	CDC20	2.952	0.0022
LINCSCP_99018	NA	1017	CDK2	-4.9101	0.0022
LINCSCP_99018	NA	8318	CDC45	-2.9881	0.0023
LINCSCP_99018	NA	2222	FDFT1	-3.2627	0.0023
LINCSCP_99018	NA	54386	TERF2IP	2.2019	0.0023
LINCSCP_99018	NA	1848	DUSP6	2.2336	0.0024
LINCSCP_99018	NA	664	BNIP3	-2.895	0.0024
LINCSCP_99018	NA	332	BIRC5	2.7905	0.0024
