signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_15446	NA	481	ATP1B1	-5.4493	8.2656e-6
LINCSCP_15446	NA	2956	MSH6	-4.1163	0
LINCSCP_15446	NA	8318	CDC45	-4.3261	0
LINCSCP_15446	NA	983	CDK1	-3.6007	0
LINCSCP_15446	NA	5111	PCNA	-5.4361	0
LINCSCP_15446	NA	5829	PXN	3.2911	0
LINCSCP_15446	NA	11230	PRAF2	-3.6029	0
LINCSCP_15446	NA	8574	AKR7A2	-3.4126	1e-4
LINCSCP_15446	NA	10670	RRAGA	-2.5897	1e-4
LINCSCP_15446	NA	5050	PAFAH1B3	-2.4674	1e-4
LINCSCP_15446	NA	960	CD44	2.4385	1e-4
LINCSCP_15446	NA	7153	TOP2A	-2.7663	1e-4
LINCSCP_15446	NA	3206	HOXA10	-2.5319	1e-4
LINCSCP_15446	NA	3033	HADH	-3.4619	1e-4
LINCSCP_15446	NA	55958	KLHL9	-2.34	1e-4
LINCSCP_15446	NA	4792	NFKBIA	-2.9054	1e-4
LINCSCP_15446	NA	3638	INSIG1	-2.1542	1e-4
LINCSCP_15446	NA	4016	LOXL1	-2.9356	2e-4
LINCSCP_15446	NA	7466	WFS1	-3.3093	2e-4
LINCSCP_15446	NA	30836	DNTTIP2	2.4966	2e-4
LINCSCP_15446	NA	10493	VAT1	-1.9663	2e-4
LINCSCP_15446	NA	3486	IGFBP3	-1.9634	2e-4
LINCSCP_15446	NA	5708	PSMD2	2.8037	2e-4
LINCSCP_15446	NA	8508	NIPSNAP1	-2.3611	3e-4
LINCSCP_15446	NA	8974	P4HA2	-3.0659	3e-4
LINCSCP_15446	NA	10058	ABCB6	-2.2463	3e-4
LINCSCP_15446	NA	10962	MLLT11	-2.162	3e-4
LINCSCP_15446	NA	4651	MYO10	1.9786	3e-4
LINCSCP_15446	NA	85236	HIST1H2BK	2.2709	3e-4
LINCSCP_15446	NA	3553	IL1B	2.2193	3e-4
LINCSCP_15446	NA	51203	NUSAP1	-3.1917	3e-4
LINCSCP_15446	NA	874	CBR3	-3.1831	3e-4
LINCSCP_15446	NA	10285	SMNDC1	2.4798	3e-4
LINCSCP_15446	NA	5883	RAD9A	-2.171	4e-4
LINCSCP_15446	NA	51569	UFM1	2.3656	4e-4
LINCSCP_15446	NA	701	BUB1B	1.8211	4e-4
LINCSCP_15446	NA	3988	LIPA	-1.9953	4e-4
LINCSCP_15446	NA	8480	RAE1	2.328	4e-4
LINCSCP_15446	NA	23212	RRS1	2.0408	4e-4
LINCSCP_15446	NA	1983	EIF5	2.0178	4e-4
LINCSCP_15446	NA	51282	SCAND1	-2.2222	4e-4
LINCSCP_15446	NA	51071	DERA	-1.774	4e-4
LINCSCP_15446	NA	8804	CREG1	-1.9309	4e-4
LINCSCP_15446	NA	899	CCNF	-2.2458	4e-4
LINCSCP_15446	NA	11098	PRSS23	-1.7514	5e-4
LINCSCP_15446	NA	1848	DUSP6	1.9185	5e-4
LINCSCP_15446	NA	4638	MYLK	-2.0047	5e-4
LINCSCP_15446	NA	1643	DDB2	-2.1061	5e-4
LINCSCP_15446	NA	1802	DPH2	1.6705	5e-4
LINCSCP_15446	NA	79080	CCDC86	2.3855	6e-4
LINCSCP_15446	NA	23530	NNT	-1.6342	6e-4
LINCSCP_15446	NA	10953	TOMM34	1.6107	6e-4
LINCSCP_15446	NA	4931	NVL	2.1904	6e-4
LINCSCP_15446	NA	2274	FHL2	-2.6902	6e-4
LINCSCP_15446	NA	11041	B4GAT1	-3.0304	6e-4
LINCSCP_15446	NA	3157	HMGCS1	-2.4052	6e-4
LINCSCP_15446	NA	3202	HOXA5	-4.0723	7e-4
LINCSCP_15446	NA	5236	PGM1	-1.7959	7e-4
LINCSCP_15446	NA	994	CDC25B	-2.4326	7e-4
LINCSCP_15446	NA	6804	STX1A	2.262	7e-4
LINCSCP_15446	NA	665	BNIP3L	-3.1684	8e-4
LINCSCP_15446	NA	10237	SLC35B1	2.5006	8e-4
LINCSCP_15446	NA	142	PARP1	-2.091	8e-4
LINCSCP_15446	NA	7157	TP53	-3.9057	8e-4
LINCSCP_15446	NA	1846	DUSP4	1.5986	9e-4
LINCSCP_15446	NA	93487	MAPK1IP1L	-1.5765	9e-4
LINCSCP_15446	NA	11044	PAPD7	1.537	9e-4
LINCSCP_15446	NA	7852	CXCR4	2.3001	9e-4
LINCSCP_15446	NA	22908	SACM1L	2.1519	0.001
LINCSCP_15446	NA	80212	CCDC92	-2.1476	0.001
LINCSCP_15446	NA	1277	COL1A1	-1.6957	0.001
LINCSCP_15446	NA	9488	PIGB	1.8544	0.001
LINCSCP_15446	NA	11007	CCDC85B	-2.7089	0.0011
LINCSCP_15446	NA	7105	TSPAN6	-1.8403	0.0011
LINCSCP_15446	NA	93594	TBC1D31	1.67	0.0011
LINCSCP_15446	NA	4783	NFIL3	-2.0309	0.0011
LINCSCP_15446	NA	3682	ITGAE	1.4263	0.0011
LINCSCP_15446	NA	11182	SLC2A6	-1.5426	0.0012
LINCSCP_15446	NA	5997	RGS2	2.0224	0.0012
LINCSCP_15446	NA	9267	CYTH1	-1.457	0.0012
LINCSCP_15446	NA	644	BLVRA	-2.0143	0.0012
LINCSCP_15446	NA	8270	LAGE3	-1.4917	0.0012
LINCSCP_15446	NA	3978	LIG1	-2.2226	0.0012
LINCSCP_15446	NA	54442	KCTD5	1.5176	0.0013
LINCSCP_15446	NA	60528	ELAC2	1.4249	0.0013
LINCSCP_15446	NA	2309	FOXO3	-1.7059	0.0013
LINCSCP_15446	NA	6676	SPAG4	-1.4963	0.0013
LINCSCP_15446	NA	6390	SDHB	1.8436	0.0013
LINCSCP_15446	NA	10972	TMED10	-1.941	0.0014
LINCSCP_15446	NA	595	CCND1	1.5074	0.0014
LINCSCP_15446	NA	10969	EBNA1BP2	2.1576	0.0014
LINCSCP_15446	NA	54733	SLC35F2	2.3101	0.0014
LINCSCP_15446	NA	26136	TES	-1.3573	0.0014
LINCSCP_15446	NA	26064	RAI14	2.6279	0.0014
LINCSCP_15446	NA	79073	TMEM109	-2.6977	0.0014
LINCSCP_15446	NA	1676	DFFA	1.555	0.0014
LINCSCP_15446	NA	5898	RALA	1.6624	0.0015
LINCSCP_15446	NA	5211	PFKL	-1.8525	0.0015
LINCSCP_15446	NA	4616	GADD45B	-1.5254	0.0015
LINCSCP_15446	NA	9212	AURKB	-1.3756	0.0015
LINCSCP_15446	NA	2896	GRN	-1.6222	0.0015
LINCSCP_15446	NA	9455	HOMER2	1.5953	0.0015
LINCSCP_15446	NA	2745	GLRX	1.6055	0.0016
LINCSCP_15446	NA	11073	TOPBP1	-1.5827	0.0016
LINCSCP_15446	NA	25	ABL1	1.6894	0.0017
LINCSCP_15446	NA	79006	METRN	-1.423	0.0017
LINCSCP_15446	NA	25793	FBXO7	-1.7057	0.0017
LINCSCP_15446	NA	23670	TMEM2	-1.5495	0.0017
LINCSCP_15446	NA	47	ACLY	-1.8554	0.0018
LINCSCP_15446	NA	5899	RALB	1.9452	0.0019
LINCSCP_15446	NA	10007	GNPDA1	-1.5461	0.002
LINCSCP_15446	NA	51005	AMDHD2	1.6549	0.002
LINCSCP_15446	NA	5720	PSME1	-1.4986	0.002
LINCSCP_15446	NA	10915	TCERG1	1.6022	0.002
LINCSCP_15446	NA	10153	CEBPZ	2.7985	0.002
LINCSCP_15446	NA	6790	AURKA	1.8472	0.002
LINCSCP_15446	NA	39	ACAT2	-1.7777	0.002
LINCSCP_15446	NA	847	CAT	-1.2977	0.0021
LINCSCP_15446	NA	4609	MYC	-1.3892	0.0021
LINCSCP_15446	NA	6659	SOX4	-2.0877	0.0022
LINCSCP_15446	NA	10682	EBP	-2.5727	0.0023
LINCSCP_15446	NA	5891	MOK	2.0777	0.0023
LINCSCP_15446	NA	1662	DDX10	1.236	0.0023
LINCSCP_15446	NA	23588	KLHDC2	-1.3073	0.0023
LINCSCP_15446	NA	1605	DAG1	-1.3597	0.0023
LINCSCP_15446	NA	1635	DCTD	2.0817	0.0023
LINCSCP_15446	NA	230	ALDOC	-1.5443	0.0025
