signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_95569	NA	11182	SLC2A6	1.5958	0.0026
LINCSCP_95569	NA	4232	MEST	-1.4867	0.0035
LINCSCP_95569	NA	5891	MOK	-1.4959	0.0041
LINCSCP_95569	NA	51335	NGRN	-1.5987	0.0046
LINCSCP_95569	NA	6347	CCL2	1.5946	0.0065
LINCSCP_95569	NA	5423	POLB	1.3141	0.0069
LINCSCP_95569	NA	998	CDC42	1.8376	0.0076
LINCSCP_95569	NA	30	ACAA1	-1.5601	0.0079
LINCSCP_95569	NA	5716	PSMD10	1.6161	0.0081
LINCSCP_95569	NA	5971	RELB	1.2159	0.0085
LINCSCP_95569	NA	3308	HSPA4	-1.4242	0.0088
LINCSCP_95569	NA	26054	SENP6	-1.124	0.0092
LINCSCP_95569	NA	5050	PAFAH1B3	1.1707	0.0101
LINCSCP_95569	NA	7105	TSPAN6	1.4285	0.0102
LINCSCP_95569	NA	1282	COL4A1	1.1829	0.0105
LINCSCP_95569	NA	5720	PSME1	1.4669	0.0106
LINCSCP_95569	NA	7157	TP53	1.197	0.0116
LINCSCP_95569	NA	11098	PRSS23	1.0006	0.0122
LINCSCP_95569	NA	3157	HMGCS1	1.0711	0.0123
LINCSCP_95569	NA	1029	CDKN2A	1.0805	0.0123
LINCSCP_95569	NA	22908	SACM1L	-1.3409	0.0131
LINCSCP_95569	NA	9897	KIAA0196	-1.0813	0.014
LINCSCP_95569	NA	91949	COG7	0.9531	0.0157
LINCSCP_95569	NA	23038	WDTC1	1.2721	0.0158
LINCSCP_95569	NA	701	BUB1B	-0.9513	0.0164
LINCSCP_95569	NA	3611	ILK	1.4698	0.0175
LINCSCP_95569	NA	55604	LRRC16A	-1.0733	0.0178
LINCSCP_95569	NA	8508	NIPSNAP1	1.2849	0.018
LINCSCP_95569	NA	39	ACAT2	1.0029	0.0187
LINCSCP_95569	NA	56940	DUSP22	1.4712	0.0192
LINCSCP_95569	NA	2222	FDFT1	0.982	0.0194
