signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_138179	NA	8900	CCNA1	3.2702	2e-4
LINCSCP_138179	NA	501	ALDH7A1	2.5201	0.0011
LINCSCP_138179	NA	8870	IER3	-2.4965	0.0025
LINCSCP_138179	NA	9918	NCAPD2	2.0641	0.0025
LINCSCP_138179	NA	3482	IGF2R	2.1149	0.0026
LINCSCP_138179	NA	51375	SNX7	2.0528	0.0029
LINCSCP_138179	NA	11044	PAPD7	1.99	0.0036
LINCSCP_138179	NA	1070	CETN3	2.2073	0.004
LINCSCP_138179	NA	57149	LYRM1	-1.9399	0.0042
LINCSCP_138179	NA	5770	PTPN1	1.8476	0.0046
LINCSCP_138179	NA	5048	PAFAH1B1	3.8441	0.0062
LINCSCP_138179	NA	2184	FAH	-1.9262	0.0063
LINCSCP_138179	NA	25987	TSKU	-1.6948	0.0065
LINCSCP_138179	NA	4931	NVL	1.6366	0.0071
LINCSCP_138179	NA	8446	DUSP11	1.788	0.008
LINCSCP_138179	NA	10123	ARL4C	1.5949	0.0087
LINCSCP_138179	NA	2523	FUT1	1.6459	0.0089
LINCSCP_138179	NA	4817	NIT1	2.1564	0.0093
LINCSCP_138179	NA	5373	PMM2	1.5276	0.0095
LINCSCP_138179	NA	9851	KIAA0753	2.6833	0.0098
LINCSCP_138179	NA	2288	FKBP4	1.5606	0.01
LINCSCP_138179	NA	5355	PLP2	1.7545	0.0102
LINCSCP_138179	NA	8574	AKR7A2	-1.5098	0.0113
LINCSCP_138179	NA	1017	CDK2	1.5163	0.0114
LINCSCP_138179	NA	3553	IL1B	6.7851	0.0115
LINCSCP_138179	NA	2131	EXT1	1.4485	0.0118
LINCSCP_138179	NA	56997	ADCK3	-1.4365	0.0123
LINCSCP_138179	NA	23161	SNX13	1.62	0.0125
LINCSCP_138179	NA	10682	EBP	-1.4353	0.0126
LINCSCP_138179	NA	4232	MEST	1.8946	0.0127
LINCSCP_138179	NA	3280	HES1	-2.0986	0.0132
LINCSCP_138179	NA	23271	CAMSAP2	1.8387	0.0136
LINCSCP_138179	NA	26227	PHGDH	-1.5033	0.0137
LINCSCP_138179	NA	6253	RTN2	1.4639	0.0138
LINCSCP_138179	NA	11232	POLG2	1.5859	0.0139
LINCSCP_138179	NA	55012	PPP2R3C	-3.0658	0.0139
LINCSCP_138179	NA	6944	VPS72	1.7043	0.0142
LINCSCP_138179	NA	10523	CHERP	-1.505	0.0148
LINCSCP_138179	NA	178	AGL	1.8407	0.0152
LINCSCP_138179	NA	1831	TSC22D3	-1.7575	0.0154
LINCSCP_138179	NA	3251	HPRT1	-3.202	0.0157
LINCSCP_138179	NA	27336	HTATSF1	1.3676	0.0158
LINCSCP_138179	NA	23149	FCHO1	1.9944	0.0163
LINCSCP_138179	NA	8835	SOCS2	1.4198	0.0166
LINCSCP_138179	NA	1978	EIF4EBP1	-1.3744	0.0177
LINCSCP_138179	NA	2908	NR3C1	1.3655	0.0179
LINCSCP_138179	NA	5788	PTPRC	1.3276	0.0181
LINCSCP_138179	NA	23597	ACOT9	-1.6016	0.0183
LINCSCP_138179	NA	54915	YTHDF1	-1.3094	0.0183
LINCSCP_138179	NA	63933	MCUR1	-1.3813	0.0184
LINCSCP_138179	NA	10099	TSPAN3	-1.8125	0.0186
LINCSCP_138179	NA	5715	PSMD9	-1.3236	0.0195
LINCSCP_138179	NA	7106	TSPAN4	-1.3941	0.0196
LINCSCP_138179	NA	7020	TFAP2A	1.3971	0.02
LINCSCP_138179	NA	4998	ORC1	1.6916	0.0206
LINCSCP_138179	NA	23647	ARFIP2	-1.3431	0.0213
LINCSCP_138179	NA	2954	GSTZ1	-1.4446	0.0215
LINCSCP_138179	NA	6390	SDHB	-1.3004	0.0215
LINCSCP_138179	NA	572	BAD	1.4718	0.0216
LINCSCP_138179	NA	9697	TRAM2	2.2904	0.0222
LINCSCP_138179	NA	23142	DCUN1D4	1.3653	0.0234
LINCSCP_138179	NA	5710	PSMD4	-1.3026	0.0235
LINCSCP_138179	NA	29103	DNAJC15	1.227	0.0236
LINCSCP_138179	NA	11200	CHEK2	-1.4433	0.0236
LINCSCP_138179	NA	24149	ZNF318	1.3451	0.0236
LINCSCP_138179	NA	81533	ITFG1	1.7655	0.0242
LINCSCP_138179	NA	4313	MMP2	1.4192	0.0244
LINCSCP_138179	NA	836	CASP3	1.4613	0.0246
LINCSCP_138179	NA	958	CD40	1.9809	0.0259
LINCSCP_138179	NA	58533	SNX6	-1.361	0.0267
LINCSCP_138179	NA	10972	TMED10	1.206	0.0276
LINCSCP_138179	NA	51170	HSD17B11	1.3393	0.0277
LINCSCP_138179	NA	8800	PEX11A	1.3212	0.0278
LINCSCP_138179	NA	23210	JMJD6	-1.412	0.028
LINCSCP_138179	NA	1802	DPH2	-1.1755	0.0282
LINCSCP_138179	NA	9653	HS2ST1	1.5296	0.0282
LINCSCP_138179	NA	79080	CCDC86	1.2046	0.029
LINCSCP_138179	NA	310	ANXA7	-1.2151	0.0294
LINCSCP_138179	NA	4851	NOTCH1	1.4506	0.0297
LINCSCP_138179	NA	89910	UBE3B	1.2523	0.03
LINCSCP_138179	NA	3925	STMN1	-2.8812	0.0304
LINCSCP_138179	NA	9917	FAM20B	1.1857	0.0307
LINCSCP_138179	NA	23378	RRP8	-1.1784	0.0308
LINCSCP_138179	NA	6772	STAT1	1.5585	0.0311
LINCSCP_138179	NA	1500	CTNND1	1.1461	0.0311
LINCSCP_138179	NA	29916	SNX11	-1.2399	0.0323
LINCSCP_138179	NA	3815	KIT	2.1342	0.0325
LINCSCP_138179	NA	6790	AURKA	-1.2392	0.0325
LINCSCP_138179	NA	4850	CNOT4	-1.2548	0.034
LINCSCP_138179	NA	6461	SHB	1.4999	0.0351
LINCSCP_138179	NA	6915	TBXA2R	4.6663	0.0357
LINCSCP_138179	NA	8826	IQGAP1	1.3749	0.0357
LINCSCP_138179	NA	3597	IL13RA1	1.184	0.0361
LINCSCP_138179	NA	6832	SUPV3L1	1.1158	0.0364
LINCSCP_138179	NA	5438	POLR2I	-1.1076	0.0364
LINCSCP_138179	NA	23530	NNT	1.4588	0.0367
LINCSCP_138179	NA	23321	TRIM2	1.109	0.0378
LINCSCP_138179	NA	26136	TES	1.1202	0.0378
LINCSCP_138179	NA	5480	PPIC	-1.1482	0.0383
LINCSCP_138179	NA	25825	BACE2	-1.1193	0.0384
LINCSCP_138179	NA	1062	CENPE	1.3016	0.0387
LINCSCP_138179	NA	2356	FPGS	-1.4192	0.039
LINCSCP_138179	NA	8270	LAGE3	-1.0866	0.0391
LINCSCP_138179	NA	1398	CRK	-1.4187	0.0394
LINCSCP_138179	NA	10525	HYOU1	1.5487	0.04
LINCSCP_138179	NA	9915	ARNT2	1.2395	0.0406
LINCSCP_138179	NA	9897	KIAA0196	1.5363	0.0417
LINCSCP_138179	NA	701	BUB1B	1.4489	0.0419
LINCSCP_138179	NA	9053	MAP7	1.1264	0.0422
LINCSCP_138179	NA	10813	UTP14A	-1.7405	0.0427
LINCSCP_138179	NA	51056	LAP3	1.0584	0.0434
LINCSCP_138179	NA	54541	DDIT4	-1.108	0.0446
LINCSCP_138179	NA	9093	DNAJA3	-5.1587	0.0452
LINCSCP_138179	NA	533	ATP6V0B	-1.2268	0.0456
LINCSCP_138179	NA	1399	CRKL	1.1198	0.0462
LINCSCP_138179	NA	3508	IGHMBP2	1.154	0.0464
LINCSCP_138179	NA	7866	IFRD2	-1.1108	0.047
LINCSCP_138179	NA	5883	RAD9A	-1.3711	0.0471
LINCSCP_138179	NA	6499	SKIV2L	-1.0368	0.0473
LINCSCP_138179	NA	10007	GNPDA1	-1.2209	0.0475
LINCSCP_138179	NA	64781	CERK	1.2041	0.048
LINCSCP_138179	NA	5261	PHKG2	-1.1725	0.0481
LINCSCP_138179	NA	10237	SLC35B1	-1.2126	0.0484
LINCSCP_138179	NA	27346	TMEM97	-1.045	0.0492
LINCSCP_138179	NA	79187	FSD1	1.1678	0.0499
LINCSCP_138179	NA	5699	PSMB10	-1.1094	0.05
LINCSCP_138179	NA	5601	MAPK9	1.698	0.0505
LINCSCP_138179	NA	64746	ACBD3	-1.1055	0.051
LINCSCP_138179	NA	10617	STAMBP	-1.368	0.0511
LINCSCP_138179	NA	7077	TIMP2	1.0456	0.0511
LINCSCP_138179	NA	9924	PAN2	-2.432	0.0531
LINCSCP_138179	NA	3091	HIF1A	-1.105	0.0537
LINCSCP_138179	NA	1111	CHEK1	1.1564	0.053900000000000003
LINCSCP_138179	NA	51001	MTERF3	0.97	0.055
LINCSCP_138179	NA	124583	CANT1	-0.989	0.0551
LINCSCP_138179	NA	9703	KIAA0100	-1.0045	0.0554
LINCSCP_138179	NA	51382	ATP6V1D	-4.2779	0.0556
LINCSCP_138179	NA	10489	LRRC41	-1.4437	0.0562
LINCSCP_138179	NA	7016	TESK1	0.9788	0.0571
LINCSCP_138179	NA	9842	PLEKHM1	1.2067	0.0594
LINCSCP_138179	NA	388650	FAM69A	1.0171	0.0594
LINCSCP_138179	NA	10681	GNB5	-1.2269	0.0596
LINCSCP_138179	NA	8878	SQSTM1	-1.1057	0.06
LINCSCP_138179	NA	23635	SSBP2	3.9295	0.0602
LINCSCP_138179	NA	2810	SFN	-1.0114	0.0604
LINCSCP_138179	NA	25976	TIPARP	0.9998	0.0629
LINCSCP_138179	NA	896	CCND3	-0.9729	0.0637
LINCSCP_138179	NA	116832	RPL39L	-0.9536	0.0641
LINCSCP_138179	NA	30849	PIK3R4	-1.0893	0.0644
LINCSCP_138179	NA	79850	FAM57A	-1.2666	0.0645
LINCSCP_138179	NA	5777	PTPN6	-1.033	0.065
LINCSCP_138179	NA	2037	EPB41L2	-0.9279	0.0658
LINCSCP_138179	NA	323	APBB2	0.997	0.0662
LINCSCP_138179	NA	3028	HSD17B10	-1.0038	0.0674
LINCSCP_138179	NA	2896	GRN	-1.2759	0.0675
LINCSCP_138179	NA	23335	WDR7	1.0752	0.0677
LINCSCP_138179	NA	10559	SLC35A1	0.9252	0.0685
LINCSCP_138179	NA	57178	ZMIZ1	-0.9483	0.0694
LINCSCP_138179	NA	2309	FOXO3	-1.1356	0.0697
LINCSCP_138179	NA	3638	INSIG1	0.9328	0.0702
LINCSCP_138179	NA	200081	TXLNA	-1.2183	0.071
LINCSCP_138179	NA	10904	BLCAP	0.9152	0.0711
LINCSCP_138179	NA	26520	TIMM9	-0.9271	0.0715
LINCSCP_138179	NA	230	ALDOC	1.0704	0.0732
LINCSCP_138179	NA	5603	MAPK13	0.9965	0.0754
LINCSCP_138179	NA	2582	GALE	-1.1343	0.0755
LINCSCP_138179	NA	823	CAPN1	0.9373	0.076
LINCSCP_138179	NA	51465	UBE2J1	0.9899	0.076
LINCSCP_138179	NA	10589	DRAP1	-1.0863	0.0768
LINCSCP_138179	NA	7043	TGFB3	-1.088	0.0768
LINCSCP_138179	NA	3988	LIPA	-0.8948	0.0772
LINCSCP_138179	NA	4216	MAP3K4	1.0811	0.0777
LINCSCP_138179	NA	960	CD44	0.9269	0.0785
LINCSCP_138179	NA	23386	NUDCD3	-1.2179	0.0787
LINCSCP_138179	NA	2113	ETS1	0.8896	0.0796
LINCSCP_138179	NA	4925	NUCB2	-0.8742	0.08
LINCSCP_138179	NA	54499	TMCO1	-1.347	0.0809
LINCSCP_138179	NA	10174	SORBS3	-1.1874	0.0812
