signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_235614	NA	8837	CFLAR	2.9199	3e-4
LINCSCP_235614	NA	54512	EXOSC4	-1.503	0.002
LINCSCP_235614	NA	25805	BAMBI	-1.2219	0.0034
LINCSCP_235614	NA	10270	AKAP8	-1.0462	0.0047
LINCSCP_235614	NA	6659	SOX4	-1.2044	0.0049
LINCSCP_235614	NA	23522	KAT6B	-1.0942	0.0055
LINCSCP_235614	NA	8826	IQGAP1	-0.9924	0.0059
LINCSCP_235614	NA	4792	NFKBIA	-1.4026	0.0063
LINCSCP_235614	NA	10962	MLLT11	0.94	0.0068
LINCSCP_235614	NA	11098	PRSS23	0.9328	0.0084
LINCSCP_235614	NA	6603	SMARCD2	-1.8051	0.009
LINCSCP_235614	NA	10732	TCFL5	-1.4699	0.0098
LINCSCP_235614	NA	11284	PNKP	-0.9655	0.0098
LINCSCP_235614	NA	1958	EGR1	-0.873	0.0099
LINCSCP_235614	NA	5909	RAP1GAP	-0.8698	0.0102
LINCSCP_235614	NA	8444	DYRK3	0.9316	0.0104
LINCSCP_235614	NA	1983	EIF5	0.8412	0.0107
LINCSCP_235614	NA	79716	NPEPL1	-0.768	0.0125
LINCSCP_235614	NA	9710	KIAA0355	-0.962	0.0126
LINCSCP_235614	NA	6622	SNCA	-0.9225	0.0131
LINCSCP_235614	NA	5347	PLK1	0.7376	0.0139
LINCSCP_235614	NA	780	DDR1	-0.7955	0.0139
LINCSCP_235614	NA	2896	GRN	-0.8181	0.0143
LINCSCP_235614	NA	9448	MAP4K4	-0.8609	0.0144
LINCSCP_235614	NA	5889	RAD51C	0.8132	0.0145
LINCSCP_235614	NA	2222	FDFT1	0.8854	0.0147
LINCSCP_235614	NA	10190	TXNDC9	0.9167	0.0172
LINCSCP_235614	NA	80204	FBXO11	0.8902	0.0172
LINCSCP_235614	NA	23588	KLHDC2	-0.7672	0.018
LINCSCP_235614	NA	6193	RPS5	1.1832	0.0197
LINCSCP_235614	NA	3682	ITGAE	0.6992	0.0203
LINCSCP_235614	NA	3385	ICAM3	0.7457	0.0223
LINCSCP_235614	NA	84617	TUBB6	0.8023	0.0224
LINCSCP_235614	NA	6194	RPS6	0.6414	0.0229
LINCSCP_235614	NA	2553	GABPB1	0.6961	0.0231
LINCSCP_235614	NA	9124	PDLIM1	-1.9767	0.0234
LINCSCP_235614	NA	3028	HSD17B10	-0.6801	0.0235
LINCSCP_235614	NA	8726	EED	0.6956	0.0241
LINCSCP_235614	NA	2534	FYN	-0.9905	0.0242
LINCSCP_235614	NA	481	ATP1B1	-1.1088	0.0259
LINCSCP_235614	NA	5927	KDM5A	-0.7664	0.0267
LINCSCP_235614	NA	25966	C2CD2	-0.8833	0.0268
LINCSCP_235614	NA	10057	ABCC5	-0.691	0.0271
LINCSCP_235614	NA	10285	SMNDC1	0.6851	0.0276
LINCSCP_235614	NA	10610	ST6GALNAC2	-0.7402	0.028
LINCSCP_235614	NA	26520	TIMM9	0.7305	0.0284
LINCSCP_235614	NA	2767	GNA11	-0.6296	0.029
