signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_139350	NA	1429	CRYZ	-3.183	8e-4
LINCSCP_139350	NA	8349	HIST2H2BE	3.0022	0.0016
LINCSCP_139350	NA	10972	TMED10	-2.7188	0.0016
LINCSCP_139350	NA	642	BLMH	-2.6925	0.0024
LINCSCP_139350	NA	4609	MYC	3.003	0.0025
LINCSCP_139350	NA	2146	EZH2	-2.7532	0.0032
LINCSCP_139350	NA	3385	ICAM3	-2.3422	0.0033
LINCSCP_139350	NA	1983	EIF5	-2.8572	0.0034
LINCSCP_139350	NA	8870	IER3	-2.3734	0.0037
LINCSCP_139350	NA	89910	UBE3B	3.8033	0.0039
LINCSCP_139350	NA	5423	POLB	-3.0046	0.004
LINCSCP_139350	NA	6195	RPS6KA1	-2.6559	0.0042
LINCSCP_139350	NA	2769	GNA15	2.2542	0.0044
LINCSCP_139350	NA	9961	MVP	2.4633	0.0048
LINCSCP_139350	NA	27095	TRAPPC3	-2.1404	0.0054
LINCSCP_139350	NA	2184	FAH	-2.6902	0.0056
LINCSCP_139350	NA	4331	MNAT1	-2.0686	0.0061
LINCSCP_139350	NA	4860	PNP	-2.7886	0.0062
LINCSCP_139350	NA	55012	PPP2R3C	-4.6168	0.0065
LINCSCP_139350	NA	991	CDC20	-3.969	0.0067
LINCSCP_139350	NA	29928	TIMM22	7.0482	0.0069
LINCSCP_139350	NA	29083	GTPBP8	-1.9674	0.0077
LINCSCP_139350	NA	983	CDK1	-2.0724	0.0078
LINCSCP_139350	NA	8480	RAE1	-2.02	0.0082
LINCSCP_139350	NA	5236	PGM1	-2.6973	0.0082
LINCSCP_139350	NA	2958	GTF2A2	-1.9792	0.0082
LINCSCP_139350	NA	3028	HSD17B10	-2.0548	0.0086
LINCSCP_139350	NA	3329	HSPD1	-2.2097	0.0087
LINCSCP_139350	NA	2771	GNAI2	-1.8895	0.0091
LINCSCP_139350	NA	226	ALDOA	-2.5751	0.0091
LINCSCP_139350	NA	6390	SDHB	-2.5875	0.0095
LINCSCP_139350	NA	10237	SLC35B1	-3.0895	0.0095
LINCSCP_139350	NA	310	ANXA7	-2.556	0.0101
LINCSCP_139350	NA	55746	NUP133	2.0408	0.0105
LINCSCP_139350	NA	2896	GRN	1.8579	0.0108
LINCSCP_139350	NA	10617	STAMBP	-3.2336	0.0109
LINCSCP_139350	NA	622	BDH1	-2.2238	0.011
LINCSCP_139350	NA	7016	TESK1	1.8298	0.0115
LINCSCP_139350	NA	8835	SOCS2	2.0855	0.0122
LINCSCP_139350	NA	6908	TBP	-1.77	0.0124
LINCSCP_139350	NA	6790	AURKA	-2.0802	0.0124
LINCSCP_139350	NA	83743	GRWD1	-2.081	0.0128
