signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_141190	NA	2920	CXCL2	-4.6891	3e-4
LINCSCP_141190	NA	3329	HSPD1	-1.9043	0.0052
LINCSCP_141190	NA	6659	SOX4	-1.7005	0.0074
LINCSCP_141190	NA	10813	UTP14A	-1.4929	0.0076
LINCSCP_141190	NA	5048	PAFAH1B1	1.6936	0.0086
LINCSCP_141190	NA	1282	COL4A1	1.5021	0.0095
LINCSCP_141190	NA	10682	EBP	-1.559	0.0117
LINCSCP_141190	NA	147179	WIPF2	-1.4579	0.0131
LINCSCP_141190	NA	7048	TGFBR2	7.6351	0.0139
LINCSCP_141190	NA	387	RHOA	-1.438	0.014
LINCSCP_141190	NA	5054	SERPINE1	1.4481	0.0144
LINCSCP_141190	NA	10493	VAT1	-1.5217	0.0144
LINCSCP_141190	NA	1605	DAG1	-1.3076	0.0151
LINCSCP_141190	NA	1906	EDN1	1.8266	0.0155
LINCSCP_141190	NA	5891	MOK	1.3369	0.0158
LINCSCP_141190	NA	637	BID	1.22	0.0158
LINCSCP_141190	NA	1786	DNMT1	1.6489	0.0161
LINCSCP_141190	NA	22794	CASC3	-1.3305	0.0176
LINCSCP_141190	NA	2184	FAH	-1.2391	0.0178
LINCSCP_141190	NA	51203	NUSAP1	1.4297	0.0181
LINCSCP_141190	NA	7905	REEP5	-1.7816	0.0185
LINCSCP_141190	NA	9637	FEZ2	-1.4787	0.0188
LINCSCP_141190	NA	25987	TSKU	-1.3751	0.0188
LINCSCP_141190	NA	51466	EVL	1.4054	0.019
LINCSCP_141190	NA	8202	NCOA3	-1.9185	0.0196
LINCSCP_141190	NA	665	BNIP3L	-1.3977	0.0197
LINCSCP_141190	NA	9016	SLC25A14	2.1359	0.0203
LINCSCP_141190	NA	23597	ACOT9	4.299	0.0203
LINCSCP_141190	NA	4016	LOXL1	1.2577	0.0206
LINCSCP_141190	NA	4817	NIT1	1.4758	0.0206
LINCSCP_141190	NA	54512	EXOSC4	1.5005	0.0219
LINCSCP_141190	NA	5498	PPOX	1.4075	0.0224
LINCSCP_141190	NA	8800	PEX11A	1.4886	0.0229
LINCSCP_141190	NA	1029	CDKN2A	1.6676	0.0233
LINCSCP_141190	NA	63933	MCUR1	-1.167	0.0239
LINCSCP_141190	NA	9670	IPO13	1.1968	0.0242
LINCSCP_141190	NA	56924	PAK6	-1.4738	0.0252
LINCSCP_141190	NA	64428	NARFL	1.0853	0.0253
LINCSCP_141190	NA	3098	HK1	-1.0726	0.026
LINCSCP_141190	NA	11044	PAPD7	1.4958	0.0262
LINCSCP_141190	NA	25874	MPC2	1.1691	0.0279
LINCSCP_141190	NA	8678	BECN1	-1.2203	0.028
LINCSCP_141190	NA	5607	MAP2K5	-1.3636	0.0281
LINCSCP_141190	NA	375346	TMEM110	1.1299	0.0294
LINCSCP_141190	NA	5792	PTPRF	1.352	0.0298
LINCSCP_141190	NA	6253	RTN2	1.1127	0.0303
LINCSCP_141190	NA	8837	CFLAR	-1.1532	0.0308
LINCSCP_141190	NA	2961	GTF2E2	-1.121	0.0312
LINCSCP_141190	NA	6461	SHB	1.1443	0.0314
LINCSCP_141190	NA	2288	FKBP4	1.6608	0.0317
LINCSCP_141190	NA	1978	EIF4EBP1	-0.9828	0.0318
LINCSCP_141190	NA	64781	CERK	0.992	0.0318
LINCSCP_141190	NA	6894	TARBP1	-0.9786	0.0325
LINCSCP_141190	NA	3725	JUN	-1.4302	0.0326
LINCSCP_141190	NA	1213	CLTC	-1.7566	0.0326
LINCSCP_141190	NA	23321	TRIM2	1.4038	0.0334
LINCSCP_141190	NA	1534	CYB561	-1.3016	0.0339
LINCSCP_141190	NA	6676	SPAG4	0.9795	0.0341
LINCSCP_141190	NA	960	CD44	1.1831	0.0345
LINCSCP_141190	NA	3206	HOXA10	0.9857	0.0349
LINCSCP_141190	NA	8503	PIK3R3	-2.3952	0.0358
LINCSCP_141190	NA	1070	CETN3	1.4464	0.0371
LINCSCP_141190	NA	6599	SMARCC1	-1.1095	0.0373
LINCSCP_141190	NA	994	CDC25B	-2.4397	0.0376
LINCSCP_141190	NA	1666	DECR1	-0.9572	0.0383
LINCSCP_141190	NA	5529	PPP2R5E	-1.2026	0.0386
LINCSCP_141190	NA	3480	IGF1R	-0.927	0.0386
LINCSCP_141190	NA	9797	TATDN2	-1.1412	0.0387
LINCSCP_141190	NA	6195	RPS6KA1	-1.2957	0.0389
LINCSCP_141190	NA	8835	SOCS2	1.3928	0.0389
LINCSCP_141190	NA	11065	UBE2C	-0.9861	0.039
LINCSCP_141190	NA	9467	SH3BP5	-1.2742	0.0391
LINCSCP_141190	NA	1983	EIF5	-1.2602	0.0398
LINCSCP_141190	NA	3303	HSPA1A	-1.1153	0.0403
LINCSCP_141190	NA	9918	NCAPD2	0.9296	0.0404
LINCSCP_141190	NA	23131	GPATCH8	-1.4979	0.042
LINCSCP_141190	NA	29103	DNAJC15	0.9653	0.043
LINCSCP_141190	NA	6390	SDHB	-1.3549	0.0431
LINCSCP_141190	NA	1027	CDKN1B	-1.1577	0.0437
LINCSCP_141190	NA	55793	FAM63A	-0.9381	0.0442
LINCSCP_141190	NA	1399	CRKL	1.3645	0.0444
LINCSCP_141190	NA	2131	EXT1	1.3911	0.0444
LINCSCP_141190	NA	5716	PSMD10	-1.1064	0.045
LINCSCP_141190	NA	22905	EPN2	0.9847	0.0457
LINCSCP_141190	NA	5427	POLE2	1.6484	0.0461
LINCSCP_141190	NA	23659	PLA2G15	-0.8913	0.0479
LINCSCP_141190	NA	2146	EZH2	0.997	0.048
LINCSCP_141190	NA	23410	SIRT3	-4.5767	0.0481
LINCSCP_141190	NA	7043	TGFB3	-1.3868	0.049
LINCSCP_141190	NA	7016	TESK1	0.9497	0.049
LINCSCP_141190	NA	56889	TM9SF3	3.4311	0.0511
LINCSCP_141190	NA	1153	CIRBP	-1.1813	0.0531
LINCSCP_141190	NA	1500	CTNND1	0.9277	0.0533
LINCSCP_141190	NA	26520	TIMM9	1.4375	0.0533
LINCSCP_141190	NA	5096	PCCB	-0.921	0.0536
LINCSCP_141190	NA	2309	FOXO3	-1.1675	0.0541
LINCSCP_141190	NA	3398	ID2	-1.0087	0.0555
LINCSCP_141190	NA	5710	PSMD4	-1.2668	0.0559
LINCSCP_141190	NA	3978	LIG1	-0.8724	0.0561
LINCSCP_141190	NA	27095	TRAPPC3	0.86240000000000006	0.0565
LINCSCP_141190	NA	10695	CNPY3	1.1556	0.0568
LINCSCP_141190	NA	2817	GPC1	0.8782	0.0581
LINCSCP_141190	NA	4851	NOTCH1	0.8113	0.0585
LINCSCP_141190	NA	10557	RPP38	-1.3046	0.0591
LINCSCP_141190	NA	54505	DHX29	0.8255	0.0592
LINCSCP_141190	NA	10276	NET1	-0.9459	0.0598
LINCSCP_141190	NA	178	AGL	1.3905	0.0602
LINCSCP_141190	NA	10165	SLC25A13	1.0152	0.0606
LINCSCP_141190	NA	9842	PLEKHM1	1.2777	0.0612
LINCSCP_141190	NA	7494	XBP1	-0.9395	0.0614
LINCSCP_141190	NA	11230	PRAF2	-0.9312	0.0615
LINCSCP_141190	NA	10818	FRS2	-1.1868	0.0616
LINCSCP_141190	NA	5777	PTPN6	1.0026	0.0616
LINCSCP_141190	NA	10206	TRIM13	0.8639	0.0616
LINCSCP_141190	NA	9488	PIGB	0.9816	0.0621
LINCSCP_141190	NA	4927	NUP88	-1.0533	0.0621
LINCSCP_141190	NA	55958	KLHL9	1.0148	0.0621
LINCSCP_141190	NA	5829	PXN	0.9998	0.0623
LINCSCP_141190	NA	5909	RAP1GAP	0.8877	0.0625
LINCSCP_141190	NA	10617	STAMBP	-0.8202	0.0647
LINCSCP_141190	NA	2958	GTF2A2	1.5079	0.065
LINCSCP_141190	NA	25932	CLIC4	1.1444	0.0654
LINCSCP_141190	NA	8446	DUSP11	0.8787	0.0663
LINCSCP_141190	NA	9702	CEP57	0.9111	0.067
LINCSCP_141190	NA	5747	PTK2	1.2379	0.0681
LINCSCP_141190	NA	55127	HEATR1	-1.1527	0.0688
LINCSCP_141190	NA	7750	ZMYM2	-2.1401	0.0692
LINCSCP_141190	NA	7168	TPM1	0.8464	0.0698
LINCSCP_141190	NA	26036	ZNF451	1.0058	0.0705
LINCSCP_141190	NA	6909	TBX2	-1.2641	0.071
LINCSCP_141190	NA	22926	ATF6	-1.437	0.0711
LINCSCP_141190	NA	965	CD58	0.7476	0.0713
LINCSCP_141190	NA	5641	LGMN	-0.8974	0.0716
LINCSCP_141190	NA	26136	TES	0.763	0.0719
LINCSCP_141190	NA	23161	SNX13	1.7986	0.0721
LINCSCP_141190	NA	10146	G3BP1	-1.8018	0.0724
LINCSCP_141190	NA	831	CAST	0.8125	0.0729
LINCSCP_141190	NA	1277	COL1A1	1.7958	0.0743
LINCSCP_141190	NA	5261	PHKG2	-0.8729	0.0743
LINCSCP_141190	NA	10559	SLC35A1	0.8974	0.0744
LINCSCP_141190	NA	5108	PCM1	-0.9802	0.0751
LINCSCP_141190	NA	1026	CDKN1A	-0.8156	0.0752
LINCSCP_141190	NA	94239	H2AFV	1.0196	0.0754
LINCSCP_141190	NA	7416	VDAC1	-4.5534	0.0758
LINCSCP_141190	NA	3815	KIT	1.107	0.0764
LINCSCP_141190	NA	23200	ATP11B	0.7268	0.0766
LINCSCP_141190	NA	7088	TLE1	-0.8008	0.0773
LINCSCP_141190	NA	4616	GADD45B	0.7985	0.0773
LINCSCP_141190	NA	1845	DUSP3	-0.7329	0.0787
LINCSCP_141190	NA	6696	SPP1	-4.4112	0.0805
