signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132832	NA	1282	COL4A1	-1.018	0.0024
LINCSCP_132832	NA	2958	GTF2A2	1.0912	0.0025
LINCSCP_132832	NA	10450	PPIE	1.0196	0.0028
LINCSCP_132832	NA	9270	ITGB1BP1	0.9826	0.0039
LINCSCP_132832	NA	1050	CEBPA	1.0726	0.004
LINCSCP_132832	NA	91949	COG7	-1.4558	0.0041
LINCSCP_132832	NA	58478	ENOPH1	0.9816	0.0072
LINCSCP_132832	NA	10972	TMED10	0.881	0.0077
LINCSCP_132832	NA	1019	CDK4	0.8347	0.0079
LINCSCP_132832	NA	7398	USP1	0.8681	0.008
LINCSCP_132832	NA	5909	RAP1GAP	-1.1866	0.0081
LINCSCP_132832	NA	1459	CSNK2A2	-0.9057	0.0083
LINCSCP_132832	NA	847	CAT	-1.0705	0.0085
LINCSCP_132832	NA	9183	ZW10	-0.8886	0.0094
LINCSCP_132832	NA	10398	MYL9	-0.9644	0.0094
LINCSCP_132832	NA	1846	DUSP4	-0.9222	0.01
LINCSCP_132832	NA	8480	RAE1	0.8221	0.0103
LINCSCP_132832	NA	11031	RAB31	1.1417	0.0107
LINCSCP_132832	NA	983	CDK1	0.7565	0.0109
LINCSCP_132832	NA	1738	DLD	0.8146	0.0116
LINCSCP_132832	NA	50810	HDGFRP3	1.1264	0.0116
LINCSCP_132832	NA	9133	CCNB2	0.7205	0.0116
LINCSCP_132832	NA	6850	SYK	-0.8001	0.0119
LINCSCP_132832	NA	10320	IKZF1	-0.997	0.0122
LINCSCP_132832	NA	8835	SOCS2	-0.8453	0.0125
LINCSCP_132832	NA	55604	LRRC16A	-1.1267	0.0131
LINCSCP_132832	NA	9801	MRPL19	0.8792	0.0134
LINCSCP_132832	NA	5891	MOK	-0.8275	0.0136
LINCSCP_132832	NA	9690	UBE3C	0.7527	0.0141
LINCSCP_132832	NA	11168	PSIP1	0.7424	0.0143
LINCSCP_132832	NA	10969	EBNA1BP2	0.798	0.0153
LINCSCP_132832	NA	9988	DMTF1	-0.7403	0.0162
LINCSCP_132832	NA	4783	NFIL3	1.5944	0.0164
LINCSCP_132832	NA	5467	PPARD	-0.7039	0.0171
LINCSCP_132832	NA	10013	HDAC6	-0.6859	0.0182
LINCSCP_132832	NA	3725	JUN	-0.7531	0.0182
LINCSCP_132832	NA	23658	LSM5	0.8613	0.0184
LINCSCP_132832	NA	9128	PRPF4	0.7505	0.0193
LINCSCP_132832	NA	64943	NT5DC2	-0.7984	0.0193
LINCSCP_132832	NA	55148	UBR7	0.687	0.0198
LINCSCP_132832	NA	5427	POLE2	0.6604	0.0205
LINCSCP_132832	NA	965	CD58	0.8659	0.0208
LINCSCP_132832	NA	6919	TCEA2	-0.9809	0.0208
LINCSCP_132832	NA	23386	NUDCD3	-1.2465	0.0215
LINCSCP_132832	NA	8061	FOSL1	-0.8053	0.0218
LINCSCP_132832	NA	79073	TMEM109	0.798	0.0219
LINCSCP_132832	NA	5603	MAPK13	-0.7568	0.022
LINCSCP_132832	NA	5438	POLR2I	0.6806	0.0221
LINCSCP_132832	NA	10730	YME1L1	0.7754	0.0223
LINCSCP_132832	NA	5223	PGAM1	0.7333	0.0234
LINCSCP_132832	NA	10776	ARPP19	0.7357	0.0239
LINCSCP_132832	NA	1983	EIF5	0.6223	0.0244
LINCSCP_132832	NA	10153	CEBPZ	0.7968	0.0244
LINCSCP_132832	NA	7485	WRB	0.7879	0.0245
LINCSCP_132832	NA	7153	TOP2A	0.6567	0.0249
LINCSCP_132832	NA	6117	RPA1	0.8525	0.0252
LINCSCP_132832	NA	896	CCND3	0.6814	0.0255
LINCSCP_132832	NA	2946	GSTM2	-0.7086	0.0258
LINCSCP_132832	NA	25874	MPC2	0.7221	0.0262
LINCSCP_132832	NA	5836	PYGL	-0.744	0.0264
LINCSCP_132832	NA	4216	MAP3K4	0.6871	0.0276
LINCSCP_132832	NA	51053	GMNN	0.7545	0.0279
LINCSCP_132832	NA	23029	RBM34	-0.6821	0.0282
LINCSCP_132832	NA	5889	RAD51C	0.7747	0.0282
LINCSCP_132832	NA	80349	WDR61	0.7971	0.0284
LINCSCP_132832	NA	890	CCNA2	0.8129	0.03
LINCSCP_132832	NA	8349	HIST2H2BE	-0.7703	0.0314
LINCSCP_132832	NA	9221	NOLC1	0.5777	0.0315
LINCSCP_132832	NA	5321	PLA2G4A	-0.6804	0.032
LINCSCP_132832	NA	6390	SDHB	0.6202	0.0324
LINCSCP_132832	NA	23212	RRS1	0.7004	0.033
LINCSCP_132832	NA	9928	KIF14	-0.6295	0.033
LINCSCP_132832	NA	7020	TFAP2A	-0.5943	0.0337
LINCSCP_132832	NA	5111	PCNA	0.5481	0.0338
LINCSCP_132832	NA	2770	GNAI1	-0.9066	0.0338
LINCSCP_132832	NA	10146	G3BP1	0.6408	0.0339
LINCSCP_132832	NA	2146	EZH2	0.5621	0.0346
LINCSCP_132832	NA	3482	IGF2R	-0.9532	0.0349
LINCSCP_132832	NA	28969	BZW2	0.8429	0.035
LINCSCP_132832	NA	11098	PRSS23	0.6534	0.0351
LINCSCP_132832	NA	8508	NIPSNAP1	0.5583	0.0353
LINCSCP_132832	NA	7494	XBP1	0.6607	0.0354
LINCSCP_132832	NA	5900	RALGDS	-0.8678	0.0363
LINCSCP_132832	NA	6622	SNCA	-0.7605	0.0367
LINCSCP_132832	NA	8520	HAT1	0.7043	0.0369
LINCSCP_132832	NA	9833	MELK	1.4058	0.037
LINCSCP_132832	NA	11072	DUSP14	0.6258	0.0377
LINCSCP_132832	NA	9710	KIAA0355	-0.5362	0.0384
LINCSCP_132832	NA	10775	POP4	0.7941	0.0387
LINCSCP_132832	NA	8607	RUVBL1	0.7551	0.0393
LINCSCP_132832	NA	4690	NCK1	0.8027	0.0399
LINCSCP_132832	NA	26511	CHIC2	-0.6255	0.04
LINCSCP_132832	NA	1029	CDKN2A	-0.5623	0.0403
LINCSCP_132832	NA	79174	CRELD2	-0.582	0.0404
LINCSCP_132832	NA	7852	CXCR4	-0.5455	0.0407
LINCSCP_132832	NA	727	C5	-0.5872	0.041
LINCSCP_132832	NA	7994	KAT6A	-0.5603	0.0412
LINCSCP_132832	NA	91137	SLC25A46	0.6933	0.0416
LINCSCP_132832	NA	2058	EPRS	0.5696	0.0428
LINCSCP_132832	NA	6118	RPA2	0.6841	0.0432
LINCSCP_132832	NA	84617	TUBB6	0.6365	0.0438
LINCSCP_132832	NA	23039	XPO7	0.5982	0.0453
LINCSCP_132832	NA	79600	TCTN1	-0.6988	0.0457
LINCSCP_132832	NA	5050	PAFAH1B3	0.5728	0.0459
LINCSCP_132832	NA	291	SLC25A4	0.6171	0.046
LINCSCP_132832	NA	51026	GOLT1B	0.744	0.0461
LINCSCP_132832	NA	2817	GPC1	-0.6075	0.0464
LINCSCP_132832	NA	3337	DNAJB1	0.5432	0.0472
LINCSCP_132832	NA	54438	GFOD1	-0.6046	0.0486
LINCSCP_132832	NA	16	AARS	0.6699	0.0486
LINCSCP_132832	NA	5110	PCMT1	0.8824	0.0491
LINCSCP_132832	NA	11014	KDELR2	0.6926	0.0498
LINCSCP_132832	NA	22841	RAB11FIP2	-0.8423	0.0501
LINCSCP_132832	NA	9491	PSMF1	-0.5156	0.0507
