signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_141451	NA	2690	GHR	-6.0113	1e-4
LINCSCP_141451	NA	9833	MELK	9.0808	1e-4
LINCSCP_141451	NA	6790	AURKA	-4.5162	1e-4
LINCSCP_141451	NA	2274	FHL2	4.6159	1e-4
LINCSCP_141451	NA	4609	MYC	6.7839	1e-4
LINCSCP_141451	NA	84617	TUBB6	-4.5031	3e-4
LINCSCP_141451	NA	2065	ERBB3	4.0307	3e-4
LINCSCP_141451	NA	5708	PSMD2	-3.7677	4e-4
LINCSCP_141451	NA	26227	PHGDH	-4.3801	4e-4
LINCSCP_141451	NA	8349	HIST2H2BE	3.4298	6e-4
LINCSCP_141451	NA	7358	UGDH	3.358	6e-4
LINCSCP_141451	NA	84722	PSRC1	-4.3353	6e-4
LINCSCP_141451	NA	79090	TRAPPC6A	4.5377	7e-4
LINCSCP_141451	NA	10058	ABCB6	-3.7243	7e-4
LINCSCP_141451	NA	25976	TIPARP	3.3012	8e-4
LINCSCP_141451	NA	23210	JMJD6	-2.9257	8e-4
LINCSCP_141451	NA	63933	MCUR1	-3.3251	8e-4
LINCSCP_141451	NA	10112	KIF20A	-7.4851	8e-4
LINCSCP_141451	NA	899	CCNF	-3.4283	9e-4
LINCSCP_141451	NA	2946	GSTM2	6.1751	9e-4
LINCSCP_141451	NA	4088	SMAD3	3.6276	0.001
LINCSCP_141451	NA	54541	DDIT4	2.854	0.0011
LINCSCP_141451	NA	39	ACAT2	-2.6294	0.0013
LINCSCP_141451	NA	8821	INPP4B	2.7576	0.0013
LINCSCP_141451	NA	10652	YKT6	-4.6358	0.0014
LINCSCP_141451	NA	25805	BAMBI	2.7634	0.0014
LINCSCP_141451	NA	983	CDK1	-3.1553	0.0015
LINCSCP_141451	NA	9928	KIF14	-4.7821	0.0016
LINCSCP_141451	NA	3693	ITGB5	2.6968	0.0016
LINCSCP_141451	NA	3303	HSPA1A	2.64	0.0017
LINCSCP_141451	NA	890	CCNA2	-3.3396	0.002
LINCSCP_141451	NA	5909	RAP1GAP	3.6812	0.002
LINCSCP_141451	NA	332	BIRC5	-3.7276	0.0022
LINCSCP_141451	NA	9688	NUP93	-2.4575	0.0023
LINCSCP_141451	NA	9801	MRPL19	-3.2168	0.0024
LINCSCP_141451	NA	11065	UBE2C	-2.54	0.0024
LINCSCP_141451	NA	10237	SLC35B1	-2.5063	0.0025
LINCSCP_141451	NA	3909	LAMA3	2.2331	0.0025
LINCSCP_141451	NA	6839	SUV39H1	-2.7069	0.0026
LINCSCP_141451	NA	9686	VGLL4	3.9479	0.0027
LINCSCP_141451	NA	10610	ST6GALNAC2	3.5674	0.0027
LINCSCP_141451	NA	2673	GFPT1	-2.2242	0.0028
LINCSCP_141451	NA	26001	RNF167	-2.3665	0.0028
LINCSCP_141451	NA	51203	NUSAP1	-2.5879	0.0028
LINCSCP_141451	NA	23588	KLHDC2	3.3237	0.0029
LINCSCP_141451	NA	3682	ITGAE	-3.2631	0.0032
LINCSCP_141451	NA	1846	DUSP4	2.533	0.0032
LINCSCP_141451	NA	1983	EIF5	-2.828	0.0035
