signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_96796	NA	983	CDK1	-10	0.0014
LINCSCP_96796	NA	1019	CDK4	-10	0.0014
LINCSCP_96796	NA	1277	COL1A1	-10	0.0014
LINCSCP_96796	NA	3925	STMN1	-10	0.0014
LINCSCP_96796	NA	4282	MIF	-10	0.0014
LINCSCP_96796	NA	5111	PCNA	-10	0.0014
LINCSCP_96796	NA	7153	TOP2A	-10	0.0014
LINCSCP_96796	NA	7168	TPM1	-10	0.0014
LINCSCP_96796	NA	9133	CCNB2	-10	0.0014
LINCSCP_96796	NA	9531	BAG3	10	0.0014
LINCSCP_96796	NA	10112	KIF20A	-10	0.0014
LINCSCP_96796	NA	11065	UBE2C	-10	0.0014
LINCSCP_96796	NA	11098	PRSS23	-10	0.0014
LINCSCP_96796	NA	55748	CNDP2	-10	0.0014
LINCSCP_96796	NA	79006	METRN	-10	0.0014
LINCSCP_96796	NA	84617	TUBB6	-10	0.0014
LINCSCP_96796	NA	9697	TRAM2	-9.9244	0.0014
LINCSCP_96796	NA	2542	SLC37A4	-9.782	0.0016
LINCSCP_96796	NA	8574	AKR7A2	-9.7551	0.0016
LINCSCP_96796	NA	23585	TMEM50A	-9.7472	0.0016
LINCSCP_96796	NA	310	ANXA7	-9.7388	0.0016
LINCSCP_96796	NA	9847	C2CD5	-9.6992	0.0017
LINCSCP_96796	NA	1282	COL4A1	-9.6047	0.0019
LINCSCP_96796	NA	51021	MRPS16	-9.5778	0.0019
LINCSCP_96796	NA	3486	IGFBP3	-9.5714	0.0019
LINCSCP_96796	NA	51293	CD320	-9.5511	0.002
LINCSCP_96796	NA	7376	NR1H2	9.529	0.002
LINCSCP_96796	NA	55038	CDCA4	-9.523	0.002
LINCSCP_96796	NA	1633	DCK	-8.4236	0.0021
LINCSCP_96796	NA	5827	PXMP2	-9.4749	0.0022
LINCSCP_96796	NA	3122	HLA-DRA	9.4087	0.0022
LINCSCP_96796	NA	9854	C2CD2L	8.9213	0.0022
LINCSCP_96796	NA	4172	MCM3	-9.4153	0.0023
LINCSCP_96796	NA	10038	PARP2	-9.3758	0.0025
LINCSCP_96796	NA	57804	POLD4	-8.5108	0.0027
LINCSCP_96796	NA	890	CCNA2	-9.2155	0.0031
LINCSCP_96796	NA	2624	GATA2	7.7719	0.0031
LINCSCP_96796	NA	8204	NRIP1	-7.4284	0.0032
LINCSCP_96796	NA	84890	ADO	-9.1776	0.0033
LINCSCP_96796	NA	55608	ANKRD10	7.6916	0.0033
LINCSCP_96796	NA	11168	PSIP1	-6.9554	0.0034
