signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132654	NA	5583	PRKCH	7.6472	0.0044
LINCSCP_132654	NA	965	CD58	-3.1252	0.0046
LINCSCP_132654	NA	23670	TMEM2	3.6574	0.0049
LINCSCP_132654	NA	4609	MYC	2.1314	0.0059
LINCSCP_132654	NA	84617	TUBB6	-3.5747	0.0062
LINCSCP_132654	NA	11000	SLC27A3	-2.7811	0.0068
LINCSCP_132654	NA	10318	TNIP1	2.1455	0.0068
LINCSCP_132654	NA	5777	PTPN6	2.592	0.0074
LINCSCP_132654	NA	9143	SYNGR3	1.9759	0.008
LINCSCP_132654	NA	4154	MBNL1	2.3799	0.0083
LINCSCP_132654	NA	5048	PAFAH1B1	-3.2616	0.0085
LINCSCP_132654	NA	11319	ECD	2.8596	0.0089
LINCSCP_132654	NA	7994	KAT6A	2.7365	0.0092
LINCSCP_132654	NA	57804	POLD4	1.883	0.0092
LINCSCP_132654	NA	51071	DERA	-4.9471	0.0095
LINCSCP_132654	NA	4931	NVL	-2.976	0.0103
LINCSCP_132654	NA	10165	SLC25A13	-3.9655	0.0105
LINCSCP_132654	NA	154	ADRB2	3.5942	0.0108
LINCSCP_132654	NA	5836	PYGL	2.0053	0.0111
LINCSCP_132654	NA	6599	SMARCC1	2.3114	0.0123
LINCSCP_132654	NA	58497	PRUNE	2.2777	0.0127
LINCSCP_132654	NA	2109	ETFB	1.8693	0.0128
LINCSCP_132654	NA	22809	ATF5	-5.4345	0.0129
LINCSCP_132654	NA	93487	MAPK1IP1L	2.3498	0.0131
LINCSCP_132654	NA	5359	PLSCR1	3.262	0.0136
LINCSCP_132654	NA	80212	CCDC92	1.7391	0.0138
LINCSCP_132654	NA	780	DDR1	1.7056	0.0142
LINCSCP_132654	NA	6659	SOX4	1.6574	0.0143
LINCSCP_132654	NA	10523	CHERP	1.7886	0.0147
LINCSCP_132654	NA	65057	ACD	-2.6811	0.015
LINCSCP_132654	NA	23013	SPEN	-5.5274	0.0153
LINCSCP_132654	NA	30001	ERO1L	2.3916	0.0165
LINCSCP_132654	NA	147179	WIPF2	2.1341	0.0166
LINCSCP_132654	NA	8270	LAGE3	-2.6415	0.017
LINCSCP_132654	NA	9690	UBE3C	-2.8771	0.0171
LINCSCP_132654	NA	949	SCARB1	1.8111	0.0182
LINCSCP_132654	NA	8821	INPP4B	1.5955	0.0183
LINCSCP_132654	NA	3628	INPP1	2.4443	0.0191
LINCSCP_132654	NA	3480	IGF1R	1.8677	0.0194
LINCSCP_132654	NA	637	BID	-1.6046	0.0195
LINCSCP_132654	NA	26001	RNF167	-6.2124	0.0198
LINCSCP_132654	NA	51170	HSD17B11	1.876	0.0199
LINCSCP_132654	NA	6461	SHB	-1.6556	0.02
LINCSCP_132654	NA	51282	SCAND1	-4.014	0.0204
LINCSCP_132654	NA	25966	C2CD2	2.0183	0.0211
LINCSCP_132654	NA	466	ATF1	1.7293	0.0213
LINCSCP_132654	NA	8324	FZD7	1.8349	0.0216
LINCSCP_132654	NA	8520	HAT1	-3.324	0.0217
LINCSCP_132654	NA	11142	PKIG	4.5315	0.0217
LINCSCP_132654	NA	2886	GRB7	-1.7521	0.0224
LINCSCP_132654	NA	7088	TLE1	1.6855	0.0225
LINCSCP_132654	NA	8440	NCK2	1.9995	0.0236
LINCSCP_132654	NA	581	BAX	-1.8892	0.0237
LINCSCP_132654	NA	29103	DNAJC15	-5.5594	0.0244
LINCSCP_132654	NA	3800	KIF5C	5.9442	0.0251
LINCSCP_132654	NA	10493	VAT1	1.4139	0.0259
LINCSCP_132654	NA	9813	EFCAB14	1.6375	0.0269
LINCSCP_132654	NA	3638	INSIG1	1.6062	0.0269
LINCSCP_132654	NA	66008	TRAK2	2.2272	0.0273
LINCSCP_132654	NA	23585	TMEM50A	1.4628	0.0278
LINCSCP_132654	NA	1891	ECH1	-3.0895	0.0282
LINCSCP_132654	NA	3597	IL13RA1	-1.4693	0.0288
LINCSCP_132654	NA	7750	ZMYM2	1.4968	0.0291
LINCSCP_132654	NA	2920	CXCL2	4.2151	0.0291
LINCSCP_132654	NA	9016	SLC25A14	-1.5893	0.0296
LINCSCP_132654	NA	6499	SKIV2L	1.5389	0.0299
LINCSCP_132654	NA	9851	KIAA0753	-1.5134	0.0307
LINCSCP_132654	NA	23300	ATMIN	1.4658	0.0307
LINCSCP_132654	NA	51635	DHRS7	-2.4629	0.0323
LINCSCP_132654	NA	9915	ARNT2	-1.9615	0.0324
LINCSCP_132654	NA	10810	WASF3	-1.3659	0.0327
LINCSCP_132654	NA	2065	ERBB3	1.6812	0.0334
LINCSCP_132654	NA	2956	MSH6	1.3514	0.034
LINCSCP_132654	NA	55256	ADI1	-2.0221	0.034
LINCSCP_132654	NA	4303	FOXO4	1.383	0.0344
LINCSCP_132654	NA	2309	FOXO3	1.459	0.0352
LINCSCP_132654	NA	8900	CCNA1	-1.4659	0.0357
LINCSCP_132654	NA	10904	BLCAP	1.4945	0.0361
LINCSCP_132654	NA	8869	ST3GAL5	4.1634	0.0367
LINCSCP_132654	NA	329	BIRC2	4.1095	0.0368
LINCSCP_132654	NA	8895	CPNE3	1.3691	0.0368
LINCSCP_132654	NA	47	ACLY	3.3152	0.0371
LINCSCP_132654	NA	11325	DDX42	4.8405	0.0373
LINCSCP_132654	NA	3551	IKBKB	2.1968	0.0377
LINCSCP_132654	NA	25932	CLIC4	1.4735	0.0382
LINCSCP_132654	NA	55148	UBR7	-1.8008	0.0387
LINCSCP_132654	NA	23131	GPATCH8	1.9103	0.0388
LINCSCP_132654	NA	8318	CDC45	-1.4317	0.0388
LINCSCP_132654	NA	55011	PIH1D1	-1.5098	0.0388
LINCSCP_132654	NA	6253	RTN2	-2.5235	0.039
LINCSCP_132654	NA	2353	FOS	-1.4453	0.0392
LINCSCP_132654	NA	10765	KDM5B	1.5814	0.04
LINCSCP_132654	NA	94239	H2AFV	-1.6231	0.0402
LINCSCP_132654	NA	10174	SORBS3	1.6242	0.0403
LINCSCP_132654	NA	57192	MCOLN1	4.1302	0.0404
LINCSCP_132654	NA	11011	TLK2	1.6088	0.0406
LINCSCP_132654	NA	54881	TEX10	-2.2249	0.0417
LINCSCP_132654	NA	6812	STXBP1	1.3065	0.0418
LINCSCP_132654	NA	5927	KDM5A	3.4053	0.0424
LINCSCP_132654	NA	80349	WDR61	-1.4676	0.0428
LINCSCP_132654	NA	5982	RFC2	-1.5913	0.0435
LINCSCP_132654	NA	3611	ILK	1.369	0.044
LINCSCP_132654	NA	2553	GABPB1	-1.9615	0.0442
LINCSCP_132654	NA	4817	NIT1	-1.8512	0.0444
LINCSCP_132654	NA	10489	LRRC41	-1.8471	0.0453
LINCSCP_132654	NA	102	ADAM10	1.4233	0.0455
LINCSCP_132654	NA	11344	TWF2	1.6135	0.0473
LINCSCP_132654	NA	10681	GNB5	1.9545	0.0473
LINCSCP_132654	NA	9703	KIAA0100	1.248	0.048
LINCSCP_132654	NA	23443	SLC35A3	-1.5486	0.0487
LINCSCP_132654	NA	5708	PSMD2	-1.8047	0.0488
LINCSCP_132654	NA	10227	MFSD10	-1.4652	0.0491
LINCSCP_132654	NA	51160	VPS28	-1.7444	0.0492
LINCSCP_132654	NA	23244	PDS5A	1.3617	0.05
LINCSCP_132654	NA	1277	COL1A1	1.4513	0.0502
LINCSCP_132654	NA	9641	IKBKE	4.2967	0.0511
LINCSCP_132654	NA	388650	FAM69A	-1.2364	0.0512
LINCSCP_132654	NA	56997	ADCK3	1.4814	0.0515
LINCSCP_132654	NA	8835	SOCS2	1.7877	0.052
LINCSCP_132654	NA	1958	EGR1	1.3648	0.054
LINCSCP_132654	NA	5347	PLK1	-1.3021	0.055
LINCSCP_132654	NA	3682	ITGAE	-2.1796	0.0555
LINCSCP_132654	NA	9697	TRAM2	2.9899	0.0556
LINCSCP_132654	NA	7874	USP7	1.3811	0.0557
LINCSCP_132654	NA	22908	SACM1L	1.3508	0.0568
LINCSCP_132654	NA	89910	UBE3B	-1.2341	0.0586
LINCSCP_132654	NA	51375	SNX7	-1.6173	0.0588
LINCSCP_132654	NA	4125	MAN2B1	2.3038	0.0601
LINCSCP_132654	NA	11188	NISCH	1.2918	0.0603
LINCSCP_132654	NA	9019	MPZL1	2.3459	0.0605
LINCSCP_132654	NA	1956	EGFR	2.5541	0.0615
LINCSCP_132654	NA	51495	HACD3	-4.9435	0.062
LINCSCP_132654	NA	4794	NFKBIE	1.3478	0.062
LINCSCP_132654	NA	1021	CDK6	1.6283	0.0632
LINCSCP_132654	NA	79006	METRN	-1.6566	0.0633
LINCSCP_132654	NA	25976	TIPARP	1.2549	0.0653
LINCSCP_132654	NA	3398	ID2	-1.2602	0.0659
LINCSCP_132654	NA	23038	WDTC1	1.1882	0.0666
LINCSCP_132654	NA	91137	SLC25A46	-1.8999	0.0666
LINCSCP_132654	NA	1534	CYB561	-4.5128	0.0673
LINCSCP_132654	NA	2908	NR3C1	1.3743	0.0675
LINCSCP_132654	NA	310	ANXA7	1.1513	0.0681
LINCSCP_132654	NA	10491	CRTAP	1.1511	0.0688
LINCSCP_132654	NA	1635	DCTD	1.4258	0.0694
LINCSCP_132654	NA	2048	EPHB2	4.1013	0.0696
LINCSCP_132654	NA	2037	EPB41L2	1.6601	0.0699
LINCSCP_132654	NA	7416	VDAC1	-3.397	0.0702
LINCSCP_132654	NA	8731	RNMT	1.4007	0.0702
LINCSCP_132654	NA	3028	HSD17B10	-2.6565	0.0706
LINCSCP_132654	NA	55958	KLHL9	-1.0914	0.0718
LINCSCP_132654	NA	23076	RRP1B	1.1156	0.0726
LINCSCP_132654	NA	11072	DUSP14	1.631	0.073
LINCSCP_132654	NA	11137	PWP1	-2.1741	0.0738
LINCSCP_132654	NA	4783	NFIL3	1.3116	0.0738
LINCSCP_132654	NA	10525	HYOU1	-1.2672	0.0742
LINCSCP_132654	NA	4690	NCK1	-4.5564	0.0746
LINCSCP_132654	NA	23212	RRS1	2.5841	0.0748
LINCSCP_132654	NA	2534	FYN	1.0294	0.0749
LINCSCP_132654	NA	23321	TRIM2	-1.0729	0.0754
LINCSCP_132654	NA	22889	KIAA0907	1.4576	0.0758
LINCSCP_132654	NA	29937	NENF	-1.9253	0.0761
LINCSCP_132654	NA	3988	LIPA	1.1996	0.0775
LINCSCP_132654	NA	3206	HOXA10	1.4082	0.0795
LINCSCP_132654	NA	5423	POLB	1.4516	0.0799
LINCSCP_132654	NA	29890	RBM15B	1.1592	0.0808
LINCSCP_132654	NA	5997	RGS2	2.697	0.0819
LINCSCP_132654	NA	200734	SPRED2	-2.864	0.0824
LINCSCP_132654	NA	2778	GNAS	1.0593	0.0826
LINCSCP_132654	NA	8480	RAE1	-2.4346	0.0839
LINCSCP_132654	NA	23522	KAT6B	-3.2559	0.0842
LINCSCP_132654	NA	7165	TPD52L2	-1.2555	0.0844
