signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_37044	NA	991	CDC20	-7.117	3.9691e-6
LINCSCP_37044	NA	11065	UBE2C	-5.335	0
LINCSCP_37044	NA	10273	STUB1	-7.1418	1e-4
LINCSCP_37044	NA	54541	DDIT4	3.7779	2e-4
LINCSCP_37044	NA	1786	DNMT1	-6.1143	3e-4
LINCSCP_37044	NA	3416	IDE	4.1509	4e-4
LINCSCP_37044	NA	9847	C2CD5	-3.9171	4e-4
LINCSCP_37044	NA	25803	SPDEF	-5.4107	5e-4
LINCSCP_37044	NA	1846	DUSP4	3.6653	6e-4
LINCSCP_37044	NA	5111	PCNA	-5.3007	8e-4
LINCSCP_37044	NA	4125	MAN2B1	3.673	0.001
LINCSCP_37044	NA	9903	KLHL21	3.2931	0.0012
LINCSCP_37044	NA	8553	BHLHE40	3.6555	0.0012
LINCSCP_37044	NA	3303	HSPA1A	3.0008	0.0013
LINCSCP_37044	NA	2625	GATA3	-3.2692	0.0013
LINCSCP_37044	NA	983	CDK1	-3.6703	0.0014
LINCSCP_37044	NA	79071	ELOVL6	-3.8357	0.0014
LINCSCP_37044	NA	9181	ARHGEF2	3.3381	0.0015
LINCSCP_37044	NA	8061	FOSL1	4.317	0.002
LINCSCP_37044	NA	10962	MLLT11	2.783	0.0021
LINCSCP_37044	NA	79643	CHMP6	3.8088	0.0025
LINCSCP_37044	NA	3337	DNAJB1	2.5668	0.0026
LINCSCP_37044	NA	10112	KIF20A	-2.6291	0.0027
LINCSCP_37044	NA	9709	HERPUD1	3.27	0.0029
LINCSCP_37044	NA	7106	TSPAN4	-2.5626	0.003
LINCSCP_37044	NA	3162	HMOX1	3.1214	0.0032
LINCSCP_37044	NA	7157	TP53	-2.4806	0.0033
LINCSCP_37044	NA	890	CCNA2	-3.3256	0.0034
LINCSCP_37044	NA	4793	NFKBIB	2.6913	0.0036
LINCSCP_37044	NA	1452	CSNK1A1	2.913	0.0036
LINCSCP_37044	NA	63874	ABHD4	2.5243	0.0037
LINCSCP_37044	NA	3300	DNAJB2	2.7298	0.0037
LINCSCP_37044	NA	51015	ISOC1	-4.5547	0.004
LINCSCP_37044	NA	51422	PRKAG2	2.5005	0.0046
LINCSCP_37044	NA	22889	KIAA0907	-3.7357	0.0046
LINCSCP_37044	NA	5827	PXMP2	-2.2903	0.0048
LINCSCP_37044	NA	6603	SMARCD2	-2.2472	0.0052
LINCSCP_37044	NA	5427	POLE2	-2.4088	0.0058
LINCSCP_37044	NA	11168	PSIP1	-2.3368	0.0063
LINCSCP_37044	NA	7165	TPD52L2	2.3388	0.0066
LINCSCP_37044	NA	55818	KDM3A	2.7719	0.0066
LINCSCP_37044	NA	8914	TIMELESS	-2.3623	0.0073
LINCSCP_37044	NA	26036	ZNF451	3.9862	0.0077
LINCSCP_37044	NA	8985	PLOD3	2.2252	0.0079
LINCSCP_37044	NA	207	AKT1	-2.112	0.0084
LINCSCP_37044	NA	7466	WFS1	2.4796	0.0085
LINCSCP_37044	NA	23463	ICMT	-2.3011	0.0086
LINCSCP_37044	NA	4651	MYO10	2.1395	0.0089
LINCSCP_37044	NA	6790	AURKA	-2.1779	0.0089
LINCSCP_37044	NA	3925	STMN1	-2.4449	0.0091
LINCSCP_37044	NA	5050	PAFAH1B3	-2.067	0.0092
LINCSCP_37044	NA	3978	LIG1	-2.033	0.0095
LINCSCP_37044	NA	2146	EZH2	-2.0206	0.0097
LINCSCP_37044	NA	29928	TIMM22	1.9891	0.0097
LINCSCP_37044	NA	5899	RALB	2.6287	0.0098
LINCSCP_37044	NA	4172	MCM3	-4.1368	0.0098
LINCSCP_37044	NA	54957	TXNL4B	2.0162	0.0101
LINCSCP_37044	NA	5889	RAD51C	-2.6438	0.0104
LINCSCP_37044	NA	2063	NR2F6	-3.1779	0.0107
LINCSCP_37044	NA	4850	CNOT4	2.3375	0.0124
LINCSCP_37044	NA	10362	HMG20B	-1.9999	0.0126
LINCSCP_37044	NA	10276	NET1	-2.1867	0.0127
LINCSCP_37044	NA	85377	MICALL1	4.1007	0.0129
LINCSCP_37044	NA	79073	TMEM109	-1.876	0.0134
LINCSCP_37044	NA	595	CCND1	-1.9417	0.0137
LINCSCP_37044	NA	3033	HADH	-3.9733	0.0142
LINCSCP_37044	NA	1647	GADD45A	1.9842	0.0143
LINCSCP_37044	NA	85236	HIST1H2BK	-2.4815	0.0144
LINCSCP_37044	NA	2745	GLRX	1.938	0.0145
LINCSCP_37044	NA	9455	HOMER2	2.0007	0.0149
LINCSCP_37044	NA	9133	CCNB2	-1.8208	0.0154
LINCSCP_37044	NA	79006	METRN	-2.0293	0.0162
LINCSCP_37044	NA	10953	TOMM34	2.1683	0.0162
LINCSCP_37044	NA	55793	FAM63A	-1.8294	0.017
LINCSCP_37044	NA	332	BIRC5	-2.9712	0.0171
LINCSCP_37044	NA	3682	ITGAE	-2.2844	0.0174
LINCSCP_37044	NA	6284	S100A13	-2.197	0.0175
LINCSCP_37044	NA	6810	STX4	1.8487	0.0177
LINCSCP_37044	NA	124583	CANT1	-4.3458	0.0179
LINCSCP_37044	NA	5891	MOK	2.1511	0.0188
LINCSCP_37044	NA	9053	MAP7	3.801	0.0191
LINCSCP_37044	NA	9267	CYTH1	1.8834	0.0199
LINCSCP_37044	NA	55033	FKBP14	3.6693	0.0211
LINCSCP_37044	NA	8870	IER3	2.1412	0.0212
LINCSCP_37044	NA	2958	GTF2A2	-3.1572	0.0213
LINCSCP_37044	NA	5985	RFC5	-2.1553	0.0215
LINCSCP_37044	NA	5836	PYGL	1.9264	0.0221
LINCSCP_37044	NA	9695	EDEM1	1.8089	0.0224
LINCSCP_37044	NA	2954	GSTZ1	-1.6858	0.0226
LINCSCP_37044	NA	642	BLMH	1.9276	0.023
LINCSCP_37044	NA	8974	P4HA2	1.8389	0.0231
LINCSCP_37044	NA	51466	EVL	-1.672	0.0235
LINCSCP_37044	NA	51001	MTERF3	-2.3108	0.0241
LINCSCP_37044	NA	55837	EAPP	1.7481	0.0241
LINCSCP_37044	NA	4144	MAT2A	-1.9812	0.025
LINCSCP_37044	NA	54442	KCTD5	2.5508	0.0256
LINCSCP_37044	NA	8508	NIPSNAP1	-1.6792	0.0264
LINCSCP_37044	NA	8318	CDC45	-3.6842	0.0265
LINCSCP_37044	NA	7905	REEP5	1.6237	0.0266
LINCSCP_37044	NA	664	BNIP3	1.8345	0.0267
LINCSCP_37044	NA	1983	EIF5	2.1944	0.0269
