signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_38767	NA	1983	EIF5	-3.1271	0.0016
LINCSCP_38767	NA	1994	ELAVL1	-2.9338	0.0037
LINCSCP_38767	NA	5716	PSMD10	-2.1953	0.0042
LINCSCP_38767	NA	5289	PIK3C3	2.1338	0.0061
LINCSCP_38767	NA	8727	CTNNAL1	-2.2378	0.0067
LINCSCP_38767	NA	64943	NT5DC2	-2.9252	0.0069
LINCSCP_38767	NA	4891	SLC11A2	2.022	0.0073
LINCSCP_38767	NA	51495	HACD3	-3.6283	0.0076
LINCSCP_38767	NA	6251	RSU1	-1.6788	0.0077
LINCSCP_38767	NA	51422	PRKAG2	-1.6898	0.0081
LINCSCP_38767	NA	9133	CCNB2	-3.4128	0.0084
LINCSCP_38767	NA	4200	ME2	-2.656	0.0084
LINCSCP_38767	NA	5223	PGAM1	-2.266	0.0088
LINCSCP_38767	NA	7264	TSTA3	-3.1854	0.0088
LINCSCP_38767	NA	1956	EGFR	1.7942	0.0092
LINCSCP_38767	NA	22809	ATF5	2.1757	0.0093
LINCSCP_38767	NA	11284	PNKP	1.7337	0.0099
LINCSCP_38767	NA	960	CD44	-3.7339	0.0101
LINCSCP_38767	NA	2771	GNAI2	-3.222	0.0107
LINCSCP_38767	NA	9847	C2CD5	2.5422	0.0109
LINCSCP_38767	NA	1861	TOR1A	-1.6315	0.0113
LINCSCP_38767	NA	10776	ARPP19	-1.8618	0.0114
LINCSCP_38767	NA	3416	IDE	-2.2385	0.0117
LINCSCP_38767	NA	1958	EGR1	1.6812	0.0117
LINCSCP_38767	NA	23530	NNT	-1.9181	0.0119
LINCSCP_38767	NA	63874	ABHD4	1.646	0.0121
LINCSCP_38767	NA	10450	PPIE	2.8481	0.0124
LINCSCP_38767	NA	9053	MAP7	-2.7883	0.0125
LINCSCP_38767	NA	4208	MEF2C	1.8057	0.013
LINCSCP_38767	NA	2222	FDFT1	1.6349	0.013
LINCSCP_38767	NA	2961	GTF2E2	1.9325	0.0134
LINCSCP_38767	NA	727	C5	2.1626	0.0135
LINCSCP_38767	NA	4638	MYLK	2.2138	0.014
LINCSCP_38767	NA	6275	S100A4	-1.9168	0.0142
LINCSCP_38767	NA	6193	RPS5	-1.7625	0.0142
LINCSCP_38767	NA	1027	CDKN1B	1.5188	0.0146
LINCSCP_38767	NA	23386	NUDCD3	2.0345	0.0146
LINCSCP_38767	NA	24149	ZNF318	1.5645	0.0148
LINCSCP_38767	NA	1981	EIF4G1	-3.1682	0.0153
LINCSCP_38767	NA	22794	CASC3	1.5231	0.0158
LINCSCP_38767	NA	6676	SPAG4	-1.6391	0.0159
LINCSCP_38767	NA	23512	SUZ12	2.2804	0.0169
LINCSCP_38767	NA	10013	HDAC6	1.5096	0.0169
LINCSCP_38767	NA	501	ALDH7A1	-2.7903	0.0173
LINCSCP_38767	NA	10489	LRRC41	-2.5949	0.0176
LINCSCP_38767	NA	10493	VAT1	-2.7606	0.0176
LINCSCP_38767	NA	51031	GLOD4	1.7419	0.0177
LINCSCP_38767	NA	2109	ETFB	2.1561	0.0193
LINCSCP_38767	NA	10730	YME1L1	-2.6215	0.0194
LINCSCP_38767	NA	8440	NCK2	-3.4659	0.0195
LINCSCP_38767	NA	9275	BCL7B	2.7411	0.0198
LINCSCP_38767	NA	11319	ECD	-2.3509	0.0201
LINCSCP_38767	NA	3638	INSIG1	1.4402	0.0207
LINCSCP_38767	NA	6832	SUPV3L1	1.4658	0.0208
LINCSCP_38767	NA	7866	IFRD2	-2.4946	0.021
LINCSCP_38767	NA	7165	TPD52L2	-1.9711	0.0212
LINCSCP_38767	NA	1213	CLTC	-1.5522	0.0216
LINCSCP_38767	NA	2958	GTF2A2	-1.916	0.0217
LINCSCP_38767	NA	672	BRCA1	2.07	0.0218
LINCSCP_38767	NA	5423	POLB	1.6782	0.0222
LINCSCP_38767	NA	29978	UBQLN2	1.2473	0.0223
LINCSCP_38767	NA	6659	SOX4	-1.344	0.0223
LINCSCP_38767	NA	11073	TOPBP1	2.8317	0.0225
LINCSCP_38767	NA	1509	CTSD	-5.1724	0.0225
LINCSCP_38767	NA	54881	TEX10	-1.9184	0.0226
LINCSCP_38767	NA	351	APP	3.4907	0.0227
LINCSCP_38767	NA	22905	EPN2	1.9689	0.0227
LINCSCP_38767	NA	8550	MAPKAPK5	1.8606	0.0229
LINCSCP_38767	NA	51282	SCAND1	1.4268	0.023
LINCSCP_38767	NA	23038	WDTC1	1.4089	0.023
LINCSCP_38767	NA	9868	TOMM70A	1.3289	0.0235
LINCSCP_38767	NA	7048	TGFBR2	7.0777	0.0238
LINCSCP_38767	NA	9217	VAPB	-2.5516	0.0238
LINCSCP_38767	NA	51160	VPS28	-1.4485	0.024
LINCSCP_38767	NA	47	ACLY	-6.386	0.024
LINCSCP_38767	NA	10953	TOMM34	2.5841	0.0246
LINCSCP_38767	NA	9926	LPGAT1	1.605	0.0246
LINCSCP_38767	NA	7157	TP53	-2.7589	0.0246
LINCSCP_38767	NA	10046	MAMLD1	-1.2679	0.0246
LINCSCP_38767	NA	4851	NOTCH1	2.5333	0.025
LINCSCP_38767	NA	10007	GNPDA1	1.9718	0.0251
LINCSCP_38767	NA	29083	GTPBP8	1.3183	0.0252
LINCSCP_38767	NA	8396	PIP4K2B	-1.6344	0.0254
LINCSCP_38767	NA	6774	STAT3	-1.7182	0.0255
LINCSCP_38767	NA	3329	HSPD1	-3.0229	0.026
LINCSCP_38767	NA	3611	ILK	-3.0395	0.0265
LINCSCP_38767	NA	3553	IL1B	1.3108	0.0267
LINCSCP_38767	NA	9455	HOMER2	1.4814	0.0269
LINCSCP_38767	NA	3398	ID2	-1.7611	0.0269
LINCSCP_38767	NA	27346	TMEM97	1.8902	0.0272
LINCSCP_38767	NA	25803	SPDEF	-1.3376	0.0272
LINCSCP_38767	NA	29911	HOOK2	-1.6787	0.0275
LINCSCP_38767	NA	8826	IQGAP1	-1.3523	0.0275
LINCSCP_38767	NA	7077	TIMP2	-1.5955	0.0278
LINCSCP_38767	NA	10557	RPP38	-2.4714	0.0283
LINCSCP_38767	NA	9467	SH3BP5	-1.6959	0.0283
LINCSCP_38767	NA	11041	B4GAT1	-2.2132	0.0286
LINCSCP_38767	NA	55008	HERC6	1.1637	0.0287
LINCSCP_38767	NA	226	ALDOA	-1.4844	0.0294
LINCSCP_38767	NA	54386	TERF2IP	1.6858	0.0295
LINCSCP_38767	NA	10285	SMNDC1	1.4189	0.03
LINCSCP_38767	NA	5048	PAFAH1B1	1.35	0.0301
LINCSCP_38767	NA	11168	PSIP1	1.6709	0.0303
LINCSCP_38767	NA	8324	FZD7	-1.4664	0.0306
LINCSCP_38767	NA	5898	RALA	1.9126	0.0306
LINCSCP_38767	NA	5699	PSMB10	1.4288	0.0308
LINCSCP_38767	NA	23029	RBM34	-1.7334	0.0311
LINCSCP_38767	NA	10131	TRAP1	1.3126	0.0313
LINCSCP_38767	NA	1398	CRK	-3.4387	0.0313
LINCSCP_38767	NA	1829	DSG2	-1.1968	0.0313
LINCSCP_38767	NA	10972	TMED10	-5.0292	0.0318
LINCSCP_38767	NA	5211	PFKL	6.7265	0.0321
LINCSCP_38767	NA	6195	RPS6KA1	-3.8081	0.0325
LINCSCP_38767	NA	7082	TJP1	-1.2742	0.0325
LINCSCP_38767	NA	2690	GHR	1.3105	0.0326
LINCSCP_38767	NA	10153	CEBPZ	-6.1143	0.0326
LINCSCP_38767	NA	9183	ZW10	2.6407	0.0334
LINCSCP_38767	NA	11142	PKIG	1.2619	0.0339
LINCSCP_38767	NA	10797	MTHFD2	1.1901	0.0342
LINCSCP_38767	NA	9170	LPAR2	1.2921	0.0342
LINCSCP_38767	NA	10362	HMG20B	1.1453	0.0344
LINCSCP_38767	NA	581	BAX	-2.3068	0.0345
LINCSCP_38767	NA	840	CASP7	-1.5965	0.0346
LINCSCP_38767	NA	387	RHOA	-1.2188	0.0349
LINCSCP_38767	NA	79006	METRN	-4.9553	0.035
LINCSCP_38767	NA	26227	PHGDH	1.396	0.0351
LINCSCP_38767	NA	896	CCND3	2.1927	0.0354
LINCSCP_38767	NA	5019	OXCT1	2.2704	0.0356
LINCSCP_38767	NA	5583	PRKCH	-1.3973	0.036
LINCSCP_38767	NA	230	ALDOC	-1.2403	0.0371
LINCSCP_38767	NA	23585	TMEM50A	1.5817	0.0373
LINCSCP_38767	NA	983	CDK1	1.0655	0.0374
LINCSCP_38767	NA	50810	HDGFRP3	-1.4319	0.0376
LINCSCP_38767	NA	26001	RNF167	6.0029	0.0378
LINCSCP_38767	NA	7015	TERT	2.0535	0.0379
LINCSCP_38767	NA	23210	JMJD6	1.5825	0.038
LINCSCP_38767	NA	85377	MICALL1	-1.7531	0.0381
LINCSCP_38767	NA	6657	SOX2	1.1792	0.0382
LINCSCP_38767	NA	10652	YKT6	1.5201	0.0384
LINCSCP_38767	NA	902	CCNH	1.5334	0.039
LINCSCP_38767	NA	22926	ATF6	-2.5081	0.039
LINCSCP_38767	NA	4605	MYBL2	-2.3063	0.039
LINCSCP_38767	NA	79921	TCEAL4	1.5006	0.0393
LINCSCP_38767	NA	23410	SIRT3	-1.2464	0.0399
LINCSCP_38767	NA	29763	PACSIN3	1.1498	0.0399
LINCSCP_38767	NA	2908	NR3C1	4.8272	0.0401
LINCSCP_38767	NA	3454	IFNAR1	1.6488	0.0403
LINCSCP_38767	NA	4791	NFKB2	1.3217	0.0404
LINCSCP_38767	NA	29890	RBM15B	-1.3423	0.0405
LINCSCP_38767	NA	56654	NPDC1	-4.9776	0.0413
LINCSCP_38767	NA	1026	CDKN1A	-1.2491	0.0419
LINCSCP_38767	NA	993	CDC25A	1.2585	0.0427
LINCSCP_38767	NA	54438	GFOD1	1.7244	0.0428
LINCSCP_38767	NA	28969	BZW2	-2.0033	0.0429
LINCSCP_38767	NA	780	DDR1	-1.8278	0.0431
LINCSCP_38767	NA	1534	CYB561	-2.5632	0.0432
LINCSCP_38767	NA	51293	CD320	1.3101	0.0436
LINCSCP_38767	NA	8446	DUSP11	1.0513	0.0438
LINCSCP_38767	NA	23647	ARFIP2	-3.5162	0.0438
LINCSCP_38767	NA	388650	FAM69A	-1.4217	0.044
LINCSCP_38767	NA	891	CCNB1	-1.3782	0.0444
LINCSCP_38767	NA	5110	PCMT1	1.3738	0.0446
LINCSCP_38767	NA	57804	POLD4	-2.0374	0.0446
LINCSCP_38767	NA	4331	MNAT1	-4.5968	0.0448
LINCSCP_38767	NA	7105	TSPAN6	-1.5001	0.0452
LINCSCP_38767	NA	6182	MRPL12	-1.6114	0.0453
LINCSCP_38767	NA	4582	MUC1	-1.2781	0.0454
LINCSCP_38767	NA	2065	ERBB3	1.3387	0.0456
LINCSCP_38767	NA	7690	ZNF131	-2.0219	0.046
LINCSCP_38767	NA	9924	PAN2	1.555	0.0466
LINCSCP_38767	NA	2017	CTTN	1.1324	0.0469
LINCSCP_38767	NA	9097	USP14	1.084	0.0469
LINCSCP_38767	NA	10681	GNB5	0.9946	0.0469
LINCSCP_38767	NA	9261	MAPKAPK2	-1.5583	0.0479
LINCSCP_38767	NA	11004	KIF2C	-2.2835	0.0481
LINCSCP_38767	NA	30849	PIK3R4	-1.4358	0.0482
LINCSCP_38767	NA	10589	DRAP1	1.972	0.0491
LINCSCP_38767	NA	8321	FZD1	1.2042	0.0492
LINCSCP_38767	NA	9519	TBPL1	1.0129	0.0493
LINCSCP_38767	NA	51097	SCCPDH	-1.5835	0.0494
LINCSCP_38767	NA	2920	CXCL2	-0.9944	0.0498
LINCSCP_38767	NA	64781	CERK	1.4302	0.05
LINCSCP_38767	NA	11188	NISCH	1.0832	0.0505
LINCSCP_38767	NA	2113	ETS1	1.2781	0.0509
LINCSCP_38767	NA	8804	CREG1	-1.2226	0.0511
LINCSCP_38767	NA	5867	RAB4A	-1.6951	0.0513
LINCSCP_38767	NA	2185	PTK2B	0.9986	0.0519
LINCSCP_38767	NA	5321	PLA2G4A	1.3191	0.052
LINCSCP_38767	NA	7905	REEP5	-3.2748	0.053
LINCSCP_38767	NA	3156	HMGCR	1.253	0.0531
LINCSCP_38767	NA	5580	PRKCD	-2.2179	0.0534
LINCSCP_38767	NA	9143	SYNGR3	-1.4191	0.0536
LINCSCP_38767	NA	22908	SACM1L	1.2114	0.0548
LINCSCP_38767	NA	4792	NFKBIA	-1.2346	0.0551
LINCSCP_38767	NA	8837	CFLAR	-2.2071	0.0553
LINCSCP_38767	NA	1891	ECH1	-1.7623	0.0554
LINCSCP_38767	NA	29916	SNX11	1.353	0.0555
LINCSCP_38767	NA	9817	KEAP1	1.775	0.0555
LINCSCP_38767	NA	25932	CLIC4	-1.7684	0.0558
LINCSCP_38767	NA	55011	PIH1D1	1.0989	0.0566
LINCSCP_38767	NA	91137	SLC25A46	-1.6383	0.0569
