signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_94503	NA	1848	DUSP6	6.0273	0
LINCSCP_94503	NA	85236	HIST1H2BK	5.698	0
LINCSCP_94503	NA	3638	INSIG1	-4.9803	1e-4
LINCSCP_94503	NA	8878	SQSTM1	3.9247	2e-4
LINCSCP_94503	NA	3553	IL1B	3.7978	2e-4
LINCSCP_94503	NA	3157	HMGCS1	-3.5734	2e-4
LINCSCP_94503	NA	7153	TOP2A	-4.071	3e-4
LINCSCP_94503	NA	1950	EGF	-3.6106	3e-4
LINCSCP_94503	NA	10797	MTHFD2	-3.4199	3e-4
LINCSCP_94503	NA	1846	DUSP4	3.2146	4e-4
LINCSCP_94503	NA	10123	ARL4C	3.4701	4e-4
LINCSCP_94503	NA	39	ACAT2	-3.6158	5e-4
LINCSCP_94503	NA	2222	FDFT1	-4.1927	5e-4
LINCSCP_94503	NA	10398	MYL9	-2.9532	6e-4
LINCSCP_94503	NA	5236	PGM1	-3.0058	7e-4
LINCSCP_94503	NA	6251	RSU1	-2.8949	7e-4
LINCSCP_94503	NA	8974	P4HA2	-2.7449	8e-4
LINCSCP_94503	NA	8061	FOSL1	3.5485	8e-4
LINCSCP_94503	NA	7494	XBP1	-2.673	8e-4
LINCSCP_94503	NA	1514	CTSL	3.4574	9e-4
LINCSCP_94503	NA	5366	PMAIP1	2.6156	9e-4
LINCSCP_94503	NA	291	SLC25A4	-2.6718	0.001
LINCSCP_94503	NA	3280	HES1	2.6553	0.001
LINCSCP_94503	NA	7319	UBE2A	-3.0052	0.0011
LINCSCP_94503	NA	983	CDK1	-4.9016	0.0016
LINCSCP_94503	NA	30836	DNTTIP2	2.311	0.002
LINCSCP_94503	NA	2745	GLRX	2.2231	0.0021
LINCSCP_94503	NA	9686	VGLL4	3.8908	0.0021
LINCSCP_94503	NA	5054	SERPINE1	-2.6314	0.0022
LINCSCP_94503	NA	10670	RRAGA	-2.0766	0.0024
LINCSCP_94503	NA	47	ACLY	-2.6296	0.0026
LINCSCP_94503	NA	60528	ELAC2	2.1761	0.0026
LINCSCP_94503	NA	387	RHOA	-2.301	0.0026
LINCSCP_94503	NA	899	CCNF	-2.2932	0.0027
LINCSCP_94503	NA	4616	GADD45B	-2.7655	0.0027
LINCSCP_94503	NA	54386	TERF2IP	2.1673	0.0028
LINCSCP_94503	NA	3033	HADH	-5.4858	0.0028
LINCSCP_94503	NA	1153	CIRBP	2.1252	0.0028
LINCSCP_94503	NA	6509	SLC1A4	-2.6375	0.0029
LINCSCP_94503	NA	10190	TXNDC9	-2.1136	0.0033
LINCSCP_94503	NA	3162	HMOX1	2.2524	0.0037
LINCSCP_94503	NA	9637	FEZ2	-1.8821	0.0038
LINCSCP_94503	NA	200734	SPRED2	1.8067	0.004
LINCSCP_94503	NA	3925	STMN1	-1.8179	0.004
LINCSCP_94503	NA	51203	NUSAP1	-2.7057	0.0041
LINCSCP_94503	NA	230	ALDOC	-1.9959	0.0043
LINCSCP_94503	NA	1647	GADD45A	1.8717	0.0045
LINCSCP_94503	NA	91137	SLC25A46	-1.7543	0.0048
LINCSCP_94503	NA	11065	UBE2C	-1.7397	0.0051
LINCSCP_94503	NA	1021	CDK6	-1.7465	0.0051
LINCSCP_94503	NA	6342	SCP2	-1.715	0.0053
LINCSCP_94503	NA	23	ABCF1	1.6768	0.0053
LINCSCP_94503	NA	55256	ADI1	-2.0568	0.0055
LINCSCP_94503	NA	4651	MYO10	2.3689	0.0056
LINCSCP_94503	NA	4016	LOXL1	-2.9953	0.0058
LINCSCP_94503	NA	30001	ERO1L	-2.1439	0.006
LINCSCP_94503	NA	622	BDH1	2.447	0.006
LINCSCP_94503	NA	890	CCNA2	-1.8739	0.0062
LINCSCP_94503	NA	27336	HTATSF1	2.5912	0.0063
