signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_37376	NA	1465	CSRP1	-6.728	0.0017
LINCSCP_37376	NA	5019	OXCT1	-1.9514	0.0042
LINCSCP_37376	NA	6119	RPA3	2.7903	0.0042
LINCSCP_37376	NA	8870	IER3	1.8224	0.0054
LINCSCP_37376	NA	3553	IL1B	1.7375	0.0057
LINCSCP_37376	NA	10969	EBNA1BP2	-2.3798	0.006
LINCSCP_37376	NA	4482	MSRA	2.0112	0.007
LINCSCP_37376	NA	23659	PLA2G15	-2.1022	0.0085
LINCSCP_37376	NA	10652	YKT6	-1.7766	0.0086
LINCSCP_37376	NA	6944	VPS72	1.4298	0.0094
LINCSCP_37376	NA	2534	FYN	1.5793	0.01
LINCSCP_37376	NA	4605	MYBL2	1.3663	0.0102
LINCSCP_37376	NA	55033	FKBP14	-1.3444	0.0111
LINCSCP_37376	NA	5898	RALA	-2.0398	0.0113
LINCSCP_37376	NA	23530	NNT	-1.51	0.0116
LINCSCP_37376	NA	7398	USP1	-2.1774	0.0118
LINCSCP_37376	NA	91949	COG7	1.4491	0.013
LINCSCP_37376	NA	9943	OXSR1	-1.8903	0.0141
LINCSCP_37376	NA	79600	TCTN1	1.3837	0.0142
LINCSCP_37376	NA	91137	SLC25A46	-1.2672	0.0143
LINCSCP_37376	NA	26128	KIF1BP	-1.6574	0.0143
LINCSCP_37376	NA	387	RHOA	1.3511	0.0144
LINCSCP_37376	NA	5257	PHKB	1.2071	0.0149
LINCSCP_37376	NA	64746	ACBD3	-1.5267	0.0153
LINCSCP_37376	NA	55011	PIH1D1	1.9851	0.0155
LINCSCP_37376	NA	22926	ATF6	1.245	0.0159
LINCSCP_37376	NA	27109	ATP5S	-1.6729	0.0165
LINCSCP_37376	NA	6850	SYK	1.7218	0.0165
LINCSCP_37376	NA	2624	GATA2	1.1826	0.0166
LINCSCP_37376	NA	10007	GNPDA1	1.3511	0.017
LINCSCP_37376	NA	7077	TIMP2	1.2739	0.0171
LINCSCP_37376	NA	6894	TARBP1	1.6894	0.0173
LINCSCP_37376	NA	10730	YME1L1	-1.1936	0.0174
LINCSCP_37376	NA	8553	BHLHE40	1.4419	0.0176
LINCSCP_37376	NA	54807	ZNF586	2.1394	0.0181
LINCSCP_37376	NA	5899	RALB	1.6989	0.0187
LINCSCP_37376	NA	993	CDC25A	1.1484	0.0187
LINCSCP_37376	NA	9801	MRPL19	-1.2583	0.0194
LINCSCP_37376	NA	51053	GMNN	-1.1453	0.0207
LINCSCP_37376	NA	2625	GATA3	1.1342	0.021
LINCSCP_37376	NA	7416	VDAC1	-5.9911	0.0212
LINCSCP_37376	NA	29916	SNX11	1.1086	0.0217
LINCSCP_37376	NA	23038	WDTC1	1.2948	0.0218
LINCSCP_37376	NA	8727	CTNNAL1	-1.7362	0.0223
LINCSCP_37376	NA	5050	PAFAH1B3	1.0546	0.0235
LINCSCP_37376	NA	79902	NUP85	1.0525	0.0238
LINCSCP_37376	NA	7153	TOP2A	-2.9293	0.024
LINCSCP_37376	NA	93487	MAPK1IP1L	-1.5219	0.0242
LINCSCP_37376	NA	4651	MYO10	-1.2265	0.0244
LINCSCP_37376	NA	11137	PWP1	1.0323	0.0254
LINCSCP_37376	NA	154	ADRB2	-1.5332	0.0259
LINCSCP_37376	NA	226	ALDOA	1.266	0.026
LINCSCP_37376	NA	1891	ECH1	1.5775	0.0263
LINCSCP_37376	NA	10681	GNB5	1.2892	0.0265
LINCSCP_37376	NA	64943	NT5DC2	1.2251	0.0268
LINCSCP_37376	NA	51056	LAP3	-1.4096	0.0272
LINCSCP_37376	NA	56940	DUSP22	3.844	0.0279
LINCSCP_37376	NA	1212	CLTB	1.1217	0.0285
LINCSCP_37376	NA	51026	GOLT1B	-2.6616	0.0286
LINCSCP_37376	NA	2673	GFPT1	-1.0261	0.0286
LINCSCP_37376	NA	5654	HTRA1	1.6823	0.0287
LINCSCP_37376	NA	9697	TRAM2	1.1154	0.0293
LINCSCP_37376	NA	644	BLVRA	-1.307	0.0297
LINCSCP_37376	NA	8518	IKBKAP	-1.5663	0.0299
LINCSCP_37376	NA	1001	CDH3	1.0191	0.03
LINCSCP_37376	NA	5211	PFKL	1.1595	0.0302
LINCSCP_37376	NA	5529	PPP2R5E	1.1364	0.031
LINCSCP_37376	NA	23076	RRP1B	-1.2352	0.0316
LINCSCP_37376	NA	5054	SERPINE1	1.1262	0.0318
LINCSCP_37376	NA	5607	MAP2K5	1.2128	0.0319
LINCSCP_37376	NA	10059	DNM1L	-1.3054	0.0321
LINCSCP_37376	NA	9128	PRPF4	-2.3668	0.033
LINCSCP_37376	NA	2042	EPHA3	6.0588	0.0333
LINCSCP_37376	NA	8318	CDC45	1.2892	0.0334
LINCSCP_37376	NA	2063	NR2F6	1.41	0.0334
LINCSCP_37376	NA	949	SCARB1	1.0171	0.0334
LINCSCP_37376	NA	1429	CRYZ	-1.9839	0.0335
LINCSCP_37376	NA	1050	CEBPA	1.2241	0.0336
LINCSCP_37376	NA	10227	MFSD10	-1.1683	0.0349
LINCSCP_37376	NA	2037	EPB41L2	-1.6929	0.0349
LINCSCP_37376	NA	51385	ZNF589	0.9276	0.0351
