signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_212149	NA	57147	SCYL3	4.0893	2e-4
LINCSCP_212149	NA	10245	TIMM17B	2.5531	0.0028
LINCSCP_212149	NA	2896	GRN	3.8636	0.0038
LINCSCP_212149	NA	23	ABCF1	-1.633	0.0042
LINCSCP_212149	NA	9097	USP14	-1.9058	0.0043
LINCSCP_212149	NA	2946	GSTM2	-1.7085	0.0043
LINCSCP_212149	NA	10695	CNPY3	-1.8007	0.005
LINCSCP_212149	NA	3988	LIPA	-1.6119	0.0057
LINCSCP_212149	NA	1676	DFFA	-2.1022	0.0058
LINCSCP_212149	NA	51024	FIS1	-1.5596	0.0066
LINCSCP_212149	NA	55608	ANKRD10	2.1662	0.0079
LINCSCP_212149	NA	57048	PLSCR3	4.201	0.0081
LINCSCP_212149	NA	3930	LBR	1.4632	0.0081
LINCSCP_212149	NA	6347	CCL2	1.8609	0.0084
LINCSCP_212149	NA	2288	FKBP4	-2.0811	0.0086
LINCSCP_212149	NA	1861	TOR1A	-1.8712	0.0087
LINCSCP_212149	NA	10892	MALT1	1.6253	0.0091
LINCSCP_212149	NA	6599	SMARCC1	-1.7614	0.0094
LINCSCP_212149	NA	5498	PPOX	-1.5167	0.0098
LINCSCP_212149	NA	7852	CXCR4	-1.5641	0.0111
LINCSCP_212149	NA	81544	GDPD5	1.782	0.0118
LINCSCP_212149	NA	3486	IGFBP3	1.3775	0.0119
LINCSCP_212149	NA	9112	MTA1	1.5251	0.0133
LINCSCP_212149	NA	53343	NUDT9	-1.5438	0.0135
LINCSCP_212149	NA	1891	ECH1	-1.4134	0.0139
LINCSCP_212149	NA	85236	HIST1H2BK	3.1188	0.0141
LINCSCP_212149	NA	6696	SPP1	1.3667	0.0146
LINCSCP_212149	NA	10318	TNIP1	1.3126	0.015
LINCSCP_212149	NA	6772	STAT1	1.4885	0.0165
LINCSCP_212149	NA	2063	NR2F6	-1.2971	0.0167
LINCSCP_212149	NA	9126	SMC3	-1.8103	0.0168
LINCSCP_212149	NA	26020	LRP10	1.4624	0.0174
LINCSCP_212149	NA	79090	TRAPPC6A	-1.6457	0.0175
LINCSCP_212149	NA	4605	MYBL2	-1.2123	0.0178
LINCSCP_212149	NA	873	CBR1	-1.1724	0.0182
LINCSCP_212149	NA	8574	AKR7A2	-1.1539	0.0185
LINCSCP_212149	NA	8727	CTNNAL1	2.0162	0.0189
LINCSCP_212149	NA	351	APP	-2.2114	0.019
LINCSCP_212149	NA	1509	CTSD	-1.2838	0.0198
LINCSCP_212149	NA	9552	SPAG7	-1.1627	0.0204
LINCSCP_212149	NA	23378	RRP8	1.1485	0.0204
LINCSCP_212149	NA	3312	HSPA8	1.2647	0.0204
LINCSCP_212149	NA	51375	SNX7	-1.1275	0.0205
LINCSCP_212149	NA	7043	TGFB3	-1.1812	0.0219
LINCSCP_212149	NA	4817	NIT1	-1.1946	0.0227
LINCSCP_212149	NA	11098	PRSS23	1.204	0.0227
LINCSCP_212149	NA	9842	PLEKHM1	-1.4622	0.0235
LINCSCP_212149	NA	23061	TBC1D9B	1.1626	0.0242
LINCSCP_212149	NA	4609	MYC	1.1708	0.0243
LINCSCP_212149	NA	2961	GTF2E2	-1.1353	0.0244
LINCSCP_212149	NA	10730	YME1L1	1.0611	0.0252
LINCSCP_212149	NA	9637	FEZ2	1.3703	0.0252
LINCSCP_212149	NA	5366	PMAIP1	-1.4661	0.0254
LINCSCP_212149	NA	8996	NOL3	-1.1209	0.0264
LINCSCP_212149	NA	481	ATP1B1	1.4338	0.0276
LINCSCP_212149	NA	8480	RAE1	1.2279	0.0278
LINCSCP_212149	NA	5355	PLP2	-1.051	0.0278
LINCSCP_212149	NA	11325	DDX42	1.2261	0.0282
LINCSCP_212149	NA	23139	MAST2	1.7448	0.0283
LINCSCP_212149	NA	2264	FGFR4	2.3566	0.0284
LINCSCP_212149	NA	9019	MPZL1	1.0748	0.0291
LINCSCP_212149	NA	7538	ZFP36	-1.1495	0.0294
LINCSCP_212149	NA	1870	E2F2	-1.2303	0.0295
LINCSCP_212149	NA	50810	HDGFRP3	1.1736	0.0297
LINCSCP_212149	NA	291	SLC25A4	1.1356	0.0299
LINCSCP_212149	NA	3775	KCNK1	-1.5445	0.0301
LINCSCP_212149	NA	51071	DERA	1.1446	0.0304
LINCSCP_212149	NA	7020	TFAP2A	-1.0339	0.0314
LINCSCP_212149	NA	23670	TMEM2	1.0508	0.0321
LINCSCP_212149	NA	958	CD40	-1.0021	0.0328
LINCSCP_212149	NA	1445	CSK	1.2172	0.0329
LINCSCP_212149	NA	154	ADRB2	1.5202	0.0329
LINCSCP_212149	NA	7159	TP53BP2	-1.105	0.0335
LINCSCP_212149	NA	25	ABL1	1.5172	0.0336
LINCSCP_212149	NA	3454	IFNAR1	-1.2888	0.034
LINCSCP_212149	NA	2263	FGFR2	-1.0157	0.0343
LINCSCP_212149	NA	902	CCNH	-1.1752	0.0355
LINCSCP_212149	NA	9797	TATDN2	1.0815	0.0372
LINCSCP_212149	NA	10298	PAK4	1.1768	0.0373
LINCSCP_212149	NA	6284	S100A13	0.9556	0.0374
LINCSCP_212149	NA	10123	ARL4C	-1.0197	0.0375
LINCSCP_212149	NA	23014	FBXO21	-1.1293	0.0379
LINCSCP_212149	NA	9690	UBE3C	0.9524	0.038
LINCSCP_212149	NA	23244	PDS5A	0.9387	0.0384
LINCSCP_212149	NA	1153	CIRBP	-1.1349	0.0385
LINCSCP_212149	NA	9710	KIAA0355	1.0651	0.0386
LINCSCP_212149	NA	9697	TRAM2	1.2599	0.0387
LINCSCP_212149	NA	6182	MRPL12	1.0423	0.0389
LINCSCP_212149	NA	8731	RNMT	1.0924	0.0389
LINCSCP_212149	NA	7398	USP1	1.1925	0.0391
LINCSCP_212149	NA	10813	UTP14A	1.7431	0.0391
LINCSCP_212149	NA	79850	FAM57A	0.9682	0.0402
LINCSCP_212149	NA	3693	ITGB5	0.9694	0.0406
LINCSCP_212149	NA	1017	CDK2	-0.9613	0.0407
LINCSCP_212149	NA	6919	TCEA2	-1.565	0.0408
LINCSCP_212149	NA	6616	SNAP25	-1.0395	0.0412
LINCSCP_212149	NA	9868	TOMM70A	0.9538	0.0422
LINCSCP_212149	NA	26993	AKAP8L	1.0748	0.0425
LINCSCP_212149	NA	652	BMP4	-0.9903	0.043
LINCSCP_212149	NA	4850	CNOT4	0.9502	0.0435
LINCSCP_212149	NA	7158	TP53BP1	-0.9186	0.0436
LINCSCP_212149	NA	23161	SNX13	-1.0351	0.0438
LINCSCP_212149	NA	1500	CTNND1	-1.0091	0.0444
LINCSCP_212149	NA	6657	SOX2	-1.1061	0.0449
LINCSCP_212149	NA	5019	OXCT1	0.98	0.0449
LINCSCP_212149	NA	57215	THAP11	-1.0425	0.0452
LINCSCP_212149	NA	3337	DNAJB1	1.0844	0.0457
LINCSCP_212149	NA	5993	RFX5	0.8908	0.0457
LINCSCP_212149	NA	9801	MRPL19	0.8899	0.0462
LINCSCP_212149	NA	1788	DNMT3A	-1.0482	0.0465
LINCSCP_212149	NA	2356	FPGS	0.8858	0.0471
LINCSCP_212149	NA	843	CASP10	-1.1678	0.0475
LINCSCP_212149	NA	23212	RRS1	5.263	0.0479
LINCSCP_212149	NA	23011	RAB21	-1.1314	0.0479
LINCSCP_212149	NA	4200	ME2	-0.8837	0.048
LINCSCP_212149	NA	4232	MEST	-2.1914	0.0483
LINCSCP_212149	NA	1643	DDB2	-1.1113	0.0496
LINCSCP_212149	NA	3091	HIF1A	-1.7013	0.0497
LINCSCP_212149	NA	3206	HOXA10	0.9829	0.0497
LINCSCP_212149	NA	51495	HACD3	-1.7267	0.05
LINCSCP_212149	NA	1738	DLD	0.9989	0.0501
LINCSCP_212149	NA	84722	PSRC1	-1.0699	0.0506
LINCSCP_212149	NA	7168	TPM1	1.162	0.051
LINCSCP_212149	NA	9688	NUP93	-1.0328	0.0513
LINCSCP_212149	NA	7866	IFRD2	1.0789	0.0514
LINCSCP_212149	NA	23588	KLHDC2	-0.898	0.0526
LINCSCP_212149	NA	7153	TOP2A	0.8859	0.0535
LINCSCP_212149	NA	8726	EED	1.2423	0.0538
LINCSCP_212149	NA	79094	CHAC1	-1.1279	0.0558
LINCSCP_212149	NA	7165	TPD52L2	0.9989	0.0561
LINCSCP_212149	NA	10190	TXNDC9	-5.1319	0.0564
LINCSCP_212149	NA	2810	SFN	1.09	0.0564
LINCSCP_212149	NA	2195	FAT1	1.1703	0.0568
LINCSCP_212149	NA	9275	BCL7B	-0.8572	0.058
LINCSCP_212149	NA	10818	FRS2	-0.8239	0.0596
LINCSCP_212149	NA	10797	MTHFD2	0.856	0.0602
LINCSCP_212149	NA	22889	KIAA0907	1.0785	0.0602
LINCSCP_212149	NA	6832	SUPV3L1	-0.9601	0.0602
LINCSCP_212149	NA	2886	GRB7	-1.4524	0.0602
LINCSCP_212149	NA	2956	MSH6	-1.2707	0.0609
LINCSCP_212149	NA	10775	POP4	-0.9222	0.061
LINCSCP_212149	NA	65057	ACD	-0.8372	0.061
LINCSCP_212149	NA	5997	RGS2	-0.9133	0.0616
LINCSCP_212149	NA	23321	TRIM2	-0.8115	0.0622
LINCSCP_212149	NA	55179	FAIM	-1.0348	0.0623
LINCSCP_212149	NA	4208	MEF2C	-0.823	0.0624
LINCSCP_212149	NA	11000	SLC27A3	-0.9155	0.063
LINCSCP_212149	NA	2769	GNA15	-1.375	0.0634
LINCSCP_212149	NA	10320	IKZF1	3.0201	0.0644
LINCSCP_212149	NA	9170	LPAR2	-0.9215	0.065
LINCSCP_212149	NA	4775	NFATC3	-1.0122	0.0654
LINCSCP_212149	NA	79143	MBOAT7	0.9471	0.0656
LINCSCP_212149	NA	51465	UBE2J1	-0.8258	0.0657
LINCSCP_212149	NA	5827	PXMP2	0.9709	0.0659
LINCSCP_212149	NA	10221	TRIB1	-1.0722	0.066
LINCSCP_212149	NA	5641	LGMN	-1.401	0.0663
LINCSCP_212149	NA	55847	CISD1	1.3276	0.0665
LINCSCP_212149	NA	23076	RRP1B	0.7929	0.0666
LINCSCP_212149	NA	30836	DNTTIP2	1.0071	0.0669
LINCSCP_212149	NA	7466	WFS1	1.0503	0.0679
LINCSCP_212149	NA	23530	NNT	0.8762	0.0681
LINCSCP_212149	NA	5613	PRKX	-0.9417	0.0682
LINCSCP_212149	NA	79947	DHDDS	-0.7973	0.0693
LINCSCP_212149	NA	51070	NOSIP	-4.956	0.07
LINCSCP_212149	NA	3925	STMN1	-0.9794	0.0702
LINCSCP_212149	NA	7296	TXNRD1	0.7788	0.0708
LINCSCP_212149	NA	10051	SMC4	0.8216	0.071
LINCSCP_212149	NA	64943	NT5DC2	0.8712	0.071
LINCSCP_212149	NA	6777	STAT5B	4.4702	0.0711
LINCSCP_212149	NA	23368	PPP1R13B	-1.0028	0.0716
LINCSCP_212149	NA	11230	PRAF2	1.0082	0.0717
LINCSCP_212149	NA	2548	GAA	0.9872	0.0725
LINCSCP_212149	NA	28969	BZW2	-1.3575	0.0728
LINCSCP_212149	NA	4791	NFKB2	-0.8643	0.073
LINCSCP_212149	NA	64429	ZDHHC6	-0.9043	0.0751
LINCSCP_212149	NA	388650	FAM69A	-1.306	0.0753
LINCSCP_212149	NA	6253	RTN2	-1.9242	0.0754
LINCSCP_212149	NA	3329	HSPD1	1.0262	0.0755
LINCSCP_212149	NA	1213	CLTC	1.0091	0.076
LINCSCP_212149	NA	7088	TLE1	0.9686	0.0763
LINCSCP_212149	NA	7015	TERT	-1.092	0.0769
LINCSCP_212149	NA	4154	MBNL1	0.7558	0.0773
LINCSCP_212149	NA	84159	ARID5B	0.864	0.0794
LINCSCP_212149	NA	5788	PTPRC	-0.9081	0.0799
LINCSCP_212149	NA	9093	DNAJA3	-0.9374	0.0808
LINCSCP_212149	NA	10270	AKAP8	0.8026	0.0814
LINCSCP_212149	NA	7494	XBP1	0.7385	0.0833
LINCSCP_212149	NA	2673	GFPT1	-0.898	0.0837
LINCSCP_212149	NA	4851	NOTCH1	4.4896	0.0839
LINCSCP_212149	NA	11007	CCDC85B	-0.789	0.0846
LINCSCP_212149	NA	9695	EDEM1	3.1105	0.0849
LINCSCP_212149	NA	9183	ZW10	0.9582	0.0852
LINCSCP_212149	NA	8324	FZD7	0.8794	0.087
LINCSCP_212149	NA	9903	KLHL21	1.0139	0.0873
LINCSCP_212149	NA	8061	FOSL1	0.888	0.0873
LINCSCP_212149	NA	23325	KIAA1033	0.8623	0.0873
LINCSCP_212149	NA	1514	CTSL	0.8991	0.0877
LINCSCP_212149	NA	2065	ERBB3	-0.7419	0.088
LINCSCP_212149	NA	79071	ELOVL6	-0.9048	0.0887
LINCSCP_212149	NA	7027	TFDP1	-1.6141	0.0891
LINCSCP_212149	NA	4927	NUP88	0.9503	0.0897
LINCSCP_212149	NA	4794	NFKBIE	-0.7881	0.0905
LINCSCP_212149	NA	644	BLVRA	0.8485	0.0908
LINCSCP_212149	NA	23224	SYNE2	0.8328	0.0912
LINCSCP_212149	NA	23223	RRP12	1.6179	0.0913
LINCSCP_212149	NA	5236	PGM1	0.9303	0.0916
LINCSCP_212149	NA	51382	ATP6V1D	0.76	0.0917
LINCSCP_212149	NA	8349	HIST2H2BE	-0.8242	0.0924
LINCSCP_212149	NA	2523	FUT1	-1.1234	0.093
LINCSCP_212149	NA	5898	RALA	0.719	0.0931
LINCSCP_212149	NA	55746	NUP133	-0.7864	0.0934
LINCSCP_212149	NA	4651	MYO10	0.7228	0.0944
LINCSCP_212149	NA	6804	STX1A	-1.8832	0.0957
LINCSCP_212149	NA	256364	EML3	0.9065	0.096
LINCSCP_212149	NA	2908	NR3C1	0.7954	0.0964
LINCSCP_212149	NA	26001	RNF167	-1.9545	0.0966
LINCSCP_212149	NA	7016	TESK1	-0.9322	0.0971
LINCSCP_212149	NA	672	BRCA1	0.7281	0.0977
LINCSCP_212149	NA	124583	CANT1	0.7779	0.098
