signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_87611	NA	3312	HSPA8	-10	4.0534e-6
LINCSCP_87611	NA	5111	PCNA	-10	4.0534e-6
LINCSCP_87611	NA	6839	SUV39H1	-9.091	1e-4
LINCSCP_87611	NA	22887	FOXJ3	-6.9705	1e-4
LINCSCP_87611	NA	8731	RNMT	-6.3399	1e-4
LINCSCP_87611	NA	26520	TIMM9	-6.3576	1e-4
LINCSCP_87611	NA	7153	TOP2A	-5.7047	1e-4
LINCSCP_87611	NA	890	CCNA2	-6.9119	1e-4
LINCSCP_87611	NA	79902	NUP85	-7.1615	1e-4
LINCSCP_87611	NA	10038	PARP2	-8.2227	1e-4
LINCSCP_87611	NA	23636	NUP62	-6.6821	1e-4
LINCSCP_87611	NA	481	ATP1B1	-6.1993	2e-4
LINCSCP_87611	NA	8396	PIP4K2B	-5.2821	2e-4
LINCSCP_87611	NA	6908	TBP	-7.9173	2e-4
LINCSCP_87611	NA	200081	TXLNA	-6.6788	2e-4
LINCSCP_87611	NA	11004	KIF2C	-6.4379	2e-4
LINCSCP_87611	NA	8061	FOSL1	-4.7634	2e-4
LINCSCP_87611	NA	51031	GLOD4	-5.8603	3e-4
LINCSCP_87611	NA	3337	DNAJB1	-8.6401	3e-4
LINCSCP_87611	NA	993	CDC25A	-5.1778	3e-4
LINCSCP_87611	NA	8870	IER3	-7.9784	4e-4
LINCSCP_87611	NA	4208	MEF2C	4.6701	4e-4
LINCSCP_87611	NA	899	CCNF	-5.4369	4e-4
LINCSCP_87611	NA	9817	KEAP1	-5.5677	4e-4
LINCSCP_87611	NA	55620	STAP2	4.0529	5e-4
LINCSCP_87611	NA	7088	TLE1	-4.826	5e-4
LINCSCP_87611	NA	4792	NFKBIA	-7.5976	5e-4
LINCSCP_87611	NA	4609	MYC	-7.1833	6e-4
LINCSCP_87611	NA	4783	NFIL3	-6.5859	6e-4
LINCSCP_87611	NA	79600	TCTN1	4.7211	6e-4
