signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_141977	NA	7153	TOP2A	-6.6088	0
LINCSCP_141977	NA	4172	MCM3	-5.5476	1e-4
LINCSCP_141977	NA	1802	DPH2	-4.9358	1e-4
LINCSCP_141977	NA	3162	HMOX1	6.5549	1e-4
LINCSCP_141977	NA	622	BDH1	-4.0853	3e-4
LINCSCP_141977	NA	7074	TIAM1	-3.6691	4e-4
LINCSCP_141977	NA	8878	SQSTM1	3.835	5e-4
LINCSCP_141977	NA	983	CDK1	-6.4229	5e-4
LINCSCP_141977	NA	25987	TSKU	3.6587	6e-4
LINCSCP_141977	NA	10493	VAT1	3.4596	6e-4
LINCSCP_141977	NA	1026	CDKN1A	3.9344	7e-4
LINCSCP_141977	NA	8349	HIST2H2BE	4.5052	7e-4
LINCSCP_141977	NA	2037	EPB41L2	-4.8694	8e-4
LINCSCP_141977	NA	51635	DHRS7	3.6	8e-4
LINCSCP_141977	NA	8870	IER3	3.841	0.001
LINCSCP_141977	NA	51293	CD320	-3.6427	0.001
LINCSCP_141977	NA	665	BNIP3L	-3.2415	0.0011
LINCSCP_141977	NA	8503	PIK3R3	3.643	0.0011
LINCSCP_141977	NA	1848	DUSP6	-3.8532	0.0013
LINCSCP_141977	NA	51203	NUSAP1	-4.013	0.0013
LINCSCP_141977	NA	10007	GNPDA1	2.9809	0.0014
LINCSCP_141977	NA	29911	HOOK2	3.3716	0.0015
LINCSCP_141977	NA	1017	CDK2	-3.1605	0.0015
LINCSCP_141977	NA	230	ALDOC	2.9796	0.0016
LINCSCP_141977	NA	8318	CDC45	-3.2222	0.0019
LINCSCP_141977	NA	8914	TIMELESS	-2.827	0.002
LINCSCP_141977	NA	427	ASAH1	4.5541	0.002
LINCSCP_141977	NA	9961	MVP	2.9101	0.0021
LINCSCP_141977	NA	7106	TSPAN4	-3.4796	0.0022
LINCSCP_141977	NA	4016	LOXL1	-2.741	0.0024
LINCSCP_141977	NA	85236	HIST1H2BK	3.0409	0.0024
LINCSCP_141977	NA	5111	PCNA	-3.0365	0.0026
LINCSCP_141977	NA	11065	UBE2C	-3.7895	0.0028
LINCSCP_141977	NA	1514	CTSL	2.5992	0.0028
LINCSCP_141977	NA	3300	DNAJB2	4.1748	0.003
LINCSCP_141977	NA	5909	RAP1GAP	2.8818	0.0032
LINCSCP_141977	NA	7398	USP1	-2.5156	0.0035
LINCSCP_141977	NA	10652	YKT6	-3.4711	0.0036
LINCSCP_141977	NA	1786	DNMT1	-3.3951	0.0036
LINCSCP_141977	NA	5525	PPP2R5A	2.6682	0.004
LINCSCP_141977	NA	3909	LAMA3	2.9855	0.0041
LINCSCP_141977	NA	780	DDR1	2.7042	0.0046
LINCSCP_141977	NA	51024	FIS1	-2.8878	0.0047
LINCSCP_141977	NA	54850	FBXL12	-4.0731	0.0047
LINCSCP_141977	NA	10112	KIF20A	-5.3863	0.0048
LINCSCP_141977	NA	672	BRCA1	-3.5019	0.0049
LINCSCP_141977	NA	23635	SSBP2	7.1501	0.005
LINCSCP_141977	NA	8727	CTNNAL1	-2.4809	0.0052
LINCSCP_141977	NA	7296	TXNRD1	2.751	0.0052
LINCSCP_141977	NA	7376	NR1H2	5.7976	0.0052
LINCSCP_141977	NA	2222	FDFT1	2.2919	0.0055
LINCSCP_141977	NA	23512	SUZ12	-2.468	0.0055
LINCSCP_141977	NA	993	CDC25A	-2.2992	0.0057
LINCSCP_141977	NA	332	BIRC5	-2.8112	0.0058
LINCSCP_141977	NA	355	FAS	2.2323	0.0059
LINCSCP_141977	NA	8837	CFLAR	-2.4921	0.0062
LINCSCP_141977	NA	481	ATP1B1	-2.5294	0.0064
LINCSCP_141977	NA	26227	PHGDH	2.4068	0.0065
LINCSCP_141977	NA	79080	CCDC86	-4.1265	0.0069
LINCSCP_141977	NA	10051	SMC4	-3.1255	0.007
LINCSCP_141977	NA	5985	RFC5	-2.4492	0.0071
LINCSCP_141977	NA	79090	TRAPPC6A	2.3386	0.0073
LINCSCP_141977	NA	58533	SNX6	2.1965	0.0073
LINCSCP_141977	NA	8312	AXIN1	2.271	0.0074
LINCSCP_141977	NA	9143	SYNGR3	2.4331	0.0075
LINCSCP_141977	NA	8202	NCOA3	2.3015	0.0075
LINCSCP_141977	NA	3988	LIPA	2.5041	0.0077
LINCSCP_141977	NA	823	CAPN1	3.5983	0.0077
LINCSCP_141977	NA	4860	PNP	-2.4229	0.0078
LINCSCP_141977	NA	7750	ZMYM2	2.615	0.008
LINCSCP_141977	NA	5889	RAD51C	-5.1312	0.008
LINCSCP_141977	NA	3315	HSPB1	3.0053	0.0081
LINCSCP_141977	NA	2065	ERBB3	3.3712	0.0082
LINCSCP_141977	NA	2956	MSH6	-2.9211	0.0085
LINCSCP_141977	NA	644	BLVRA	2.2448	0.0088
LINCSCP_141977	NA	51053	GMNN	-2.678	0.0089
LINCSCP_141977	NA	9801	MRPL19	-2.0819	0.0089
LINCSCP_141977	NA	9133	CCNB2	-2.4564	0.0091
LINCSCP_141977	NA	55038	CDCA4	-2.3466	0.0092
LINCSCP_141977	NA	902	CCNH	-3.2316	0.0094
LINCSCP_141977	NA	50814	NSDHL	-3.1945	0.0099
LINCSCP_141977	NA	960	CD44	-2.1849	0.0101
LINCSCP_141977	NA	2356	FPGS	-2.4443	0.0105
LINCSCP_141977	NA	9918	NCAPD2	-2.975	0.0107
LINCSCP_141977	NA	51015	ISOC1	-2.1812	0.0109
LINCSCP_141977	NA	847	CAT	2.2141	0.011
LINCSCP_141977	NA	3978	LIG1	-2.1308	0.0111
LINCSCP_141977	NA	6839	SUV39H1	-2.5574	0.0113
LINCSCP_141977	NA	39	ACAT2	2.0959	0.0116
LINCSCP_141977	NA	6919	TCEA2	1.9496	0.0119
LINCSCP_141977	NA	3638	INSIG1	-2.0469	0.012
LINCSCP_141977	NA	10038	PARP2	-2.0918	0.012
LINCSCP_141977	NA	9126	SMC3	-2.1553	0.0121
LINCSCP_141977	NA	991	CDC20	-2.2746	0.0123
LINCSCP_141977	NA	10058	ABCB6	2.2313	0.0123
LINCSCP_141977	NA	1845	DUSP3	2.2705	0.0124
LINCSCP_141977	NA	5154	PDGFA	-2.1785	0.0133
LINCSCP_141977	NA	595	CCND1	-1.905	0.0137
LINCSCP_141977	NA	9928	KIF14	-2.4658	0.0138
LINCSCP_141977	NA	9686	VGLL4	-1.8858	0.0139
LINCSCP_141977	NA	5873	RAB27A	-2.978	0.014
LINCSCP_141977	NA	6856	SYPL1	2.6028	0.0148
LINCSCP_141977	NA	8996	NOL3	1.8572	0.0151
LINCSCP_141977	NA	4891	SLC11A2	2.2626	0.0155
LINCSCP_141977	NA	3925	STMN1	-2.8476	0.0162
LINCSCP_141977	NA	5223	PGAM1	-4.8799	0.0163
LINCSCP_141977	NA	5211	PFKL	-1.8961	0.0169
LINCSCP_141977	NA	55818	KDM3A	-4.1153	0.0169
LINCSCP_141977	NA	8726	EED	-1.9482	0.0171
LINCSCP_141977	NA	10245	TIMM17B	2.8905	0.0175
LINCSCP_141977	NA	27244	SESN1	4.8091	0.0176
LINCSCP_141977	NA	10972	TMED10	1.9346	0.018
LINCSCP_141977	NA	6119	RPA3	-2.033	0.0181
LINCSCP_141977	NA	51382	ATP6V1D	1.7437	0.0192
LINCSCP_141977	NA	10904	BLCAP	1.7346	0.0193
LINCSCP_141977	NA	5480	PPIC	1.8467	0.0195
LINCSCP_141977	NA	5580	PRKCD	2.6997	0.0196
