signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_91842	NA	9709	HERPUD1	10	2.4893e-6
LINCSCP_91842	NA	51569	UFM1	7.5074	0
LINCSCP_91842	NA	5831	PYCR1	7.0264	0
LINCSCP_91842	NA	64746	ACBD3	5.0785	1e-4
LINCSCP_91842	NA	55033	FKBP14	7.2755	1e-4
LINCSCP_91842	NA	9375	TM9SF2	4.668	1e-4
LINCSCP_91842	NA	10641	NPRL2	4.4382	1e-4
LINCSCP_91842	NA	11182	SLC2A6	-4.4067	1e-4
LINCSCP_91842	NA	11098	PRSS23	-5.7822	1e-4
LINCSCP_91842	NA	2058	EPRS	6.6627	1e-4
LINCSCP_91842	NA	8878	SQSTM1	6.0335	1e-4
LINCSCP_91842	NA	79071	ELOVL6	3.7217	2e-4
LINCSCP_91842	NA	6499	SKIV2L	3.8424	2e-4
LINCSCP_91842	NA	23647	ARFIP2	4.1528	2e-4
LINCSCP_91842	NA	11014	KDELR2	7.7298	2e-4
LINCSCP_91842	NA	7494	XBP1	3.4608	2e-4
LINCSCP_91842	NA	10797	MTHFD2	3.6221	2e-4
LINCSCP_91842	NA	26227	PHGDH	4.5754	3e-4
LINCSCP_91842	NA	3206	HOXA10	-4.2176	3e-4
LINCSCP_91842	NA	3385	ICAM3	4.8669	3e-4
LINCSCP_91842	NA	10513	APPBP2	3.2661	3e-4
LINCSCP_91842	NA	2745	GLRX	6.3866	4e-4
LINCSCP_91842	NA	27346	TMEM97	-3.6594	4e-4
LINCSCP_91842	NA	26036	ZNF451	3.402	4e-4
LINCSCP_91842	NA	2673	GFPT1	6.1723	4e-4
LINCSCP_91842	NA	3775	KCNK1	7.6077	4e-4
LINCSCP_91842	NA	5106	PCK2	4.1994	4e-4
LINCSCP_91842	NA	4925	NUCB2	3.4564	5e-4
LINCSCP_91842	NA	2146	EZH2	-2.7615	6e-4
LINCSCP_91842	NA	3202	HOXA5	-2.6833	6e-4
LINCSCP_91842	NA	813	CALU	4.1055	6e-4
LINCSCP_91842	NA	8731	RNMT	3.4747	7e-4
LINCSCP_91842	NA	9276	COPB2	5.8904	7e-4
LINCSCP_91842	NA	85236	HIST1H2BK	-3.4739	7e-4
LINCSCP_91842	NA	2274	FHL2	-3.1503	7e-4
LINCSCP_91842	NA	23210	JMJD6	2.7671	7e-4
LINCSCP_91842	NA	983	CDK1	-2.5441	9e-4
LINCSCP_91842	NA	4891	SLC11A2	4.7482	0.001
LINCSCP_91842	NA	291	SLC25A4	-3.101	0.0011
LINCSCP_91842	NA	7296	TXNRD1	2.459	0.0011
LINCSCP_91842	NA	54386	TERF2IP	2.6639	0.0012
LINCSCP_91842	NA	11073	TOPBP1	2.2877	0.0012
LINCSCP_91842	NA	23670	TMEM2	-2.401	0.0012
LINCSCP_91842	NA	9181	ARHGEF2	2.2902	0.0013
LINCSCP_91842	NA	10904	BLCAP	2.5167	0.0013
LINCSCP_91842	NA	10112	KIF20A	-3.061	0.0014
LINCSCP_91842	NA	22908	SACM1L	4.2171	0.0014
LINCSCP_91842	NA	7158	TP53BP1	2.8525	0.0015
LINCSCP_91842	NA	54881	TEX10	-2.4628	0.0015
LINCSCP_91842	NA	90861	HN1L	-2.5221	0.0015
LINCSCP_91842	NA	7358	UGDH	2.7747	0.0015
LINCSCP_91842	NA	51024	FIS1	2.2368	0.0016
LINCSCP_91842	NA	4303	FOXO4	2.6025	0.0016
LINCSCP_91842	NA	5054	SERPINE1	-2.6755	0.0017
LINCSCP_91842	NA	3337	DNAJB1	-2.9958	0.0017
LINCSCP_91842	NA	6709	SPTAN1	-2.1916	0.0017
LINCSCP_91842	NA	8974	P4HA2	3.572	0.0019
LINCSCP_91842	NA	25976	TIPARP	-2.1776	0.002
LINCSCP_91842	NA	3480	IGF1R	-2.4889	0.002
LINCSCP_91842	NA	10398	MYL9	-3.2285	0.002
LINCSCP_91842	NA	533	ATP6V0B	2.4618	0.0022
LINCSCP_91842	NA	9697	TRAM2	-2.0212	0.0022
LINCSCP_91842	NA	5891	MOK	-2.4324	0.0022
LINCSCP_91842	NA	23585	TMEM50A	-2.3069	0.0022
LINCSCP_91842	NA	4864	NPC1	3.7124	0.0022
LINCSCP_91842	NA	26136	TES	-2.0986	0.0023
LINCSCP_91842	NA	9761	MLEC	3.5641	0.0023
LINCSCP_91842	NA	79947	DHDDS	4.2864	0.0026
LINCSCP_91842	NA	57761	TRIB3	2.2729	0.0027
LINCSCP_91842	NA	8050	PDHX	2.9497	0.0028
LINCSCP_91842	NA	23588	KLHDC2	4.3035	0.0028
LINCSCP_91842	NA	51385	ZNF589	-2.154	0.003
LINCSCP_91842	NA	10007	GNPDA1	2.1113	0.0031
LINCSCP_91842	NA	891	CCNB1	-2.2193	0.0031
LINCSCP_91842	NA	56889	TM9SF3	2.6101	0.0032
LINCSCP_91842	NA	3157	HMGCS1	1.8554	0.0032
LINCSCP_91842	NA	10973	ASCC3	2.3131	0.0036
LINCSCP_91842	NA	7165	TPD52L2	1.8683	0.0038
LINCSCP_91842	NA	8569	MKNK1	-1.7662	0.0038
LINCSCP_91842	NA	6284	S100A13	-1.8485	0.0039
LINCSCP_91842	NA	1465	CSRP1	-3.5362	0.0039
LINCSCP_91842	NA	3091	HIF1A	-2.0107	0.004
LINCSCP_91842	NA	1978	EIF4EBP1	2.2111	0.0041
LINCSCP_91842	NA	9124	PDLIM1	-1.9791	0.0043
LINCSCP_91842	NA	9531	BAG3	1.9978	0.0046
LINCSCP_91842	NA	3066	HDAC2	-2.1056	0.0047
LINCSCP_91842	NA	11344	TWF2	1.9012	0.0047
LINCSCP_91842	NA	5300	PIN1	-1.7377	0.0048
LINCSCP_91842	NA	4144	MAT2A	-2.0143	0.005
LINCSCP_91842	NA	5827	PXMP2	-4.3831	0.005
LINCSCP_91842	NA	10892	MALT1	2.3248	0.0051
LINCSCP_91842	NA	9650	MTFR1	1.7415	0.0051
LINCSCP_91842	NA	899	CCNF	-1.9264	0.0051
LINCSCP_91842	NA	6659	SOX4	-2.3914	0.0052
LINCSCP_91842	NA	5092	PCBD1	-1.6246	0.0052
LINCSCP_91842	NA	23223	RRP12	1.5894	0.0052
LINCSCP_91842	NA	1282	COL4A1	-2.157	0.0053
LINCSCP_91842	NA	16	AARS	3.6518	0.0054
LINCSCP_91842	NA	9517	SPTLC2	-1.9302	0.0055
LINCSCP_91842	NA	23224	SYNE2	-1.93	0.0056
LINCSCP_91842	NA	5050	PAFAH1B3	-2.8773	0.0056
LINCSCP_91842	NA	84617	TUBB6	-1.9438	0.0057
LINCSCP_91842	NA	5257	PHKB	1.683	0.0057
LINCSCP_91842	NA	4172	MCM3	-1.8247	0.0058
LINCSCP_91842	NA	3308	HSPA4	-1.9931	0.006
LINCSCP_91842	NA	9221	NOLC1	1.5726	0.006
LINCSCP_91842	NA	7319	UBE2A	-2.622	0.0061
LINCSCP_91842	NA	9926	LPGAT1	1.5364	0.0063
LINCSCP_91842	NA	3315	HSPB1	-3.1198	0.0063
LINCSCP_91842	NA	54541	DDIT4	1.8838	0.0064
LINCSCP_91842	NA	51495	HACD3	-1.7452	0.0066
LINCSCP_91842	NA	2810	SFN	-1.8115	0.0067
LINCSCP_91842	NA	2582	GALE	2.4035	0.0068
LINCSCP_91842	NA	9695	EDEM1	3.4732	0.0069
LINCSCP_91842	NA	5236	PGM1	2.2702	0.007
LINCSCP_91842	NA	10681	GNB5	-1.457	0.0071
LINCSCP_91842	NA	1759	DNM1	-1.4839	0.0072
LINCSCP_91842	NA	51071	DERA	-1.9671	0.0073
LINCSCP_91842	NA	80347	COASY	1.8786	0.0074
LINCSCP_91842	NA	3486	IGFBP3	-2.188	0.0074
LINCSCP_91842	NA	7264	TSTA3	1.5724	0.0077
LINCSCP_91842	NA	4616	GADD45B	-3.023	0.0078
LINCSCP_91842	NA	991	CDC20	-2.1622	0.0082
LINCSCP_91842	NA	8727	CTNNAL1	-1.4492	0.0083
LINCSCP_91842	NA	54499	TMCO1	2.1068	0.0084
LINCSCP_91842	NA	890	CCNA2	-1.9382	0.0084
LINCSCP_91842	NA	3033	HADH	-2.4896	0.0085
LINCSCP_91842	NA	10491	CRTAP	2.1054	0.0085
LINCSCP_91842	NA	5110	PCMT1	1.4222	0.0086
LINCSCP_91842	NA	6509	SLC1A4	1.8039	0.0086
LINCSCP_91842	NA	7511	XPNPEP1	1.5553	0.0087
LINCSCP_91842	NA	6184	RPN1	1.6329	0.009
LINCSCP_91842	NA	2908	NR3C1	-1.3947	0.0092
LINCSCP_91842	NA	3638	INSIG1	1.8353	0.0093
LINCSCP_91842	NA	5111	PCNA	-1.3913	0.0093
LINCSCP_91842	NA	93594	TBC1D31	-1.4698	0.0094
LINCSCP_91842	NA	1123	CHN1	-1.3452	0.0095
LINCSCP_91842	NA	79080	CCDC86	-2.1069	0.0098
LINCSCP_91842	NA	481	ATP1B1	-1.6496	0.0099
LINCSCP_91842	NA	10953	TOMM34	-1.7171	0.01
LINCSCP_91842	NA	9868	TOMM70A	1.8822	0.01
LINCSCP_91842	NA	5696	PSMB8	-1.3764	0.01
LINCSCP_91842	NA	10059	DNM1L	-1.4037	0.0102
LINCSCP_91842	NA	9019	MPZL1	2.1184	0.0105
LINCSCP_91842	NA	11168	PSIP1	-1.4234	0.0109
LINCSCP_91842	NA	128	ADH5	-1.3609	0.011
LINCSCP_91842	NA	23139	MAST2	-1.7194	0.0113
LINCSCP_91842	NA	51053	GMNN	-2.7249	0.0113
LINCSCP_91842	NA	39	ACAT2	-2.1355	0.0114
LINCSCP_91842	NA	9267	CYTH1	-2.1747	0.0114
LINCSCP_91842	NA	30836	DNTTIP2	-1.8516	0.0116
LINCSCP_91842	NA	949	SCARB1	-1.429	0.0117
LINCSCP_91842	NA	63874	ABHD4	-1.3147	0.0117
LINCSCP_91842	NA	57178	ZMIZ1	-1.3338	0.0118
LINCSCP_91842	NA	10954	PDIA5	2.1017	0.0118
LINCSCP_91842	NA	11041	B4GAT1	1.4459	0.012
LINCSCP_91842	NA	3156	HMGCR	1.4322	0.0124
LINCSCP_91842	NA	9813	EFCAB14	1.5304	0.0124
LINCSCP_91842	NA	1017	CDK2	-1.7019	0.0128
LINCSCP_91842	NA	9686	VGLL4	-2.6519	0.0129
LINCSCP_91842	NA	642	BLMH	-1.4137	0.013
LINCSCP_91842	NA	55129	ANO10	1.408	0.013
