signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_32753	NA	4609	MYC	3.0971	0
LINCSCP_32753	NA	3383	ICAM1	4.3429	0
LINCSCP_32753	NA	54541	DDIT4	4.0389	1e-4
LINCSCP_32753	NA	16	AARS	2.5664	1e-4
LINCSCP_32753	NA	4792	NFKBIA	3.2855	1e-4
LINCSCP_32753	NA	11098	PRSS23	-1.7902	2e-4
LINCSCP_32753	NA	2058	EPRS	1.8648	3e-4
LINCSCP_32753	NA	8870	IER3	1.8034	3e-4
LINCSCP_32753	NA	2274	FHL2	2.1576	3e-4
LINCSCP_32753	NA	983	CDK1	-1.7672	4e-4
LINCSCP_32753	NA	6443	SGCB	-1.7917	5e-4
LINCSCP_32753	NA	6659	SOX4	1.6852	6e-4
LINCSCP_32753	NA	3337	DNAJB1	-2.1097	6e-4
LINCSCP_32753	NA	1429	CRYZ	-1.5686	8e-4
LINCSCP_32753	NA	2690	GHR	-1.4271	8e-4
LINCSCP_32753	NA	3930	LBR	-1.6322	9e-4
LINCSCP_32753	NA	5971	RELB	2.3501	0.001
LINCSCP_32753	NA	9181	ARHGEF2	2.1338	0.001
LINCSCP_32753	NA	4303	FOXO4	-1.321	0.0011
LINCSCP_32753	NA	9924	PAN2	1.4306	0.0013
LINCSCP_32753	NA	11182	SLC2A6	2.0568	0.0016
LINCSCP_32753	NA	6790	AURKA	-1.9799	0.0016
LINCSCP_32753	NA	226	ALDOA	-1.2757	0.0017
LINCSCP_32753	NA	3638	INSIG1	-1.8392	0.0018
LINCSCP_32753	NA	965	CD58	-1.9607	0.0019
LINCSCP_32753	NA	2222	FDFT1	-1.4723	0.002
LINCSCP_32753	NA	148022	TICAM1	1.747	0.0021
LINCSCP_32753	NA	58533	SNX6	-1.6074	0.0021
LINCSCP_32753	NA	890	CCNA2	-1.1302	0.0021
LINCSCP_32753	NA	9695	EDEM1	4.6908	0.0021
LINCSCP_32753	NA	5715	PSMD9	-1.5685	0.0026
LINCSCP_32753	NA	1978	EIF4EBP1	1.6561	0.0029
LINCSCP_32753	NA	5829	PXN	1.6543	0.0029
LINCSCP_32753	NA	3682	ITGAE	-1.118	0.0029
LINCSCP_32753	NA	8726	EED	-1.2501	0.0047
LINCSCP_32753	NA	1831	TSC22D3	1.2592	0.0048
LINCSCP_32753	NA	25874	MPC2	-1.847	0.0049
LINCSCP_32753	NA	5106	PCK2	1.555	0.0058
LINCSCP_32753	NA	26227	PHGDH	2.8957	0.0058
LINCSCP_32753	NA	3312	HSPA8	-5.063	0.0063
LINCSCP_32753	NA	84722	PSRC1	-1.524	0.0066
LINCSCP_32753	NA	481	ATP1B1	1.5782	0.0068
LINCSCP_32753	NA	10051	SMC4	-1.0826	0.0069
LINCSCP_32753	NA	57048	PLSCR3	2.2439	0.007
LINCSCP_32753	NA	10857	PGRMC1	-0.9999	0.007
LINCSCP_32753	NA	128	ADH5	-2.0286	0.0073
LINCSCP_32753	NA	1445	CSK	1.0668	0.0076
LINCSCP_32753	NA	3725	JUN	1.824	0.0078
LINCSCP_32753	NA	55825	PECR	-1.027	0.0078
LINCSCP_32753	NA	51742	ARID4B	-1.5701	0.008
LINCSCP_32753	NA	230	ALDOC	-1.0569	0.0087
LINCSCP_32753	NA	10610	ST6GALNAC2	0.9173	0.0087
LINCSCP_32753	NA	11065	UBE2C	-1.3199	0.0088
LINCSCP_32753	NA	10131	TRAP1	1.6407	0.0088
LINCSCP_32753	NA	4088	SMAD3	1.3767	0.0088
LINCSCP_32753	NA	1846	DUSP4	2.1398	0.0091
LINCSCP_32753	NA	51170	HSD17B11	-1.066	0.0091
LINCSCP_32753	NA	10797	MTHFD2	1.7478	0.0093
LINCSCP_32753	NA	23271	CAMSAP2	-1.1146	0.0094
LINCSCP_32753	NA	54733	SLC35F2	-1.1315	0.0096
LINCSCP_32753	NA	4783	NFIL3	3.3888	0.0106
LINCSCP_32753	NA	5770	PTPN1	-0.8947	0.0117
LINCSCP_32753	NA	5909	RAP1GAP	1.23	0.0117
LINCSCP_32753	NA	30849	PIK3R4	-1.4484	0.0117
LINCSCP_32753	NA	90861	HN1L	-0.9351	0.0118
LINCSCP_32753	NA	51635	DHRS7	-0.9076	0.0122
LINCSCP_32753	NA	23585	TMEM50A	-0.8312	0.0129
LINCSCP_32753	NA	26036	ZNF451	1.0427	0.013
LINCSCP_32753	NA	2887	GRB10	1.1666	0.013
LINCSCP_32753	NA	9709	HERPUD1	1.9613	0.0131
LINCSCP_32753	NA	1891	ECH1	0.911	0.0132
LINCSCP_32753	NA	9702	CEP57	2.6217	0.0138
LINCSCP_32753	NA	991	CDC20	-2.3165	0.0139
LINCSCP_32753	NA	6909	TBX2	-2.1146	0.0142
LINCSCP_32753	NA	1052	CEBPD	2.8882	0.0143
LINCSCP_32753	NA	3480	IGF1R	1.2424	0.0146
LINCSCP_32753	NA	56997	ADCK3	5.4206	0.015
LINCSCP_32753	NA	51015	ISOC1	-4.4035	0.0154
LINCSCP_32753	NA	9641	IKBKE	3.7883	0.0155
LINCSCP_32753	NA	332	BIRC5	-1.0427	0.0166
LINCSCP_32753	NA	26292	MYCBP	-1.7432	0.0169
LINCSCP_32753	NA	5747	PTK2	2.0902	0.0175
LINCSCP_32753	NA	8869	ST3GAL5	3.2092	0.0177
LINCSCP_32753	NA	8061	FOSL1	0.8891	0.0179
LINCSCP_32753	NA	10682	EBP	-1.192	0.0183
LINCSCP_32753	NA	8270	LAGE3	-3.646	0.0188
