signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_93441	NA	7874	USP7	8.6372	1e-4
LINCSCP_93441	NA	79143	MBOAT7	2.485	8e-4
LINCSCP_93441	NA	9267	CYTH1	2.1476	0.0032
LINCSCP_93441	NA	51382	ATP6V1D	1.578	0.0059
LINCSCP_93441	NA	7153	TOP2A	1.7248000000000001	0.0101
LINCSCP_93441	NA	23443	SLC35A3	1.474	0.0107
LINCSCP_93441	NA	6195	RPS6KA1	1.6886	0.0111
LINCSCP_93441	NA	6182	MRPL12	-1.7977	0.0111
LINCSCP_93441	NA	55818	KDM3A	1.3976	0.0112
LINCSCP_93441	NA	991	CDC20	-1.3693	0.0127
LINCSCP_93441	NA	8508	NIPSNAP1	1.2758	0.0127
LINCSCP_93441	NA	27244	SESN1	1.5365	0.0128
LINCSCP_93441	NA	85236	HIST1H2BK	-1.4993	0.0138
LINCSCP_93441	NA	983	CDK1	1.5493	0.0145
LINCSCP_93441	NA	10969	EBNA1BP2	-1.2672	0.0173
LINCSCP_93441	NA	4144	MAT2A	-1.3162	0.0176
LINCSCP_93441	NA	4609	MYC	-1.537	0.018
LINCSCP_93441	NA	23659	PLA2G15	1.1909	0.0184
LINCSCP_93441	NA	55038	CDCA4	-1.1643	0.0192
LINCSCP_93441	NA	1738	DLD	1.4377	0.0194
LINCSCP_93441	NA	9375	TM9SF2	1.1342	0.0197
LINCSCP_93441	NA	10652	YKT6	1.2364	0.0204
LINCSCP_93441	NA	1958	EGR1	1.811	0.0206
LINCSCP_93441	NA	5547	PRCP	1.1882	0.0212
LINCSCP_93441	NA	25976	TIPARP	2.1486	0.0214
LINCSCP_93441	NA	57804	POLD4	1.3144	0.0215
LINCSCP_93441	NA	6793	STK10	-1.2309	0.0215
LINCSCP_93441	NA	57147	SCYL3	1.4057	0.0224
LINCSCP_93441	NA	1111	CHEK1	-1.5335	0.0226
LINCSCP_93441	NA	11188	NISCH	1.7121	0.0228
LINCSCP_93441	NA	291	SLC25A4	1.1796	0.024
LINCSCP_93441	NA	1666	DECR1	1.1017	0.0251
LINCSCP_93441	NA	25987	TSKU	1.3123	0.0257
LINCSCP_93441	NA	7105	TSPAN6	1.176	0.0268
LINCSCP_93441	NA	664	BNIP3	1.0996	0.0275
LINCSCP_93441	NA	51097	SCCPDH	1.8464	0.0275
LINCSCP_93441	NA	1633	DCK	1.0391	0.0275
LINCSCP_93441	NA	51031	GLOD4	1.2169	0.0283
LINCSCP_93441	NA	80758	PRR7	-1.395	0.0292
LINCSCP_93441	NA	4088	SMAD3	2.6894	0.0301
LINCSCP_93441	NA	7690	ZNF131	2.2687	0.0301
LINCSCP_93441	NA	8050	PDHX	0.9878	0.0311
LINCSCP_93441	NA	6304	SATB1	-1.6961	0.0317
LINCSCP_93441	NA	2274	FHL2	1.4386	0.0323
LINCSCP_93441	NA	10112	KIF20A	0.9829	0.0325
LINCSCP_93441	NA	2908	NR3C1	1.1073	0.0327
LINCSCP_93441	NA	57215	THAP11	-1.1046	0.0329
LINCSCP_93441	NA	9928	KIF14	1.3153	0.033
LINCSCP_93441	NA	3628	INPP1	1.3202	0.033
LINCSCP_93441	NA	5438	POLR2I	-1.02	0.0335
LINCSCP_93441	NA	1981	EIF4G1	-1.3239	0.0338
LINCSCP_93441	NA	10206	TRIM13	-1.2852	0.0341
LINCSCP_93441	NA	3385	ICAM3	-1.0913	0.0343
LINCSCP_93441	NA	3303	HSPA1A	-1.1017	0.0346
LINCSCP_93441	NA	5889	RAD51C	-1.066	0.0346
LINCSCP_93441	NA	5883	RAD9A	-0.964	0.0368
LINCSCP_93441	NA	1026	CDKN1A	1.6752	0.0374
LINCSCP_93441	NA	2745	GLRX	1.0654	0.0374
LINCSCP_93441	NA	5468	PPARG	-0.9618	0.0374
LINCSCP_93441	NA	23499	MACF1	1.1906	0.0378
LINCSCP_93441	NA	80347	COASY	-1.1588	0.0386
LINCSCP_93441	NA	8731	RNMT	0.9677	0.0403
LINCSCP_93441	NA	11151	CORO1A	0.9943	0.0412
LINCSCP_93441	NA	6709	SPTAN1	1.0389	0.0419
LINCSCP_93441	NA	9710	KIAA0355	1.443	0.0424
LINCSCP_93441	NA	5236	PGM1	0.9774	0.0426
LINCSCP_93441	NA	8804	CREG1	1.207	0.0431
LINCSCP_93441	NA	10320	IKZF1	5.4773	0.0434
LINCSCP_93441	NA	5831	PYCR1	-1.1725	0.0436
LINCSCP_93441	NA	8878	SQSTM1	-1.1537	0.0447
LINCSCP_93441	NA	23	ABCF1	-1.3005	0.0451
LINCSCP_93441	NA	83743	GRWD1	1.3813	0.0454
LINCSCP_93441	NA	91137	SLC25A46	1.3486	0.0455
LINCSCP_93441	NA	843	CASP10	6.1493	0.0459
LINCSCP_93441	NA	10276	NET1	1.4049	0.0463
LINCSCP_93441	NA	9183	ZW10	-2.0051	0.0499
LINCSCP_93441	NA	1845	DUSP3	1.2212	0.0502
LINCSCP_93441	NA	2131	EXT1	-0.9556	0.0514
LINCSCP_93441	NA	7082	TJP1	-0.8653	0.0531
LINCSCP_93441	NA	8974	P4HA2	1.4152	0.0531
LINCSCP_93441	NA	1906	EDN1	-0.8494	0.0531
LINCSCP_93441	NA	7159	TP53BP2	-0.9759	0.0541
LINCSCP_93441	NA	868	CBLB	-0.9789	0.0546
LINCSCP_93441	NA	5716	PSMD10	2.1867	0.0553
LINCSCP_93441	NA	56997	ADCK3	-0.9787	0.0556
LINCSCP_93441	NA	8550	MAPKAPK5	-0.8714	0.0559
LINCSCP_93441	NA	55748	CNDP2	-0.9712	0.0565
LINCSCP_93441	NA	6464	SHC1	-1.0077	0.0566
LINCSCP_93441	NA	727	C5	-1.0961	0.0568
LINCSCP_93441	NA	6909	TBX2	1.3604	0.0573
LINCSCP_93441	NA	54512	EXOSC4	-1.0925	0.0574
LINCSCP_93441	NA	3682	ITGAE	-3.7978	0.0574
LINCSCP_93441	NA	2553	GABPB1	-1.0013	0.0575
LINCSCP_93441	NA	23300	ATMIN	0.9259	0.0578
LINCSCP_93441	NA	23212	RRS1	-1.0402	0.0579
LINCSCP_93441	NA	5827	PXMP2	1.0862	0.0595
LINCSCP_93441	NA	836	CASP3	-1.0679	0.0599
LINCSCP_93441	NA	11065	UBE2C	0.9529	0.0607
LINCSCP_93441	NA	9695	EDEM1	1.0434	0.0612
LINCSCP_93441	NA	11200	CHEK2	-1.0507	0.0613
LINCSCP_93441	NA	7319	UBE2A	1.5932	0.0625
LINCSCP_93441	NA	5287	PIK3C2B	-0.8318	0.0628
LINCSCP_93441	NA	9917	FAM20B	-0.9517	0.0631
LINCSCP_93441	NA	2263	FGFR2	-0.9648	0.0631
LINCSCP_93441	NA	5108	PCM1	0.9152	0.0634
LINCSCP_93441	NA	57406	ABHD6	-0.9391	0.064
LINCSCP_93441	NA	11004	KIF2C	0.958	0.0648
LINCSCP_93441	NA	6832	SUPV3L1	-0.7849	0.0656
LINCSCP_93441	NA	51021	MRPS16	-1.0243	0.0661
LINCSCP_93441	NA	25966	C2CD2	1.155	0.0662
LINCSCP_93441	NA	8318	CDC45	-5.0847	0.067
LINCSCP_93441	NA	54957	TXNL4B	-0.871	0.0673
LINCSCP_93441	NA	79080	CCDC86	-1.2011	0.0685
LINCSCP_93441	NA	29937	NENF	-0.7576	0.069
LINCSCP_93441	NA	10681	GNB5	0.8034	0.0694
LINCSCP_93441	NA	10153	CEBPZ	0.9205	0.0694
LINCSCP_93441	NA	8321	FZD1	1.6171	0.07
LINCSCP_93441	NA	81544	GDPD5	-0.8981	0.071
LINCSCP_93441	NA	10450	PPIE	0.8303	0.0717
LINCSCP_93441	NA	7466	WFS1	-1.0817	0.0719
LINCSCP_93441	NA	4791	NFKB2	5.0266	0.072
LINCSCP_93441	NA	30836	DNTTIP2	-1.2596	0.0725
LINCSCP_93441	NA	5993	RFX5	0.8552	0.0735
LINCSCP_93441	NA	9275	BCL7B	1.4511	0.0738
LINCSCP_93441	NA	5357	PLS1	0.859	0.0741
LINCSCP_93441	NA	10245	TIMM17B	-0.8867	0.0748
LINCSCP_93441	NA	891	CCNB1	0.7373	0.075
LINCSCP_93441	NA	3312	HSPA8	-2.8261	0.077
LINCSCP_93441	NA	1605	DAG1	0.8956	0.0771
LINCSCP_93441	NA	23325	KIAA1033	0.7677	0.078
LINCSCP_93441	NA	4605	MYBL2	-0.8464	0.0789
LINCSCP_93441	NA	3486	IGFBP3	-0.7831	0.0792
LINCSCP_93441	NA	9270	ITGB1BP1	-0.7625	0.0834
LINCSCP_93441	NA	11344	TWF2	-0.7324	0.0834
LINCSCP_93441	NA	11137	PWP1	-4.3483	0.0852
LINCSCP_93441	NA	9650	MTFR1	0.8979	0.0857
LINCSCP_93441	NA	9924	PAN2	2.8518	0.086
LINCSCP_93441	NA	8821	INPP4B	-0.93	0.0873
LINCSCP_93441	NA	55008	HERC6	0.8196	0.0876
LINCSCP_93441	NA	6603	SMARCD2	-0.7114	0.0877
LINCSCP_93441	NA	949	SCARB1	-0.8069	0.0894
LINCSCP_93441	NA	4860	PNP	-0.7376	0.0896
LINCSCP_93441	NA	10150	MBNL2	-4.8127	0.0906
LINCSCP_93441	NA	207	AKT1	-0.9005	0.0919
LINCSCP_93441	NA	64746	ACBD3	-0.9473	0.0929
LINCSCP_93441	NA	6275	S100A4	1.3076	0.0932
LINCSCP_93441	NA	9813	EFCAB14	0.7521	0.0936
LINCSCP_93441	NA	51170	HSD17B11	0.8655	0.0936
LINCSCP_93441	NA	5925	RB1	1.1772	0.0938
LINCSCP_93441	NA	4864	NPC1	4.7838	0.094
LINCSCP_93441	NA	2109	ETFB	-0.7988	0.094
LINCSCP_93441	NA	2195	FAT1	-0.9469	0.0946
LINCSCP_93441	NA	9868	TOMM70A	1.1979	0.0949
LINCSCP_93441	NA	54499	TMCO1	0.7523	0.0949
LINCSCP_93441	NA	2954	GSTZ1	1.1074	0.0965
LINCSCP_93441	NA	50814	NSDHL	-0.9057	0.0965
LINCSCP_93441	NA	93487	MAPK1IP1L	1.1876	0.0974
LINCSCP_93441	NA	5829	PXN	-0.7269	0.0976
LINCSCP_93441	NA	10818	FRS2	0.7019	0.0983
LINCSCP_93441	NA	890	CCNA2	0.7952	0.0984
LINCSCP_93441	NA	11073	TOPBP1	-0.6915	0.0992
LINCSCP_93441	NA	10813	UTP14A	-0.8529	0.0994
LINCSCP_93441	NA	8574	AKR7A2	1.1251	0.0995
LINCSCP_93441	NA	7994	KAT6A	-0.6936	0.0998
LINCSCP_93441	NA	1950	EGF	-1.3738	0.1001
LINCSCP_93441	NA	8520	HAT1	1.1681	0.1001
LINCSCP_93441	NA	25839	COG4	-0.9776	0.1009
LINCSCP_93441	NA	9455	HOMER2	0.776	0.1012
LINCSCP_93441	NA	1643	DDB2	1.2818	0.1021
LINCSCP_93441	NA	23635	SSBP2	-0.9844	0.1024
LINCSCP_93441	NA	4690	NCK1	0.8697	0.103
LINCSCP_93441	NA	665	BNIP3L	0.9435	0.1033
LINCSCP_93441	NA	840	CASP7	3.8931	0.1034
LINCSCP_93441	NA	9797	TATDN2	0.7615	0.1042
LINCSCP_93441	NA	2184	FAH	-0.6522	0.1059
LINCSCP_93441	NA	5641	LGMN	0.6946	0.106
LINCSCP_93441	NA	55847	CISD1	-0.9493	0.1066
LINCSCP_93441	NA	54881	TEX10	4.6435	0.10780000000000001
LINCSCP_93441	NA	2264	FGFR4	-0.9937	0.1082
LINCSCP_93441	NA	2048	EPHB2	4.6137	0.1114
LINCSCP_93441	NA	993	CDC25A	-0.9154	0.112
LINCSCP_93441	NA	4616	GADD45B	-0.7028	0.1123
LINCSCP_93441	NA	1677	DFFB	4.5797	0.1135
LINCSCP_93441	NA	3251	HPRT1	1.1763	0.114
LINCSCP_93441	NA	55148	UBR7	0.7942	0.1141
LINCSCP_93441	NA	2309	FOXO3	-0.6865	0.115
LINCSCP_93441	NA	6988	TCTA	0.6916	0.1159
LINCSCP_93441	NA	23386	NUDCD3	-0.7689	0.1168
LINCSCP_93441	NA	9261	MAPKAPK2	-0.8213	0.1185
LINCSCP_93441	NA	9903	KLHL21	-0.7272	0.1186
LINCSCP_93441	NA	6616	SNAP25	4.5271	0.1191
LINCSCP_93441	NA	79094	CHAC1	-0.8957	0.1193
LINCSCP_93441	NA	81533	ITFG1	-0.6862	0.1201
LINCSCP_93441	NA	23224	SYNE2	-0.7866	0.1207
LINCSCP_93441	NA	6253	RTN2	-1.0401	0.1209
LINCSCP_93441	NA	2597	GAPDH	-0.6292	0.1211
LINCSCP_93441	NA	79006	METRN	-0.7156	0.1221
LINCSCP_93441	NA	596	BCL2	-0.8941	0.1237
LINCSCP_93441	NA	1398	CRK	-1.0184	0.1241
LINCSCP_93441	NA	3028	HSD17B10	0.6579	0.1243
LINCSCP_93441	NA	23223	RRP12	-0.7336	0.1248
LINCSCP_93441	NA	10972	TMED10	0.6407	0.1259
LINCSCP_93441	NA	55793	FAM63A	0.6988	0.1261
LINCSCP_93441	NA	57761	TRIB3	-1.02	0.127
LINCSCP_93441	NA	8895	CPNE3	0.7907	0.1279
LINCSCP_93441	NA	6790	AURKA	-0.6622	0.128
LINCSCP_93441	NA	5110	PCMT1	0.6142	0.1291
LINCSCP_93441	NA	23670	TMEM2	0.8204	0.1291
LINCSCP_93441	NA	896	CCND3	0.9104	0.1294
LINCSCP_93441	NA	581	BAX	0.6781	0.1302
LINCSCP_93441	NA	10892	MALT1	-0.6011	0.1303
LINCSCP_93441	NA	1647	GADD45A	-0.7886	0.1305
LINCSCP_93441	NA	7264	TSTA3	0.5978	0.1309
LINCSCP_93441	NA	23338	JADE2	1.3644	0.1313
LINCSCP_93441	NA	3815	KIT	-0.888	0.1314
LINCSCP_93441	NA	7852	CXCR4	-0.6638	0.1318
LINCSCP_93441	NA	23139	MAST2	-0.6819	0.132
LINCSCP_93441	NA	3693	ITGB5	0.7597	0.1321
LINCSCP_93441	NA	5867	RAB4A	0.998	0.1321
LINCSCP_93441	NA	5480	PPIC	1.0152	0.1327
LINCSCP_93441	NA	4792	NFKBIA	-0.6219	0.1334
LINCSCP_93441	NA	3156	HMGCR	0.8336	0.1335
LINCSCP_93441	NA	9817	KEAP1	-0.6546	0.1346
LINCSCP_93441	NA	8624	PSMG1	0.6322	0.1346
LINCSCP_93441	NA	4303	FOXO4	1.1982	0.135
LINCSCP_93441	NA	2770	GNAI1	4.3881	0.1354
LINCSCP_93441	NA	58478	ENOPH1	-4.3924	0.1355
LINCSCP_93441	NA	10273	STUB1	-4.3929	0.1357
LINCSCP_93441	NA	6657	SOX2	-0.5954	0.1371
LINCSCP_93441	NA	64429	ZDHHC6	0.6926	0.1399
LINCSCP_93441	NA	2185	PTK2B	-0.6726	0.1401
LINCSCP_93441	NA	637	BID	-0.596	0.1409
LINCSCP_93441	NA	54386	TERF2IP	0.8935	0.1409
LINCSCP_93441	NA	23463	ICMT	1.9458	0.1409
LINCSCP_93441	NA	5058	PAK1	3.8544	0.1413
LINCSCP_93441	NA	9276	COPB2	0.7881	0.1416
LINCSCP_93441	NA	29083	GTPBP8	-4.3334	0.1423
LINCSCP_93441	NA	4043	LRPAP1	-0.7308	0.1423
LINCSCP_93441	NA	51203	NUSAP1	-4.3327	0.1423
LINCSCP_93441	NA	4776	NFATC4	4.3323	0.1427
LINCSCP_93441	NA	3978	LIG1	-0.9956	0.1433
LINCSCP_93441	NA	55111	PLEKHJ1	-0.6468	0.1435
LINCSCP_93441	NA	80212	CCDC92	0.7031	0.1448
LINCSCP_93441	NA	7015	TERT	-0.5881	0.1459
LINCSCP_93441	NA	11142	PKIG	0.5749	0.1465
LINCSCP_93441	NA	10007	GNPDA1	0.5895	0.1468
LINCSCP_93441	NA	26128	KIF1BP	-0.6994	0.1472
LINCSCP_93441	NA	54681	P4HTM	0.6608	0.1477
LINCSCP_93441	NA	55179	FAIM	-0.6162	0.1483
LINCSCP_93441	NA	813	CALU	0.694	0.1484
LINCSCP_93441	NA	142	PARP1	-0.6152	0.1505
LINCSCP_93441	NA	11014	KDELR2	0.8661	0.1507
LINCSCP_93441	NA	8204	NRIP1	0.5892	0.1513
LINCSCP_93441	NA	3280	HES1	0.5907	0.1537
LINCSCP_93441	NA	51015	ISOC1	-0.8289	0.1543
LINCSCP_93441	NA	4836	NMT1	-1.305	0.1544
LINCSCP_93441	NA	7905	REEP5	-1.7915	0.1549
LINCSCP_93441	NA	6908	TBP	-0.6759	0.1559
LINCSCP_93441	NA	10606	PAICS	-0.6466	0.1563
LINCSCP_93441	NA	7077	TIMP2	0.5932	0.1566
LINCSCP_93441	NA	902	CCNH	-0.8067	0.1576
LINCSCP_93441	NA	3988	LIPA	0.7056	0.1579
LINCSCP_93441	NA	10962	MLLT11	0.6163	0.1579
LINCSCP_93441	NA	23636	NUP62	-0.7756	0.1588
LINCSCP_93441	NA	23271	CAMSAP2	-0.9503	0.1595
LINCSCP_93441	NA	5018	OXA1L	-0.6674	0.1596
LINCSCP_93441	NA	10318	TNIP1	-0.8189	0.1614
LINCSCP_93441	NA	10491	CRTAP	0.7135	0.1616
LINCSCP_93441	NA	6347	CCL2	0.7585	0.1618
LINCSCP_93441	NA	2852	GPER1	-0.6742	0.1631
LINCSCP_93441	NA	56940	DUSP22	0.5352	0.1634
LINCSCP_93441	NA	22827	PUF60	-0.9222	0.1635
LINCSCP_93441	NA	28969	BZW2	-0.5723	0.1636
