signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_131878	NA	1846	DUSP4	-3.209	1e-4
LINCSCP_131878	NA	5580	PRKCD	2.5924	1e-4
LINCSCP_131878	NA	2852	GPER1	2.5656	3e-4
LINCSCP_131878	NA	3693	ITGB5	-3.0268	4e-4
LINCSCP_131878	NA	9650	MTFR1	-2.9267	0.0011
LINCSCP_131878	NA	351	APP	-1.6605	0.0017
LINCSCP_131878	NA	51097	SCCPDH	-1.9987	0.0017
LINCSCP_131878	NA	5525	PPP2R5A	2.3895	0.0018
LINCSCP_131878	NA	9915	ARNT2	-2.111	0.0019
LINCSCP_131878	NA	10857	PGRMC1	1.5782	0.0023
LINCSCP_131878	NA	387	RHOA	1.6397	0.0027
LINCSCP_131878	NA	25839	COG4	2.048	0.0028
LINCSCP_131878	NA	8503	PIK3R3	1.848	0.0029
LINCSCP_131878	NA	2017	CTTN	1.4622	0.0033
LINCSCP_131878	NA	230	ALDOC	1.7522	0.0034
LINCSCP_131878	NA	637	BID	-1.8166	0.0035
LINCSCP_131878	NA	831	CAST	-1.6327	0.0036
LINCSCP_131878	NA	7015	TERT	-1.4795	0.0039
LINCSCP_131878	NA	3597	IL13RA1	-1.5218	0.0042
LINCSCP_131878	NA	51005	AMDHD2	1.4954	0.0048
LINCSCP_131878	NA	66008	TRAK2	1.7708	0.0049
LINCSCP_131878	NA	23097	CDK19	1.9472	0.005
LINCSCP_131878	NA	8727	CTNNAL1	-1.7674	0.0052
LINCSCP_131878	NA	55793	FAM63A	1.6407	0.0052
LINCSCP_131878	NA	10513	APPBP2	1.3672	0.0052
LINCSCP_131878	NA	200734	SPRED2	-3.136	0.0053
LINCSCP_131878	NA	6696	SPP1	6.1632	0.0053
LINCSCP_131878	NA	5829	PXN	1.862	0.0054
LINCSCP_131878	NA	10013	HDAC6	1.3521	0.0054
LINCSCP_131878	NA	9533	POLR1C	-1.667	0.0055
LINCSCP_131878	NA	51466	EVL	1.617	0.0056
LINCSCP_131878	NA	25805	BAMBI	1.5928	0.0057
LINCSCP_131878	NA	5092	PCBD1	1.4484	0.0059
LINCSCP_131878	NA	3308	HSPA4	-1.4566	0.006
LINCSCP_131878	NA	9276	COPB2	1.7915	0.0065
LINCSCP_131878	NA	8050	PDHX	1.6792	0.0065
LINCSCP_131878	NA	9702	CEP57	-1.3969	0.0066
LINCSCP_131878	NA	7074	TIAM1	-1.4506	0.0069
LINCSCP_131878	NA	27346	TMEM97	-1.5844	0.0069
LINCSCP_131878	NA	595	CCND1	-1.5451	0.0073
LINCSCP_131878	NA	9221	NOLC1	-1.2673	0.0077
LINCSCP_131878	NA	4998	ORC1	-1.3383	0.0078
LINCSCP_131878	NA	1445	CSK	1.9504	0.0081
LINCSCP_131878	NA	949	SCARB1	1.7188	0.0083
LINCSCP_131878	NA	4783	NFIL3	1.2307	0.0084
LINCSCP_131878	NA	8446	DUSP11	-1.5752	0.0085
LINCSCP_131878	NA	291	SLC25A4	2.189	0.0087
LINCSCP_131878	NA	958	CD40	-1.5682	0.0089
LINCSCP_131878	NA	5777	PTPN6	2.2703	0.009
LINCSCP_131878	NA	6117	RPA1	1.9067	0.0091
LINCSCP_131878	NA	10285	SMNDC1	-2.0865	0.0094
LINCSCP_131878	NA	23530	NNT	1.2927	0.0094
LINCSCP_131878	NA	9531	BAG3	1.3123	0.0096
LINCSCP_131878	NA	6184	RPN1	-2.2293	0.0098
LINCSCP_131878	NA	1958	EGR1	-1.6542	0.0098
LINCSCP_131878	NA	207	AKT1	1.9942	0.01
LINCSCP_131878	NA	1050	CEBPA	1.2328	0.0101
LINCSCP_131878	NA	51031	GLOD4	-1.671	0.0101
LINCSCP_131878	NA	644	BLVRA	2.5256	0.0101
LINCSCP_131878	NA	9918	NCAPD2	-1.1941	0.0104
LINCSCP_131878	NA	23670	TMEM2	-1.2373	0.0104
LINCSCP_131878	NA	2625	GATA3	1.6403	0.0105
LINCSCP_131878	NA	4313	MMP2	-1.4693	0.0109
LINCSCP_131878	NA	9552	SPAG7	1.1683	0.0109
LINCSCP_131878	NA	22827	PUF60	1.558	0.011
LINCSCP_131878	NA	4144	MAT2A	-3.0215	0.0111
LINCSCP_131878	NA	902	CCNH	-1.9824	0.0114
LINCSCP_131878	NA	5925	RB1	-1.2925	0.012
LINCSCP_131878	NA	10681	GNB5	1.5043	0.0125
LINCSCP_131878	NA	9686	VGLL4	1.3798	0.0125
LINCSCP_131878	NA	79174	CRELD2	-1.1156	0.0128
LINCSCP_131878	NA	51635	DHRS7	1.3316	0.0135
LINCSCP_131878	NA	2542	SLC37A4	-1.9046	0.0136
LINCSCP_131878	NA	323	APBB2	-1.6761	0.0136
LINCSCP_131878	NA	57019	CIAPIN1	-1.6529	0.0144
LINCSCP_131878	NA	23536	ADAT1	-1.2072	0.0153
LINCSCP_131878	NA	6790	AURKA	-1.095	0.0153
LINCSCP_131878	NA	2131	EXT1	-1.5797	0.0156
LINCSCP_131878	NA	10972	TMED10	1.4867	0.0157
LINCSCP_131878	NA	5480	PPIC	1.2162	0.0158
LINCSCP_131878	NA	23659	PLA2G15	1.1453	0.0162
LINCSCP_131878	NA	5827	PXMP2	-1.8388	0.0164
LINCSCP_131878	NA	780	DDR1	1.4875	0.0166
LINCSCP_131878	NA	10276	NET1	-2.4169	0.0168
LINCSCP_131878	NA	9690	UBE3C	1.9572	0.017
LINCSCP_131878	NA	664	BNIP3	1.2986	0.017
LINCSCP_131878	NA	10123	ARL4C	-1.2322	0.0171
LINCSCP_131878	NA	3337	DNAJB1	-1.5666	0.0172
LINCSCP_131878	NA	1500	CTNND1	-1.6564	0.018
LINCSCP_131878	NA	6839	SUV39H1	1.2993	0.0182
LINCSCP_131878	NA	4125	MAN2B1	1.1087	0.0192
LINCSCP_131878	NA	91949	COG7	1.1363	0.0196
LINCSCP_131878	NA	25966	C2CD2	-1.1492	0.0196
LINCSCP_131878	NA	5096	PCCB	1.1014	0.0197
