signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_88027	NA	10610	ST6GALNAC2	-1.5051	0.0024
LINCSCP_88027	NA	54541	DDIT4	1.0922	0.0028
LINCSCP_88027	NA	665	BNIP3L	1.3446	0.0034
LINCSCP_88027	NA	4793	NFKBIB	-1.1853	0.0038
LINCSCP_88027	NA	9289	ADGRG1	1.1244	0.0039
LINCSCP_88027	NA	57406	ABHD6	-1.0321	0.0041
LINCSCP_88027	NA	10007	GNPDA1	-1.1629	0.0043
LINCSCP_88027	NA	5236	PGM1	1.0015	0.0044
LINCSCP_88027	NA	1123	CHN1	1.1118	0.0044
LINCSCP_88027	NA	7159	TP53BP2	-0.9646	0.0062
LINCSCP_88027	NA	5777	PTPN6	-1.0067	0.0072
LINCSCP_88027	NA	5641	LGMN	0.8446	0.0074
LINCSCP_88027	NA	8974	P4HA2	0.8265	0.0079
LINCSCP_88027	NA	83743	GRWD1	0.995	0.0085
LINCSCP_88027	NA	2920	CXCL2	-0.7898	0.0088
LINCSCP_88027	NA	10190	TXNDC9	0.8404	0.0089
LINCSCP_88027	NA	8050	PDHX	-0.8518	0.01
LINCSCP_88027	NA	55127	HEATR1	-0.842	0.0103
LINCSCP_88027	NA	142	PARP1	-0.7936	0.0105
LINCSCP_88027	NA	6990	DYNLT3	0.7911	0.0106
LINCSCP_88027	NA	10797	MTHFD2	0.8147	0.0109
LINCSCP_88027	NA	9637	FEZ2	-0.9231	0.0113
LINCSCP_88027	NA	4208	MEF2C	-0.8459	0.0113
LINCSCP_88027	NA	835	CASP2	-1.0505	0.0115
LINCSCP_88027	NA	1635	DCTD	-0.7213	0.0121
LINCSCP_88027	NA	1465	CSRP1	0.7259	0.0126
LINCSCP_88027	NA	664	BNIP3	0.7252	0.0135
LINCSCP_88027	NA	2042	EPHA3	0.7128	0.0135
LINCSCP_88027	NA	1978	EIF4EBP1	0.9325	0.0141
LINCSCP_88027	NA	63874	ABHD4	-0.8321	0.0144
LINCSCP_88027	NA	5715	PSMD9	-1.0782	0.0144
LINCSCP_88027	NA	4312	MMP1	-0.6962	0.0147
LINCSCP_88027	NA	5223	PGAM1	0.7804	0.0149
LINCSCP_88027	NA	80746	TSEN2	-1.2293	0.0151
LINCSCP_88027	NA	5092	PCBD1	-0.9708	0.0151
LINCSCP_88027	NA	26227	PHGDH	0.7169	0.0152
LINCSCP_88027	NA	5927	KDM5A	-1.2345	0.0156
LINCSCP_88027	NA	23131	GPATCH8	-1.1556	0.0163
LINCSCP_88027	NA	54386	TERF2IP	-0.7812	0.0165
LINCSCP_88027	NA	10046	MAMLD1	-0.7277	0.017
LINCSCP_88027	NA	55746	NUP133	-0.7813	0.0171
LINCSCP_88027	NA	4783	NFIL3	0.6806	0.0173
LINCSCP_88027	NA	6194	RPS6	-0.6507	0.0174
LINCSCP_88027	NA	2582	GALE	-0.9341	0.0175
LINCSCP_88027	NA	10285	SMNDC1	0.6748	0.0178
LINCSCP_88027	NA	8520	HAT1	0.6493	0.018
LINCSCP_88027	NA	9988	DMTF1	0.6882	0.018
LINCSCP_88027	NA	2625	GATA3	-0.7312	0.0191
LINCSCP_88027	NA	2309	FOXO3	-0.7364	0.0194
LINCSCP_88027	NA	256364	EML3	-0.665	0.0195
LINCSCP_88027	NA	6284	S100A13	0.8096	0.0196
LINCSCP_88027	NA	9375	TM9SF2	0.6558	0.0199
LINCSCP_88027	NA	8607	RUVBL1	-0.6744	0.0206
LINCSCP_88027	NA	2058	EPRS	0.7063	0.0209
LINCSCP_88027	NA	2542	SLC37A4	-0.751	0.021
LINCSCP_88027	NA	10146	G3BP1	0.7425	0.021
LINCSCP_88027	NA	8204	NRIP1	-2.4387	0.0217
LINCSCP_88027	NA	4794	NFKBIE	-0.965	0.0218
LINCSCP_88027	NA	22841	RAB11FIP2	-0.815	0.0218
LINCSCP_88027	NA	2887	GRB10	0.639	0.0223
LINCSCP_88027	NA	10921	RNPS1	-0.6891	0.0233
LINCSCP_88027	NA	5261	PHKG2	0.6017	0.0234
LINCSCP_88027	NA	1277	COL1A1	0.6075	0.0238
LINCSCP_88027	NA	147179	WIPF2	-0.692	0.0241
LINCSCP_88027	NA	7994	KAT6A	-0.5924	0.0244
LINCSCP_88027	NA	25803	SPDEF	-0.6375	0.0245
LINCSCP_88027	NA	51024	FIS1	0.6394	0.0245
LINCSCP_88027	NA	10962	MLLT11	1.0588	0.0264
LINCSCP_88027	NA	3815	KIT	-1.0497	0.0271
LINCSCP_88027	NA	8553	BHLHE40	0.6084	0.0274
LINCSCP_88027	NA	5331	PLCB3	4.2316	0.0274
LINCSCP_88027	NA	965	CD58	0.7551	0.0274
LINCSCP_88027	NA	1981	EIF4G1	-0.8108	0.0281
LINCSCP_88027	NA	60528	ELAC2	0.5994	0.0287
LINCSCP_88027	NA	3638	INSIG1	0.8047	0.0289
LINCSCP_88027	NA	4851	NOTCH1	-0.702	0.029
LINCSCP_88027	NA	8061	FOSL1	-1.0219	0.0292
LINCSCP_88027	NA	8091	HMGA2	-1.0539	0.0293
LINCSCP_88027	NA	9134	CCNE2	0.7393	0.0294
LINCSCP_88027	NA	51026	GOLT1B	0.8401	0.0295
LINCSCP_88027	NA	8804	CREG1	-0.6929	0.0298
LINCSCP_88027	NA	6676	SPAG4	1.6521	0.0303
LINCSCP_88027	NA	29103	DNAJC15	0.7215	0.0311
LINCSCP_88027	NA	24149	ZNF318	-0.7327	0.0311
LINCSCP_88027	NA	823	CAPN1	0.6267	0.0326
LINCSCP_88027	NA	3454	IFNAR1	-0.6042	0.0328
LINCSCP_88027	NA	23522	KAT6B	-0.6606	0.0329
LINCSCP_88027	NA	11007	CCDC85B	-0.6327	0.033
LINCSCP_88027	NA	51635	DHRS7	-0.8704	0.0331
LINCSCP_88027	NA	10954	PDIA5	0.5466	0.0334
LINCSCP_88027	NA	54205	CYCS	0.6198	0.0339
LINCSCP_88027	NA	2624	GATA2	-0.6049	0.0346
LINCSCP_88027	NA	5898	RALA	0.5938	0.0346
LINCSCP_88027	NA	6251	RSU1	0.5377	0.0347
LINCSCP_88027	NA	51021	MRPS16	0.6088	0.035
LINCSCP_88027	NA	3280	HES1	0.6225	0.035
LINCSCP_88027	NA	81544	GDPD5	-0.6998	0.0356
LINCSCP_88027	NA	6509	SLC1A4	0.8295	0.0359
LINCSCP_88027	NA	93487	MAPK1IP1L	0.5194	0.036
LINCSCP_88027	NA	9267	CYTH1	0.621	0.0363
LINCSCP_88027	NA	22794	CASC3	-0.514	0.0369
LINCSCP_88027	NA	7043	TGFB3	-0.6029	0.0383
LINCSCP_88027	NA	3988	LIPA	0.7942	0.0384
LINCSCP_88027	NA	4313	MMP2	0.5181	0.0389
LINCSCP_88027	NA	6850	SYK	-0.6918	0.0392
LINCSCP_88027	NA	3157	HMGCS1	0.6347	0.0393
LINCSCP_88027	NA	2185	PTK2B	-0.6516	0.0395
LINCSCP_88027	NA	9519	TBPL1	0.9068	0.0404
LINCSCP_88027	NA	5899	RALB	0.568	0.0408
LINCSCP_88027	NA	2553	GABPB1	-0.7337	0.0416
LINCSCP_88027	NA	3597	IL13RA1	-0.5811	0.0421
LINCSCP_88027	NA	84617	TUBB6	0.5183	0.0422
LINCSCP_88027	NA	5613	PRKX	-0.5664	0.0422
LINCSCP_88027	NA	51282	SCAND1	-0.572	0.0431
LINCSCP_88027	NA	4836	NMT1	-1.0896	0.0435
LINCSCP_88027	NA	65123	INTS3	0.4921	0.0436
LINCSCP_88027	NA	2946	GSTM2	0.5288	0.0443
LINCSCP_88027	NA	57215	THAP11	-2.9956	0.0447
LINCSCP_88027	NA	466	ATF1	0.7124	0.0447
LINCSCP_88027	NA	22883	CLSTN1	0.5285	0.0448
LINCSCP_88027	NA	23530	NNT	-0.8049	0.0449
LINCSCP_88027	NA	55825	PECR	-0.7977	0.0453
LINCSCP_88027	NA	7416	VDAC1	3.0874	0.0457
LINCSCP_88027	NA	10682	EBP	0.5067	0.0469
LINCSCP_88027	NA	5607	MAP2K5	-0.7288	0.0472
LINCSCP_88027	NA	27336	HTATSF1	-0.5878	0.0475
LINCSCP_88027	NA	2767	GNA11	-0.7267	0.0475
LINCSCP_88027	NA	8900	CCNA1	-0.5514	0.048
LINCSCP_88027	NA	10845	CLPX	-0.8571	0.0482
LINCSCP_88027	NA	1956	EGFR	-0.7731	0.0484
LINCSCP_88027	NA	5106	PCK2	0.6837	0.049
LINCSCP_88027	NA	874	CBR3	0.4731	0.0491
LINCSCP_88027	NA	1846	DUSP4	-0.5381	0.0502
LINCSCP_88027	NA	3156	HMGCR	0.7294	0.0503
LINCSCP_88027	NA	10670	RRAGA	0.7302	0.052
LINCSCP_88027	NA	1831	TSC22D3	1.0229	0.052
LINCSCP_88027	NA	51466	EVL	0.4623	0.0525
LINCSCP_88027	NA	10245	TIMM17B	-0.5689	0.0528
LINCSCP_88027	NA	481	ATP1B1	0.6481	0.0531
LINCSCP_88027	NA	58472	SQRDL	-0.462	0.0538
LINCSCP_88027	NA	9261	MAPKAPK2	1.043	0.054
LINCSCP_88027	NA	2115	ETV1	-0.6429	0.0541
LINCSCP_88027	NA	10606	PAICS	0.4612	0.0551
LINCSCP_88027	NA	11014	KDELR2	0.4877	0.0557
LINCSCP_88027	NA	1666	DECR1	0.6594	0.0581
LINCSCP_88027	NA	4067	LYN	-1.0916	0.0582
LINCSCP_88027	NA	4846	NOS3	-0.4542	0.0583
LINCSCP_88027	NA	55699	IARS2	0.6063	0.059
LINCSCP_88027	NA	9183	ZW10	-0.9295	0.0593
LINCSCP_88027	NA	2770	GNAI1	-0.5623	0.06
LINCSCP_88027	NA	79090	TRAPPC6A	-0.5805	0.0602
LINCSCP_88027	NA	1677	DFFB	-0.6929	0.0602
LINCSCP_88027	NA	11200	CHEK2	0.4868	0.0604
LINCSCP_88027	NA	6812	STXBP1	-0.5222	0.062
LINCSCP_88027	NA	51422	PRKAG2	-0.6511	0.0624
LINCSCP_88027	NA	230	ALDOC	0.6853	0.0631
LINCSCP_88027	NA	55818	KDM3A	0.6181	0.0633
LINCSCP_88027	NA	4605	MYBL2	0.5594	0.0644
LINCSCP_88027	NA	2356	FPGS	-1.8153	0.0646
LINCSCP_88027	NA	148022	TICAM1	-0.5156	0.0657
LINCSCP_88027	NA	5580	PRKCD	-0.527	0.0659
LINCSCP_88027	NA	11142	PKIG	-0.4833	0.0662
LINCSCP_88027	NA	1643	DDB2	0.4779	0.0664
LINCSCP_88027	NA	23365	ARHGEF12	-0.4498	0.0665
LINCSCP_88027	NA	16	AARS	0.4422	0.0675
LINCSCP_88027	NA	6813	STXBP2	-0.657	0.0681
LINCSCP_88027	NA	26993	AKAP8L	-0.7468	0.0683
LINCSCP_88027	NA	3480	IGF1R	0.4461	0.0688
LINCSCP_88027	NA	56889	TM9SF3	0.4592	0.0688
LINCSCP_88027	NA	9903	KLHL21	0.633	0.069
LINCSCP_88027	NA	4582	MUC1	1.7899	0.069
LINCSCP_88027	NA	2896	GRN	-0.5082	0.0697
LINCSCP_88027	NA	2690	GHR	-0.7039	0.0697
LINCSCP_88027	NA	11011	TLK2	-0.555	0.0702
LINCSCP_88027	NA	1950	EGF	1.2449	0.0704
LINCSCP_88027	NA	4016	LOXL1	0.4987	0.0711
LINCSCP_88027	NA	5883	RAD9A	-0.5711	0.0717
LINCSCP_88027	NA	23463	ICMT	-0.6973	0.0717
LINCSCP_88027	NA	4638	MYLK	-0.4356	0.0717
LINCSCP_88027	NA	9897	KIAA0196	-0.5796	0.0722
LINCSCP_88027	NA	9854	C2CD2L	-0.7826	0.0722
LINCSCP_88027	NA	5836	PYGL	-0.6466	0.0731
LINCSCP_88027	NA	6856	SYPL1	-0.4161	0.0731
LINCSCP_88027	NA	7015	TERT	-0.4496	0.0732
LINCSCP_88027	NA	3251	HPRT1	0.4256	0.0734
LINCSCP_88027	NA	7082	TJP1	-1.0482	0.0735
LINCSCP_88027	NA	11182	SLC2A6	0.4392	0.0738
LINCSCP_88027	NA	8624	PSMG1	0.4586	0.0738
LINCSCP_88027	NA	3611	ILK	0.415	0.0749
LINCSCP_88027	NA	2195	FAT1	-0.4208	0.075
LINCSCP_88027	NA	9128	PRPF4	0.51	0.0752
LINCSCP_88027	NA	5423	POLB	-0.6031	0.0756
LINCSCP_88027	NA	79961	DENND2D	-0.5809	0.0762
LINCSCP_88027	NA	211	ALAS1	-0.5114	0.0769
LINCSCP_88027	NA	51116	MRPS2	-0.5527	0.0773
LINCSCP_88027	NA	60493	FASTKD5	-0.4042	0.0775
LINCSCP_88027	NA	51569	UFM1	0.4589	0.0789
LINCSCP_88027	NA	4690	NCK1	-0.4884	0.0795
LINCSCP_88027	NA	5359	PLSCR1	-0.3993	0.0797
LINCSCP_88027	NA	22905	EPN2	-0.5286	0.08
LINCSCP_88027	NA	1994	ELAVL1	0.3946	0.08
LINCSCP_88027	NA	8396	PIP4K2B	-0.466	0.0814
LINCSCP_88027	NA	11168	PSIP1	-0.4601	0.0815
LINCSCP_88027	NA	8895	CPNE3	-1.3719	0.0815
LINCSCP_88027	NA	5588	PRKCQ	-0.7513	0.0818
LINCSCP_88027	NA	2958	GTF2A2	0.5698	0.0821
LINCSCP_88027	NA	11261	CHP1	-0.6114	0.0824
LINCSCP_88027	NA	9533	POLR1C	-0.4345	0.0829
LINCSCP_88027	NA	55033	FKBP14	0.4553	0.0838
LINCSCP_88027	NA	3508	IGHMBP2	-0.5263	0.0845
LINCSCP_88027	NA	5710	PSMD4	-0.4067	0.0861
LINCSCP_88027	NA	10270	AKAP8	0.4992	0.0882
LINCSCP_88027	NA	10617	STAMBP	2.0063	0.0888
LINCSCP_88027	NA	4482	MSRA	-0.4111	0.0894
LINCSCP_88027	NA	54499	TMCO1	0.7164	0.0896
LINCSCP_88027	NA	10362	HMG20B	-0.4432	0.09
LINCSCP_88027	NA	10818	FRS2	-0.564	0.0911
LINCSCP_88027	NA	7376	NR1H2	-0.5741	0.0921
LINCSCP_88027	NA	23011	RAB21	-0.6853	0.0924
LINCSCP_88027	NA	2065	ERBB3	-1.2217	0.0926
LINCSCP_88027	NA	291	SLC25A4	0.4119	0.0927
LINCSCP_88027	NA	10494	STK25	0.4088	0.094
LINCSCP_88027	NA	3122	HLA-DRA	-0.9687	0.0946
LINCSCP_88027	NA	23338	JADE2	-0.3669	0.0949
LINCSCP_88027	NA	85236	HIST1H2BK	0.3846	0.0953
LINCSCP_88027	NA	6390	SDHB	-0.3991	0.0958
LINCSCP_88027	NA	1848	DUSP6	-0.4416	0.0959
LINCSCP_88027	NA	10695	CNPY3	-0.5828	0.096
LINCSCP_88027	NA	26136	TES	0.4805	0.0963
LINCSCP_88027	NA	51170	HSD17B11	-1.1573	0.0969
LINCSCP_88027	NA	54881	TEX10	-0.424	0.0978
LINCSCP_88027	NA	1062	CENPE	-0.4256	0.0979
LINCSCP_88027	NA	1788	DNMT3A	-0.3749	0.0979
LINCSCP_88027	NA	5154	PDGFA	0.6344	0.0979
LINCSCP_88027	NA	5986	RFNG	-0.4188	0.098
LINCSCP_88027	NA	6304	SATB1	3.3995	0.0987
LINCSCP_88027	NA	3482	IGF2R	-0.3563	0.1
LINCSCP_88027	NA	6622	SNCA	-0.4179	0.1002
LINCSCP_88027	NA	8569	MKNK1	-0.5123	0.1007
LINCSCP_88027	NA	6909	TBX2	-0.5752	0.101
LINCSCP_88027	NA	581	BAX	-0.4316	0.1022
LINCSCP_88027	NA	3383	ICAM1	0.385	0.1023
LINCSCP_88027	NA	1514	CTSL	-0.4297	0.1028
LINCSCP_88027	NA	3202	HOXA5	0.3607	0.1032
LINCSCP_88027	NA	5889	RAD51C	-0.3692	0.1034
LINCSCP_88027	NA	5480	PPIC	-0.3601	0.1036
LINCSCP_88027	NA	39	ACAT2	0.5242	0.1039
LINCSCP_88027	NA	25976	TIPARP	-0.3692	0.104
LINCSCP_88027	NA	55893	ZNF395	0.5642	0.1046
LINCSCP_88027	NA	7296	TXNRD1	-0.539	0.1046
LINCSCP_88027	NA	427	ASAH1	0.4283	0.1047
LINCSCP_88027	NA	1676	DFFA	-0.4948	0.1049
LINCSCP_88027	NA	226	ALDOA	0.4095	0.105
LINCSCP_88027	NA	3682	ITGAE	0.5172	0.106
LINCSCP_88027	NA	3066	HDAC2	0.5227	0.1061
LINCSCP_88027	NA	3553	IL1B	-0.5423	0.1065
LINCSCP_88027	NA	28969	BZW2	0.3529	0.1075
LINCSCP_88027	NA	79947	DHDDS	-0.4025	0.1079
LINCSCP_88027	NA	2222	FDFT1	0.3804	0.1091
LINCSCP_88027	NA	727	C5	-0.468	0.1096
LINCSCP_88027	NA	1050	CEBPA	-0.7855	0.1097
LINCSCP_88027	NA	57178	ZMIZ1	0.574	0.1103
LINCSCP_88027	NA	55256	ADI1	0.4173	0.1113
LINCSCP_88027	NA	8243	SMC1A	-0.4484	0.1136
LINCSCP_88027	NA	3909	LAMA3	0.379	0.1139
LINCSCP_88027	NA	10398	MYL9	0.3812	0.1147
LINCSCP_88027	NA	392	ARHGAP1	0.4876	0.115
LINCSCP_88027	NA	3098	HK1	0.4985	0.1151
LINCSCP_88027	NA	6499	SKIV2L	0.3897	0.1151
LINCSCP_88027	NA	637	BID	0.3356	0.1155
LINCSCP_88027	NA	3315	HSPB1	0.5279	0.1156
LINCSCP_88027	NA	9275	BCL7B	-0.51	0.1169
LINCSCP_88027	NA	11284	PNKP	-0.3748	0.1169
LINCSCP_88027	NA	10237	SLC35B1	-0.3666	0.1177
LINCSCP_88027	NA	5985	RFC5	-0.537	0.1179
LINCSCP_88027	NA	9217	VAPB	0.4185	0.1184
LINCSCP_88027	NA	8726	EED	0.3759	0.1192
LINCSCP_88027	NA	1052	CEBPD	-0.3394	0.1199
LINCSCP_88027	NA	595	CCND1	-0.4152	0.1199
LINCSCP_88027	NA	58497	PRUNE	0.397	0.1199
LINCSCP_88027	NA	50865	HEBP1	-0.5872	0.121
LINCSCP_88027	NA	1001	CDH3	3.2133	0.1213
LINCSCP_88027	NA	4331	MNAT1	1.5921	0.1215
LINCSCP_88027	NA	10730	YME1L1	0.4193	0.1217
LINCSCP_88027	NA	375346	TMEM110	-0.4394	0.1237
LINCSCP_88027	NA	1399	CRKL	-0.7281	0.1241
LINCSCP_88027	NA	11098	PRSS23	0.3453	0.1244
LINCSCP_88027	NA	11319	ECD	0.493	0.1251
LINCSCP_88027	NA	6944	VPS72	-0.477	0.1254
LINCSCP_88027	NA	2109	ETFB	-0.4566	0.126
LINCSCP_88027	NA	10434	LYPLA1	0.3411	0.1261
LINCSCP_88027	NA	51056	LAP3	-0.4196	0.1262
LINCSCP_88027	NA	9943	OXSR1	0.3283	0.1264
LINCSCP_88027	NA	10329	TMEM5	-0.4528	0.1277
LINCSCP_88027	NA	6804	STX1A	-0.5778	0.1279
LINCSCP_88027	NA	3162	HMOX1	0.4228	0.1294
LINCSCP_88027	NA	891	CCNB1	0.3858	0.1297
LINCSCP_88027	NA	55958	KLHL9	0.4573	0.13
LINCSCP_88027	NA	5900	RALGDS	-0.4029	0.1313
LINCSCP_88027	NA	56940	DUSP22	0.718	0.1325
LINCSCP_88027	NA	10013	HDAC6	-0.3705	0.1344
LINCSCP_88027	NA	3486	IGFBP3	0.3237	0.1348
LINCSCP_88027	NA	8678	BECN1	-0.409	0.1348
LINCSCP_88027	NA	8324	FZD7	-0.4276	0.1348
LINCSCP_88027	NA	8446	DUSP11	0.5952	0.1349
LINCSCP_88027	NA	54957	TXNL4B	-0.3293	0.1353
LINCSCP_88027	NA	8878	SQSTM1	-0.4715	0.1357
LINCSCP_88027	NA	91137	SLC25A46	0.5359	0.1361
LINCSCP_88027	NA	8349	HIST2H2BE	0.5117	0.1376
LINCSCP_88027	NA	10525	HYOU1	0.327	0.138
LINCSCP_88027	NA	3385	ICAM3	-0.4508	0.1383
LINCSCP_88027	NA	4893	NRAS	0.6123	0.1398
LINCSCP_88027	NA	9688	NUP93	0.3564	0.1409
LINCSCP_88027	NA	9686	VGLL4	0.3531	0.1423
LINCSCP_88027	NA	1017	CDK2	0.3984	0.1423
LINCSCP_88027	NA	1445	CSK	-0.4496	0.1426
LINCSCP_88027	NA	9143	SYNGR3	0.7256	0.1433
LINCSCP_88027	NA	23076	RRP1B	-0.6132	0.1436
LINCSCP_88027	NA	50813	COPS7A	-0.3846	0.1437
LINCSCP_88027	NA	23014	FBXO21	-1.8992	0.1437
LINCSCP_88027	NA	23223	RRP12	-0.398	0.1449
LINCSCP_88027	NA	57019	CIAPIN1	0.4621	0.1452
LINCSCP_88027	NA	8837	CFLAR	0.3108	0.1487
LINCSCP_88027	NA	868	CBLB	3.6189	0.1491
LINCSCP_88027	NA	8996	NOL3	-0.3858	0.1491
LINCSCP_88027	NA	387	RHOA	0.3059	0.1491
LINCSCP_88027	NA	54733	SLC35F2	-3.0861	0.1492
LINCSCP_88027	NA	7157	TP53	-3.0037	0.1495
LINCSCP_88027	NA	8508	NIPSNAP1	-0.5746	0.1536
LINCSCP_88027	NA	22823	MTF2	0.7775	0.1541
LINCSCP_88027	NA	51005	AMDHD2	-0.3208	0.1547
LINCSCP_88027	NA	10589	DRAP1	-0.7662	0.1547
LINCSCP_88027	NA	808	CALM3	-0.4019	0.1557
LINCSCP_88027	NA	4651	MYO10	0.3061	0.1568
LINCSCP_88027	NA	10150	MBNL2	-0.8994	0.1587
LINCSCP_88027	NA	3551	IKBKB	0.3053	0.1605
LINCSCP_88027	NA	1027	CDKN1B	0.3197	0.1606
