signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_36765	NA	54733	SLC35F2	4.8913	2e-4
LINCSCP_36765	NA	23670	TMEM2	4.7328	3e-4
LINCSCP_36765	NA	8870	IER3	3.8156	8e-4
LINCSCP_36765	NA	7153	TOP2A	-3.7694	9e-4
LINCSCP_36765	NA	10146	G3BP1	3.9952	0.0014
LINCSCP_36765	NA	11004	KIF2C	-3.8731	0.0019
LINCSCP_36765	NA	8243	SMC1A	-3.876	0.0027
LINCSCP_36765	NA	1026	CDKN1A	3.8771	0.0035
LINCSCP_36765	NA	11168	PSIP1	-5.2067	0.0037
LINCSCP_36765	NA	3628	INPP1	3.0994	0.0045
LINCSCP_36765	NA	1643	DDB2	2.7034	0.0046
LINCSCP_36765	NA	993	CDC25A	-2.9684	0.0049
LINCSCP_36765	NA	3775	KCNK1	2.7778	0.0062
LINCSCP_36765	NA	9124	PDLIM1	2.7028	0.0063
LINCSCP_36765	NA	1845	DUSP3	2.6344	0.0067
LINCSCP_36765	NA	51203	NUSAP1	-6.329	0.0068
LINCSCP_36765	NA	4605	MYBL2	-2.5055	0.0076
LINCSCP_36765	NA	2852	GPER1	-2.4453	0.0078
LINCSCP_36765	NA	7511	XPNPEP1	2.9783	0.0082
LINCSCP_36765	NA	6894	TARBP1	2.4564	0.0086
LINCSCP_36765	NA	6284	S100A13	2.4049	0.0089
LINCSCP_36765	NA	54541	DDIT4	2.505	0.0091
LINCSCP_36765	NA	10112	KIF20A	-2.8468	0.0104
LINCSCP_36765	NA	9738	CCP110	-2.2652	0.0107
LINCSCP_36765	NA	8914	TIMELESS	-2.4288	0.0109
LINCSCP_36765	NA	890	CCNA2	-2.2401	0.0111
LINCSCP_36765	NA	5909	RAP1GAP	2.2333	0.0119
LINCSCP_36765	NA	57804	POLD4	2.1783	0.0125
LINCSCP_36765	NA	9833	MELK	-2.3418	0.0133
LINCSCP_36765	NA	25803	SPDEF	2.133	0.0137
LINCSCP_36765	NA	55127	HEATR1	2.4717	0.0158
LINCSCP_36765	NA	5829	PXN	-2.2879	0.0162
LINCSCP_36765	NA	11073	TOPBP1	-2.0436	0.0164
LINCSCP_36765	NA	79850	FAM57A	2.1442	0.0172
LINCSCP_36765	NA	1017	CDK2	-1.9475	0.02
LINCSCP_36765	NA	23	ABCF1	-2.6176	0.0201
LINCSCP_36765	NA	25987	TSKU	2.0629	0.0203
LINCSCP_36765	NA	9851	KIAA0753	1.9373	0.0205
LINCSCP_36765	NA	8821	INPP4B	1.9844	0.021
LINCSCP_36765	NA	2745	GLRX	2.0032	0.0215
LINCSCP_36765	NA	1027	CDKN1B	-2.052	0.0227
LINCSCP_36765	NA	1891	ECH1	2.1014	0.0228
LINCSCP_36765	NA	332	BIRC5	-3.4688	0.0229
LINCSCP_36765	NA	2146	EZH2	-1.9129	0.023
LINCSCP_36765	NA	80204	FBXO11	-1.9757	0.0232
LINCSCP_36765	NA	7358	UGDH	-2.5467	0.0233
LINCSCP_36765	NA	11157	LSM6	-2.2153	0.024
LINCSCP_36765	NA	3930	LBR	-1.9758	0.0247
LINCSCP_36765	NA	5716	PSMD10	2.0011	0.025
LINCSCP_36765	NA	3693	ITGB5	1.86	0.0252
LINCSCP_36765	NA	5331	PLCB3	-1.833	0.0255
LINCSCP_36765	NA	23061	TBC1D9B	-1.9348	0.0258
LINCSCP_36765	NA	6813	STXBP2	3.3296	0.0272
LINCSCP_36765	NA	4925	NUCB2	1.7992	0.0276
LINCSCP_36765	NA	1846	DUSP4	1.868	0.0281
LINCSCP_36765	NA	79071	ELOVL6	-1.8212	0.0287
LINCSCP_36765	NA	5601	MAPK9	-2.1048	0.0287
LINCSCP_36765	NA	10681	GNB5	-1.7696	0.0292
LINCSCP_36765	NA	29937	NENF	1.9331	0.0293
LINCSCP_36765	NA	355	FAS	1.7918	0.0295
LINCSCP_36765	NA	80349	WDR61	1.8268	0.0296
LINCSCP_36765	NA	8270	LAGE3	-2.2872	0.0296
LINCSCP_36765	NA	5058	PAK1	5.4195	0.0298
LINCSCP_36765	NA	672	BRCA1	-1.9497	0.0301
LINCSCP_36765	NA	7105	TSPAN6	1.8376	0.0303
LINCSCP_36765	NA	23161	SNX13	-1.8694	0.0308
LINCSCP_36765	NA	6509	SLC1A4	-1.9261	0.031
LINCSCP_36765	NA	9641	IKBKE	-1.7932	0.031
LINCSCP_36765	NA	6772	STAT1	-2.3405	0.0344
LINCSCP_36765	NA	1001	CDH3	-1.9216	0.0346
LINCSCP_36765	NA	23378	RRP8	1.7019	0.0368
LINCSCP_36765	NA	10451	VAV3	-1.7907	0.0371
LINCSCP_36765	NA	8508	NIPSNAP1	1.6918	0.0384
LINCSCP_36765	NA	1647	GADD45A	1.9286	0.039
LINCSCP_36765	NA	4016	LOXL1	-2.0425	0.0402
LINCSCP_36765	NA	1831	TSC22D3	1.6904	0.0405
LINCSCP_36765	NA	9128	PRPF4	-5.1912	0.0409
LINCSCP_36765	NA	6499	SKIV2L	1.8687	0.041
LINCSCP_36765	NA	7082	TJP1	-1.7692	0.0419
LINCSCP_36765	NA	983	CDK1	-1.6023	0.0423
LINCSCP_36765	NA	230	ALDOC	1.6504	0.0427
LINCSCP_36765	NA	1399	CRKL	-1.8489	0.0433
LINCSCP_36765	NA	30	ACAA1	1.9351	0.0445
LINCSCP_36765	NA	2810	SFN	2.1262	0.0458
LINCSCP_36765	NA	89910	UBE3B	1.6216	0.0479
LINCSCP_36765	NA	1848	DUSP6	-1.5749	0.0485
LINCSCP_36765	NA	7074	TIAM1	-1.5273	0.0496
LINCSCP_36765	NA	1958	EGR1	1.5337	0.0518
LINCSCP_36765	NA	622	BDH1	1.6115	0.0519
LINCSCP_36765	NA	1635	DCTD	-1.5838	0.0527
LINCSCP_36765	NA	65123	INTS3	1.495	0.0533
LINCSCP_36765	NA	23597	ACOT9	1.8573	0.0542
