signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_132651	NA	85236	HIST1H2BK	2.1395	2e-4
LINCSCP_132651	NA	3925	STMN1	-1.8986	2e-4
LINCSCP_132651	NA	80204	FBXO11	-1.6196	8e-4
LINCSCP_132651	NA	55256	ADI1	-2.0289	9e-4
LINCSCP_132651	NA	5092	PCBD1	-1.4803	0.0013
LINCSCP_132651	NA	2954	GSTZ1	-1.3997	0.0015
LINCSCP_132651	NA	10362	HMG20B	-1.5646	0.0022
LINCSCP_132651	NA	5641	LGMN	1.9913	0.0027
LINCSCP_132651	NA	10112	KIF20A	-1.595	0.0028
LINCSCP_132651	NA	3638	INSIG1	-1.3921	0.0036
LINCSCP_132651	NA	9275	BCL7B	-1.3814	0.0036
LINCSCP_132651	NA	10513	APPBP2	-1.4698	0.0037
LINCSCP_132651	NA	11007	CCDC85B	1.3348	0.004
LINCSCP_132651	NA	10776	ARPP19	-1.2548	0.0042
LINCSCP_132651	NA	80212	CCDC92	1.1347	0.0048
LINCSCP_132651	NA	29082	CHMP4A	-1.6707	0.005
LINCSCP_132651	NA	51599	LSR	1.6478	0.0054
LINCSCP_132651	NA	4792	NFKBIA	-1.1843	0.0054
LINCSCP_132651	NA	10491	CRTAP	-1.4164	0.0056
LINCSCP_132651	NA	6284	S100A13	1.399	0.0066
LINCSCP_132651	NA	7153	TOP2A	-1.0827	0.0073
LINCSCP_132651	NA	26020	LRP10	1.0451	0.0074
LINCSCP_132651	NA	6182	MRPL12	-1.2015	0.0077
LINCSCP_132651	NA	23326	USP22	-1.0986	0.0077
LINCSCP_132651	NA	1643	DDB2	-1.4052	0.0081
LINCSCP_132651	NA	6193	RPS5	-1.0143	0.0083
LINCSCP_132651	NA	9552	SPAG7	-1.4845	0.0089
LINCSCP_132651	NA	57048	PLSCR3	-1.1166	0.009
LINCSCP_132651	NA	10013	HDAC6	-1.5276	0.0092
LINCSCP_132651	NA	1212	CLTB	1.0995	0.0093
LINCSCP_132651	NA	55608	ANKRD10	1.0366	0.0094
LINCSCP_132651	NA	8503	PIK3R3	1.0651	0.0095
LINCSCP_132651	NA	10493	VAT1	-3.045	0.0097
LINCSCP_132651	NA	7466	WFS1	1.4326	0.0098
LINCSCP_132651	NA	16	AARS	-1.0556	0.0099
LINCSCP_132651	NA	4860	PNP	0.977	0.0103
LINCSCP_132651	NA	25805	BAMBI	-1.0034	0.0107
LINCSCP_132651	NA	9847	C2CD5	-0.9998	0.011
LINCSCP_132651	NA	1027	CDKN1B	-1.0199	0.0117
LINCSCP_132651	NA	23131	GPATCH8	-1.2485	0.0122
LINCSCP_132651	NA	9817	KEAP1	-1.2024	0.0124
LINCSCP_132651	NA	1802	DPH2	0.8822	0.0126
LINCSCP_132651	NA	9924	PAN2	-2.0124	0.0128
LINCSCP_132651	NA	291	SLC25A4	1.1095	0.0132
LINCSCP_132651	NA	51422	PRKAG2	1.0499	0.0133
LINCSCP_132651	NA	51056	LAP3	0.9247	0.0141
LINCSCP_132651	NA	26001	RNF167	-0.924	0.0143
LINCSCP_132651	NA	622	BDH1	-1.0155	0.0144
LINCSCP_132651	NA	1958	EGR1	-0.9714	0.0144
LINCSCP_132651	NA	4851	NOTCH1	1.5644	0.0147
LINCSCP_132651	NA	10797	MTHFD2	-1.0475	0.0155
LINCSCP_132651	NA	5829	PXN	1.0342	0.0155
LINCSCP_132651	NA	6194	RPS6	-1.0689	0.0159
LINCSCP_132651	NA	5836	PYGL	1.2441	0.0161
LINCSCP_132651	NA	93594	TBC1D31	1.103	0.0169
LINCSCP_132651	NA	6790	AURKA	-1.0548	0.0169
LINCSCP_132651	NA	23338	JADE2	-0.911	0.017
LINCSCP_132651	NA	572	BAD	-0.8647	0.0172
LINCSCP_132651	NA	10051	SMC4	-1.058	0.0176
LINCSCP_132651	NA	5018	OXA1L	-1.515	0.0176
LINCSCP_132651	NA	55604	LRRC16A	-0.8932	0.0184
LINCSCP_132651	NA	23139	MAST2	0.8836	0.0185
LINCSCP_132651	NA	6622	SNCA	-0.8694	0.0187
LINCSCP_132651	NA	1845	DUSP3	0.8502	0.0192
LINCSCP_132651	NA	1978	EIF4EBP1	-0.8789	0.0203
LINCSCP_132651	NA	58533	SNX6	-1.0526	0.0207
LINCSCP_132651	NA	5255	PHKA1	0.8128	0.021
LINCSCP_132651	NA	26227	PHGDH	-0.8688	0.0214
LINCSCP_132651	NA	9926	LPGAT1	-0.9064	0.0216
LINCSCP_132651	NA	873	CBR1	0.9656	0.0218
LINCSCP_132651	NA	7398	USP1	-0.9162	0.0226
LINCSCP_132651	NA	9143	SYNGR3	-0.9796	0.0228
LINCSCP_132651	NA	5708	PSMD2	0.7722	0.023
LINCSCP_132651	NA	3978	LIG1	-0.9181	0.0239
LINCSCP_132651	NA	4891	SLC11A2	-2.7279	0.0242
LINCSCP_132651	NA	55837	EAPP	-0.8343	0.0243
LINCSCP_132651	NA	1465	CSRP1	1.0193	0.0246
LINCSCP_132651	NA	29911	HOOK2	-0.7974	0.0246
LINCSCP_132651	NA	2745	GLRX	-1.2126	0.0253
LINCSCP_132651	NA	23061	TBC1D9B	-1.1528	0.0256
LINCSCP_132651	NA	5096	PCCB	-1.05	0.026
LINCSCP_132651	NA	2961	GTF2E2	0.8812	0.0261
LINCSCP_132651	NA	3122	HLA-DRA	1.1674	0.0265
LINCSCP_132651	NA	7165	TPD52L2	0.7961	0.0268
LINCSCP_132651	NA	2263	FGFR2	0.8092	0.0271
LINCSCP_132651	NA	22794	CASC3	-0.8664	0.0275
LINCSCP_132651	NA	55748	CNDP2	-0.7795	0.0283
LINCSCP_132651	NA	23522	KAT6B	-2.2623	0.0284
LINCSCP_132651	NA	387	RHOA	-0.8483	0.0286
LINCSCP_132651	NA	5971	RELB	-0.9851	0.0296
LINCSCP_132651	NA	3693	ITGB5	-0.8563	0.0297
LINCSCP_132651	NA	10153	CEBPZ	0.7719	0.03
LINCSCP_132651	NA	7296	TXNRD1	0.782	0.0305
LINCSCP_132651	NA	23029	RBM34	-0.8226	0.0306
LINCSCP_132651	NA	154	ADRB2	2.175	0.031
LINCSCP_132651	NA	11230	PRAF2	-1.0206	0.0315
LINCSCP_132651	NA	4154	MBNL1	-0.7462	0.0322
LINCSCP_132651	NA	4312	MMP1	1.5063	0.0325
LINCSCP_132651	NA	1983	EIF5	-0.7747	0.033
LINCSCP_132651	NA	230	ALDOC	0.739	0.0331
LINCSCP_132651	NA	22883	CLSTN1	0.7344	0.0335
LINCSCP_132651	NA	22889	KIAA0907	0.7544	0.0339
LINCSCP_132651	NA	1021	CDK6	-0.8619	0.0341
LINCSCP_132651	NA	55847	CISD1	0.7844	0.0342
LINCSCP_132651	NA	51382	ATP6V1D	0.7173	0.0342
LINCSCP_132651	NA	5927	KDM5A	-0.9083	0.0346
LINCSCP_132651	NA	9653	HS2ST1	2.312	0.0346
LINCSCP_132651	NA	57147	SCYL3	1.4086	0.0348
LINCSCP_132651	NA	1399	CRKL	1.054	0.0348
LINCSCP_132651	NA	7994	KAT6A	-0.8469	0.0353
LINCSCP_132651	NA	6342	SCP2	-0.8298	0.0353
LINCSCP_132651	NA	4582	MUC1	-1.1332	0.0361
LINCSCP_132651	NA	8878	SQSTM1	-0.8375	0.0361
LINCSCP_132651	NA	22809	ATF5	-1.3323	0.0365
LINCSCP_132651	NA	2958	GTF2A2	0.8797	0.0381
LINCSCP_132651	NA	310	ANXA7	-0.9717	0.0388
LINCSCP_132651	NA	10038	PARP2	-1.24	0.04
LINCSCP_132651	NA	27032	ATP2C1	0.9059	0.0404
LINCSCP_132651	NA	1022	CDK7	-0.7341	0.0436
LINCSCP_132651	NA	64746	ACBD3	-1.1593	0.044
LINCSCP_132651	NA	79080	CCDC86	0.7942	0.0444
LINCSCP_132651	NA	874	CBR3	-0.7528	0.0444
LINCSCP_132651	NA	56654	NPDC1	-0.7367	0.0458
LINCSCP_132651	NA	8870	IER3	-0.7113	0.0459
LINCSCP_132651	NA	3725	JUN	-1.0045	0.0459
LINCSCP_132651	NA	7494	XBP1	-0.7138	0.0468
LINCSCP_132651	NA	27244	SESN1	0.8747	0.0473
LINCSCP_132651	NA	6772	STAT1	0.6907	0.0479
LINCSCP_132651	NA	79961	DENND2D	-0.7909	0.0481
LINCSCP_132651	NA	9112	MTA1	-0.7898	0.0484
LINCSCP_132651	NA	3312	HSPA8	-0.8028	0.0485
LINCSCP_132651	NA	79170	PRR15L	1.0642	0.0485
LINCSCP_132651	NA	836	CASP3	0.7137	0.0487
LINCSCP_132651	NA	10165	SLC25A13	0.7319	0.0495
LINCSCP_132651	NA	3303	HSPA1A	0.707	0.0503
LINCSCP_132651	NA	51719	CAB39	-0.6652	0.0516
LINCSCP_132651	NA	55012	PPP2R3C	-0.7643	0.0517
LINCSCP_132651	NA	10892	MALT1	0.6584	0.0524
LINCSCP_132651	NA	29083	GTPBP8	-1.8592	0.0529
LINCSCP_132651	NA	5721	PSME2	0.6965	0.0534
LINCSCP_132651	NA	2115	ETV1	0.8275	0.0536
LINCSCP_132651	NA	51024	FIS1	-2.6934	0.053900000000000003
LINCSCP_132651	NA	1452	CSNK1A1	-0.9955	0.055
LINCSCP_132651	NA	22827	PUF60	-0.6973	0.0554
LINCSCP_132651	NA	672	BRCA1	-0.6241	0.0557
LINCSCP_132651	NA	23670	TMEM2	1.0995	0.0562
LINCSCP_132651	NA	1662	DDX10	0.9468	0.0566
