signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_133437	NA	51031	GLOD4	-4.6786	0
LINCSCP_133437	NA	50865	HEBP1	-4.2084	1e-4
LINCSCP_133437	NA	5699	PSMB10	3.4312	2e-4
LINCSCP_133437	NA	54915	YTHDF1	3.2058	3e-4
LINCSCP_133437	NA	29890	RBM15B	3.8436	3e-4
LINCSCP_133437	NA	5747	PTK2	4.9783	9e-4
LINCSCP_133437	NA	55127	HEATR1	2.296	0.001
LINCSCP_133437	NA	1021	CDK6	2.6698	0.001
LINCSCP_133437	NA	51203	NUSAP1	2.7575	0.0011
LINCSCP_133437	NA	24149	ZNF318	4.0024	0.0016
LINCSCP_133437	NA	2954	GSTZ1	-2.7848	0.0016
LINCSCP_133437	NA	10557	RPP38	3.0477	0.0016
LINCSCP_133437	NA	1212	CLTB	-3.7269	0.0019
LINCSCP_133437	NA	3122	HLA-DRA	2.1856	0.0021
LINCSCP_133437	NA	26001	RNF167	-2.235	0.0021
LINCSCP_133437	NA	7905	REEP5	-4.868	0.0023
LINCSCP_133437	NA	9918	NCAPD2	2.4371	0.0024
LINCSCP_133437	NA	7485	WRB	-1.9841	0.0027
LINCSCP_133437	NA	6464	SHC1	-2.02	0.0031
LINCSCP_133437	NA	29103	DNAJC15	2.1172	0.0032
LINCSCP_133437	NA	58533	SNX6	-2.831	0.0039
LINCSCP_133437	NA	291	SLC25A4	1.9811	0.004
LINCSCP_133437	NA	392	ARHGAP1	-1.7798	0.0041
LINCSCP_133437	NA	5106	PCK2	2.2731	0.0042
LINCSCP_133437	NA	3303	HSPA1A	-3.1662	0.0045
LINCSCP_133437	NA	9903	KLHL21	-1.7514	0.0045
LINCSCP_133437	NA	6509	SLC1A4	2.0823	0.0048
LINCSCP_133437	NA	7376	NR1H2	-3.1195	0.0051
LINCSCP_133437	NA	2810	SFN	-1.6844	0.0051
LINCSCP_133437	NA	664	BNIP3	-2.4941	0.0052
LINCSCP_133437	NA	1605	DAG1	-1.6981	0.0053
LINCSCP_133437	NA	840	CASP7	-1.6242	0.0055
LINCSCP_133437	NA	6599	SMARCC1	-2.0731	0.0055
LINCSCP_133437	NA	4651	MYO10	1.7116	0.0056
LINCSCP_133437	NA	3611	ILK	-1.7705	0.0057
LINCSCP_133437	NA	3628	INPP1	2.3829	0.0059
LINCSCP_133437	NA	23	ABCF1	1.9757	0.006
LINCSCP_133437	NA	124583	CANT1	-1.7106	0.0061
LINCSCP_133437	NA	4792	NFKBIA	-1.9252	0.0061
LINCSCP_133437	NA	23530	NNT	-1.7618	0.0062
LINCSCP_133437	NA	3308	HSPA4	1.7172	0.0063
LINCSCP_133437	NA	29763	PACSIN3	-3.2954	0.0064
LINCSCP_133437	NA	3280	HES1	1.9917	0.0066
LINCSCP_133437	NA	2852	GPER1	-1.7418	0.0067
LINCSCP_133437	NA	9531	BAG3	-1.8712	0.0068
LINCSCP_133437	NA	7106	TSPAN4	-1.9454	0.0069
LINCSCP_133437	NA	25805	BAMBI	-1.8606	0.0074
LINCSCP_133437	NA	1019	CDK4	-1.8793	0.0077
LINCSCP_133437	NA	10174	SORBS3	-1.857	0.0077
LINCSCP_133437	NA	4312	MMP1	1.5876	0.0079
LINCSCP_133437	NA	3315	HSPB1	-2.021	0.0079
LINCSCP_133437	NA	23161	SNX13	1.9625	0.008
LINCSCP_133437	NA	10513	APPBP2	-1.6401	0.0082
LINCSCP_133437	NA	10206	TRIM13	1.578	0.0087
LINCSCP_133437	NA	2778	GNAS	-2.4107	0.009
LINCSCP_133437	NA	3157	HMGCS1	-2.9848	0.0091
LINCSCP_133437	NA	4860	PNP	1.6895	0.0092
LINCSCP_133437	NA	29911	HOOK2	-3.1281	0.0093
LINCSCP_133437	NA	66008	TRAK2	-1.724	0.0094
LINCSCP_133437	NA	1958	EGR1	1.5974	0.0094
LINCSCP_133437	NA	4850	CNOT4	3.6348	0.0096
