signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_138084	NA	983	CDK1	-10	5.5808e-6
LINCSCP_138084	NA	1846	DUSP4	10	5.5808e-6
LINCSCP_138084	NA	2745	GLRX	10	5.5808e-6
LINCSCP_138084	NA	4792	NFKBIA	10	5.5808e-6
LINCSCP_138084	NA	9181	ARHGEF2	10	5.5808e-6
LINCSCP_138084	NA	9695	EDEM1	10	5.5808e-6
LINCSCP_138084	NA	9709	HERPUD1	10	5.5808e-6
LINCSCP_138084	NA	54541	DDIT4	9.9401	5.9175e-6
LINCSCP_138084	NA	8878	SQSTM1	9.8955	6.4297e-6
LINCSCP_138084	NA	7153	TOP2A	-9.7995	8.6229e-6
LINCSCP_138084	NA	55033	FKBP14	9.5818	9.0086e-6
LINCSCP_138084	NA	3280	HES1	9.5764	9.723e-6
LINCSCP_138084	NA	26292	MYCBP	-9.6926	0
LINCSCP_138084	NA	2673	GFPT1	9.3704	0
LINCSCP_138084	NA	5111	PCNA	-9.326	0
LINCSCP_138084	NA	5971	RELB	7.9967	0
LINCSCP_138084	NA	23210	JMJD6	8.0279	0
LINCSCP_138084	NA	4925	NUCB2	9.168	0
LINCSCP_138084	NA	6697	SPR	-7.0312	0
LINCSCP_138084	NA	10775	POP4	-7.0915	0
LINCSCP_138084	NA	5985	RFC5	-9.1314	0
LINCSCP_138084	NA	8349	HIST2H2BE	9.4801	0
LINCSCP_138084	NA	890	CCNA2	-9.1686	0
LINCSCP_138084	NA	51569	UFM1	8.4999	0
LINCSCP_138084	NA	332	BIRC5	-8.3009	0
LINCSCP_138084	NA	51053	GMNN	-8.8827	1e-4
LINCSCP_138084	NA	7296	TXNRD1	8.5028	1e-4
LINCSCP_138084	NA	3033	HADH	-7.5769	1e-4
LINCSCP_138084	NA	11041	B4GAT1	-5.7048	1e-4
LINCSCP_138084	NA	50865	HEBP1	-5.7077	1e-4
LINCSCP_138084	NA	26227	PHGDH	6.2957	1e-4
LINCSCP_138084	NA	5909	RAP1GAP	8.5322	1e-4
LINCSCP_138084	NA	4783	NFIL3	9.2883	1e-4
LINCSCP_138084	NA	8553	BHLHE40	9.0806	1e-4
LINCSCP_138084	NA	6284	S100A13	-9.2576	1e-4
LINCSCP_138084	NA	8270	LAGE3	-5.8217	1e-4
LINCSCP_138084	NA	813	CALU	7.1252	1e-4
LINCSCP_138084	NA	7105	TSPAN6	-5.2992	1e-4
LINCSCP_138084	NA	5827	PXMP2	-4.8972	1e-4
LINCSCP_138084	NA	3988	LIPA	5.1355	1e-4
LINCSCP_138084	NA	8870	IER3	5.3923	1e-4
LINCSCP_138084	NA	291	SLC25A4	-4.8794	1e-4
LINCSCP_138084	NA	9133	CCNB2	-7.8389	1e-4
LINCSCP_138084	NA	7106	TSPAN4	-4.9455	2e-4
LINCSCP_138084	NA	10493	VAT1	4.423	2e-4
LINCSCP_138084	NA	9531	BAG3	-5.6736	2e-4
LINCSCP_138084	NA	7538	ZFP36	9.1051	2e-4
LINCSCP_138084	NA	25932	CLIC4	6.9804	2e-4
LINCSCP_138084	NA	1429	CRYZ	-5.5801	2e-4
LINCSCP_138084	NA	2309	FOXO3	4.4378	2e-4
LINCSCP_138084	NA	1738	DLD	-5.8157	2e-4
LINCSCP_138084	NA	25987	TSKU	4.8658	2e-4
LINCSCP_138084	NA	10857	PGRMC1	-5.7405	2e-4
LINCSCP_138084	NA	10237	SLC35B1	4.6781	2e-4
LINCSCP_138084	NA	11014	KDELR2	5.1381	2e-4
LINCSCP_138084	NA	207	AKT1	-5.2435	2e-4
LINCSCP_138084	NA	1633	DCK	-5.9161	2e-4
LINCSCP_138084	NA	9801	MRPL19	-4.5309	2e-4
LINCSCP_138084	NA	10150	MBNL2	5.0075	2e-4
LINCSCP_138084	NA	22889	KIAA0907	6.925	2e-4
LINCSCP_138084	NA	11011	TLK2	4.4826	2e-4
LINCSCP_138084	NA	55699	IARS2	-4.4668	2e-4
LINCSCP_138084	NA	1831	TSC22D3	4.8905	2e-4
LINCSCP_138084	NA	1022	CDK7	4.1797	3e-4
LINCSCP_138084	NA	25874	MPC2	-5.694	3e-4
LINCSCP_138084	NA	3300	DNAJB2	3.909	3e-4
LINCSCP_138084	NA	4172	MCM3	-6.5227	3e-4
LINCSCP_138084	NA	10954	PDIA5	5.087	3e-4
LINCSCP_138084	NA	2184	FAH	-4.8239	3e-4
LINCSCP_138084	NA	2958	GTF2A2	-4.0005	3e-4
LINCSCP_138084	NA	25803	SPDEF	-3.8406	3e-4
LINCSCP_138084	NA	26136	TES	3.8998	3e-4
LINCSCP_138084	NA	51015	ISOC1	-7.6156	3e-4
LINCSCP_138084	NA	8573	CASK	4.7766	3e-4
LINCSCP_138084	NA	79073	TMEM109	-4.9867	3e-4
LINCSCP_138084	NA	1666	DECR1	-5.0144	4e-4
LINCSCP_138084	NA	891	CCNB1	-4.3919	4e-4
LINCSCP_138084	NA	55038	CDCA4	-6.2713	4e-4
LINCSCP_138084	NA	11000	SLC27A3	-5.3054	4e-4
LINCSCP_138084	NA	5092	PCBD1	-3.8299	4e-4
LINCSCP_138084	NA	3775	KCNK1	3.7868	4e-4
LINCSCP_138084	NA	23659	PLA2G15	-4.0457	4e-4
LINCSCP_138084	NA	6659	SOX4	3.6344	4e-4
LINCSCP_138084	NA	6509	SLC1A4	5.6669	5e-4
LINCSCP_138084	NA	22926	ATF6	3.7242	5e-4
LINCSCP_138084	NA	6182	MRPL12	-4.9552	5e-4
LINCSCP_138084	NA	2109	ETFB	-3.6067	5e-4
LINCSCP_138084	NA	10059	DNM1L	-3.4059	5e-4
LINCSCP_138084	NA	3638	INSIG1	4.0952	5e-4
LINCSCP_138084	NA	9270	ITGB1BP1	-3.8151	5e-4
LINCSCP_138084	NA	10146	G3BP1	-6.3802	5e-4
LINCSCP_138084	NA	11065	UBE2C	-6.0723	5e-4
LINCSCP_138084	NA	8318	CDC45	-4.066	6e-4
LINCSCP_138084	NA	5427	POLE2	-4.889	6e-4
LINCSCP_138084	NA	8821	INPP4B	3.2313	6e-4
LINCSCP_138084	NA	5982	RFC2	-3.9576	6e-4
LINCSCP_138084	NA	8914	TIMELESS	-4.2308	6e-4
LINCSCP_138084	NA	9276	COPB2	3.4485	6e-4
LINCSCP_138084	NA	22827	PUF60	-3.1414	6e-4
LINCSCP_138084	NA	63874	ABHD4	3.8091	6e-4
LINCSCP_138084	NA	3091	HIF1A	4.9825	6e-4
LINCSCP_138084	NA	1026	CDKN1A	7.5648	6e-4
LINCSCP_138084	NA	4864	NPC1	3.7136	6e-4
LINCSCP_138084	NA	6184	RPN1	4.3386	7e-4
LINCSCP_138084	NA	5440	POLR2K	-4.9238	7e-4
LINCSCP_138084	NA	3909	LAMA3	4.6005	7e-4
LINCSCP_138084	NA	55256	ADI1	-5.7847	7e-4
LINCSCP_138084	NA	1445	CSK	-5.0316	7e-4
LINCSCP_138084	NA	79643	CHMP6	-3.963	7e-4
LINCSCP_138084	NA	6117	RPA1	-3.3532	7e-4
LINCSCP_138084	NA	27346	TMEM97	-3.9872	7e-4
LINCSCP_138084	NA	2887	GRB10	3.5146	7e-4
LINCSCP_138084	NA	25825	BACE2	-3.1048	8e-4
LINCSCP_138084	NA	9833	MELK	-5.7738	8e-4
LINCSCP_138084	NA	780	DDR1	3.1646	8e-4
LINCSCP_138084	NA	3157	HMGCS1	4.1112	8e-4
LINCSCP_138084	NA	329	BIRC2	3.6353	9e-4
LINCSCP_138084	NA	3156	HMGCR	2.8794	9e-4
LINCSCP_138084	NA	22887	FOXJ3	3.4935	9e-4
LINCSCP_138084	NA	7319	UBE2A	-3.1645	9e-4
LINCSCP_138084	NA	55608	ANKRD10	2.9238	9e-4
LINCSCP_138084	NA	10782	ZNF274	3.7183	0.001
LINCSCP_138084	NA	10112	KIF20A	-4.7552	0.001
LINCSCP_138084	NA	10525	HYOU1	5.6893	0.001
LINCSCP_138084	NA	392	ARHGAP1	-3.8016	0.001
LINCSCP_138084	NA	10589	DRAP1	-2.7544	0.001
LINCSCP_138084	NA	4850	CNOT4	4.8992000000000004	0.001
LINCSCP_138084	NA	868	CBLB	4.1553	0.001
LINCSCP_138084	NA	79902	NUP85	-3.9417	0.0011
LINCSCP_138084	NA	51495	HACD3	-3.869	0.0011
LINCSCP_138084	NA	54957	TXNL4B	2.8336	0.0012
LINCSCP_138084	NA	5050	PAFAH1B3	-5.0575	0.0012
LINCSCP_138084	NA	56889	TM9SF3	2.7003	0.0012
LINCSCP_138084	NA	80349	WDR61	-2.7861	0.0012
LINCSCP_138084	NA	3682	ITGAE	-3.4984	0.0012
LINCSCP_138084	NA	4043	LRPAP1	-3.4091	0.0013
LINCSCP_138084	NA	11168	PSIP1	-3.1943	0.0013
LINCSCP_138084	NA	4609	MYC	3.613	0.0013
LINCSCP_138084	NA	1514	CTSL	4.1046	0.0013
LINCSCP_138084	NA	1958	EGR1	5.0828	0.0013
LINCSCP_138084	NA	128	ADH5	-2.7386	0.0013
LINCSCP_138084	NA	9637	FEZ2	-2.6162	0.0013
LINCSCP_138084	NA	51293	CD320	-3.8342	0.0013
LINCSCP_138084	NA	84722	PSRC1	-3.8519	0.0014
LINCSCP_138084	NA	23588	KLHDC2	3.1864	0.0014
LINCSCP_138084	NA	5580	PRKCD	-2.5217	0.0015
LINCSCP_138084	NA	9702	CEP57	3.6679	0.0015
LINCSCP_138084	NA	1978	EIF4EBP1	2.546	0.0015
LINCSCP_138084	NA	5019	OXCT1	-3.9603	0.0015
LINCSCP_138084	NA	7168	TPM1	-3.0137	0.0016
LINCSCP_138084	NA	10652	YKT6	-2.7875	0.0016
LINCSCP_138084	NA	5236	PGM1	4.0385	0.0016
LINCSCP_138084	NA	3251	HPRT1	-7.1251	0.0016
LINCSCP_138084	NA	6390	SDHB	-2.9712	0.0016
LINCSCP_138084	NA	5366	PMAIP1	4.6298	0.0016
LINCSCP_138084	NA	26036	ZNF451	2.9291	0.0016
LINCSCP_138084	NA	873	CBR1	-3.0852	0.0017
LINCSCP_138084	NA	54850	FBXL12	2.531	0.0017
LINCSCP_138084	NA	2356	FPGS	-2.64	0.0017
LINCSCP_138084	NA	25976	TIPARP	7.0623	0.0017
LINCSCP_138084	NA	83743	GRWD1	-2.8277	0.0018
LINCSCP_138084	NA	2534	FYN	2.5199	0.0018
LINCSCP_138084	NA	9212	AURKB	-3.3592	0.0018
LINCSCP_138084	NA	6603	SMARCD2	-2.8424	0.0019
LINCSCP_138084	NA	2058	EPRS	3.1022	0.0019
LINCSCP_138084	NA	23658	LSM5	-2.7296	0.0019
LINCSCP_138084	NA	3098	HK1	-2.8548	0.002
LINCSCP_138084	NA	10013	HDAC6	3.0042	0.002
LINCSCP_138084	NA	8895	CPNE3	-6.4009	0.002
LINCSCP_138084	NA	5223	PGAM1	-3.0891	0.002
LINCSCP_138084	NA	1212	CLTB	-2.712	0.0021
LINCSCP_138084	NA	2771	GNAI2	-2.3477	0.0021
LINCSCP_138084	NA	4793	NFKBIB	3.0851	0.0021
LINCSCP_138084	NA	5110	PCMT1	-5.127	0.0021
LINCSCP_138084	NA	5699	PSMB10	-2.304	0.0022
LINCSCP_138084	NA	6790	AURKA	-2.9123	0.0022
LINCSCP_138084	NA	6119	RPA3	-5.7592	0.0022
LINCSCP_138084	NA	3028	HSD17B10	-3.4479	0.0022
LINCSCP_138084	NA	79174	CRELD2	2.7352	0.0022
LINCSCP_138084	NA	16	AARS	3.6398	0.0023
LINCSCP_138084	NA	2353	FOS	3.8034	0.0023
LINCSCP_138084	NA	8574	AKR7A2	-2.7949	0.0024
LINCSCP_138084	NA	10813	UTP14A	2.4321	0.0025
LINCSCP_138084	NA	10797	MTHFD2	6.5845	0.0025
LINCSCP_138084	NA	66008	TRAK2	4.6183	0.0026
LINCSCP_138084	NA	55148	UBR7	-6.6848	0.0026
LINCSCP_138084	NA	5782	PTPN12	2.555	0.0026
LINCSCP_138084	NA	1647	GADD45A	3.7101	0.0026
LINCSCP_138084	NA	26054	SENP6	2.86	0.0027
LINCSCP_138084	NA	51026	GOLT1B	2.7046	0.0027
LINCSCP_138084	NA	10273	STUB1	-5.9591	0.0028
LINCSCP_138084	NA	27244	SESN1	-2.3814	0.0028
LINCSCP_138084	NA	10451	VAV3	3.8588	0.0028
LINCSCP_138084	NA	5300	PIN1	-3.0333	0.0029
LINCSCP_138084	NA	57048	PLSCR3	-2.7587	0.003
LINCSCP_138084	NA	256364	EML3	-2.9387	0.003
LINCSCP_138084	NA	6443	SGCB	-3.7892	0.003
LINCSCP_138084	NA	8508	NIPSNAP1	-2.5787	0.003
LINCSCP_138084	NA	54442	KCTD5	4.7535	0.003
LINCSCP_138084	NA	4651	MYO10	2.1238	0.003
LINCSCP_138084	NA	672	BRCA1	-2.1412	0.0031
LINCSCP_138084	NA	51465	UBE2J1	2.5846	0.0032
LINCSCP_138084	NA	9851	KIAA0753	2.3416	0.0032
LINCSCP_138084	NA	23131	GPATCH8	2.3388	0.0032
LINCSCP_138084	NA	5831	PYCR1	3.8941	0.0033
LINCSCP_138084	NA	23647	ARFIP2	3.2737	0.0033
LINCSCP_138084	NA	6856	SYPL1	-2.0887	0.0034
LINCSCP_138084	NA	29911	HOOK2	3.2811	0.0034
LINCSCP_138084	NA	51005	AMDHD2	-2.009	0.0035
LINCSCP_138084	NA	5873	RAB27A	-4.1443	0.0035
LINCSCP_138084	NA	991	CDC20	-2.0152	0.0035
LINCSCP_138084	NA	79006	METRN	-2.0879	0.0035
LINCSCP_138084	NA	10559	SLC35A1	-3.815	0.0036
LINCSCP_138084	NA	323	APBB2	-3.0452	0.0036
LINCSCP_138084	NA	10362	HMG20B	-2.6229	0.0037
LINCSCP_138084	NA	10732	TCFL5	-2.8181	0.0038
LINCSCP_138084	NA	79094	CHAC1	2.3029	0.0038
LINCSCP_138084	NA	22809	ATF5	-5.5568	0.004
LINCSCP_138084	NA	6839	SUV39H1	-3.5944	0.0041
LINCSCP_138084	NA	10298	PAK4	-2.1694	0.0042
LINCSCP_138084	NA	11182	SLC2A6	2.2504	0.0043
LINCSCP_138084	NA	10221	TRIB1	4.544	0.0044
LINCSCP_138084	NA	51203	NUSAP1	-4.6261	0.0044
LINCSCP_138084	NA	2582	GALE	-2.1458	0.0044
LINCSCP_138084	NA	8202	NCOA3	4.0082	0.0044
LINCSCP_138084	NA	10513	APPBP2	2.7852	0.0045
LINCSCP_138084	NA	11157	LSM6	-4.0879	0.0045
LINCSCP_138084	NA	4016	LOXL1	-3.1259	0.0045
LINCSCP_138084	NA	5547	PRCP	-3.4349	0.0046
LINCSCP_138084	NA	23139	MAST2	-2.1832	0.0046
LINCSCP_138084	NA	481	ATP1B1	1.8647	0.0047
LINCSCP_138084	NA	2625	GATA3	-1.8534	0.0048
LINCSCP_138084	NA	10049	DNAJB6	2.9993	0.0048
LINCSCP_138084	NA	10051	SMC4	-2.5814	0.0049
LINCSCP_138084	NA	5468	PPARG	2.6623	0.0049
LINCSCP_138084	NA	622	BDH1	-2.1984	0.0051
LINCSCP_138084	NA	10180	RBM6	3.9668	0.0052
LINCSCP_138084	NA	9375	TM9SF2	3.3217	0.0052
LINCSCP_138084	NA	1983	EIF5	1.9595	0.0052
LINCSCP_138084	NA	58497	PRUNE	-2.596	0.0052
LINCSCP_138084	NA	1891	ECH1	4.3641	0.0052
LINCSCP_138084	NA	4780	NFE2L2	3.9474	0.0054
