signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_243611	NA	79071	ELOVL6	3.901	1e-4
LINCSCP_243611	NA	3157	HMGCS1	6.7346	2e-4
LINCSCP_243611	NA	23212	RRS1	-2.7934	4e-4
LINCSCP_243611	NA	11182	SLC2A6	2.4231	4e-4
LINCSCP_243611	NA	4144	MAT2A	-2.2493	4e-4
LINCSCP_243611	NA	8324	FZD7	2.0003	4e-4
LINCSCP_243611	NA	54541	DDIT4	6.6743	5e-4
LINCSCP_243611	NA	665	BNIP3L	1.8254	6e-4
LINCSCP_243611	NA	54442	KCTD5	-1.8682	7e-4
LINCSCP_243611	NA	29928	TIMM22	-2.5044	8e-4
LINCSCP_243611	NA	30836	DNTTIP2	-2.5529	8e-4
LINCSCP_243611	NA	79080	CCDC86	-2.5325	8e-4
LINCSCP_243611	NA	1846	DUSP4	2.9215	9e-4
LINCSCP_243611	NA	622	BDH1	-1.9573	9e-4
LINCSCP_243611	NA	8553	BHLHE40	2.5096	0.001
LINCSCP_243611	NA	3638	INSIG1	5.6138	0.0011
LINCSCP_243611	NA	2309	FOXO3	2.8973	0.0012
LINCSCP_243611	NA	2222	FDFT1	2.0699	0.0016
LINCSCP_243611	NA	57761	TRIB3	2.2929	0.0016
LINCSCP_243611	NA	11041	B4GAT1	-2.8548	0.0018
LINCSCP_243611	NA	23061	TBC1D9B	1.5344	0.0018
LINCSCP_243611	NA	4860	PNP	-1.7054	0.0019
LINCSCP_243611	NA	4864	NPC1	3.0181	0.002
LINCSCP_243611	NA	25803	SPDEF	-1.5419	0.0025
LINCSCP_243611	NA	22889	KIAA0907	1.3959	0.0025
LINCSCP_243611	NA	11319	ECD	-1.4428	0.003
LINCSCP_243611	NA	5050	PAFAH1B3	-1.2324	0.0034
LINCSCP_243611	NA	11000	SLC27A3	1.3522	0.0035
LINCSCP_243611	NA	8726	EED	-1.5922	0.0036
LINCSCP_243611	NA	4609	MYC	1.9681	0.0037
LINCSCP_243611	NA	332	BIRC5	-1.4488	0.004
LINCSCP_243611	NA	23636	NUP62	-1.288	0.004
LINCSCP_243611	NA	8870	IER3	1.7304	0.0043
LINCSCP_243611	NA	23076	RRP1B	-1.4589	0.0043
LINCSCP_243611	NA	51116	MRPS2	-3.2537	0.0045
LINCSCP_243611	NA	8720	MBTPS1	1.4406	0.0049
LINCSCP_243611	NA	3775	KCNK1	1.6977	0.0056
LINCSCP_243611	NA	10007	GNPDA1	1.3443	0.006
LINCSCP_243611	NA	84890	ADO	-1.0937	0.0062
LINCSCP_243611	NA	10523	CHERP	-1.1247	0.0063
LINCSCP_243611	NA	230	ALDOC	1.3916	0.0064
LINCSCP_243611	NA	1022	CDK7	1.3995	0.0069
LINCSCP_243611	NA	3964	LGALS8	1.3488	0.0072
LINCSCP_243611	NA	83743	GRWD1	-4.612	0.0073
LINCSCP_243611	NA	10237	SLC35B1	-1.1959	0.0074
LINCSCP_243611	NA	5607	MAP2K5	1.3782	0.0075
LINCSCP_243611	NA	55837	EAPP	1.2772	0.0075
LINCSCP_243611	NA	55038	CDCA4	-1.2709	0.0075
LINCSCP_243611	NA	22934	RPIA	-1.5144	0.0077
LINCSCP_243611	NA	10775	POP4	-1.3629	0.0078
LINCSCP_243611	NA	11007	CCDC85B	-1.6938	0.0079
LINCSCP_243611	NA	10904	BLCAP	-1.1793	0.0081
LINCSCP_243611	NA	23097	CDK19	2.6874	0.0082
LINCSCP_243611	NA	57019	CIAPIN1	-1.3325	0.0082
LINCSCP_243611	NA	1831	TSC22D3	1.8227	0.0084
LINCSCP_243611	NA	5331	PLCB3	-1.1378	0.0085
LINCSCP_243611	NA	10131	TRAP1	-1.0738	0.0086
LINCSCP_243611	NA	55011	PIH1D1	-1.1054	0.0086
LINCSCP_243611	NA	5106	PCK2	1.2366	0.0101
LINCSCP_243611	NA	47	ACLY	1.8718	0.0104
LINCSCP_243611	NA	1465	CSRP1	1.0651	0.0104
LINCSCP_243611	NA	1027	CDKN1B	1.1004	0.011
LINCSCP_243611	NA	3028	HSD17B10	-1.7472	0.0112
LINCSCP_243611	NA	6182	MRPL12	-1.4302	0.0114
LINCSCP_243611	NA	9097	USP14	-1.879	0.0115
LINCSCP_243611	NA	55033	FKBP14	1.3466	0.0117
LINCSCP_243611	NA	4925	NUCB2	0.992	0.0124
LINCSCP_243611	NA	11325	DDX42	-1.3936	0.0125
LINCSCP_243611	NA	16	AARS	1.749	0.0127
LINCSCP_243611	NA	7157	TP53	-1.0728	0.0131
LINCSCP_243611	NA	9126	SMC3	1.2386	0.0134
LINCSCP_243611	NA	10329	TMEM5	-1.0321	0.0139
LINCSCP_243611	NA	9531	BAG3	-0.94	0.014
LINCSCP_243611	NA	873	CBR1	-1.6169	0.0141
LINCSCP_243611	NA	5982	RFC2	-1.1133	0.0145
LINCSCP_243611	NA	10150	MBNL2	2.371	0.0146
LINCSCP_243611	NA	9637	FEZ2	-0.9091	0.0151
LINCSCP_243611	NA	10276	NET1	-1.3289	0.0153
LINCSCP_243611	NA	993	CDC25A	-2.761	0.0153
LINCSCP_243611	NA	2109	ETFB	-0.9889	0.0153
LINCSCP_243611	NA	323	APBB2	1.2429	0.0154
LINCSCP_243611	NA	4331	MNAT1	-0.8489	0.0162
LINCSCP_243611	NA	835	CASP2	-0.9871	0.0162
LINCSCP_243611	NA	9128	PRPF4	-1.3614	0.0166
LINCSCP_243611	NA	3988	LIPA	1.3876	0.0167
LINCSCP_243611	NA	23588	KLHDC2	1.0957	0.0168
LINCSCP_243611	NA	8444	DYRK3	0.9653	0.0174
LINCSCP_243611	NA	7466	WFS1	-0.9885	0.0174
LINCSCP_243611	NA	2553	GABPB1	-1.3187	0.0175
LINCSCP_243611	NA	5321	PLA2G4A	1.073	0.0176
LINCSCP_243611	NA	4216	MAP3K4	-1.357	0.0176
LINCSCP_243611	NA	57048	PLSCR3	-0.9418	0.018
LINCSCP_243611	NA	8061	FOSL1	-1.1861	0.0183
LINCSCP_243611	NA	664	BNIP3	0.8298	0.0184
LINCSCP_243611	NA	5108	PCM1	1.154	0.0185
LINCSCP_243611	NA	58497	PRUNE	-0.948	0.0196
LINCSCP_243611	NA	7077	TIMP2	2.3802	0.0196
LINCSCP_243611	NA	6117	RPA1	1.1967	0.0201
LINCSCP_243611	NA	9134	CCNE2	-0.9318	0.0214
LINCSCP_243611	NA	4482	MSRA	-0.7715	0.022
LINCSCP_243611	NA	5438	POLR2I	-1.1462	0.0223
LINCSCP_243611	NA	23014	FBXO21	0.918	0.0224
LINCSCP_243611	NA	4927	NUP88	-1.0385	0.0231
LINCSCP_243611	NA	26292	MYCBP	-1.1319	0.0232
LINCSCP_243611	NA	4125	MAN2B1	-1.0595	0.0235
LINCSCP_243611	NA	26227	PHGDH	2.4619	0.0235
LINCSCP_243611	NA	9928	KIF14	2.088	0.0236
LINCSCP_243611	NA	11011	TLK2	0.9069	0.0239
LINCSCP_243611	NA	23512	SUZ12	0.8288	0.024
LINCSCP_243611	NA	2264	FGFR4	-0.7918	0.0242
LINCSCP_243611	NA	51021	MRPS16	-0.9625	0.0244
LINCSCP_243611	NA	5359	PLSCR1	1.0024	0.0247
LINCSCP_243611	NA	51071	DERA	-3.7806	0.0264
LINCSCP_243611	NA	5440	POLR2K	-0.7976	0.0264
LINCSCP_243611	NA	10589	DRAP1	-0.875	0.0267
LINCSCP_243611	NA	6714	SRC	-0.998	0.0267
LINCSCP_243611	NA	8851	CDK5R1	-1.0676	0.0269
LINCSCP_243611	NA	10270	AKAP8	-0.8995	0.0276
LINCSCP_243611	NA	3162	HMOX1	1.2727	0.0282
LINCSCP_243611	NA	2356	FPGS	-0.7438	0.0283
LINCSCP_243611	NA	1956	EGFR	-0.9516	0.0285
LINCSCP_243611	NA	200734	SPRED2	1.1943	0.0289
LINCSCP_243611	NA	5255	PHKA1	-0.8206	0.029
LINCSCP_243611	NA	55620	STAP2	-0.8882	0.0298
LINCSCP_243611	NA	2582	GALE	-1.0577	0.0302
LINCSCP_243611	NA	9709	HERPUD1	2.5938	0.0315
LINCSCP_243611	NA	65123	INTS3	-0.9881	0.0321
LINCSCP_243611	NA	22809	ATF5	-0.9813	0.0322
LINCSCP_243611	NA	10813	UTP14A	-1.2511	0.033
LINCSCP_243611	NA	6909	TBX2	-1.0306	0.0349
LINCSCP_243611	NA	10557	RPP38	-1.131	0.0349
LINCSCP_243611	NA	1981	EIF4G1	-0.7208	0.0351
LINCSCP_243611	NA	9695	EDEM1	1.0111	0.0353
LINCSCP_243611	NA	3553	IL1B	0.6851	0.0359
LINCSCP_243611	NA	10782	ZNF274	-1.1065	0.0371
LINCSCP_243611	NA	5716	PSMD10	-1.0112	0.0373
LINCSCP_243611	NA	4638	MYLK	0.7602	0.0377
LINCSCP_243611	NA	3202	HOXA5	1.162	0.0381
LINCSCP_243611	NA	55556	ENOSF1	-1.027	0.0385
LINCSCP_243611	NA	7485	WRB	-0.7478	0.0385
LINCSCP_243611	NA	54386	TERF2IP	-0.7963	0.0388
LINCSCP_243611	NA	9276	COPB2	0.9376	0.039
LINCSCP_243611	NA	6988	TCTA	-1.035	0.0393
LINCSCP_243611	NA	55608	ANKRD10	1.8472	0.0394
LINCSCP_243611	NA	5900	RALGDS	-0.8472	0.0395
LINCSCP_243611	NA	3930	LBR	1.0164	0.0396
LINCSCP_243611	NA	51015	ISOC1	-3.7104	0.0398
LINCSCP_243611	NA	9221	NOLC1	-0.8951	0.0401
LINCSCP_243611	NA	1643	DDB2	0.9199	0.0409
LINCSCP_243611	NA	4043	LRPAP1	-1.1117	0.041
LINCSCP_243611	NA	63874	ABHD4	1.4383	0.0411
LINCSCP_243611	NA	9702	CEP57	1.3123	0.0413
LINCSCP_243611	NA	5927	KDM5A	0.9512	0.0416
LINCSCP_243611	NA	1662	DDX10	-1.0143	0.0418
LINCSCP_243611	NA	10732	TCFL5	-0.6909	0.0418
LINCSCP_243611	NA	4794	NFKBIE	0.9137	0.042
LINCSCP_243611	NA	5347	PLK1	-1.04	0.0421
LINCSCP_243611	NA	5289	PIK3C3	0.7201	0.045
LINCSCP_243611	NA	10892	MALT1	5.5574	0.0452
LINCSCP_243611	NA	57192	MCOLN1	0.9105	0.0453
LINCSCP_243611	NA	9650	MTFR1	0.7445	0.0453
LINCSCP_243611	NA	5223	PGAM1	-0.9479	0.0463
LINCSCP_243611	NA	84617	TUBB6	-1.0073	0.0464
LINCSCP_243611	NA	2778	GNAS	-5.1545	0.0465
