signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_142294	NA	85236	HIST1H2BK	-9.4837	1.4317e-6
LINCSCP_142294	NA	481	ATP1B1	8.1627	2.45e-6
LINCSCP_142294	NA	7296	TXNRD1	7.6685	3.3513e-6
LINCSCP_142294	NA	8061	FOSL1	8.0219	3.3741e-6
LINCSCP_142294	NA	63874	ABHD4	6.2826	7.2399e-6
LINCSCP_142294	NA	7043	TGFB3	-8.7168	7.6848e-6
LINCSCP_142294	NA	1026	CDKN1A	6.7647	8.9733e-6
LINCSCP_142294	NA	3337	DNAJB1	6.4071	9.1063e-6
LINCSCP_142294	NA	7358	UGDH	7.1016	0
LINCSCP_142294	NA	2690	GHR	-6.1715	0
LINCSCP_142294	NA	10112	KIF20A	-5.4561	0
LINCSCP_142294	NA	25803	SPDEF	-6.1684	0
LINCSCP_142294	NA	10058	ABCB6	5.8622	0
LINCSCP_142294	NA	1846	DUSP4	5.5075	0
LINCSCP_142294	NA	4851	NOTCH1	4.6734	0
LINCSCP_142294	NA	26020	LRP10	5.2123	0
LINCSCP_142294	NA	7511	XPNPEP1	-4.6249	0
LINCSCP_142294	NA	51293	CD320	-4.42	0
LINCSCP_142294	NA	51097	SCCPDH	4.2885	0
LINCSCP_142294	NA	23647	ARFIP2	-4.9446	1e-4
LINCSCP_142294	NA	6804	STX1A	5.2091	1e-4
LINCSCP_142294	NA	7494	XBP1	-4.2243	1e-4
LINCSCP_142294	NA	5708	PSMD2	4.5716	1e-4
LINCSCP_142294	NA	1050	CEBPA	4.3713	1e-4
LINCSCP_142294	NA	5019	OXCT1	-4.4968	1e-4
LINCSCP_142294	NA	2745	GLRX	4.6356	1e-4
LINCSCP_142294	NA	27095	TRAPPC3	3.8908	1e-4
LINCSCP_142294	NA	84722	PSRC1	-3.7183	1e-4
LINCSCP_142294	NA	1643	DDB2	4.9805	1e-4
LINCSCP_142294	NA	11098	PRSS23	3.7453	1e-4
LINCSCP_142294	NA	55748	CNDP2	-4.3044	1e-4
LINCSCP_142294	NA	5715	PSMD9	3.5062	1e-4
LINCSCP_142294	NA	4172	MCM3	-6.792	1e-4
LINCSCP_142294	NA	596	BCL2	-4.6757	1e-4
LINCSCP_142294	NA	355	FAS	5.4896	1e-4
LINCSCP_142294	NA	9926	LPGAT1	3.8817	2e-4
LINCSCP_142294	NA	5154	PDGFA	3.7504	2e-4
LINCSCP_142294	NA	874	CBR3	5.4512	2e-4
LINCSCP_142294	NA	79071	ELOVL6	-3.2143	2e-4
LINCSCP_142294	NA	10962	MLLT11	3.3548	2e-4
LINCSCP_142294	NA	5831	PYCR1	-6.9635	2e-4
LINCSCP_142294	NA	51015	ISOC1	-3.4245	2e-4
LINCSCP_142294	NA	581	BAX	4.9648	2e-4
LINCSCP_142294	NA	392	ARHGAP1	-3.6898	2e-4
LINCSCP_142294	NA	8870	IER3	-3.0653	3e-4
LINCSCP_142294	NA	4609	MYC	-3.5197	3e-4
LINCSCP_142294	NA	3312	HSPA8	-3.0175	3e-4
LINCSCP_142294	NA	27244	SESN1	3.3647	3e-4
LINCSCP_142294	NA	4891	SLC11A2	2.9966	3e-4
LINCSCP_142294	NA	29763	PACSIN3	3.0489	3e-4
LINCSCP_142294	NA	6184	RPN1	2.932	3e-4
LINCSCP_142294	NA	4125	MAN2B1	2.9021	4e-4
LINCSCP_142294	NA	10362	HMG20B	-3.7902	4e-4
LINCSCP_142294	NA	22926	ATF6	-2.8355	4e-4
LINCSCP_142294	NA	2946	GSTM2	3.5629	4e-4
LINCSCP_142294	NA	5110	PCMT1	-3.5061	4e-4
LINCSCP_142294	NA	664	BNIP3	3.849	4e-4
LINCSCP_142294	NA	6944	VPS72	2.717	4e-4
LINCSCP_142294	NA	10797	MTHFD2	2.6941	4e-4
LINCSCP_142294	NA	7319	UBE2A	2.7988	4e-4
LINCSCP_142294	NA	8573	CASK	3.8332	4e-4
LINCSCP_142294	NA	1509	CTSD	-3.0619	5e-4
LINCSCP_142294	NA	8349	HIST2H2BE	-3.5949	5e-4
LINCSCP_142294	NA	7106	TSPAN4	-4.302	5e-4
LINCSCP_142294	NA	10589	DRAP1	2.6319	5e-4
LINCSCP_142294	NA	323	APBB2	-2.7327	5e-4
LINCSCP_142294	NA	55793	FAM63A	-3.0306	5e-4
LINCSCP_142294	NA	10610	ST6GALNAC2	2.8496	5e-4
LINCSCP_142294	NA	310	ANXA7	4.0964	6e-4
LINCSCP_142294	NA	79902	NUP85	2.6585	6e-4
LINCSCP_142294	NA	2810	SFN	2.5504	6e-4
LINCSCP_142294	NA	2553	GABPB1	2.5339	6e-4
LINCSCP_142294	NA	2309	FOXO3	-2.8638	6e-4
LINCSCP_142294	NA	64422	ATG3	-2.8716	6e-4
LINCSCP_142294	NA	3693	ITGB5	2.6463	7e-4
LINCSCP_142294	NA	5106	PCK2	-2.8669	7e-4
LINCSCP_142294	NA	1662	DDX10	-2.586	7e-4
LINCSCP_142294	NA	2961	GTF2E2	3.0983	7e-4
LINCSCP_142294	NA	3162	HMOX1	2.6223	8e-4
LINCSCP_142294	NA	230	ALDOC	-3.1716	8e-4
LINCSCP_142294	NA	23326	USP22	-2.4252	8e-4
LINCSCP_142294	NA	16	AARS	-2.6436	8e-4
LINCSCP_142294	NA	3398	ID2	-3.2597	8e-4
LINCSCP_142294	NA	1153	CIRBP	-3.7697	8e-4
LINCSCP_142294	NA	1212	CLTB	2.4924	8e-4
LINCSCP_142294	NA	5899	RALB	3.6407	9e-4
LINCSCP_142294	NA	8878	SQSTM1	2.8146	9e-4
LINCSCP_142294	NA	622	BDH1	-2.8062	9e-4
LINCSCP_142294	NA	4792	NFKBIA	2.3411	0.001
LINCSCP_142294	NA	9924	PAN2	-2.2611	0.001
LINCSCP_142294	NA	7874	USP7	2.3665	0.001
LINCSCP_142294	NA	8996	NOL3	-2.6788	0.0011
LINCSCP_142294	NA	1022	CDK7	2.9348	0.0012
LINCSCP_142294	NA	90861	HN1L	-2.8114	0.0012
LINCSCP_142294	NA	11041	B4GAT1	3.421	0.0012
LINCSCP_142294	NA	9650	MTFR1	2.2894	0.0013
LINCSCP_142294	NA	6009	RHEB	2.6542	0.0013
LINCSCP_142294	NA	5909	RAP1GAP	3.7271	0.0013
LINCSCP_142294	NA	55011	PIH1D1	3.3256	0.0014
LINCSCP_142294	NA	9847	C2CD5	-2.5184	0.0014
LINCSCP_142294	NA	4088	SMAD3	3.3395	0.0014
LINCSCP_142294	NA	291	SLC25A4	-2.791	0.0015
LINCSCP_142294	NA	5468	PPARG	2.3973	0.0015
LINCSCP_142294	NA	84617	TUBB6	2.408	0.0015
LINCSCP_142294	NA	8553	BHLHE40	2.3319	0.0015
LINCSCP_142294	NA	9817	KEAP1	2.6468	0.0015
LINCSCP_142294	NA	10221	TRIB1	4.1811	0.0016
LINCSCP_142294	NA	30836	DNTTIP2	2.3747	0.0016
LINCSCP_142294	NA	23097	CDK19	2.0767	0.0016
LINCSCP_142294	NA	50865	HEBP1	-5.5236	0.0017
LINCSCP_142294	NA	25987	TSKU	2.2515	0.0017
LINCSCP_142294	NA	8202	NCOA3	2.3085	0.0019
LINCSCP_142294	NA	85377	MICALL1	2.549	0.0019
LINCSCP_142294	NA	4582	MUC1	-3.4672	0.0021
LINCSCP_142294	NA	4216	MAP3K4	-1.9501	0.0021
LINCSCP_142294	NA	8727	CTNNAL1	2.0598	0.0021
LINCSCP_142294	NA	6790	AURKA	-1.9131	0.0021
LINCSCP_142294	NA	2624	GATA2	3.1138	0.0021
LINCSCP_142294	NA	29082	CHMP4A	-2.0611	0.0023
LINCSCP_142294	NA	899	CCNF	-1.8991	0.0024
LINCSCP_142294	NA	5525	PPP2R5A	-2.9811	0.0025
LINCSCP_142294	NA	23597	ACOT9	-1.9168	0.0026
LINCSCP_142294	NA	1465	CSRP1	-4.5115	0.0027
LINCSCP_142294	NA	8243	SMC1A	-1.9207	0.0027
LINCSCP_142294	NA	7088	TLE1	-2.4887	0.0027
LINCSCP_142294	NA	25	ABL1	-2.5449	0.0027
LINCSCP_142294	NA	55847	CISD1	-2.0684	0.0028
LINCSCP_142294	NA	533	ATP6V0B	1.8295	0.0028
LINCSCP_142294	NA	11230	PRAF2	-3.2523	0.0028
LINCSCP_142294	NA	24149	ZNF318	-2.0541	0.0028
LINCSCP_142294	NA	2625	GATA3	-2.5475	0.0029
LINCSCP_142294	NA	823	CAPN1	-3.9007	0.0029
LINCSCP_142294	NA	58497	PRUNE	2.0067	0.003
LINCSCP_142294	NA	5782	PTPN12	2.0894	0.0031
LINCSCP_142294	NA	5347	PLK1	-1.9508	0.0031
LINCSCP_142294	NA	30849	PIK3R4	-1.8406	0.0031
LINCSCP_142294	NA	10049	DNAJB6	-1.7852	0.0032
LINCSCP_142294	NA	124583	CANT1	-3.541	0.0032
LINCSCP_142294	NA	7074	TIAM1	-2.2166	0.0033
LINCSCP_142294	NA	7994	KAT6A	-1.7734	0.0033
LINCSCP_142294	NA	727	C5	-2.9954	0.0034
LINCSCP_142294	NA	8569	MKNK1	1.7908	0.0034
LINCSCP_142294	NA	1759	DNM1	2.376	0.0034
LINCSCP_142294	NA	6850	SYK	-1.8484	0.0034
LINCSCP_142294	NA	23588	KLHDC2	2.2458	0.0035
LINCSCP_142294	NA	7905	REEP5	1.7582	0.0035
LINCSCP_142294	NA	10165	SLC25A13	-1.7926	0.0036
LINCSCP_142294	NA	55111	PLEKHJ1	3.5916	0.0036
LINCSCP_142294	NA	26520	TIMM9	-1.7451	0.0037
LINCSCP_142294	NA	55012	PPP2R3C	1.8821	0.0037
LINCSCP_142294	NA	3638	INSIG1	-1.6924	0.0037
LINCSCP_142294	NA	10857	PGRMC1	-1.7658	0.0038
LINCSCP_142294	NA	6919	TCEA2	1.7042	0.0038
LINCSCP_142294	NA	84890	ADO	-1.7929	0.0038
LINCSCP_142294	NA	10969	EBNA1BP2	-1.7474	0.0038
