signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_34137	NA	11065	UBE2C	-7.3533	6.9347e-6
LINCSCP_34137	NA	5111	PCNA	-7.3373	0
LINCSCP_34137	NA	8312	AXIN1	3.1016	0
LINCSCP_34137	NA	2887	GRB10	3.6607	0
LINCSCP_34137	NA	55837	EAPP	-3.2389	0
LINCSCP_34137	NA	51024	FIS1	-4.0264	0
LINCSCP_34137	NA	10797	MTHFD2	-5.2363	0
LINCSCP_34137	NA	11041	B4GAT1	-4.6497	1e-4
LINCSCP_34137	NA	5909	RAP1GAP	3.3338	1e-4
LINCSCP_34137	NA	10668	CGRRF1	-2.6665	1e-4
LINCSCP_34137	NA	8731	RNMT	-4.6709	1e-4
LINCSCP_34137	NA	11200	CHEK2	-3.7024	1e-4
LINCSCP_34137	NA	7494	XBP1	-3.2504	1e-4
LINCSCP_34137	NA	7319	UBE2A	-6.9623	1e-4
LINCSCP_34137	NA	664	BNIP3	-2.5316	2e-4
LINCSCP_34137	NA	9833	MELK	-3.0342	2e-4
LINCSCP_34137	NA	1846	DUSP4	2.5944	2e-4
LINCSCP_34137	NA	9847	C2CD5	-4.136	2e-4
LINCSCP_34137	NA	22883	CLSTN1	2.4744	2e-4
LINCSCP_34137	NA	7153	TOP2A	-3.2482	3e-4
LINCSCP_34137	NA	2109	ETFB	-2.5998	3e-4
LINCSCP_34137	NA	8726	EED	-2.575	3e-4
LINCSCP_34137	NA	976	ADGRE5	-2.9819	3e-4
LINCSCP_34137	NA	51382	ATP6V1D	-2.5614	3e-4
LINCSCP_34137	NA	55748	CNDP2	-2.6015	3e-4
LINCSCP_34137	NA	994	CDC25B	-3.415	3e-4
LINCSCP_34137	NA	10276	NET1	-4.0555	4e-4
LINCSCP_34137	NA	3480	IGF1R	-3.5962	4e-4
LINCSCP_34137	NA	4792	NFKBIA	-3.0632	4e-4
LINCSCP_34137	NA	3385	ICAM3	-2.2612	4e-4
LINCSCP_34137	NA	983	CDK1	-5.6052	4e-4
LINCSCP_34137	NA	54499	TMCO1	-2.3026	4e-4
LINCSCP_34137	NA	51742	ARID4B	-2.3104	5e-4
LINCSCP_34137	NA	3725	JUN	3.4424	5e-4
LINCSCP_34137	NA	56654	NPDC1	-2.3336	5e-4
LINCSCP_34137	NA	5580	PRKCD	-2.8053	5e-4
LINCSCP_34137	NA	10007	GNPDA1	-4.8235	5e-4
LINCSCP_34137	NA	2222	FDFT1	-2.3318	6e-4
LINCSCP_34137	NA	7105	TSPAN6	-2.5328	6e-4
LINCSCP_34137	NA	7015	TERT	2.2783	6e-4
LINCSCP_34137	NA	6790	AURKA	2.6924	6e-4
LINCSCP_34137	NA	481	ATP1B1	-4.4699	6e-4
LINCSCP_34137	NA	1459	CSNK2A2	1.9538	6e-4
LINCSCP_34137	NA	8895	CPNE3	-4.3875	6e-4
LINCSCP_34137	NA	5982	RFC2	-2.8932	6e-4
LINCSCP_34137	NA	4893	NRAS	-1.951	6e-4
LINCSCP_34137	NA	8396	PIP4K2B	-2.3419	6e-4
LINCSCP_34137	NA	8574	AKR7A2	-4.4977	7e-4
LINCSCP_34137	NA	1050	CEBPA	-2.375	7e-4
LINCSCP_34137	NA	9868	TOMM70A	-3.5141	7e-4
LINCSCP_34137	NA	29916	SNX11	-2.1489	7e-4
LINCSCP_34137	NA	4582	MUC1	-2.3541	7e-4
LINCSCP_34137	NA	23335	WDR7	2.0234	8e-4
LINCSCP_34137	NA	622	BDH1	-2.6326	8e-4
LINCSCP_34137	NA	9221	NOLC1	-2.7749	8e-4
LINCSCP_34137	NA	200734	SPRED2	1.9533	8e-4
LINCSCP_34137	NA	22887	FOXJ3	-2.5864	9e-4
LINCSCP_34137	NA	7485	WRB	-2.0055	9e-4
LINCSCP_34137	NA	5018	OXA1L	-3.5937	0.001
LINCSCP_34137	NA	79073	TMEM109	-2.6964	0.001
LINCSCP_34137	NA	8508	NIPSNAP1	-2.2762	0.001
LINCSCP_34137	NA	7398	USP1	-2.1992	0.001
LINCSCP_34137	NA	10206	TRIM13	1.9603	0.0011
LINCSCP_34137	NA	1647	GADD45A	2.3222	0.0011
LINCSCP_34137	NA	3066	HDAC2	-1.8184	0.0011
LINCSCP_34137	NA	6659	SOX4	-2.0738	0.0011
LINCSCP_34137	NA	843	CASP10	2.2001	0.0011
LINCSCP_34137	NA	10972	TMED10	-5.7097	0.0011
LINCSCP_34137	NA	2625	GATA3	-6.1761	0.0012
LINCSCP_34137	NA	3553	IL1B	2.8723	0.0012
LINCSCP_34137	NA	25874	MPC2	-2.4784	0.0013
LINCSCP_34137	NA	9761	MLEC	-2.4061	0.0013
LINCSCP_34137	NA	23210	JMJD6	2.6309	0.0013
LINCSCP_34137	NA	11004	KIF2C	-2.7275	0.0013
LINCSCP_34137	NA	5925	RB1	2.4585	0.0013
LINCSCP_34137	NA	5993	RFX5	-3.4245	0.0013
LINCSCP_34137	NA	6342	SCP2	-2.2077	0.0014
LINCSCP_34137	NA	3033	HADH	-4.7723	0.0014
LINCSCP_34137	NA	5566	PRKACA	1.7831	0.0014
LINCSCP_34137	NA	7994	KAT6A	-2.2969	0.0015
LINCSCP_34137	NA	4609	MYC	-2.2079	0.0015
LINCSCP_34137	NA	5792	PTPRF	2.1005	0.0017
