signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_36746	NA	3486	IGFBP3	3.6994	8e-4
LINCSCP_36746	NA	1829	DSG2	4.3216	0.0018
LINCSCP_36746	NA	51385	ZNF589	4.169	0.0037
LINCSCP_36746	NA	6443	SGCB	-2.6964	0.0043
LINCSCP_36746	NA	8270	LAGE3	-2.6776	0.0047
LINCSCP_36746	NA	1870	E2F2	2.5294	0.0048
LINCSCP_36746	NA	375346	TMEM110	2.9242	0.0056
LINCSCP_36746	NA	1759	DNM1	2.4327	0.0079
LINCSCP_36746	NA	10099	TSPAN3	-2.8059	0.008
LINCSCP_36746	NA	3988	LIPA	-2.1699	0.0089
LINCSCP_36746	NA	57149	LYRM1	-2.2711	0.0091
LINCSCP_36746	NA	8900	CCNA1	2.9817	0.0096
LINCSCP_36746	NA	5715	PSMD9	-2.2717	0.0097
LINCSCP_36746	NA	637	BID	2.8259	0.0102
LINCSCP_36746	NA	11230	PRAF2	-4.9896	0.0107
LINCSCP_36746	NA	51026	GOLT1B	-2.034	0.0125
LINCSCP_36746	NA	3682	ITGAE	1.9506	0.0125
LINCSCP_36746	NA	3480	IGF1R	-3.268	0.013
LINCSCP_36746	NA	323	APBB2	1.9172	0.0133
LINCSCP_36746	NA	1052	CEBPD	2.8201	0.0136
LINCSCP_36746	NA	56889	TM9SF3	-3.6045	0.0137
LINCSCP_36746	NA	9267	CYTH1	-1.9783	0.0147
LINCSCP_36746	NA	10227	MFSD10	-1.8768	0.0149
LINCSCP_36746	NA	6347	CCL2	2.3487	0.0167
LINCSCP_36746	NA	47	ACLY	-2.0822	0.0168
LINCSCP_36746	NA	10973	ASCC3	-2.5971	0.017
LINCSCP_36746	NA	25839	COG4	-3.0477	0.0175
LINCSCP_36746	NA	23636	NUP62	-2.2279	0.0182
LINCSCP_36746	NA	836	CASP3	1.9133	0.0192
LINCSCP_36746	NA	55148	UBR7	-2.0783	0.0192
LINCSCP_36746	NA	1788	DNMT3A	2.6127	0.0192
LINCSCP_36746	NA	10732	TCFL5	-1.8146	0.0196
LINCSCP_36746	NA	1605	DAG1	-1.8254	0.0199
LINCSCP_36746	NA	9517	SPTLC2	-2.1201	0.0201
LINCSCP_36746	NA	7494	XBP1	-2.9411	0.0207
LINCSCP_36746	NA	5891	MOK	1.9053	0.0223
LINCSCP_36746	NA	2264	FGFR4	1.8891	0.0226
LINCSCP_36746	NA	5603	MAPK13	-3.077	0.0237
LINCSCP_36746	NA	23029	RBM34	-1.756	0.0238
LINCSCP_36746	NA	5440	POLR2K	-1.727	0.0239
LINCSCP_36746	NA	5607	MAP2K5	2.1927	0.024
LINCSCP_36746	NA	10776	ARPP19	-1.7385	0.0249
LINCSCP_36746	NA	1212	CLTB	-1.6736	0.0256
LINCSCP_36746	NA	5347	PLK1	-1.729	0.0265
LINCSCP_36746	NA	9097	USP14	1.7634	0.0267
LINCSCP_36746	NA	2113	ETS1	1.6809	0.0268
LINCSCP_36746	NA	51071	DERA	-1.6429	0.0292
LINCSCP_36746	NA	11325	DDX42	-1.5442	0.0293
LINCSCP_36746	NA	3964	LGALS8	1.6804	0.0293
LINCSCP_36746	NA	54881	TEX10	-3.4537	0.0295
LINCSCP_36746	NA	6500	SKP1	-1.8524	0.03
LINCSCP_36746	NA	8731	RNMT	-1.6892	0.031
LINCSCP_36746	NA	63874	ABHD4	2.0937	0.0317
LINCSCP_36746	NA	622	BDH1	-3.0049	0.0319
LINCSCP_36746	NA	10953	TOMM34	-1.6324	0.0321
LINCSCP_36746	NA	10489	LRRC41	2.0225	0.0322
LINCSCP_36746	NA	64781	CERK	2.8808	0.0323
LINCSCP_36746	NA	10606	PAICS	-2.5231	0.0324
LINCSCP_36746	NA	25966	C2CD2	1.8484	0.0334
LINCSCP_36746	NA	11151	CORO1A	1.4912	0.0343
LINCSCP_36746	NA	211	ALAS1	1.6836	0.0343
LINCSCP_36746	NA	665	BNIP3L	-1.4891	0.035
LINCSCP_36746	NA	10434	LYPLA1	-1.5	0.0352
LINCSCP_36746	NA	3815	KIT	2.5633	0.0355
LINCSCP_36746	NA	51466	EVL	-1.6742	0.0356
LINCSCP_36746	NA	6622	SNCA	-1.6964	0.036
LINCSCP_36746	NA	890	CCNA2	-1.5601	0.0361
LINCSCP_36746	NA	90861	HN1L	-1.8604	0.0361
LINCSCP_36746	NA	11168	PSIP1	-1.9077	0.0361
LINCSCP_36746	NA	4313	MMP2	1.6022	0.0361
LINCSCP_36746	NA	54623	PAF1	-1.554	0.0368
LINCSCP_36746	NA	5211	PFKL	-1.5568	0.0371
LINCSCP_36746	NA	6659	SOX4	-4.0392	0.0376
LINCSCP_36746	NA	9797	TATDN2	-1.9381	0.0379
LINCSCP_36746	NA	4793	NFKBIB	1.9984	0.0384
