signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_133541	NA	55256	ADI1	-5.2446	1e-4
LINCSCP_133541	NA	5255	PHKA1	3.6396	1e-4
LINCSCP_133541	NA	9709	HERPUD1	-5.5713	1e-4
LINCSCP_133541	NA	55129	ANO10	4.4821	1e-4
LINCSCP_133541	NA	54915	YTHDF1	4.0185	1e-4
LINCSCP_133541	NA	9637	FEZ2	3.6201	1e-4
LINCSCP_133541	NA	26001	RNF167	-2.8654	1e-4
LINCSCP_133541	NA	65123	INTS3	2.8279	1e-4
LINCSCP_133541	NA	10150	MBNL2	-3.3272	1e-4
LINCSCP_133541	NA	29890	RBM15B	2.5477	2e-4
LINCSCP_133541	NA	8446	DUSP11	2.5375	2e-4
LINCSCP_133541	NA	7867	MAPKAPK3	-3.7354	2e-4
LINCSCP_133541	NA	8804	CREG1	-2.6206	2e-4
LINCSCP_133541	NA	57147	SCYL3	3.5909	2e-4
LINCSCP_133541	NA	5092	PCBD1	-2.6713	2e-4
LINCSCP_133541	NA	3157	HMGCS1	-3.1885	2e-4
LINCSCP_133541	NA	10362	HMG20B	-2.4006	2e-4
LINCSCP_133541	NA	3312	HSPA8	-2.7598	2e-4
LINCSCP_133541	NA	25805	BAMBI	-2.9347	2e-4
LINCSCP_133541	NA	23365	ARHGEF12	3.9947	2e-4
LINCSCP_133541	NA	3122	HLA-DRA	-8.3835	2e-4
LINCSCP_133541	NA	51335	NGRN	3.6347	2e-4
LINCSCP_133541	NA	6390	SDHB	-2.4515	2e-4
LINCSCP_133541	NA	51031	GLOD4	-5.2562	2e-4
LINCSCP_133541	NA	5891	MOK	2.2438	2e-4
LINCSCP_133541	NA	291	SLC25A4	2.821	2e-4
LINCSCP_133541	NA	5287	PIK3C2B	2.9244	3e-4
LINCSCP_133541	NA	5547	PRCP	2.4793	3e-4
LINCSCP_133541	NA	22883	CLSTN1	-2.2318	3e-4
LINCSCP_133541	NA	5583	PRKCH	2.3756	3e-4
LINCSCP_133541	NA	1514	CTSL	-3.5097	3e-4
LINCSCP_133541	NA	10617	STAMBP	-2.4325	3e-4
LINCSCP_133541	NA	51021	MRPS16	-2.9092	3e-4
LINCSCP_133541	NA	5747	PTK2	3.4547	3e-4
LINCSCP_133541	NA	5770	PTPN1	2.1834	4e-4
LINCSCP_133541	NA	2778	GNAS	-2.8278	4e-4
LINCSCP_133541	NA	6464	SHC1	-2.6976	4e-4
LINCSCP_133541	NA	55699	IARS2	-2.0348	4e-4
LINCSCP_133541	NA	1616	DAXX	-1.8706	4e-4
LINCSCP_133541	NA	9170	LPAR2	3.1698	5e-4
LINCSCP_133541	NA	23588	KLHDC2	-2.0051	5e-4
LINCSCP_133541	NA	51599	LSR	-2.7268	5e-4
LINCSCP_133541	NA	10523	CHERP	-1.9177	5e-4
LINCSCP_133541	NA	10589	DRAP1	-1.991	5e-4
LINCSCP_133541	NA	3693	ITGB5	-1.8078	5e-4
LINCSCP_133541	NA	8826	IQGAP1	2.2722	5e-4
LINCSCP_133541	NA	10273	STUB1	-2.0703	5e-4
LINCSCP_133541	NA	4125	MAN2B1	-2.0449	5e-4
LINCSCP_133541	NA	7494	XBP1	-1.9568	5e-4
LINCSCP_133541	NA	4850	CNOT4	2.1169	5e-4
