signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_140771	NA	11098	PRSS23	-9.8913	5.178e-6
LINCSCP_140771	NA	481	ATP1B1	9.7965	6.5295e-6
LINCSCP_140771	NA	5909	RAP1GAP	5.3266	1e-4
LINCSCP_140771	NA	5111	PCNA	-5.0085	1e-4
LINCSCP_140771	NA	84617	TUBB6	-5.2506	1e-4
LINCSCP_140771	NA	1514	CTSL	5.2966	1e-4
LINCSCP_140771	NA	23588	KLHDC2	5.0484	2e-4
LINCSCP_140771	NA	5427	POLE2	-5.5775	2e-4
LINCSCP_140771	NA	54541	DDIT4	7.5455	2e-4
LINCSCP_140771	NA	991	CDC20	-4.3107	3e-4
LINCSCP_140771	NA	55038	CDCA4	-3.8402	3e-4
LINCSCP_140771	NA	6790	AURKA	-4.2774	3e-4
LINCSCP_140771	NA	11065	UBE2C	-4.6126	4e-4
LINCSCP_140771	NA	9133	CCNB2	-4.0096	4e-4
LINCSCP_140771	NA	5985	RFC5	-4.5594	4e-4
LINCSCP_140771	NA	10051	SMC4	-3.9633	4e-4
LINCSCP_140771	NA	10513	APPBP2	4.1104	5e-4
LINCSCP_140771	NA	26020	LRP10	3.5459	5e-4
LINCSCP_140771	NA	4927	NUP88	-3.5399	5e-4
LINCSCP_140771	NA	7153	TOP2A	-3.5225	5e-4
LINCSCP_140771	NA	7398	USP1	-3.7243	5e-4
LINCSCP_140771	NA	2553	GABPB1	-3.4876	5e-4
LINCSCP_140771	NA	55793	FAM63A	3.5331	6e-4
LINCSCP_140771	NA	8878	SQSTM1	3.3558	6e-4
LINCSCP_140771	NA	1509	CTSD	-6.2122	6e-4
LINCSCP_140771	NA	2625	GATA3	3.7889	7e-4
LINCSCP_140771	NA	332	BIRC5	-4.7138	8e-4
LINCSCP_140771	NA	51001	MTERF3	-3.3413	8e-4
LINCSCP_140771	NA	983	CDK1	-7.39	8e-4
LINCSCP_140771	NA	10112	KIF20A	-3.8435	9e-4
LINCSCP_140771	NA	25805	BAMBI	4.535	0.001
LINCSCP_140771	NA	3978	LIG1	-4.0176	0.0011
LINCSCP_140771	NA	1001	CDH3	2.8662	0.0011
LINCSCP_140771	NA	55748	CNDP2	3.3711	0.0011
LINCSCP_140771	NA	23512	SUZ12	-2.8865	0.0012
LINCSCP_140771	NA	2274	FHL2	-2.9015	0.0012
LINCSCP_140771	NA	3202	HOXA5	4.4217	0.0013
LINCSCP_140771	NA	10057	ABCC5	4.1699	0.0013
LINCSCP_140771	NA	102	ADAM10	3.1614	0.0013
LINCSCP_140771	NA	11182	SLC2A6	3.0878	0.0013
LINCSCP_140771	NA	8349	HIST2H2BE	7.168	0.0014
LINCSCP_140771	NA	847	CAT	3.5758	0.0014
LINCSCP_140771	NA	9221	NOLC1	-3.147	0.0015
LINCSCP_140771	NA	2624	GATA2	5.2617	0.0015
LINCSCP_140771	NA	10682	EBP	-3.4479	0.0016
LINCSCP_140771	NA	5993	RFX5	3.1608	0.0016
LINCSCP_140771	NA	10652	YKT6	-4.7368	0.0016
LINCSCP_140771	NA	3385	ICAM3	-3.2482	0.0016
LINCSCP_140771	NA	5287	PIK3C2B	3.4532	0.0016
LINCSCP_140771	NA	1891	ECH1	3.5945	0.0016
LINCSCP_140771	NA	4088	SMAD3	3.1843	0.0017
LINCSCP_140771	NA	84722	PSRC1	-4.4372	0.0017
LINCSCP_140771	NA	4200	ME2	-2.5588	0.0017
LINCSCP_140771	NA	8202	NCOA3	4.4153	0.0017
LINCSCP_140771	NA	3925	STMN1	-4.2205	0.0018
LINCSCP_140771	NA	4893	NRAS	-2.6943	0.0019
LINCSCP_140771	NA	8607	RUVBL1	-2.821	0.0021
LINCSCP_140771	NA	5873	RAB27A	-2.7877	0.0021
LINCSCP_140771	NA	23210	JMJD6	-2.4204	0.0021
LINCSCP_140771	NA	10606	PAICS	-3.2714	0.0021
LINCSCP_140771	NA	51635	DHRS7	2.8567	0.0022
LINCSCP_140771	NA	10150	MBNL2	2.8011	0.0023
LINCSCP_140771	NA	51293	CD320	-2.439	0.0023
LINCSCP_140771	NA	58478	ENOPH1	-2.3671	0.0024
LINCSCP_140771	NA	5796	PTPRK	3.0051	0.0024
LINCSCP_140771	NA	3280	HES1	2.4159	0.0025
LINCSCP_140771	NA	6659	SOX4	2.9095	0.0026
LINCSCP_140771	NA	79961	DENND2D	4.011	0.0029
LINCSCP_140771	NA	6119	RPA3	-2.6954	0.003
LINCSCP_140771	NA	10038	PARP2	-2.4984	0.0031
LINCSCP_140771	NA	4303	FOXO4	3.3913	0.0032
LINCSCP_140771	NA	4605	MYBL2	-2.9132	0.0033
LINCSCP_140771	NA	23300	ATMIN	3.8282	0.0033
LINCSCP_140771	NA	23636	NUP62	-2.4062	0.0034
LINCSCP_140771	NA	23139	MAST2	-2.2859	0.0034
LINCSCP_140771	NA	57178	ZMIZ1	2.78	0.0035
LINCSCP_140771	NA	8869	ST3GAL5	2.4243	0.0037
LINCSCP_140771	NA	8318	CDC45	-4.9748	0.0037
LINCSCP_140771	NA	80212	CCDC92	2.4035	0.0037
LINCSCP_140771	NA	6182	MRPL12	-2.4918	0.0038
LINCSCP_140771	NA	890	CCNA2	-4.9707	0.0038
LINCSCP_140771	NA	9212	AURKB	-2.1705	0.0038
LINCSCP_140771	NA	4172	MCM3	-4.3693	0.0038
LINCSCP_140771	NA	6839	SUV39H1	-2.9222	0.0041
LINCSCP_140771	NA	10797	MTHFD2	-2.4324	0.0041
LINCSCP_140771	NA	4792	NFKBIA	3.2616	0.0042
LINCSCP_140771	NA	6622	SNCA	2.6408	0.0044
LINCSCP_140771	NA	80746	TSEN2	-3.0079	0.0045
LINCSCP_140771	NA	7358	UGDH	2.1786	0.0047
LINCSCP_140771	NA	23097	CDK19	5.3117	0.0048
LINCSCP_140771	NA	8624	PSMG1	-5.4725	0.0049
LINCSCP_140771	NA	79921	TCEAL4	2.0663	0.0051
LINCSCP_140771	NA	22809	ATF5	-2.9574	0.0051
LINCSCP_140771	NA	5831	PYCR1	-1.9887	0.0052
LINCSCP_140771	NA	23038	WDTC1	2.5589	0.0052
LINCSCP_140771	NA	50865	HEBP1	4.192	0.0052
LINCSCP_140771	NA	1111	CHEK1	-2.1977	0.0052
LINCSCP_140771	NA	64429	ZDHHC6	-2.2496	0.0053
LINCSCP_140771	NA	664	BNIP3	-2.1946	0.0056
LINCSCP_140771	NA	5889	RAD51C	-2.6593	0.0057
LINCSCP_140771	NA	9276	COPB2	2.1325	0.0059
LINCSCP_140771	NA	9688	NUP93	-2.6828	0.006
LINCSCP_140771	NA	5580	PRKCD	3.5505	0.0061
LINCSCP_140771	NA	2309	FOXO3	2.0004	0.0061
LINCSCP_140771	NA	4860	PNP	-3.397	0.0063
LINCSCP_140771	NA	8678	BECN1	2.215	0.0065
LINCSCP_140771	NA	55556	ENOSF1	-1.9946	0.0071
LINCSCP_140771	NA	2065	ERBB3	2.863	0.0072
LINCSCP_140771	NA	6443	SGCB	-2.0924	0.0073
