signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_32477	NA	23635	SSBP2	2.6718	0.0022
LINCSCP_32477	NA	10206	TRIM13	2.4682	0.0045
LINCSCP_32477	NA	26064	RAI14	2.3783	0.0045
LINCSCP_32477	NA	2195	FAT1	2.3148	0.0062
LINCSCP_32477	NA	2886	GRB7	2.8185	0.0072
LINCSCP_32477	NA	26520	TIMM9	-2.9009	0.0085
LINCSCP_32477	NA	1786	DNMT1	1.9742	0.0088
LINCSCP_32477	NA	10617	STAMBP	-2.237	0.009
LINCSCP_32477	NA	3551	IKBKB	1.9596	0.009
LINCSCP_32477	NA	7088	TLE1	-3.8104	0.0096
LINCSCP_32477	NA	84159	ARID5B	2.1915	0.0109
LINCSCP_32477	NA	23077	MYCBP2	2.0183	0.0109
LINCSCP_32477	NA	5355	PLP2	1.9091	0.011
LINCSCP_32477	NA	6304	SATB1	3.1482	0.0114
LINCSCP_32477	NA	1029	CDKN2A	1.8192	0.0117
LINCSCP_32477	NA	4312	MMP1	2.1084	0.0119
LINCSCP_32477	NA	3337	DNAJB1	-2.5702	0.012
LINCSCP_32477	NA	4616	GADD45B	2.33	0.0121
LINCSCP_32477	NA	1017	CDK2	1.8352	0.0122
LINCSCP_32477	NA	6509	SLC1A4	2.0745	0.0124
LINCSCP_32477	NA	64428	NARFL	1.7802	0.0126
LINCSCP_32477	NA	5290	PIK3CA	1.8322	0.0128
LINCSCP_32477	NA	9019	MPZL1	-2.3179	0.0135
LINCSCP_32477	NA	10180	RBM6	2.2397	0.014
LINCSCP_32477	NA	6616	SNAP25	2.2087	0.0147
LINCSCP_32477	NA	1459	CSNK2A2	1.741	0.0148
LINCSCP_32477	NA	808	CALM3	1.8227	0.0151
LINCSCP_32477	NA	960	CD44	1.8323	0.0153
LINCSCP_32477	NA	4931	NVL	1.7428	0.0153
LINCSCP_32477	NA	55847	CISD1	1.977	0.016
LINCSCP_32477	NA	55324	ABCF3	-3.1769	0.016
LINCSCP_32477	NA	727	C5	2.3679	0.0161
LINCSCP_32477	NA	5743	PTGS2	2.2962	0.0162
LINCSCP_32477	NA	388650	FAM69A	1.7001	0.0173
LINCSCP_32477	NA	5891	MOK	2.1261	0.0175
LINCSCP_32477	NA	3895	KTN1	1.7163	0.0182
LINCSCP_32477	NA	9813	EFCAB14	1.7987	0.0193
LINCSCP_32477	NA	3108	HLA-DMA	1.8126	0.0201
LINCSCP_32477	NA	7416	VDAC1	-2.0926	0.0207
LINCSCP_32477	NA	4776	NFATC4	1.6255	0.021
LINCSCP_32477	NA	8569	MKNK1	1.6661	0.0212
LINCSCP_32477	NA	5108	PCM1	-1.5893	0.0212
LINCSCP_32477	NA	10434	LYPLA1	-1.9304	0.0218
LINCSCP_32477	NA	8243	SMC1A	1.5875	0.0222
LINCSCP_32477	NA	23325	KIAA1033	-1.7896	0.0226
LINCSCP_32477	NA	30001	ERO1L	2.1218	0.0226
LINCSCP_32477	NA	10776	ARPP19	-4.714	0.0227
LINCSCP_32477	NA	3157	HMGCS1	-2.4615	0.0229
LINCSCP_32477	NA	902	CCNH	1.9433	0.0232
LINCSCP_32477	NA	6347	CCL2	1.7453	0.0235
LINCSCP_32477	NA	6390	SDHB	-1.6191	0.0237
LINCSCP_32477	NA	701	BUB1B	1.5954	0.0238
LINCSCP_32477	NA	1153	CIRBP	-1.5953	0.024
