signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_14725	NA	11098	PRSS23	-9.9734	1.4152e-6
LINCSCP_14725	NA	3486	IGFBP3	-9.8296	1.6716e-6
LINCSCP_14725	NA	10641	NPRL2	9.3666	3.0296e-6
LINCSCP_14725	NA	79947	DHDDS	9.081	4.12e-6
LINCSCP_14725	NA	7168	TPM1	-7.5969	0
LINCSCP_14725	NA	9709	HERPUD1	8.404	0
LINCSCP_14725	NA	3775	KCNK1	8.9838	0
LINCSCP_14725	NA	3315	HSPB1	-7.1198	0
LINCSCP_14725	NA	4891	SLC11A2	7.345	0
LINCSCP_14725	NA	3206	HOXA10	-7.1043	0
LINCSCP_14725	NA	2745	GLRX	6.4162	0
LINCSCP_14725	NA	6499	SKIV2L	7.2969	0
LINCSCP_14725	NA	23588	KLHDC2	6.6227	0
LINCSCP_14725	NA	2274	FHL2	-6.9089	0
LINCSCP_14725	NA	23670	TMEM2	-6.5813	1e-4
LINCSCP_14725	NA	10112	KIF20A	-5.8052	1e-4
LINCSCP_14725	NA	2058	EPRS	5.8801	1e-4
LINCSCP_14725	NA	3385	ICAM3	7.4912	1e-4
LINCSCP_14725	NA	4792	NFKBIA	-6.9218	1e-4
LINCSCP_14725	NA	3202	HOXA5	-7.4652	2e-4
LINCSCP_14725	NA	84617	TUBB6	-5.2419	2e-4
LINCSCP_14725	NA	1017	CDK2	-5.3149	2e-4
LINCSCP_14725	NA	9697	TRAM2	-5.0648	2e-4
LINCSCP_14725	NA	664	BNIP3	-5.5324	2e-4
LINCSCP_14725	NA	51026	GOLT1B	5.9376	2e-4
LINCSCP_14725	NA	23585	TMEM50A	-5.1057	2e-4
LINCSCP_14725	NA	5050	PAFAH1B3	-6.2346	2e-4
LINCSCP_14725	NA	10953	TOMM34	-4.6262	3e-4
LINCSCP_14725	NA	5054	SERPINE1	-4.8531	3e-4
LINCSCP_14725	NA	90861	HN1L	-5.1761	3e-4
LINCSCP_14725	NA	51569	UFM1	6.6326	3e-4
LINCSCP_14725	NA	9854	C2CD2L	4.462	3e-4
LINCSCP_14725	NA	4016	LOXL1	-4.5481	3e-4
LINCSCP_14725	NA	9833	MELK	-4.473	3e-4
LINCSCP_14725	NA	813	CALU	5.0225	3e-4
LINCSCP_14725	NA	9276	COPB2	5.0944	3e-4
LINCSCP_14725	NA	4925	NUCB2	4.308	3e-4
LINCSCP_14725	NA	10398	MYL9	-5.6739	4e-4
LINCSCP_14725	NA	10007	GNPDA1	4.2302	4e-4
LINCSCP_14725	NA	11065	UBE2C	-5.3081	4e-4
